"# CSDA 2013 (Derrode & Pieczynski, doi:10.1016/j.csda.2013.01.027) Tables 2-5 as printed: rows = tested (restoration) copula, columns = true (simulation) copula; mean error % and std"
table,tested,true,mean,std
2a,c0,c0,11.09,0.9
2a,c0,c1,14.30,1.2
2a,c0,c2,13.72,1.3
2a,c0,c3,13.90,1.2
2a,c0,c4,14.64,1.2
2a,c0,c5,14.73,1.2
2a,c0,c6,13.88,1.2
2a,c1,c0,11.28,0.9
2a,c1,c1,14.09,1.2
2a,c1,c2,13.81,1.4
2a,c1,c3,13.84,1.2
2a,c1,c4,14.39,1.3
2a,c1,c5,14.43,1.3
2a,c1,c6,13.78,1.3
2a,c2,c0,11.89,0.9
2a,c2,c1,14.65,1.2
2a,c2,c2,13.13,1.3
2a,c2,c3,14.03,1.2
2a,c2,c4,15.31,1.3
2a,c2,c5,15.60,1.2
2a,c2,c6,14.23,1.3
2a,c3,c0,11.71,0.9
2a,c3,c1,14.36,1.2
2a,c3,c2,13.59,1.3
2a,c3,c3,13.67,1.2
2a,c3,c4,14.93,1.3
2a,c3,c5,15.05,1.2
2a,c3,c6,14.38,1.3
2a,c4,c0,11.40,1.0
2a,c4,c1,14.13,1.2
2a,c4,c2,14.06,1.4
2a,c4,c3,13.95,1.2
2a,c4,c4,14.26,1.3
2a,c4,c5,14.28,1.3
2a,c4,c6,13.82,1.3
2a,c5,c0,11.69,1.0
2a,c5,c1,14.22,1.2
2a,c5,c2,14.51,1.4
2a,c5,c3,14.11,1.2
2a,c5,c4,14.34,1.3
2a,c5,c5,14.27,1.2
2a,c5,c6,13.94,1.3
2a,c6,c0,11.81,1.0
2a,c6,c1,14.39,1.2
2a,c6,c2,13.90,1.4
2a,c6,c3,14.46,1.2
2a,c6,c4,14.67,1.3
2a,c6,c5,14.83,1.3
2a,c6,c6,13.50,1.3
2b,c0,c0,8.54,0.7
2b,c0,c1,10.58,1.0
2b,c0,c2,10.89,1.0
2b,c0,c3,10.95,1.0
2b,c0,c4,10.87,0.9
2b,c0,c5,10.82,0.9
2b,c0,c6,10.46,1.0
2b,c1,c0,8.75,0.8
2b,c1,c1,10.26,1.0
2b,c1,c2,10.78,1.0
2b,c1,c3,10.75,1.0
2b,c1,c4,10.41,1.0
2b,c1,c5,10.33,0.9
2b,c1,c6,9.93,1.0
2b,c2,c0,9.12,0.8
2b,c2,c1,10.65,1.0
2b,c2,c2,10.18,0.9
2b,c2,c3,10.92,1.0
2b,c2,c4,11.04,1.0
2b,c2,c5,11.07,0.9
2b,c2,c6,10.12,1.0
2b,c3,c0,8.78,0.8
2b,c3,c1,10.36,1.0
2b,c3,c2,10.58,1.0
2b,c3,c3,10.57,0.9
2b,c3,c4,10.65,1.0
2b,c3,c5,10.63,0.9
2b,c3,c6,10.24,1.0
2b,c4,c0,8.81,0.8
2b,c4,c1,10.29,1.0
2b,c4,c2,10.86,1.0
2b,c4,c3,10.81,1.0
2b,c4,c4,10.33,1.0
2b,c4,c5,10.24,0.9
2b,c4,c6,9.93,0.9
2b,c5,c0,8.89,0.8
2b,c5,c1,10.33,1.0
2b,c5,c2,11.09,1.0
2b,c5,c3,10.88,1.0
2b,c5,c4,10.38,1.0
2b,c5,c5,10.22,0.9
2b,c5,c6,9.98,1.0
2b,c6,c0,9.17,0.8
2b,c6,c1,10.48,1.0
2b,c6,c2,10.73,1.0
2b,c6,c3,11.23,1.0
2b,c6,c4,10.69,0.9
2b,c6,c5,10.65,0.9
2b,c6,c6,9.73,0.9
3a,c0,c0,11.06,1.0
3a,c0,c1,26.27,2.2
3a,c0,c2,25.77,2.3
3a,c0,c3,26.27,2.5
3a,c0,c6,27.50,2.3
