mote,method,zone,start,start_epoch,hours,n_flags,n_obs,y_min,y_max,median_prev_hour,jump_at_start,gap_before_h
48,PMC seq α=0.001,normal,2004-03-13 15:37,42079,2.2750379996114836,241,241,28.0636,29.9256,28.9456,0.009799999999998477,0.016666945052098783
48,PMC seq α=0.001,normal,2004-03-14 14:47,44859,1.983366461199755,171,215,28.7986,29.857,27.8774,0.04899999999999949,0.016666945052098783
48,PMC seq α=0.001,normal,2004-03-20 14:52,62149,0.8833480877612354,13,92,28.7986,29.318,27.9215,0.00980000000000203,0.016666945052098783
48,PMC seq α=0.001,climb,2004-03-24 14:24,73613,11.100185404697788,173,175,28.8868,62.099,28.3478,1.0387999999999984,0.11666861536469147
48,PMC nonseq α=0.001,normal,2004-03-13 15:37,42079,0.14166903294283964,3,16,29.2396,29.4552,28.9456,0.009799999999998477,0.016666945052098783
48,PMC nonseq α=0.001,normal,2004-03-13 17:09,42263,0.0833347252604939,2,10,29.3474,29.4748,29.8766,-0.00980000000000203,0.016666945052098783
48,PMC nonseq α=0.001,normal,2004-03-14 14:47,44859,0.766679472396544,6,79,28.7986,29.4944,27.8774,0.04899999999999949,0.016666945052098783
48,PMC nonseq α=0.001,normal,2004-03-20 14:52,62149,0.8583476701830872,3,89,28.7986,29.318,27.9215,0.00980000000000203,0.016666945052098783
48,PMC nonseq α=0.001,climb,2004-03-24 14:24,73613,11.000183734385196,109,164,28.8868,59.5412,28.3478,1.0387999999999984,0.11666861536469147
48,HMC-IN seq α=0.001,normal,2004-03-13 13:29,41822,4.716745449743955,492,492,26.7308,29.9256,26.231,0.009799999999998477,0.008333472526049391
48,HMC-IN seq α=0.001,normal,2004-03-14 13:37,44719,3.4000567906281516,362,362,26.9464,29.857,25.843899999999998,0.03920000000000101,0.016666945052098783
48,HMC-IN seq α=0.001,normal,2004-03-20 13:52,62028,3.9750663949255594,436,436,26.77,29.318,26.7014,0.009799999999998477,0.008333472526049391
48,HMC-IN seq α=0.001,climb,2004-03-24 12:02,73328,13.475225074621864,202,204,26.9856,62.099,26.721,0.18619999999999948,0.20833681315123476
48,Hampel t=4,normal,2004-03-09 14:37,30439,1.6500275601577794,3,176,20.2334,20.9684,23.046,-0.09800000000000253,0.025000417578148172
48,Hampel t=4,normal,2004-03-11 14:17,36159,0.0,1,1,22.3404,22.3404,21.8504,0.4507999999999974,0.15833597799493843
48,Hampel t=4,normal,2004-03-14 21:57,45719,0.0,1,1,23.9476,23.9476,24.0358,0.0882000000000005,0.016666945052098783
48,Hampel t=4,normal,2004-03-15 12:41,47486,0.0,1,1,18.8908,18.8908,18.9692,-0.0686,0.016666945052098783
48,Hampel t=4,normal,2004-03-15 14:53,47751,0.0,1,1,20.008,20.008,19.645400000000002,-0.07840000000000202,0.008333472526049391
48,Hampel t=4,normal,2004-03-16 15:12,50668,0.0,1,1,20.5372,20.5372,20.4588,-0.04900000000000304,0.008333472526049391
48,Hampel t=4,normal,2004-03-18 15:41,56487,0.0,1,1,21.0566,21.0566,20.8949,0.0,0.008333472526049391
48,Hampel t=4,normal,2004-03-18 16:41,56607,0.0,1,1,21.2232,21.2232,20.988,0.08819999999999695,0.016666945052098783
48,Hampel t=4,normal,2004-03-19 17:32,59589,0.0,1,1,23.1146,23.1146,23.1048,0.009799999999998477,0.008333472526049391
48,Hampel t=4,normal,2004-03-23 06:41,69807,0.7166786372402476,2,80,17.5874,17.999,17.7344,0.215600000000002,0.008333472526049391
48,Hampel t=4,normal,2004-03-23 13:58,70681,0.5250087691411116,2,57,21.8308,22.703,22.0268,0.5977999999999994,0.008333472526049391
48,Hampel t=4,normal,2004-03-23 18:22,71209,0.0,1,1,23.0264,23.0264,21.8259,0.21559999999999846,0.008333472526049391
48,Hampel t=4,normal,2004-03-23 19:30,71345,0.0,1,1,22.1444,22.1444,22.1052,0.20579999999999998,0.008333472526049391
48,Hampel t=4,normal,2004-03-23 22:12,71669,0.0,1,1,21.0468,21.0468,20.8704,0.23520000000000252,0.008333472526049391
48,Hampel t=4,normal,2004-03-23 23:25,71814,0.0,1,1,20.89,20.89,20.6646,0.23519999999999897,0.008333472526049391
48,Hampel t=4,ambiguous,2004-03-24 02:05,72135,0.8750146152351861,3,99,20.4686,20.6646,20.4588,0.0686,0.008333472526049391
48,Hampel t=4,ambiguous,2004-03-24 04:05,72374,4.65841114206161,17,491,20.694,25.0942,20.6744,0.107800000000001,0.008333472526049391
48,Hampel t=4,climb,2004-03-24 16:40,73884,0.0,1,1,31.6602,31.6602,30.347,1.1858000000000004,0.04166736263024695
48,robust z 24 h t=4,normal,2004-03-09 07:29,29583,1.2000200437511124,125,125,18.8026,19.4984,21.8308,-0.04899999999999949,0.008333472526049391
48,robust z 24 h t=4,normal,2004-03-11 13:54,36113,0.7083451647141982,11,11,21.7132,22.3404,23.8986,-1.3034,0.31667195598987685
48,robust z 24 h t=4,normal,2004-03-16 14:17,50558,0.07500125273444452,9,9,22.4482,22.5952,19.7581,0.019600000000000506,0.008333472526049391
48,robust z 24 h t=4,normal,2004-03-16 18:05,51015,1.5416924173191373,170,170,22.6736,24.1828,20.8802,0.490000000000002,0.016666945052098783
48,robust z 24 h t=4,normal,2004-03-23 09:14,70112,4.116735427868399,272,432,20.3608,22.5952,18.3126,0.11759999999999948,0.008333472526049391
48,robust z 24 h t=4,climb,2004-03-24 11:16,73236,14.24190454701841,212,217,26.4564,62.099,26.1722,0.3038000000000025,0.008333472526049391
48,threshold 40 °C,climb,2004-03-24 21:57,74518,3.55839276862309,67,69,40.4802,62.099,39.3973,0.725200000000001,0.12500208789074085
22,PMC seq α=0.001,ambiguous,2004-03-23 06:13,69750,0.0,1,1,34.6394,34.6394,30.298,2.0678000000000054,0.008333472526049391
22,PMC seq α=0.001,ambiguous,2004-03-23 07:24,69893,0.833347252604939,5,88,32.9146,37.9616,36.506299999999996,2.7243999999999957,0.008333472526049391
22,PMC seq α=0.001,ambiguous,2004-03-23 09:33,70151,3.0417174720080276,9,313,32.6794,37.0992,36.1437,1.8325999999999993,0.008333472526049391
22,PMC seq α=0.001,ambiguous,2004-03-23 13:55,70675,0.5916765493495068,2,67,32.65,34.1788,33.0616,1.411200000000001,0.008333472526049391
22,PMC seq α=0.001,climb,2004-03-23 15:43,70891,1.5666928348972855,8,175,33.2184,36.7856,33.1106,1.489600000000003,0.008333472526049391
22,PMC seq α=0.001,climb,2004-03-23 21:39,71602,1.2666878239595074,140,141,50.4762,60.531,47.5754,0.33319999999999794,0.025000417578148172
22,PMC nonseq α=0.001,ambiguous,2004-03-23 06:13,69750,0.0,1,1,34.6394,34.6394,30.298,2.0678000000000054,0.008333472526049391
22,PMC nonseq α=0.001,ambiguous,2004-03-23 07:24,69893,0.833347252604939,5,88,32.9146,37.9616,36.506299999999996,2.7243999999999957,0.008333472526049391
22,PMC nonseq α=0.001,ambiguous,2004-03-23 09:33,70151,3.0417174720080276,8,313,32.6794,37.0992,36.1437,1.8325999999999993,0.008333472526049391
22,PMC nonseq α=0.001,ambiguous,2004-03-23 13:55,70675,0.5916765493495068,2,67,32.65,34.1788,33.0616,1.411200000000001,0.008333472526049391
22,PMC nonseq α=0.001,climb,2004-03-23 15:43,70891,1.5666928348972855,8,175,33.2184,36.7856,33.1106,1.489600000000003,0.008333472526049391
22,PMC nonseq α=0.001,climb,2004-03-23 21:39,71602,1.2666878239595074,137,141,50.4762,60.531,47.5754,0.33319999999999794,0.025000417578148172
22,HMC-IN seq α=0.001,ambiguous,2004-03-23 06:34,69792,2.858381076434941,147,308,32.9146,40.3724,31.8366,0.16660000000000252,0.008333472526049391
22,HMC-IN seq α=0.001,ambiguous,2004-03-23 10:54,70312,0.9666828130217293,8,100,34.0122,37.0992,34.3454,2.018800000000006,0.008333472526049391
22,HMC-IN seq α=0.001,climb,2004-03-23 16:22,70969,6.541775932948772,535,701,33.9828,60.531,33.5222,1.9403999999999968,0.008333472526049391
22,Hampel t=4,normal,2004-03-10 09:02,32649,0.0,1,1,32.2776,32.2776,31.660200000000003,0.14699999999999847,0.008333472526049391
22,Hampel t=4,normal,2004-03-11 11:22,35808,0.0,1,1,32.2286,32.2286,32.846,-0.215600000000002,0.008333472526049391
22,Hampel t=4,normal,2004-03-11 14:14,36153,0.0,1,1,33.1694,33.1694,32.797,0.05880000000000507,0.008333472526049391
22,Hampel t=4,normal,2004-03-12 09:44,38492,0.0,1,1,26.3486,26.3486,26.275100000000002,-0.11759999999999948,0.008333472526049391
22,Hampel t=4,normal,2004-03-14 16:57,45119,0.0,1,1,27.3384,27.3384,27.6716,0.029399999999998983,0.025000417578148172
22,Hampel t=4,normal,2004-03-14 22:22,45768,0.0,1,1,25.6626,25.6626,25.9762,-0.1372,0.008333472526049391
22,Hampel t=4,normal,2004-03-15 09:18,47081,0.0,1,1,32.5226,32.5226,32.027699999999996,0.16659999999999542,0.008333472526049391
22,Hampel t=4,normal,2004-03-16 13:35,50475,1.3500225492200013,3,153,21.4388,22.6344,21.576,1.029,0.3083384834638275
22,Hampel t=4,normal,2004-03-21 20:24,65692,0.025000417578148172,2,2,20.0864,20.0864,20.1746,0.09800000000000253,0.016666945052098783
22,Hampel t=4,normal,2004-03-21 21:38,65841,0.14166903294283964,2,7,19.4592,19.6356,19.6944,0.14699999999999847,0.04166736263024695
22,Hampel t=4,normal,2004-03-21 22:58,66000,0.0,1,1,19.0868,19.0868,19.1358,0.1274000000000015,0.016666945052098783
22,Hampel t=4,normal,2004-03-22 00:14,66152,0.4583409889327165,3,21,18.2538,18.5184,18.533099999999997,0.21559999999999846,0.008333472526049391
22,Hampel t=4,normal,2004-03-22 02:51,66467,4.008400285029757,10,181,17.1562,18.1558,17.901,0.2646000000000015,0.016666945052098783
22,Hampel t=4,normal,2004-03-22 08:44,67173,0.0,1,1,18.2636,18.2636,17.5776,0.32339999999999947,0.016666945052098783
22,Hampel t=4,normal,2004-03-22 13:19,67722,0.0,1,1,22.85,22.85,23.2616,0.20579999999999998,0.008333472526049391
22,Hampel t=4,normal,2004-03-22 14:32,67868,0.7916798899746921,5,41,22.8402,23.2126,22.9921,0.22539999999999694,0.05833430768234574
22,Hampel t=4,normal,2004-03-22 17:15,68194,0.0,1,1,22.9284,22.9284,22.9088,0.25479999999999947,0.04166736263024695
22,Hampel t=4,normal,2004-03-22 20:50,68624,0.6416773845058031,4,31,21.0566,21.5564,21.2918,0.1568000000000005,0.008333472526049391
22,Hampel t=4,climb,2004-03-22 22:46,68856,22.625377908224095,93,2255,21.2428,49.9764,21.1889,0.5683999999999969,0.016666945052098783
22,robust z 24 h t=4,normal,2004-03-09 07:02,29528,2.1833698018249406,228,228,24.6924,32.3952,21.5564,1.342600000000001,0.008333472526049391
22,robust z 24 h t=4,normal,2004-03-11 16:53,36470,7.93346584479902,848,848,21.4976,31.0526,31.9934,-0.33319999999999794,0.008333472526049391
22,robust z 24 h t=4,normal,2004-03-16 13:35,50475,0.033333890104197565,4,5,21.6348,22.6344,21.576,1.029,0.3083384834638275
22,robust z 24 h t=4,normal,2004-03-16 18:06,51016,2.900048439065188,332,332,22.4678,24.4964,21.8112,0.07840000000000202,0.008333472526049391
22,robust z 24 h t=4,ambiguous,2004-03-23 05:41,69687,3.2083869225290154,145,341,30.0432,40.3724,29.0779,1.9404000000000003,0.008333472526049391
22,robust z 24 h t=4,climb,2004-03-23 20:45,71495,2.158369384246792,190,239,45.5076,60.531,42.9792,2.646000000000001,0.008333472526049391
22,threshold 40 °C,ambiguous,2004-03-23 07:05,69854,0.15833597799493843,3,18,37.0894,40.3724,35.3842,2.8811999999999998,0.016666945052098783
22,threshold 40 °C,climb,2004-03-23 19:01,71287,3.8917316696650657,368,423,38.1478,60.531,37.0992,2.0677999999999983,0.008333472526049391
47,PMC seq α=0.001,normal,2004-03-09 13:36,30316,0.15833597799493843,19,19,21.3996,26.2898,20.3804,0.48999999999999844,0.008333472526049391
47,PMC seq α=0.001,normal,2004-03-09 15:07,30499,1.6916949227880262,8,180,21.625,22.8402,21.184,0.2254000000000005,0.008333472526049391
47,PMC seq α=0.001,normal,2004-03-11 17:08,36500,0.016666945052098783,2,2,22.605,22.9088,23.099899999999998,0.2940000000000005,0.008333472526049391
