mote,method,family,K,sequential,alpha,correction,threshold,seconds,gap_nodes,log_lik,quad_error,quad_limit,quad_warnings,quad_error_max_warned,other_warnings,other_warning_kinds,n_obs,n_suspect,n_flag,recall,precision,recall_rise,flag_climb,n_climb,flag_ambig,n_ambig,flag_normal,n_normal,flag_post,precision_ext,recall_ext,fa_per_1000,fa_episodes,fa_episodes_per_day,lead_first_h,lead_24h_h,lead_episode_h
48,PMC seq BH α=0.01,PMC,3.0,True,0.01,bh,0.000833181070710762,413.1873499159992,64.0,78382.87617554044,,,0.0,,1.0,Missing-data pass: a step underflows in linear space,32838,2354,2736,1.0,0.8603801169590644,1.0,104,182,0,850,274,29448,4,0.8983918128654971,0.9692429022082019,9.30453681064928,7,0.4660331793103183,277.6296372053354,11.058518042067542,8.800146987508157
48,PMC seq BH α=0.001,PMC,3.0,True,0.001,bh,7.479140020707718e-05,387.12849858400295,64.0,78931.8405819205,,,0.0,,1.0,Missing-data pass: a step underflows in linear space,32838,2354,2456,1.0,0.9584690553745928,1.0,98,182,0,850,0,29448,4,0.998371335504886,0.9668769716088328,0.0,0,0.0,11.058518042067542,11.058518042067542,6.091768416542105
48,PMC seq α=0.01,PMC,3.0,True,0.01,none,0.01,253.086828917003,64.0,74560.13139352224,,,0.0,,1.0,Missing-data pass: a step underflows in linear space,32838,2354,4887,1.0,0.48168610599549827,1.0,132,182,46,850,2351,29448,4,0.5086965418457131,0.9802839116719243,79.83564248845423,59,3.9279939399012544,380.139682748269,23.9420665673399,11.61686070131285
48,PMC seq α=0.001,PMC,3.0,True,0.001,none,0.001,119.09068387499428,64.0,77507.57168510742,,,0.0,,0.0,,32838,2354,3067,1.0,0.7675252689925008,1.0,104,182,0,850,605,29448,4,0.8014346266710141,0.9692429022082019,20.54468894322195,8,0.5326093477832209,277.6296372053354,11.058518042067542,8.800146987508157
48,PMC seq α=0.0001,PMC,3.0,True,0.0001,none,0.0001,107.20126104098745,64.0,78934.67296148806,,,0.0,,0.0,,32838,2354,2457,1.0,0.958078958078958,1.0,99,182,0,850,0,29448,4,0.9983719983719984,0.9672712933753943,0.0,0,0.0,11.058518042067542,11.058518042067542,6.091768416542105
48,PMC nonseq α=0.01,PMC,3.0,False,0.01,none,0.01,40.444073000003115,64.0,-2717781.024788905,28528.243358331405,0.05,0.0,,0.0,,32838,2354,992,0.26380628717077315,0.626008064516129,0.3,44,182,18,850,309,29448,0,0.6703629032258065,0.2622239747634069,10.493072534637326,59,3.9279939399012544,380.139682748269,21.8836988534057,11.61686070131285
48,PMC nonseq α=0.001,PMC,3.0,False,0.001,none,0.001,40.444073000003115,64.0,-2717781.024788905,28528.243358331405,0.05,0.0,,0.0,,32838,2354,670,0.26380628717077315,0.926865671641791,0.3,37,182,0,850,12,29448,0,0.982089552238806,0.25946372239747634,0.40749796251018744,8,0.5326093477832209,277.6296372053354,11.058518042067542,8.800146987508157
48,PMC nonseq α=0.0001,PMC,3.0,False,0.0001,none,0.0001,40.444073000003115,64.0,-2717781.024788905,28528.243358331405,0.05,0.0,,0.0,,32838,2354,651,0.26380628717077315,0.9539170506912442,0.3,30,182,0,850,0,29448,0,1.0,0.25670347003154576,0.0,0,0.0,11.058518042067542,11.058518042067542,6.091768416542105
48,PMC nonseq BH α=0.01,PMC,3.0,False,0.01,bh,0.0001985504598331202,40.444073000003115,64.0,-2717781.024788905,28528.243358331405,0.05,0.0,,0.0,,32838,2354,652,0.26380628717077315,0.9524539877300614,0.3,31,182,0,850,0,29448,0,1.0,0.25709779179810727,0.0,0,0.0,11.058518042067542,11.058518042067542,6.091768416542105
48,PMC nonseq BH α=0.001,PMC,3.0,False,0.001,bh,1.973323588525489e-05,40.444073000003115,64.0,-2717781.024788905,28528.243358331405,0.05,0.0,,0.0,,32838,2354,648,0.26380628717077315,0.9583333333333334,0.3,27,182,0,850,0,29448,0,1.0,0.2555205047318612,0.0,0,0.0,10.566843163030628,10.566843163030628,6.091768416542105
48,HMC-IN seq BH α=0.01,HMC-IN,3.0,True,0.01,bh,0.0011772945977221515,5.360913249984151,64.0,-40921.756992000046,,,0.0,,0.0,,32838,2354,3866,1.0,0.6088980858768753,1.0,182,182,19,850,1307,29448,4,0.6559751681324366,1.0,44.38331975006792,3,0.19972850541870785,276.03794395286,14.025234261341124,14.025234261341124
48,HMC-IN seq BH α=0.001,HMC-IN,3.0,True,0.001,bh,0.0001069797186186735,6.216872082994087,64.0,-43536.0316032038,,,0.0,,0.0,,32838,2354,3513,1.0,0.6700825505266155,1.0,182,182,6,850,967,29448,4,0.7218901224025049,1.0,32.837544145612604,3,0.19972850541870785,275.3379322606719,12.633544349490876,12.633544349490876
48,HMC-IN seq α=0.01,HMC-IN,3.0,True,0.01,none,0.01,1.903138207999291,64.0,-39350.91543165843,,,0.0,,0.0,,32838,2354,4162,1.0,0.5655934646804421,1.0,182,182,37,850,1585,29448,4,0.6093224411340702,1.0,53.82368921488726,5,0.3328808423645131,327.830475702257,14.825247623841866,14.825247623841866
48,HMC-IN seq α=0.001,HMC-IN,3.0,True,0.001,none,0.001,1.9110817500040866,64.0,-41049.74315455113,,,0.0,,0.0,,32838,2354,3846,1.0,0.6120644825793031,1.0,182,182,16,850,1290,29448,4,0.6593863754550182,1.0,43.80603096984515,3,0.19972850541870785,275.9879431177037,13.433557711991618,13.433557711991618
