mote,kind,K,start,tag,n_obs,loglik,bic,k_params,iters,best_iter,quad_error,quad_limit,quad_warnings,quad_error_max_warned,quad_limit_warned,other_warnings,other_warning_kinds,seconds,best,selected,mean,sd,pi,stay,copulas
48,hmc_in,2,0,kmeans,17657,-29582.54546253524,59223.76425057629,6,7,6,,,0,,,0,,1.3283622090093559,True,False,17.30 / 21.22,0.86 / 1.62,0.36 / 0.64,0.9990 / 0.9994,
48,hmc_in,2,1,perturbed-1,17657,-29582.5510985864,59223.77552267861,6,7,6,,,0,,,0,,1.3598529579903698,False,False,17.30 / 21.22,0.86 / 1.62,0.36 / 0.64,0.9990 / 0.9994,
48,hmc_in,2,2,perturbed-2,17657,-29583.122055897315,59224.91743730044,6,7,6,,,0,,,0,,1.3471273339964682,False,False,17.30 / 21.22,0.86 / 1.62,0.36 / 0.64,0.9990 / 0.9994,
48,hmc_in,3,0,kmeans,17657,-21879.34001580019,43876.02668261201,12,11,10,,,0,,,0,,1.7545349589927355,False,False,17.34 / 20.02 / 22.53,0.89 / 0.47 / 1.36,0.37 / 0.31 / 0.31,0.9990 / 0.9966 / 0.9978,
48,hmc_in,3,1,perturbed-1,17657,-21878.53199233295,43874.41063567754,12,10,9,,,0,,,0,,1.2019972909911303,True,True,17.34 / 20.02 / 22.53,0.89 / 0.47 / 1.36,0.37 / 0.31 / 0.31,0.9990 / 0.9966 / 0.9978,
48,hmc_in,3,2,perturbed-2,17657,-21881.07104111656,43879.488733244754,12,10,9,,,0,,,0,,1.2315957090031588,False,False,17.34 / 20.02 / 22.53,0.89 / 0.47 / 1.36,0.37 / 0.31 / 0.31,0.9990 / 0.9966 / 0.9978,
48,pmc_state,2,0,kmeans,17657,45101.57849707925,-90105.36811831547,10,11,10,0.25036049280097805,0.05,12,14.0,0.05,1,ICE iter 3: log-lik regressed by 8.4251e+02 (streak=1/3).,23.76466375000018,False,False,19.22 / 22.03,2.14 / 1.70,0.80 / 0.20,0.9964 / 0.9859,Gauss(0.996) / Frank(0.983)
48,pmc_state,2,1,family-random-1,17657,45101.793586246866,-90105.7982966507,10,11,10,0.24617844949143372,0.05,11,1.9,0.05,0,,22.52561599999899,True,False,19.22 / 22.03,2.14 / 1.70,0.80 / 0.20,0.9964 / 0.9859,Gauss(0.996) / Frank(0.983)
48,pmc_state,2,2,family-random-2,17657,42822.25610193477,-85546.7233280265,10,10,7,0.1539163056036809,0.05,11,1.1,0.05,3,ICE iter 2: log-lik regressed by 3.3219e+03 (streak=1/3). || ICE iter 4: log-lik regressed by 4.8402e+03 (streak=1/3). || ICE iter 8: log-lik regressed by 1.0880e+01 (streak=1/3).,20.999876542002312,False,False,19.22 / 22.03,2.14 / 1.70,0.80 / 0.20,0.9964 / 0.9859,Gauss(0.996) / Frank(0.983)
48,pmc_state,3,0,kmeans,17657,46163.64338274626,-92131.70901380647,20,13,11,0.37914233363909305,0.05,14,37.0,0.05,1,ICE iter 2: log-lik regressed by 5.2638e+02 (streak=1/3).,44.84425291699881,False,False,19.13 / 21.89 / 22.05,2.03 / 1.76 / 2.01,0.77 / 0.03 / 0.20,0.9988 / 0.9109 / 0.9916,Gauss(0.996) / Frank(0.946) / Gauss(0.989)
48,pmc_state,3,1,family-random-1,17657,44182.437142042734,-88169.29653239941,20,8,4,1.155681211319697,0.05,9,1.6,0.05,4,ICE iter 5: log-lik regressed by 6.2541e+01 (streak=1/3). || ICE iter 6: log-lik regressed by 5.9785e+01 (streak=2/3). || ICE iter 7: log-lik regressed by 6.3266e+01 (streak=3/3). || ICE: 3 consecutive regressions — stopping early at iter 7.,30.192075999992085,False,False,19.13 / 21.89 / 22.05,2.03 / 1.76 / 2.01,0.77 / 0.03 / 0.20,0.9988 / 0.9109 / 0.9916,Gauss(0.996) / Frank(0.946) / Gauss(0.989)
48,pmc_state,3,2,family-random-2,17657,46511.156206101514,-92826.73466051697,20,13,7,0.0840041892728306,0.05,13,72.0,0.05,5,ICE iter 10: log-lik regressed by 8.1409e+00 (streak=1/3). || ICE iter 11: log-lik regressed by 6.6567e+00 (streak=2/3). || ICE iter 12: log-lik regressed by 6.0902e+00 (streak=3/3). || ICE iter 8: log-lik regressed by 1.2575e+01 (streak=1/3). || ICE: 3 consecutive regressions — stopping early at iter 12.,45.31844449999335,True,True,19.13 / 21.89 / 22.05,2.03 / 1.76 / 2.01,0.77 / 0.03 / 0.20,0.9988 / 0.9109 / 0.9916,Gauss(0.996) / Frank(0.946) / Gauss(0.989)
22,hmc_in,2,0,kmeans,17702,-41281.63592121536,82621.9604398699,6,6,5,,,0,,,0,,0.8096196670085192,True,False,19.41 / 28.32,2.04 / 3.44,0.62 / 0.38,0.9995 / 0.9992,
22,hmc_in,2,1,perturbed-1,17702,-41282.617208500866,82623.92301444091,6,5,4,,,0,,,0,,0.7006474170048023,False,False,19.41 / 28.32,2.04 / 3.44,0.62 / 0.38,0.9995 / 0.9992,
22,hmc_in,2,2,perturbed-2,17702,-41282.21321585708,82623.11502915334,6,6,5,,,0,,,0,,0.8051180000038585,False,False,19.41 / 28.32,2.04 / 3.44,0.62 / 0.38,0.9995 / 0.9992,
22,hmc_in,3,0,kmeans,17702,-33780.84161458697,67679.06042405228,12,11,10,,,0,,,0,,1.4016100830049254,True,True,18.20 / 23.49 / 31.79,1.36 / 2.15 / 1.22,0.40 / 0.42 / 0.17,0.9991 / 0.9986 / 0.9986,
22,hmc_in,3,1,perturbed-1,17702,-33781.42196256475,67680.22112000785,12,13,12,,,0,,,0,,1.596611542001483,False,False,18.20 / 23.49 / 31.79,1.36 / 2.15 / 1.22,0.40 / 0.42 / 0.17,0.9991 / 0.9986 / 0.9986,
22,hmc_in,3,2,perturbed-2,17702,-33781.10025261769,67679.57770011372,12,12,11,,,0,,,0,,1.5790495419932995,False,False,18.20 / 23.49 / 31.79,1.36 / 2.15 / 1.22,0.40 / 0.42 / 0.17,0.9991 / 0.9986 / 0.9986,
