mote,kind,K,state,hour,share
48,hmc_in,3,0,0,0.4044834307992203
48,hmc_in,3,0,1,0.5254394079555966
48,hmc_in,3,0,2,0.6219281663516069
48,hmc_in,3,0,3,0.704653371320038
48,hmc_in,3,0,4,0.780209324452902
48,hmc_in,3,0,5,0.8074074074074075
48,hmc_in,3,0,6,0.8120300751879699
48,hmc_in,3,0,7,0.36622390891840606
48,hmc_in,3,0,8,0.30739673390970224
48,hmc_in,3,0,9,0.16809933142311365
48,hmc_in,3,0,10,0.09226467847157502
48,hmc_in,3,0,11,0.05103969754253308
48,hmc_in,3,0,12,0.0
48,hmc_in,3,0,13,0.0
48,hmc_in,3,0,14,0.0
48,hmc_in,3,0,15,0.0
48,hmc_in,3,0,16,0.0
48,hmc_in,3,0,17,0.03773584905660377
48,hmc_in,3,0,18,0.09362934362934362
48,hmc_in,3,0,19,0.10426540284360189
48,hmc_in,3,0,20,0.10285714285714286
48,hmc_in,3,0,21,0.16292134831460675
48,hmc_in,3,0,22,0.3093661305581835
48,hmc_in,3,0,23,0.3109004739336493
48,hmc_in,3,1,0,0.3128654970760234
48,hmc_in,3,1,1,0.3737280296022202
48,hmc_in,3,1,2,0.27599243856332706
48,hmc_in,3,1,3,0.19753086419753085
48,hmc_in,3,1,4,0.1170313986679353
48,hmc_in,3,1,5,0.09351851851851851
48,hmc_in,3,1,6,0.08834586466165413
48,hmc_in,3,1,7,0.19259962049335863
48,hmc_in,3,1,8,0.2219020172910663
48,hmc_in,3,1,9,0.4813753581661891
48,hmc_in,3,1,10,0.5330848089468779
48,hmc_in,3,1,11,0.45746691871455575
48,hmc_in,3,1,12,0.5
48,hmc_in,3,1,13,0.4344569288389513
48,hmc_in,3,1,14,0.3812741312741313
48,hmc_in,3,1,15,0.30118110236220474
48,hmc_in,3,1,16,0.2134387351778656
48,hmc_in,3,1,17,0.211519364448858
48,hmc_in,3,1,18,0.06274131274131274
48,hmc_in,3,1,19,0.17440758293838862
48,hmc_in,3,1,20,0.3038095238095238
48,hmc_in,3,1,21,0.37359550561797755
48,hmc_in,3,1,22,0.39829706717123936
48,hmc_in,3,1,23,0.3971563981042654
48,hmc_in,3,2,0,0.2826510721247563
48,hmc_in,3,2,1,0.10083256244218317
48,hmc_in,3,2,2,0.10207939508506617
48,hmc_in,3,2,3,0.09781576448243115
48,hmc_in,3,2,4,0.1027592768791627
48,hmc_in,3,2,5,0.09907407407407408
48,hmc_in,3,2,6,0.09962406015037593
48,hmc_in,3,2,7,0.4411764705882353
48,hmc_in,3,2,8,0.47070124879923153
48,hmc_in,3,2,9,0.35052531041069723
48,hmc_in,3,2,10,0.3746505125815471
48,hmc_in,3,2,11,0.4914933837429111
48,hmc_in,3,2,12,0.5
48,hmc_in,3,2,13,0.5655430711610487
48,hmc_in,3,2,14,0.6187258687258688
48,hmc_in,3,2,15,0.6988188976377953
48,hmc_in,3,2,16,0.7865612648221344
48,hmc_in,3,2,17,0.7507447864945382
48,hmc_in,3,2,18,0.8436293436293436
48,hmc_in,3,2,19,0.7213270142180095
48,hmc_in,3,2,20,0.5933333333333334
48,hmc_in,3,2,21,0.46348314606741575
48,hmc_in,3,2,22,0.2923368022705771
48,hmc_in,3,2,23,0.2919431279620853
48,pmc_state,3,0,0,0.9941520467836257
48,pmc_state,3,0,1,1.0
48,pmc_state,3,0,2,1.0
48,pmc_state,3,0,3,1.0
48,pmc_state,3,0,4,1.0
48,pmc_state,3,0,5,1.0
48,pmc_state,3,0,6,1.0
48,pmc_state,3,0,7,0.4648956356736243
48,pmc_state,3,0,8,0.4918347742555235
48,pmc_state,3,0,9,0.5396370582617
48,pmc_state,3,0,10,0.5908667287977633
48,pmc_state,3,0,11,0.8034026465028355
48,pmc_state,3,0,12,0.7222222222222222
48,pmc_state,3,0,13,0.7050561797752809
48,pmc_state,3,0,14,0.5096525096525096
48,pmc_state,3,0,15,0.3572834645669291
48,pmc_state,3,0,16,0.33201581027667987
48,pmc_state,3,0,17,0.2333664349553128
48,pmc_state,3,0,18,0.5897683397683398
48,pmc_state,3,0,19,0.9279620853080569
48,pmc_state,3,0,20,1.0
48,pmc_state,3,0,21,1.0
48,pmc_state,3,0,22,1.0
48,pmc_state,3,0,23,0.9990521327014218
48,pmc_state,3,1,0,0.005847953216374269
48,pmc_state,3,1,1,0.0
48,pmc_state,3,1,2,0.0
48,pmc_state,3,1,3,0.0
48,pmc_state,3,1,4,0.0
48,pmc_state,3,1,5,0.0
48,pmc_state,3,1,6,0.0
48,pmc_state,3,1,7,0.11480075901328274
48,pmc_state,3,1,8,0.04130643611911623
48,pmc_state,3,1,9,0.1251193887297039
48,pmc_state,3,1,10,0.07921714818266543
48,pmc_state,3,1,11,0.026465028355387523
48,pmc_state,3,1,12,0.0018832391713747645
48,pmc_state,3,1,13,0.024344569288389514
48,pmc_state,3,1,14,0.029922779922779922
48,pmc_state,3,1,15,0.003937007874015748
48,pmc_state,3,1,16,0.0029644268774703555
48,pmc_state,3,1,17,0.009930486593843098
48,pmc_state,3,1,18,0.10424710424710425
48,pmc_state,3,1,19,0.0
48,pmc_state,3,1,20,0.0
48,pmc_state,3,1,21,0.0
48,pmc_state,3,1,22,0.0
48,pmc_state,3,1,23,0.0009478672985781991
48,pmc_state,3,2,0,0.0
48,pmc_state,3,2,1,0.0
48,pmc_state,3,2,2,0.0
48,pmc_state,3,2,3,0.0
48,pmc_state,3,2,4,0.0
48,pmc_state,3,2,5,0.0
48,pmc_state,3,2,6,0.0
48,pmc_state,3,2,7,0.42030360531309297
48,pmc_state,3,2,8,0.4668587896253602
48,pmc_state,3,2,9,0.335243553008596
48,pmc_state,3,2,10,0.3299161230195713
48,pmc_state,3,2,11,0.17013232514177692
48,pmc_state,3,2,12,0.275894538606403
48,pmc_state,3,2,13,0.2705992509363296
48,pmc_state,3,2,14,0.46042471042471045
48,pmc_state,3,2,15,0.6387795275590551
48,pmc_state,3,2,16,0.6650197628458498
48,pmc_state,3,2,17,0.7567030784508441
48,pmc_state,3,2,18,0.305984555984556
48,pmc_state,3,2,19,0.07203791469194312
48,pmc_state,3,2,20,0.0
48,pmc_state,3,2,21,0.0
48,pmc_state,3,2,22,0.0
48,pmc_state,3,2,23,0.0
22,hmc_in,3,0,0,0.6948051948051948
22,hmc_in,3,0,1,0.8938814531548758
22,hmc_in,3,0,2,0.8948863636363636
22,hmc_in,3,0,3,0.8979779411764706
22,hmc_in,3,0,4,0.8960074280408542
22,hmc_in,3,0,5,0.8968692449355433
22,hmc_in,3,0,6,0.9013953488372093
22,hmc_in,3,0,7,0.33620689655172414
22,hmc_in,3,0,8,0.062325581395348835
22,hmc_in,3,0,9,0.0
22,hmc_in,3,0,10,0.0
22,hmc_in,3,0,11,0.0
22,hmc_in,3,0,12,0.0
22,hmc_in,3,0,13,0.0
22,hmc_in,3,0,14,0.0
22,hmc_in,3,0,15,0.0
22,hmc_in,3,0,16,0.07824427480916031
22,hmc_in,3,0,17,0.10640394088669951
22,hmc_in,3,0,18,0.10506208213944604
22,hmc_in,3,0,19,0.10234741784037558
22,hmc_in,3,0,20,0.1660482374768089
22,hmc_in,3,0,21,0.19274809160305342
22,hmc_in,3,0,22,0.3533210332103321
22,hmc_in,3,0,23,0.5004766444232602
22,hmc_in,3,1,0,0.3051948051948052
22,hmc_in,3,1,1,0.10611854684512428
22,hmc_in,3,1,2,0.10511363636363637
22,hmc_in,3,1,3,0.10202205882352941
22,hmc_in,3,1,4,0.10399257195914577
22,hmc_in,3,1,5,0.10313075506445672
22,hmc_in,3,1,6,0.0986046511627907
22,hmc_in,3,1,7,0.46839080459770116
22,hmc_in,3,1,8,0.4567441860465116
22,hmc_in,3,1,9,0.5057142857142857
22,hmc_in,3,1,10,0.5489078822412156
22,hmc_in,3,1,11,0.6986692015209125
22,hmc_in,3,1,12,0.6915094339622642
22,hmc_in,3,1,13,0.6999050332383666
22,hmc_in,3,1,14,0.7934990439770554
22,hmc_in,3,1,15,0.8028169014084507
22,hmc_in,3,1,16,0.7175572519083969
22,hmc_in,3,1,17,0.6857142857142857
22,hmc_in,3,1,18,0.8844317096466093
22,hmc_in,3,1,19,0.8976525821596244
22,hmc_in,3,1,20,0.8339517625231911
22,hmc_in,3,1,21,0.8072519083969466
22,hmc_in,3,1,22,0.6466789667896679
22,hmc_in,3,1,23,0.49952335557673977
22,hmc_in,3,2,0,0.0
22,hmc_in,3,2,1,0.0
22,hmc_in,3,2,2,0.0
22,hmc_in,3,2,3,0.0
22,hmc_in,3,2,4,0.0
22,hmc_in,3,2,5,0.0
22,hmc_in,3,2,6,0.0
22,hmc_in,3,2,7,0.19540229885057472
22,hmc_in,3,2,8,0.48093023255813955
22,hmc_in,3,2,9,0.4942857142857143
22,hmc_in,3,2,10,0.45109211775878444
22,hmc_in,3,2,11,0.30133079847908745
