model,k,rate,rep,N,n_spikes,method,detect,false_rate,nbr_false,n_masked,err_clean,fits,converged,seconds,mu0,mu1,sd0,sd1,A00,A11,tau00,tau11,prescreen_detect,prescreen_false
hmc_in_gauss_k2,0,0.0,0,2000,0,true_seq,nan,0.0005,0,1,0.07450000000000001,0,True,0.048047457999928156,,,,,,,,,,
hmc_in_gauss_k2,0,0.0,0,2000,0,true_nonseq,nan,0.0005,0,1,nan,0,True,0.04692304200034414,,,,,,,,,,
hmc_in_gauss_k2,0,0.0,0,2000,0,true_raw,nan,0.0,0,0,0.07450000000000001,0,True,0.0,,,,,,,,,,
hmc_in_gauss_k2,0,0.0,0,2000,0,clean,nan,0.0,0,0,0.07499999999999996,1,True,0.03806645800068509,-0.9854533026928367,0.9834429733662021,0.9947163168348382,1.0305108670040486,0.9053606422395285,0.9006837925461041,nan,nan,,
hmc_in_gauss_k2,0,0.0,0,2000,0,raw,nan,0.0,0,0,0.07499999999999996,1,True,0.038034082999729435,-0.9854533026928367,0.9834429733662021,0.9947163168348382,1.0305108670040486,0.9053606422395285,0.9006837925461041,nan,nan,,
hmc_in_gauss_k2,0,0.0,0,2000,0,oracle,nan,0.0,0,0,0.07499999999999996,1,True,0.0384459999986575,-0.9854533026928367,0.9834429733662021,0.9947163168348382,1.0305108670040486,0.9053606422395285,0.9006837925461041,nan,nan,,
hmc_in_gauss_k2,0,0.0,0,2000,0,fm,nan,0.0005,0,1,0.07499999999999996,2,True,0.16240116600056353,-0.9859705617560331,0.9803040660064806,0.9945527393809573,1.0205664104297676,0.9051424068855847,0.9003843316428168,nan,nan,,
hmc_in_gauss_k2,0,0.0,0,2000,0,fm_hampel,nan,0.0005,0,1,0.07499999999999996,2,True,0.1631322920002276,-0.9859705617560331,0.9803040660064806,0.9945527393809573,1.0205664104297676,0.9051424068855847,0.9003843316428168,nan,nan,nan,0.0115
hmc_in_gauss_k2,0,0.0,0,2000,0,fm_warm,nan,0.0005,0,1,0.07499999999999996,2,True,0.15321145899906696,-0.9847971562642528,0.9747877819551666,0.9960012971000289,1.0255011944244206,0.9064649244551143,0.9021895934906442,nan,nan,,
hmc_in_gauss_k2,4,0.01,0,2000,20,true_seq,0.9,0.000505050505050505,0,19,0.07777777777777772,0,True,0.04745374999947671,,,,,,,,,,
hmc_in_gauss_k2,4,0.01,0,2000,20,true_nonseq,0.9,0.000505050505050505,0,19,nan,0,True,0.04709729100068216,,,,,,,,,,
hmc_in_gauss_k2,4,0.01,0,2000,20,true_raw,0.0,0.0,0,0,0.08131313131313134,0,True,0.0,,,,,,,,,,
hmc_in_gauss_k2,4,0.01,0,2000,20,clean,0.0,0.0,0,0,0.0757575757575758,1,True,0.03853875000095286,-0.9854533026928367,0.9834429733662021,0.9947163168348382,1.0305108670040486,0.9053606422395285,0.9006837925461041,nan,nan,,
hmc_in_gauss_k2,4,0.01,0,2000,20,raw,0.0,0.0,0,0,0.09444444444444444,1,True,0.06778966599995329,-0.9928950997173194,0.9591061171683959,1.000319921395569,1.2942723485484848,0.9097670845777291,0.9183239705769364,nan,nan,,
hmc_in_gauss_k2,4,0.01,0,2000,20,oracle,1.0,0.0,0,20,0.07676767676767682,1,True,0.03802120799991826,-0.9867379238107232,0.9776213009757377,0.994994095427871,1.0305194339087536,0.9048442794108719,0.9011283052582664,nan,nan,,
hmc_in_gauss_k2,4,0.01,0,2000,20,fm,0.9,0.000505050505050505,0,19,0.07676767676767682,3,True,0.278548292000778,-0.988934970735504,0.9780103196890636,0.9939124581995211,1.0240972171288616,0.9031275272582271,0.8997666273144543,nan,nan,,
hmc_in_gauss_k2,4,0.01,0,2000,20,fm_hampel,0.9,0.000505050505050505,0,19,0.07676767676767682,3,True,0.2580757920004544,-0.988934970735504,0.9780103196890636,0.9939124581995211,1.0240972171288616,0.9031275272582271,0.8997666273144543,nan,nan,0.5,0.010101010101010102
hmc_in_gauss_k2,4,0.01,0,2000,20,fm_warm,0.9,0.000505050505050505,0,19,0.07727272727272727,4,True,0.35591645800013794,-0.9944846962950981,0.9496688125264268,0.9956757760519888,1.0431499970407814,0.9074669854851528,0.9075295100805195,nan,nan,,
hmc_in_gauss_k2,6,0.01,0,2000,20,true_seq,1.0,0.000505050505050505,0,21,0.07424242424242422,0,True,0.048062625000966364,,,,,,,,,,
hmc_in_gauss_k2,6,0.01,0,2000,20,true_nonseq,1.0,0.000505050505050505,0,21,nan,0,True,0.04681512499882956,,,,,,,,,,
hmc_in_gauss_k2,6,0.01,0,2000,20,true_raw,0.0,0.0,0,0,0.07979797979797976,0,True,0.0,,,,,,,,,,
hmc_in_gauss_k2,6,0.01,0,2000,20,clean,0.0,0.0,0,0,0.07525252525252524,1,True,0.038132333000248764,-0.9854533026928367,0.9834429733662021,0.9947163168348382,1.0305108670040486,0.9053606422395285,0.9006837925461041,nan,nan,,
hmc_in_gauss_k2,6,0.01,0,2000,20,raw,0.0,0.0,0,0,0.09191919191919196,1,True,0.05778374999863445,-0.9647502355679092,0.9941100429645637,1.0024830048414795,1.5664605292090839,0.905346672766568,0.9137055734758226,nan,nan,,
hmc_in_gauss_k2,6,0.01,0,2000,20,oracle,1.0,0.0,0,20,0.07525252525252524,1,True,0.03809358299986343,-0.9903019349362356,0.9826676759097452,0.993521994806325,1.0322512163538489,0.9051428327315868,0.9005174041672913,nan,nan,,
hmc_in_gauss_k2,6,0.01,0,2000,20,fm,1.0,0.000505050505050505,0,21,0.07474747474747478,3,True,0.25830395899902214,-0.9908417299664328,0.9794700666382292,0.9933403809144798,1.022268776964527,0.9049226473197257,0.9002198800387534,nan,nan,,
hmc_in_gauss_k2,6,0.01,0,2000,20,fm_hampel,1.0,0.000505050505050505,0,21,0.07474747474747478,2,True,0.16381154100054118,-0.9908417299664328,0.9794700666382292,0.9933403809144798,1.022268776964527,0.9049226473197257,0.9002198800387534,nan,nan,0.95,0.012121212121212121
hmc_in_gauss_k2,6,0.01,0,2000,20,fm_warm,1.0,0.000505050505050505,0,21,0.07373737373737377,3,True,0.2790301660006662,-0.9886065948905738,0.958937645932658,0.9987561715576176,1.038245633033305,0.9104343009238133,0.9076974987005934,nan,nan,,
hmc_in_gauss_k2,8,0.01,0,2000,20,true_seq,1.0,0.000505050505050505,0,21,0.07474747474747478,0,True,0.04766495799958648,,,,,,,,,,
hmc_in_gauss_k2,8,0.01,0,2000,20,true_nonseq,1.0,0.000505050505050505,0,21,nan,0,True,0.04636562499945285,,,,,,,,,,
hmc_in_gauss_k2,8,0.01,0,2000,20,true_raw,0.0,0.0,0,0,0.07676767676767682,0,True,0.0,,,,,,,,,,
hmc_in_gauss_k2,8,0.01,0,2000,20,clean,0.0,0.0,0,0,0.07525252525252524,1,True,0.03834774999995716,-0.9854533026928367,0.9834429733662021,0.9947163168348382,1.0305108670040486,0.9053606422395285,0.9006837925461041,nan,nan,,
hmc_in_gauss_k2,8,0.01,0,2000,20,raw,0.0,0.0,0,0,0.10151515151515156,1,True,0.07668083399948955,-0.856540239058275,1.0616051583296704,1.0379767196938143,1.9125218136911228,0.9200992284249208,0.9176621234496193,nan,nan,,
hmc_in_gauss_k2,8,0.01,0,2000,20,oracle,1.0,0.0,0,20,0.07525252525252524,1,True,0.03844945899982122,-0.9818170343217644,0.9781332863998633,0.9927875124048787,1.029980194962148,0.9058767343802138,0.9014307857602248,nan,nan,,
hmc_in_gauss_k2,8,0.01,0,2000,20,fm,1.0,0.000505050505050505,0,21,0.07525252525252524,3,True,0.2758123750008963,-0.9823333590898541,0.9749688957690115,0.9926284473165299,1.0199059605137213,0.9056561864843088,0.9011267576254998,nan,nan,,
hmc_in_gauss_k2,8,0.01,0,2000,20,fm_hampel,1.0,0.000505050505050505,0,21,0.07525252525252524,2,True,0.17155287499917904,-0.9823333590898541,0.9749688957690115,0.9926284473165299,1.0199059605137213,0.9056561864843088,0.9011267576254998,nan,nan,0.95,0.010606060606060607
