study,variant,method,h,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
aotizhongxin,clean,hmc_in_K3|raw+gate,1,90,0.59089,0.34916,0.47476,0.3336,0.33132,0.41111,0.75556,0.92222,2.3653
aotizhongxin,clean,hmc_in_K3|raw+gate,2,89,0.70979,0.5038,0.57228,0.40346,0.40271,0.33708,0.73034,0.91011,2.6592
aotizhongxin,clean,hmc_in_K3|raw+gate,3,89,0.80045,0.64072,0.64523,0.44899,0.45262,0.39326,0.69663,0.86517,2.8288
aotizhongxin,clean,hmc_in_K3|raw+gate,4,90,0.90209,0.81376,0.7444,0.51221,0.51762,0.34444,0.63333,0.86667,2.9593
aotizhongxin,clean,hmc_in_K3|raw+gate,5,88,1.0342,1.0695,0.85981,0.59186,0.60057,0.26136,0.625,0.81818,3.0925
aotizhongxin,clean,hmc_in_K3|raw+gate,6,90,1.0873,1.1822,0.90403,0.62389,0.63388,0.26667,0.61111,0.8,3.1819
aotizhongxin,clean,hmc_in_K3|raw+gate,7,91,1.1131,1.2391,0.95672,0.64984,0.66118,0.27473,0.57143,0.84615,3.2954
aotizhongxin,clean,hmc_in_K3|raw+gate,8,90,1.1536,1.3308,0.97872,0.67175,0.68322,0.27778,0.56667,0.84444,3.3907
aotizhongxin,clean,hmc_in_K3|raw+gate,9,90,1.1419,1.304,0.9866,0.65993,0.67558,0.27778,0.55556,0.87778,3.4611
aotizhongxin,clean,hmc_in_K3|raw+gate,10,89,1.1498,1.3219,1.0036,0.6672,0.68266,0.23596,0.59551,0.88764,3.5141
aotizhongxin,clean,hmc_in_K3|raw+gate,11,90,1.1152,1.2437,0.93635,0.63705,0.65078,0.35556,0.57778,0.87778,3.558
aotizhongxin,clean,hmc_in_K3|raw+gate,12,90,1.1148,1.2427,0.93396,0.63182,0.64324,0.34444,0.64444,0.88889,3.593
aotizhongxin,clean,hmc_in_K3|raw+gate,13,91,1.037,1.0753,0.87329,0.59038,0.59987,0.37363,0.71429,0.9011,3.6206
aotizhongxin,clean,hmc_in_K3|raw+gate,14,90,1.0612,1.1263,0.8788,0.60653,0.6112,0.4,0.73333,0.88889,3.6462
aotizhongxin,clean,hmc_in_K3|raw+gate,15,91,1.0349,1.071,0.87903,0.59432,0.59881,0.3956,0.75824,0.9011,3.6656
aotizhongxin,clean,hmc_in_K3|raw+gate,16,91,1.0706,1.1462,0.89454,0.61293,0.61583,0.41758,0.75824,0.9011,3.6833
aotizhongxin,clean,hmc_in_K3|raw+gate,17,90,1.0312,1.0634,0.85112,0.59251,0.59042,0.44444,0.77778,0.88889,3.6996
aotizhongxin,clean,hmc_in_K3|raw+gate,18,90,1.0434,1.0888,0.86823,0.60153,0.60103,0.41111,0.75556,0.92222,3.7138
aotizhongxin,clean,hmc_in_K3|raw+gate,19,90,1.0675,1.1396,0.89988,0.62155,0.62173,0.4,0.73333,0.93333,3.7223
aotizhongxin,clean,hmc_in_K3|raw+gate,20,91,1.1174,1.2485,0.95129,0.65318,0.65351,0.35165,0.71429,0.91209,3.7334
aotizhongxin,clean,hmc_in_K3|raw+gate,21,90,1.0495,1.1014,0.90885,0.61804,0.61578,0.38889,0.72222,0.96667,3.744
aotizhongxin,clean,hmc_in_K3|raw+gate,22,89,1.1719,1.3733,0.98893,0.68944,0.68562,0.33708,0.75281,0.89888,3.7533
aotizhongxin,clean,hmc_in_K3|raw+gate,23,88,1.1583,1.3416,0.99604,0.68324,0.6827,0.38636,0.71591,0.90909,3.7592
aotizhongxin,clean,hmc_in_K3|raw+gate,24,90,1.2068,1.4563,1.0212,0.70739,0.70704,0.37778,0.72222,0.88889,3.7645
aotizhongxin,clean,hmc_in_K3|raw,1,90,0.59089,0.34916,0.47476,0.3336,0.33132,0.41111,0.75556,0.92222,2.3653
aotizhongxin,clean,hmc_in_K3|raw,2,89,0.70979,0.5038,0.57228,0.40346,0.40271,0.33708,0.73034,0.91011,2.6592
aotizhongxin,clean,hmc_in_K3|raw,3,89,0.80045,0.64072,0.64523,0.44899,0.45262,0.39326,0.69663,0.86517,2.8288
aotizhongxin,clean,hmc_in_K3|raw,4,90,0.90209,0.81376,0.7444,0.51221,0.51762,0.34444,0.63333,0.86667,2.9593
aotizhongxin,clean,hmc_in_K3|raw,5,88,1.0342,1.0695,0.85981,0.59186,0.60057,0.26136,0.625,0.81818,3.0925
aotizhongxin,clean,hmc_in_K3|raw,6,90,1.0873,1.1822,0.90403,0.62389,0.63388,0.26667,0.61111,0.8,3.1819
aotizhongxin,clean,hmc_in_K3|raw,7,91,1.1131,1.2391,0.95672,0.64984,0.66118,0.27473,0.57143,0.84615,3.2954
aotizhongxin,clean,hmc_in_K3|raw,8,90,1.1536,1.3308,0.97872,0.67175,0.68322,0.27778,0.56667,0.84444,3.3907
aotizhongxin,clean,hmc_in_K3|raw,9,90,1.1419,1.304,0.9866,0.65993,0.67558,0.27778,0.55556,0.87778,3.4611
aotizhongxin,clean,hmc_in_K3|raw,10,89,1.1498,1.3219,1.0036,0.6672,0.68266,0.23596,0.59551,0.88764,3.5141
aotizhongxin,clean,hmc_in_K3|raw,11,90,1.1152,1.2437,0.93635,0.63705,0.65078,0.35556,0.57778,0.87778,3.558
aotizhongxin,clean,hmc_in_K3|raw,12,90,1.1148,1.2427,0.93396,0.63182,0.64324,0.34444,0.64444,0.88889,3.593
aotizhongxin,clean,hmc_in_K3|raw,13,91,1.037,1.0753,0.87329,0.59038,0.59987,0.37363,0.71429,0.9011,3.6206
aotizhongxin,clean,hmc_in_K3|raw,14,90,1.0612,1.1263,0.8788,0.60653,0.6112,0.4,0.73333,0.88889,3.6462
aotizhongxin,clean,hmc_in_K3|raw,15,91,1.0349,1.071,0.87903,0.59432,0.59881,0.3956,0.75824,0.9011,3.6656
aotizhongxin,clean,hmc_in_K3|raw,16,91,1.0706,1.1462,0.89454,0.61293,0.61583,0.41758,0.75824,0.9011,3.6833
aotizhongxin,clean,hmc_in_K3|raw,17,90,1.0312,1.0634,0.85112,0.59251,0.59042,0.44444,0.77778,0.88889,3.6996
aotizhongxin,clean,hmc_in_K3|raw,18,90,1.0434,1.0888,0.86823,0.60153,0.60103,0.41111,0.75556,0.92222,3.7138
aotizhongxin,clean,hmc_in_K3|raw,19,90,1.0675,1.1396,0.89988,0.62155,0.62173,0.4,0.73333,0.93333,3.7223
aotizhongxin,clean,hmc_in_K3|raw,20,91,1.1174,1.2485,0.95129,0.65318,0.65351,0.35165,0.71429,0.91209,3.7334
