tuple,h,n_origins,theory_pmm,theory_ar1map,one_minus_c2h,emp_pmm,se_pmm,emp_pmc_ar1map,se_pmc_ar1map,mean_pmm_pred_var
d_eq_bc,1,975,0.51,0.51,0.51,0.4999454477065135,0.022921046790127974,0.49994544999441565,0.022921046747259904,0.5099999999999999
d_eq_bc,2,975,0.7599000000000001,0.7599000000000001,0.7599,0.7531800015851826,0.034953799418685434,0.7531800040393577,0.034953799550409816,0.7599000000000001
d_eq_bc,3,975,0.8823510000000003,0.8823510000000001,0.882351,0.9184276555361516,0.04176811009156507,0.9184276503684483,0.0417681097571679,0.8823509999999999
d_eq_bc,4,975,0.9423519900000004,0.94235199,0.94235199,0.9334874100622659,0.042802046065339425,0.9334874109946507,0.04280204623720466,0.9423519900000005
d_eq_bc,5,975,0.9717524751000004,0.9717524751,0.9717524751000001,0.9575826274062837,0.04164604585937603,0.957582633193726,0.04164604589475453,0.9717524751000005
d_eq_bc,6,975,0.9861587127990004,0.986158712799,0.986158712799,0.9844049382544048,0.0468581756622073,0.9844049471148554,0.046858176593887704,0.9861587127989999
d_eq_bc,7,975,0.9932177692715104,0.9932177692715101,0.99321776927151,1.0005347407183578,0.045475233118369214,1.0005347451467492,0.045475233874102954,0.9932177692715101
d_eq_bc,8,975,0.9966767069430402,0.9966767069430399,0.9966767069430399,1.0089155818471762,0.04490982013682796,1.0089155812398147,0.04490982020680945,0.9966767069430401
d_eq_bc,9,975,0.9983715864020899,0.9983715864020896,0.9983715864020896,1.0568165738932647,0.0500049409006259,1.0568165743774143,0.050004940998700634,0.9983715864020901
d_eq_bc,10,975,0.9992020773370243,0.9992020773370238,0.9992020773370239,1.0250728332592927,0.045352142265399846,1.0250728336627875,0.04535214226674895,0.9992020773370244
e_eq_bc,1,975,0.5099999999999999,0.51,0.51,0.4908001150626795,0.021379092592334125,0.490800112831405,0.021379092687625976,0.5099999999999999
e_eq_bc,2,975,0.7598999999999999,0.7599000000000002,0.7599,0.761896842061049,0.03361991071694068,0.761896838352892,0.03361991056659043,0.7598999999999999
e_eq_bc,3,975,0.8823509999999999,0.8823510000000002,0.882351,0.9245662694358486,0.043281660866839995,0.9245662711477988,0.043281661011476735,0.8823509999999999
e_eq_bc,4,975,0.9423519899999999,0.9423519900000001,0.94235199,0.9250360677946554,0.040642610790058875,0.9250360716915348,0.040642611012803365,0.9423519900000001
e_eq_bc,5,975,0.9717524750999998,0.9717524751000001,0.9717524751000001,0.9860243802099522,0.04341892697943077,0.9860243862412514,0.043418927232488955,0.9717524751000002
e_eq_bc,6,975,0.9861587127989999,0.986158712799,0.986158712799,0.9649472345184086,0.043735126768413096,0.9649472419245014,0.043735127286558546,0.9861587127989999
e_eq_bc,7,975,0.99321776927151,0.9932177692715101,0.99321776927151,1.00538060172123,0.04428667248942189,1.005380607107214,0.04428667269846373,0.9932177692715098
e_eq_bc,8,975,0.9966767069430399,0.9966767069430399,0.9966767069430399,0.9596487222402048,0.044530009182163134,0.9596487248107981,0.044530009173511874,0.9966767069430399
e_eq_bc,9,975,0.9983715864020896,0.9983715864020896,0.9983715864020896,0.9483023969404651,0.04120256458449572,0.9483023962923666,0.04120256450582837,0.9983715864020896
e_eq_bc,10,975,0.9992020773370239,0.9992020773370238,0.9992020773370239,0.9610369491294651,0.04660793734374931,0.9610369495929487,0.046607937279184164,0.9992020773370242
generic,1,975,0.49846901698088847,0.51,0.51,0.47585498900421924,0.021960835629926647,0.4924892504152401,0.02243015357960108,0.4984690169808886
generic,2,975,0.6799600936075959,0.7011000000000003,0.7599,0.664305672554492,0.027377053462867257,0.6853363250011402,0.02797969413894927,0.6799600936075959
generic,3,975,0.7724984418828289,0.8027750000000002,0.882351,0.73226757709435,0.032463459537517336,0.7675829847005758,0.03359907641402025,0.772498441882829
generic,4,975,0.8309153457531635,0.8685612566666668,0.94235199,0.7927446811761825,0.033840182985294724,0.843906780628174,0.03641726714597808,0.8309153457531638
generic,5,975,0.8720331414788616,0.9133462826555556,0.9717524751000001,0.9240952710955527,0.04154781097624755,0.9864985337274452,0.043943666804531496,0.8720331414788618
