case,family,fit,seconds,n_iter,gap_nodes,quad_check,quad_check_64,quad_check_tail,quad_ratio,quad_ratio_64,max_diag_tau,lead_gap_fit,lead_gap_cond,min_pi,min_margin_sd,degenerate,pi_sorted,mean_sorted,sd_sorted,stay_sorted,copulas,quad_error_obs,quad_limit_obs,gate_train_n_flag,gate_train_detect,gate_train_false_per_1000,gate_test_n_flag,gate_test_detect,gate_test_false_per_1000,lead_gap_gated,quad_error_gated,quad_limit_gated,ll_train,forecast,n_fits,converged,mask_n_flag,mask_detect,mask_false_per_1000,prescreen_n_flag,prescreen_detect,prescreen_false_per_1000,mu,phi,sigma2,loglik
aotizhongxin__clean,hmc_in_K3,raw,3.88655,22,64,0,0,0,0,0,,0,0,0.280722,0.345495,False,0.2807|0.4127|0.3065,2.6204|4.0961|5.0749,0.6511|0.3593|0.3455,0.9488|0.9379|0.9590,,,,5,,0.762195,14,,6.47249,0,,,-4691.64,True,,,,,,,,,,,,
aotizhongxin__clean,hmc_in_K3,robust,8.80348,22,64,0,0,0,0,0,,0,0,0.280808,0.337801,False,0.2808|0.4141|0.3051,2.6218|4.0980|5.0730,0.6505|0.3595|0.3378,0.9493|0.9377|0.9593,,,,8,,1.21951,19,,8.7841,0,,,,True,4,True,8,,1.21951,,,,,,,
mote20__clean,hmc_in_K3,raw,0.00444888,,64,0,0,0,0,0,,1,1,0.272764,0.913785,False,0.3781|0.2728|0.3492,17.9880|21.3331|25.0975,1.0318|0.9138|1.3611,0.9990|0.9974|0.9990,,,,107,,5.88203,2,,0.320718,1,,,-27687,True,,,,,,,,,,,,
mote20__clean,hmc_in_K3,robust,13.3778,3,64,0,0,0,0,0,,1,1,0.284121,0.953485,False,0.3776|0.2841|0.3383,17.9859|21.3913|25.0284,1.0306|0.9535|1.0776,0.9990|0.9975|0.9990,,,,164,,9.01545,92,,14.753,1,,,,True,5,True,164,,9.01545,,,,,,,
tsnh4__clean,hmc_in_K3,raw,0.523897,16,64,0,0,0,0,0,,0,0,0.247436,0.235829,False,0.2474|0.3265|0.4260,0.9373|2.1681|2.9666,0.5256|0.2358|0.2833,0.9846|0.9686|0.9849,,,,1,,0.292912,0,,0,0,,,-1111.59,True,,,,,,,,,,,,
tsnh4__clean,hmc_in_K3,robust,1.61391,16,64,0,0,0,0,0,,0,0,0.246971,0.235865,False,0.2470|0.3266|0.4264,0.9371|2.1675|2.9662,0.5256|0.2359|0.2835,0.9859|0.9696|0.9849,,,,1,,0.292912,0,,0,0,,,,True,2,True,1,,0.292912,,,,,,,
aotizhongxin__spikes_r0.01_k6_s0,hmc_in_K3,raw,0.606242,10,64,0,0,0,0,0,,0,0,0.0108222,0.522253,False,0.3917|0.5975|0.0108,2.9373|4.6638|10.6652,0.7521|0.5223|0.9800,0.9565|0.9649|0.0000,,,,1,0,0.154107,0,0,0,0,,,-7004.92,True,,,,,,,,,,,,
aotizhongxin__spikes_r0.01_k6_s0,hmc_in_K3,robust,1.90543,10,64,0,0,0,0,0,,0,0,0.0108236,0.521955,False,0.3921|0.5971|0.0108,2.9393|4.6645|10.6652,0.7518|0.5220|0.9800,0.9570|0.9651|0.0000,,,,1,0,0.154107,0,0,0,0,,,,True,2,True,1,0,0.154107,,,,,,,
aotizhongxin__spikes_r0.01_k6_s0,hmc_in_K3,hampel,9.30336,22,64,0,0,0,0,0,,0,0,0.281267,0.338258,False,0.2813|0.4141|0.3047,2.6225|4.0997|5.0745,0.6515|0.3598|0.3383,0.9493|0.9377|0.9594,,,,79,1,1.23286,35,1,8.3877,0,,,,True,4,True,79,1,1.23286,109,0.943662,6.47249,,,,
mote20__raw,hmc_in_K3,raw,4.29765,11,64,0,0,0,0,0,,1,1,0.217758,0.712719,False,0.4424|0.2178|0.3398,18.2754|21.7600|25.1513,1.6389|0.7127|1.3370,0.9989|0.9967|0.9988,,,,112,1,5.99197,4,,0.641437,1,,,-30317.2,True,,,,,,,,,,,,
mote20__raw,hmc_in_K3,robust,11.3009,3,64,0,0,0,0,0,,1,1,0.284121,0.953485,False,0.3776|0.2841|0.3383,17.9859|21.3913|25.0284,1.0306|0.9535|1.0776,0.9990|0.9975|0.9990,,,,167,1,9.01545,92,,14.753,1,,,,True,5,True,167,1,9.01545,,,,,,,
mote20__raw,hmc_in_K3,hampel,10.9516,3,64,0,0,0,0,0,,1,1,0.284121,0.953485,False,0.3776|0.2841|0.3383,17.9859|21.3913|25.0284,1.0306|0.9535|1.0776,0.9990|0.9975|0.9990,,,,167,1,9.01545,92,,14.753,1,,,,True,5,True,167,1,9.01545,116,1,6.21186,,,,
aotizhongxin__spikes_r0.01_k6_s1,hmc_in_K3,raw,0.669537,10,64,0,0,0,0,0,,0,0,0.00975974,0.51168,False,0.4059|0.5843|0.0098,2.9756|4.6840|10.3087,0.7576|0.5117|1.2393,0.9545|0.9678|0.0000,,,,1,0,0.153941,0,0,0,0,,,-6961.69,True,,,,,,,,,,,,
aotizhongxin__spikes_r0.01_k6_s1,hmc_in_K3,robust,2.2708,10,64,0,0,0,0,0,,0,0,0.00976046,0.511573,False,0.4060|0.5842|0.0098,2.9768|4.6843|10.3088,0.7571|0.5116|1.2392,0.9549|0.9681|0.0000,,,,1,0,0.153941,0,0,0,0,,,,True,2,True,1,0,0.153941,,,,,,,
aotizhongxin__spikes_r0.01_k6_s1,hmc_in_K3,hampel,6.63059,22,64,0,0,0,0,0,,0,0,0.281088,0.339131,False,0.2811|0.4131|0.3058,2.6260|4.0976|5.0715,0.6499|0.3590|0.3391,0.9492|0.9373|0.9593,,,,72,1,1.23153,42,1,8.41515,0,,,,True,4,True,72,1,1.23153,109,0.953125,7.38916,,,,
aotizhongxin__spikes_r0.01_k6_s2,hmc_in_K3,raw,0.707911,12,64,0,0,0,0,0,,0,0,0.0092968,0.513183,False,0.4047|0.5860|0.0093,2.9673|4.6820|10.5374,0.7594|0.5132|0.9804,0.9554|0.9678|0.0000,,,,4,0.0491803,0.15387,4,0.148148,0,0,,,-6944.62,True,,,,,,,,,,,,
aotizhongxin__spikes_r0.01_k6_s2,hmc_in_K3,robust,7.09366,12,64,0,0,0,0,0,,0,0,0.00762432,0.511597,False,0.4072|0.5852|0.0076,2.9741|4.6854|10.2453,0.7603|0.5116|0.8282,0.9559|0.9711|0.0000,,,,12,0.180328,0.15387,10,0.37037,0,0,,,,True,7,True,12,0.180328,0.15387,,,,,,,
aotizhongxin__spikes_r0.01_k6_s2,hmc_in_K3,hampel,7.77131,22,64,0,0,0,0,0,,0,0,0.2803,0.337689,False,0.2803|0.4139|0.3058,2.6193|4.0958|5.0720,0.6513|0.3603|0.3377,0.9493|0.9376|0.9593,,,,69,1,1.23096,45,1,8.42697,0,,,,True,3,True,69,1,1.23096,111,1,7.69349,,,,
aotizhongxin__spikes_r0.05_k6_s0,hmc_in_K3,raw,0.444236,7,64,0,0,0,0,0,,0,0,0.0490789,0.532218,False,0.3598|0.5911|0.0491,2.8982|4.6393|10.5367,0.7445|0.5322|1.0639,0.9174|0.9309|0.0000,,,,1,0,0.160308,0,0,0,0,,,-8087.34,True,,,,,,,,,,,,
aotizhongxin__spikes_r0.05_k6_s0,hmc_in_K3,robust,2.12204,7,64,0,0,0,0,0,,0,0,0.0490791,0.532196,False,0.3597|0.5912|0.0491,2.8991|4.6394|10.5367,0.7439|0.5322|1.0639,0.9179|0.9310|0.0000,,,,1,0,0.160308,0,0,0,0,,,,True,2,True,1,0,0.160308,,,,,,,
aotizhongxin__spikes_r0.05_k6_s0,hmc_in_K3,hampel,8.42264,23,64,0,0,0,0,0,,0,0,0.281395,0.337361,False,0.2814|0.4136|0.3050,2.6249|4.0991|5.0712,0.6563|0.3599|0.3374,0.9500|0.9384|0.9596,,,,329,1,1.12215,136,1,9.7704,0,,,,True,4,True,329,1,1.12215,349,0.965839,6.0917,,,,
aotizhongxin__spikes_r0.05_k6_s1,hmc_in_K3,raw,0.641606,9,64,0,0,0,0,0,,0,0,0.0514953,0.522991,False,0.3768|0.5717|0.0515,2.9395|4.6674|10.5244,0.7525|0.5230|1.0119,0.9200|0.9245|0.0000,,,,0,0,0,0,0,0,0,,,-8127.56,True,,,,,,,,,,,,
aotizhongxin__spikes_r0.05_k6_s1,hmc_in_K3,robust,1.04363,9,64,0,0,0,0,0,,0,0,0.0514953,0.522991,False,0.3768|0.5717|0.0515,2.9395|4.6674|10.5244,0.7525|0.5230|1.0119,0.9200|0.9245|0.0000,,,,0,0,0,0,0,0,0,,,,True,1,True,0,0,0,,,,,,,
aotizhongxin__spikes_r0.05_k6_s1,hmc_in_K3,hampel,7.82178,20,64,0,0,0,0,0,,0,0,0.277706,0.340665,False,0.2777|0.4159|0.3064,2.6078|4.0894|5.0715,0.6455|0.3629|0.3407,0.9495|0.9388|0.9600,,,,344,1,0.96432,117,1,8.24043,0,,,,True,4,True,344,1,0.96432,358,0.967456,4.98232,,,,
aotizhongxin__spikes_r0.05_k6_s2,hmc_in_K3,raw,0.772076,8,64,0,0,0,0,0,,0,0,0.0525812,0.527704,False,0.3683|0.5791|0.0526,2.9215|4.6531|10.5458,0.7492|0.5277|1.0447,0.9135|0.9237|0.0000,,,,1,0,0.160901,0,0,0,0,,,-8199.87,True,,,,,,,,,,,,
aotizhongxin__spikes_r0.05_k6_s2,hmc_in_K3,robust,2.18954,8,64,0,0,0,0,0,,0,0,0.0525871,0.527664,False,0.3683|0.5791|0.0526,2.9227|4.6533|10.5458,0.7487|0.5277|1.0447,0.9140|0.9241|0.0000,,,,1,0,0.160901,0,0,0,0,,,,True,2,True,1,0,0.160901,,,,,,,
aotizhongxin__spikes_r0.05_k6_s2,hmc_in_K3,hampel,9.28039,23,64,0,0,0,0,0,,0,0,0.282304,0.337459,False,0.2823|0.4144|0.3033,2.6252|4.1019|5.0756,0.6512|0.3605|0.3375,0.9499|0.9391|0.9600,,,,352,1,1.12631,110,1,8.21256,0,,,,True,5,True,352,1,1.12631,373,0.956522,6.91874,,,,
fix_hmc_in_gauss_k2__r0.00_k6_rep0,hmc_in_K2,true,,,64,0,0,0,0,0,,0,0,0.5,1,False,0.5000|0.5000,-1.0000|1.0000,1.0000|1.0000,0.9000|0.9000,,,,0,,0,2,,2,0,,,,,,,,,,,,,,,,
