study,method,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
aotizhongxin,hmc_in_K3|raw+gate,2157,1.05035,1.10323,0.875439,0.600175,0.605026,0.352805,0.684284,0.888271,3.4344
aotizhongxin,hmc_in_K3|raw,2157,1.05035,1.10323,0.875439,0.600175,0.605026,0.352805,0.684284,0.888271,3.4344
aotizhongxin,hmc_in_K3|robust+gate,2157,1.05029,1.10311,0.874939,0.600698,0.605501,0.351414,0.680111,0.885025,3.40336
aotizhongxin,hmc_in_K3|robust,2157,1.05029,1.10311,0.874939,0.600698,0.605501,0.351414,0.680111,0.885025,3.40336
mote20,hmc_in_K3|raw+gate,2508,1.359,1.84689,1.07617,0.75918,0.756007,0.438995,0.776715,0.933413,5.16068
mote20,hmc_in_K3|raw,2508,1.359,1.84689,1.07617,0.75918,0.756007,0.438995,0.776715,0.933413,5.16068
mote20,hmc_in_K3|robust+gate,2508,1.37727,1.89688,1.0821,0.777777,0.772554,0.391547,0.705742,0.88437,4.54696
mote20,hmc_in_K3|robust,2508,1.36924,1.87483,1.07883,0.776572,0.771769,0.391547,0.705742,0.88437,4.52145
tsnh4,hmc_in_K3|raw+gate,2232,0.471179,0.222009,0.340408,0.259609,0.250229,0.517473,0.842742,0.991039,2.1669
tsnh4,hmc_in_K3|raw,2232,0.471179,0.222009,0.340408,0.259609,0.250229,0.517473,0.842742,0.991039,2.1669
tsnh4,hmc_in_K3|robust+gate,2232,0.47242,0.22318,0.341242,0.260003,0.250259,0.517921,0.839606,0.989695,2.13878
tsnh4,hmc_in_K3|robust,2232,0.47242,0.22318,0.341242,0.260003,0.250259,0.517921,0.839606,0.989695,2.13878
tsnh4,pmc_state_K2|raw+gate,2232,0.387856,0.150432,0.258706,0.193753,0.192605,0.514785,0.738351,0.891577,1.09981
tsnh4,pmc_state_K2|raw,2232,0.387856,0.150432,0.258706,0.193753,0.192605,0.514785,0.738351,0.891577,1.09981
tsnh4,pmc_state_K2|robust+gate,2232,0.39097,0.152858,0.261093,0.195956,0.195671,0.5,0.719534,0.866487,1.03132
tsnh4,pmc_state_K2|robust,2232,0.39068,0.15263,0.260688,0.195414,0.195091,0.499552,0.724014,0.869176,1.03
aotizhongxin,pmc_pair_K3|raw+gate,2157,1.00858,1.01724,0.794294,0.55663,0.561373,0.346778,0.666203,0.879926,3.08394
aotizhongxin,pmc_pair_K3|raw,2157,1.00879,1.01765,0.794415,0.5568,0.56152,0.346314,0.665739,0.879926,3.08153
aotizhongxin,pmc_pair_K3|robust+gate,2157,1.01805,1.03644,0.802259,0.564436,0.568502,0.336115,0.658785,0.877608,3.0872
aotizhongxin,pmc_pair_K3|robust,2157,1.01805,1.03644,0.802259,0.564436,0.568502,0.336115,0.658785,0.877608,3.0872
mote20,ar1|raw,2508,0.288984,0.0835116,0.107123,0.0922931,0.0922931,0.806619,0.910686,0.952153,0.640322
mote20,ar1|raw+gate,2508,3.41714,11.6768,1.7748,1.61653,1.61653,0.643939,0.707735,0.722488,1.53293
mote20,ar1|robust+gate,2508,5.87388,34.5024,5.19038,4.94015,4.94015,0.039075,0.0741627,0.0885167,1.74472
mote20,persistence|raw,2508,0.289448,0.08378,0.10776,0.0826899,,0.568979,0.840909,0.954147,0.764764
aotizhongxin,ar1|raw,2157,0.995935,0.991886,0.808109,0.561437,0.561437,0.379694,0.746407,0.909133,3.30318
aotizhongxin,ar1|raw+gate,2157,1.0488,1.09999,0.841516,0.589105,0.589105,0.370885,0.732962,0.893834,3.31366
aotizhongxin,ar1|robust+gate,2157,1.12004,1.25449,0.845828,0.636333,0.636333,0.337042,0.596198,0.758924,2.44939
aotizhongxin,persistence|raw,2157,1.15811,1.34122,0.862155,0.632446,,0.423273,0.693092,0.894298,4.1678
tsnh4,ar1|raw,2232,0.379098,0.143715,0.252489,0.191204,0.191204,0.596774,0.806004,0.91353,1.25729
tsnh4,ar1|raw+gate,2232,0.385145,0.148336,0.255747,0.194242,0.194242,0.596774,0.803315,0.905018,1.25793
tsnh4,ar1|robust+gate,2232,0.391908,0.153592,0.260744,0.198848,0.198848,0.512545,0.731183,0.856183,1.01618
tsnh4,persistence|raw,2232,0.399897,0.159918,0.268076,0.19818,,0.535394,0.832437,0.991935,1.82504
aotizhongxin,pmm|raw,2157,0.995836,0.99169,0.806854,0.561367,0.561367,0.380621,0.744089,0.906351,3.27981
aotizhongxin,pmm_default|raw,2157,0.996048,0.992111,0.806937,0.561527,0.561527,0.380621,0.743162,0.905888,3.27855
tsnh4,pmm|raw,2232,0.351948,0.123867,0.242314,0.181139,0.181139,0.674731,0.883065,0.971774,1.54061
tsnh4,pmm_default|raw,2232,0.36756,0.1351,0.244374,0.185155,0.185155,0.610215,0.81362,0.905018,1.21057
mote20,pmm|raw,2508,0.272161,0.0740717,0.0885279,0.0984963,0.0984963,0.898325,0.971292,0.981659,1.0532
mote20,pmm_default|raw,2508,0.289415,0.083761,0.107792,0.091228,0.091228,0.77512,0.897528,0.944976,0.580011
