study,method,h,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
aotizhongxin,hmc_in_K3|raw+gate,1,90,0.590893,0.349155,0.474759,0.333597,0.331322,0.411111,0.755556,0.922222,2.3653
aotizhongxin,hmc_in_K3|raw+gate,2,89,0.709787,0.503798,0.57228,0.403458,0.40271,0.337079,0.730337,0.910112,2.65918
aotizhongxin,hmc_in_K3|raw+gate,3,89,0.80045,0.64072,0.645229,0.448992,0.452624,0.393258,0.696629,0.865169,2.82885
aotizhongxin,hmc_in_K3|raw+gate,4,90,0.902085,0.813758,0.744401,0.512214,0.51762,0.344444,0.633333,0.866667,2.95929
aotizhongxin,hmc_in_K3|raw+gate,5,88,1.03417,1.0695,0.859812,0.591858,0.600565,0.261364,0.625,0.818182,3.09255
aotizhongxin,hmc_in_K3|raw+gate,6,90,1.08729,1.18219,0.904028,0.623887,0.633875,0.266667,0.611111,0.8,3.18192
aotizhongxin,hmc_in_K3|raw+gate,7,91,1.11314,1.23908,0.956719,0.64984,0.661181,0.274725,0.571429,0.846154,3.29539
aotizhongxin,hmc_in_K3|raw+gate,8,90,1.15359,1.33078,0.978719,0.67175,0.683223,0.277778,0.566667,0.844444,3.39071
aotizhongxin,hmc_in_K3|raw+gate,9,90,1.14191,1.30396,0.986602,0.659934,0.675582,0.277778,0.555556,0.877778,3.46109
aotizhongxin,hmc_in_K3|raw+gate,10,89,1.14976,1.32195,1.00358,0.667201,0.682657,0.235955,0.595506,0.88764,3.51415
aotizhongxin,hmc_in_K3|raw+gate,11,90,1.11519,1.24366,0.936353,0.637054,0.650781,0.355556,0.577778,0.877778,3.55804
aotizhongxin,hmc_in_K3|raw+gate,12,90,1.11475,1.24267,0.933964,0.631815,0.643243,0.344444,0.644444,0.888889,3.59296
aotizhongxin,hmc_in_K3|raw+gate,13,91,1.03699,1.07534,0.87329,0.590384,0.599866,0.373626,0.714286,0.901099,3.62056
aotizhongxin,hmc_in_K3|raw+gate,14,90,1.06125,1.12625,0.878798,0.606527,0.611196,0.4,0.733333,0.888889,3.64619
aotizhongxin,hmc_in_K3|raw+gate,15,91,1.03488,1.07098,0.879025,0.594317,0.598807,0.395604,0.758242,0.901099,3.66556
aotizhongxin,hmc_in_K3|raw+gate,16,91,1.07062,1.14624,0.894541,0.612929,0.615826,0.417582,0.758242,0.901099,3.68326
aotizhongxin,hmc_in_K3|raw+gate,17,90,1.03119,1.06335,0.851125,0.592506,0.590423,0.444444,0.777778,0.888889,3.6996
aotizhongxin,hmc_in_K3|raw+gate,18,90,1.04343,1.08875,0.868226,0.601529,0.601032,0.411111,0.755556,0.922222,3.71382
aotizhongxin,hmc_in_K3|raw+gate,19,90,1.06751,1.13958,0.899884,0.621555,0.621726,0.4,0.733333,0.933333,3.72233
aotizhongxin,hmc_in_K3|raw+gate,20,91,1.11736,1.2485,0.951291,0.65318,0.653508,0.351648,0.714286,0.912088,3.73344
aotizhongxin,hmc_in_K3|raw+gate,21,90,1.04945,1.10135,0.908851,0.618035,0.615781,0.388889,0.722222,0.966667,3.74397
aotizhongxin,hmc_in_K3|raw+gate,22,89,1.17187,1.37327,0.988931,0.689436,0.685616,0.337079,0.752809,0.898876,3.75326
aotizhongxin,hmc_in_K3|raw+gate,23,88,1.15829,1.34164,0.996037,0.683241,0.682696,0.386364,0.715909,0.909091,3.75919
aotizhongxin,hmc_in_K3|raw+gate,24,90,1.20675,1.45625,1.02121,0.707391,0.707041,0.377778,0.722222,0.888889,3.76452
aotizhongxin,hmc_in_K3|raw,1,90,0.590893,0.349155,0.474759,0.333597,0.331322,0.411111,0.755556,0.922222,2.3653
