study,a,b,n_origins,mean_diff,ci_lo,ci_hi,frac_a_better
aotizhongxin,ar1|raw,pmm|raw,91,0.0001438,-0.000877714,0.00111936,0.472527
aotizhongxin,ar1|raw+gate,pmm|raw,91,0.0274703,-0.00148692,0.0666718,0.450549
aotizhongxin,ar1|robust+gate,pmm|raw,91,0.0723327,0.01393,0.144491,0.505495
aotizhongxin,hmc_in_K3|raw,pmm|raw,91,0.0395612,0.014368,0.0671902,0.32967
aotizhongxin,hmc_in_K3|raw+gate,pmm|raw,91,0.0395612,0.0141862,0.0667111,0.32967
aotizhongxin,hmc_in_K3|robust,pmm|raw,91,0.0400639,0.0128408,0.0657681,0.32967
aotizhongxin,hmc_in_K3|robust+gate,pmm|raw,91,0.0400639,0.0150581,0.066438,0.32967
aotizhongxin,persistence|raw,pmm|raw,91,0.0669363,0.0124871,0.122028,0.494505
aotizhongxin,pmc_pair_K3|raw,pmm|raw,91,-0.00670454,-0.0333227,0.0182346,0.516484
aotizhongxin,pmc_pair_K3|raw+gate,pmm|raw,91,-0.00687211,-0.0311984,0.0194541,0.516484
aotizhongxin,pmc_pair_K3|robust,pmm|raw,91,0.00134936,-0.0254391,0.0302127,0.516484
aotizhongxin,pmc_pair_K3|robust+gate,pmm|raw,91,0.00134936,-0.0258579,0.0294898,0.516484
aotizhongxin,pmm_default|raw,pmm|raw,91,0.000150087,-8.07009e-05,0.000411651,0.461538
aotizhongxin,ar1|raw+gate,ar1|raw,91,0.0273265,-0.00185988,0.0680374,0.010989
aotizhongxin,ar1|robust+gate,ar1|raw,91,0.0721889,0.0132728,0.142263,0.494505
aotizhongxin,hmc_in_K3|raw,ar1|raw,91,0.0394174,0.0135365,0.0667955,0.340659
aotizhongxin,hmc_in_K3|raw+gate,ar1|raw,91,0.0394174,0.0138168,0.0659155,0.340659
aotizhongxin,hmc_in_K3|robust,ar1|raw,91,0.0399201,0.0150264,0.0664476,0.340659
aotizhongxin,hmc_in_K3|robust+gate,ar1|raw,91,0.0399201,0.0138457,0.0648974,0.340659
aotizhongxin,persistence|raw,ar1|raw,91,0.0667925,0.012564,0.128661,0.494505
aotizhongxin,pmc_pair_K3|raw,ar1|raw,91,-0.00684834,-0.032302,0.018312,0.538462
aotizhongxin,pmc_pair_K3|raw+gate,ar1|raw,91,-0.00701591,-0.0329316,0.0190962,0.538462
aotizhongxin,pmc_pair_K3|robust,ar1|raw,91,0.00120556,-0.0253634,0.032692,0.516484
aotizhongxin,pmc_pair_K3|robust+gate,ar1|raw,91,0.00120556,-0.0268834,0.0305898,0.516484
aotizhongxin,pmm_default|raw,ar1|raw,91,6.28752e-06,-0.00104543,0.00115551,0.516484
mote20,ar1|raw,pmm|raw,120,-0.00667336,-0.0147167,0.00361735,0.841667
mote20,ar1|raw+gate,pmm|raw,120,1.54261,1.09389,2.03312,0.675
mote20,ar1|robust+gate,pmm|raw,120,4.89024,4.40266,5.39027,0.0833333
mote20,hmc_in_K3|raw,pmm|raw,120,0.660534,0.561954,0.764574,0.00833333
mote20,hmc_in_K3|raw+gate,pmm|raw,120,0.660534,0.561271,0.766831,0.00833333
mote20,hmc_in_K3|robust,pmm|raw,120,0.677922,0.571405,0.790651,0.00833333
mote20,hmc_in_K3|robust+gate,pmm|raw,120,0.679079,0.569316,0.794997,0.00833333
mote20,persistence|raw,pmm|raw,120,-0.0163175,-0.0262879,-0.00518766,0.841667
mote20,pmm_default|raw,pmm|raw,120,-0.00776594,-0.0162796,0.00328124,0.841667
mote20,ar1|raw+gate,ar1|raw,120,1.54929,1.10411,2.03359,0
mote20,ar1|robust+gate,ar1|raw,120,4.89692,4.394,5.38815,0.0833333
mote20,hmc_in_K3|raw,ar1|raw,120,0.667207,0.571123,0.774719,0.0166667
mote20,hmc_in_K3|raw+gate,ar1|raw,120,0.667207,0.578163,0.774942,0.0166667
mote20,hmc_in_K3|robust,ar1|raw,120,0.684595,0.577441,0.798923,0.025
mote20,hmc_in_K3|robust+gate,ar1|raw,120,0.685753,0.580496,0.796305,0.025
mote20,persistence|raw,ar1|raw,120,-0.00964411,-0.0124896,-0.00660703,0.766667
mote20,pmm_default|raw,ar1|raw,120,-0.00109258,-0.00186615,-0.000229654,0.791667
tsnh4,ar1|raw,pmm|raw,93,0.0100652,0.000244964,0.0207083,0.569892
tsnh4,ar1|raw+gate,pmm|raw,93,0.0131032,0.00115793,0.0280933,0.569892
tsnh4,ar1|robust+gate,pmm|raw,93,0.0177093,0.00325049,0.035059,0.580645
