study,h,theory_mse,steady_pred_var,emp_mse,emp_mean_pred_var
aotizhongxin,1,0.116142,0.116142,0.157096,0.116142
aotizhongxin,2,0.216155,0.216155,0.353567,0.216155
aotizhongxin,3,0.307944,0.307944,0.504985,0.307944
aotizhongxin,4,0.389243,0.389243,0.715439,0.392032
aotizhongxin,5,0.46269,0.46269,0.907892,0.465246
aotizhongxin,6,0.528314,0.528314,1.02216,0.530557
aotizhongxin,7,0.587311,0.587311,1.02216,0.5893
aotizhongxin,8,0.640169,0.640169,1.12468,0.640169
aotizhongxin,9,0.687616,0.687616,1.12434,0.687616
aotizhongxin,10,0.730162,0.730162,1.1456,0.730162
aotizhongxin,11,0.768335,0.768335,1.11063,0.768335
aotizhongxin,12,0.802573,0.802573,1.14444,0.802573
aotizhongxin,13,0.833288,0.833288,0.991156,0.834325
aotizhongxin,14,0.86084,0.86084,1.03107,0.86084
aotizhongxin,15,0.885555,0.885555,1.00575,0.886389
aotizhongxin,16,0.907725,0.907725,1.09625,0.908473
aotizhongxin,17,0.927612,0.927612,0.995575,0.92829
aotizhongxin,18,0.945451,0.945451,1.02754,0.94606
aotizhongxin,19,0.961454,0.961454,1.07595,0.962
aotizhongxin,20,0.975809,0.975809,1.17473,0.976294
aotizhongxin,21,0.988686,0.988686,1.04575,0.989125
aotizhongxin,22,1.00024,1.00024,1.31084,1.00064
aotizhongxin,23,1.0106,1.0106,1.29736,1.01096
aotizhongxin,24,1.01989,1.01989,1.40959,1.02021
tsnh4,1,0.0097911,0.0097911,0.00755878,0.0097911
tsnh4,2,0.0205845,0.0205845,0.0120608,0.0205845
tsnh4,3,0.0322964,0.0322964,0.0145032,0.0322964
tsnh4,4,0.0448383,0.0448383,0.0198445,0.0448383
tsnh4,5,0.0581194,0.0581194,0.0250613,0.0581194
tsnh4,6,0.0720489,0.0720489,0.025072,0.0720489
tsnh4,7,0.0865375,0.0865375,0.0363482,0.0865375
tsnh4,8,0.101499,0.101499,0.0469551,0.101499
tsnh4,9,0.116849,0.116849,0.0528468,0.116849
tsnh4,10,0.132511,0.132511,0.0701423,0.132511
tsnh4,11,0.148409,0.148409,0.083553,0.148409
tsnh4,12,0.164476,0.164476,0.111006,0.164476
tsnh4,13,0.180647,0.180647,0.122512,0.180647
tsnh4,14,0.196864,0.196864,0.132764,0.196864
tsnh4,15,0.213072,0.213072,0.145855,0.213072
tsnh4,16,0.229224,0.229224,0.163294,0.229224
tsnh4,17,0.245276,0.245276,0.175296,0.245276
tsnh4,18,0.261188,0.261188,0.18748,0.261188
tsnh4,19,0.276925,0.276925,0.219182,0.276925
tsnh4,20,0.292456,0.292456,0.235145,0.292456
tsnh4,21,0.307755,0.307755,0.247184,0.307755
tsnh4,22,0.322798,0.322798,0.263973,0.322798
tsnh4,23,0.337564,0.337564,0.27613,0.337564
tsnh4,24,0.352038,0.352038,0.299044,0.352038
mote20,1,0.00153658,0.00153658,0.000360659,0.00197035
mote20,2,0.00372863,0.00372863,0.00073088,0.00426973
mote20,3,0.00663367,0.00663367,0.00122258,0.00744438
mote20,4,0.0102908,0.0102908,0.00216414,0.0111555
mote20,5,0.0147239,0.0147239,0.00296898,0.0158909
mote20,6,0.0199445,0.0199445,0.00354899,0.0210432
mote20,7,0.0259539,0.0259539,0.0111029,0.0271929
mote20,8,0.0327452,0.0327452,0.0284658,0.0342421
mote20,9,0.0403051,0.0403051,0.0411357,0.0419087
mote20,10,0.0486151,0.0486151,0.0554416,0.0504776
mote20,11,0.0576529,0.0576529,0.0718984,0.0595098
mote20,12,0.0673931,0.0673931,0.0891679,0.0690237
mote20,13,0.0778084,0.0778084,0.0843168,0.0800136
mote20,14,0.0888697,0.0888697,0.101947,0.0908883
mote20,15,0.100547,0.100547,0.112872,0.102836
mote20,16,0.112811,0.112811,0.112722,0.115309
mote20,17,0.12563,0.12563,0.122792,0.12783
mote20,18,0.138975,0.138975,0.0247964,0.14182
mote20,19,0.152816,0.152816,0.137817,0.155584
mote20,20,0.167124,0.167124,0.151249,0.169885
mote20,21,0.18187,0.18187,0.156847,0.184773
mote20,22,0.197029,0.197029,0.147736,0.199763
mote20,23,0.212573,0.212573,0.16565,0.215862
mote20,24,0.228477,0.228477,0.160724,0.231713
