study,rate,case,method,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,hmc_in_K2|true+gate,990,1.3726,1.884,1.1138,0.77789,0.77913,0.49899,0.80303,0.94545,5.1974
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,hmc_in_K2|true,990,1.3726,1.8839,1.1138,0.77788,0.77913,0.49899,0.80303,0.94545,5.1973
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,hmc_in_K2|clean,990,1.373,1.8852,1.1141,0.77811,0.77942,0.49798,0.80606,0.94545,5.2136
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,hmc_in_K2|raw+gate,990,1.373,1.8852,1.1141,0.77812,0.77943,0.49798,0.80606,0.94545,5.2136
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,hmc_in_K2|raw,990,1.373,1.8852,1.1141,0.77811,0.77942,0.49798,0.80606,0.94545,5.2136
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,hmc_in_K2|robust+gate,990,1.373,1.8852,1.1141,0.77812,0.77943,0.49798,0.80606,0.94545,5.2136
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,hmc_in_K2|robust,990,1.373,1.8852,1.1141,0.77811,0.77942,0.49798,0.80606,0.94545,5.2136
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,hmc_in_K2|hampel+gate,990,1.373,1.8852,1.1141,0.77812,0.77943,0.49798,0.80606,0.94545,5.2136
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,ar1|raw,990,1.411,1.9908,1.1544,0.80317,0.80317,0.47172,0.79596,0.95556,5.4951
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,ar1|raw+gate,990,1.411,1.9908,1.1544,0.80317,0.80317,0.47172,0.79596,0.95556,5.4951
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,ar1|robust+gate,990,1.4109,1.9906,1.1543,0.80313,0.80313,0.47071,0.79495,0.95556,5.4857
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,persistence|raw,990,1.7084,2.9186,1.3713,0.96325,,0.51919,0.83333,0.96465,7.0859
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,ar1|clean,990,1.411,1.9908,1.1544,0.80317,0.80317,0.47172,0.79596,0.95556,5.4951
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep0,persistence|clean,990,1.7084,2.9186,1.3713,0.96325,,0.51919,0.83333,0.96465,7.0859
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep1,hmc_in_K2|true+gate,990,1.3126,1.723,1.0901,0.74902,0.75002,0.50202,0.83131,0.96364,5.2003
hmc_in_gauss_k2,0,fix_hmc_in_gauss_k2__r0.00_k6_rep1,hmc_in_K2|true,990,1.3126,1.723,1.0901,0.74902,0.75002,0.50202,0.83131,0.96364,5.2003
