study,rate,method,h,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
hmc_in_gauss_k2,0,hmc_in_K2|true+gate,1,990,1.1946,1.4271,0.95721,0.66958,0.67183,0.50101,0.8202,0.94949,4.8916
hmc_in_gauss_k2,0,hmc_in_K2|true+gate,2,990,1.3092,1.7139,1.0561,0.73862,0.7411,0.47475,0.80707,0.95859,5.0804
hmc_in_gauss_k2,0,hmc_in_K2|true+gate,3,990,1.3112,1.7193,1.0683,0.74432,0.74503,0.49192,0.82727,0.95859,5.1696
hmc_in_gauss_k2,0,hmc_in_K2|true+gate,4,990,1.3649,1.8629,1.1232,0.77678,0.77975,0.48687,0.79495,0.94848,5.2181
hmc_in_gauss_k2,0,hmc_in_K2|true+gate,5,990,1.3724,1.8834,1.1181,0.7784,0.78029,0.51818,0.80505,0.95051,5.2464
hmc_in_gauss_k2,0,hmc_in_K2|true+gate,6,990,1.4225,2.0235,1.1605,0.80795,0.80887,0.50101,0.80101,0.93636,5.2635
hmc_in_gauss_k2,0,hmc_in_K2|true+gate,7,990,1.4037,1.9705,1.1571,0.80241,0.80402,0.48586,0.79697,0.95657,5.2741
hmc_in_gauss_k2,0,hmc_in_K2|true+gate,8,990,1.4246,2.0296,1.1862,0.81464,0.81672,0.47475,0.8,0.94242,5.2807
hmc_in_gauss_k2,0,hmc_in_K2|true+gate,9,990,1.3465,1.8132,1.0984,0.76767,0.76726,0.53939,0.8101,0.95455,5.2849
hmc_in_gauss_k2,0,hmc_in_K2|true+gate,10,990,1.3605,1.8508,1.1205,0.77742,0.77763,0.52222,0.8101,0.95859,5.2876
hmc_in_gauss_k2,0,hmc_in_K2|true,1,990,1.1946,1.427,0.95719,0.66957,0.67181,0.50101,0.8202,0.94949,4.8916
hmc_in_gauss_k2,0,hmc_in_K2|true,2,990,1.3092,1.7139,1.0561,0.73862,0.7411,0.47475,0.80707,0.95859,5.0804
hmc_in_gauss_k2,0,hmc_in_K2|true,3,990,1.3112,1.7193,1.0683,0.74432,0.74503,0.49192,0.82727,0.95859,5.1696
hmc_in_gauss_k2,0,hmc_in_K2|true,4,990,1.3649,1.8629,1.1232,0.77678,0.77975,0.48687,0.79495,0.94848,5.2181
