study,rate,method,spike_last,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
hmc_in_gauss_k2,0,hmc_in_K2|true+gate,False,990,1.1946,1.4271,0.95721,0.66958,0.67183,0.50101,0.8202,0.94949,4.8916
hmc_in_gauss_k2,0,hmc_in_K2|true,False,990,1.1946,1.427,0.95719,0.66957,0.67181,0.50101,0.8202,0.94949,4.8916
hmc_in_gauss_k2,0,hmc_in_K2|clean,False,990,1.1953,1.4287,0.95796,0.67012,0.67238,0.50202,0.82121,0.94949,4.8856
hmc_in_gauss_k2,0,hmc_in_K2|raw+gate,False,990,1.1953,1.4288,0.95798,0.67013,0.6724,0.50202,0.82121,0.94949,4.8856
hmc_in_gauss_k2,0,hmc_in_K2|raw,False,990,1.1953,1.4287,0.95796,0.67012,0.67238,0.50202,0.82121,0.94949,4.8856
hmc_in_gauss_k2,0,hmc_in_K2|robust+gate,False,990,1.1951,1.4282,0.95779,0.66993,0.6722,0.5,0.81818,0.94848,4.8646
hmc_in_gauss_k2,0,hmc_in_K2|robust,False,990,1.1952,1.4286,0.95788,0.67004,0.67231,0.5,0.81818,0.94848,4.8644
hmc_in_gauss_k2,0,hmc_in_K2|hampel+gate,False,990,1.195,1.4281,0.95775,0.66992,0.67217,0.5,0.81818,0.94848,4.8635
hmc_in_gauss_k2,0,ar1|raw,False,990,1.2479,1.5571,1.0136,0.70762,0.70762,0.49394,0.82222,0.95152,5.0762
hmc_in_gauss_k2,0,ar1|raw+gate,False,990,1.2479,1.5571,1.0136,0.70762,0.70762,0.49394,0.82222,0.95152,5.0762
hmc_in_gauss_k2,0,ar1|robust+gate,False,990,1.2477,1.5568,1.0133,0.70746,0.70746,0.49091,0.81818,0.95051,5.0574
hmc_in_gauss_k2,0,persistence|raw,False,990,1.4661,2.1495,1.166,0.82787,,0.50707,0.81818,0.96061,6.0809
hmc_in_gauss_k2,0,ar1|clean,False,990,1.2479,1.5571,1.0136,0.70762,0.70762,0.49394,0.82222,0.95152,5.0762
hmc_in_gauss_k2,0,persistence|clean,False,990,1.4661,2.1495,1.166,0.82787,,0.50707,0.81818,0.96061,6.0809
hmc_in_gauss_k2,0.01,hmc_in_K2|true+gate,False,985,1.1956,1.4294,0.95817,0.67018,0.67242,0.50152,0.8203,0.94924,4.8921
hmc_in_gauss_k2,0.01,hmc_in_K2|true,False,985,1.1947,1.4274,0.95768,0.66966,0.67195,0.50152,0.82132,0.94924,4.8923
hmc_in_gauss_k2,0.01,hmc_in_K2|clean,False,985,1.1971,1.4331,0.9595,0.67126,0.67347,0.50152,0.8203,0.94924,4.8858
hmc_in_gauss_k2,0.01,hmc_in_K2|raw+gate,False,985,1.205,1.452,0.96493,0.68895,0.69094,0.59086,0.87817,0.98274,5.9848
hmc_in_gauss_k2,0.01,hmc_in_K2|raw,False,985,1.206,1.4544,0.96676,0.68941,0.69162,0.59086,0.87817,0.98274,5.9906
hmc_in_gauss_k2,0.01,hmc_in_K2|robust+gate,False,985,1.1959,1.4301,0.95875,0.67048,0.67276,0.49949,0.81929,0.94721,4.8673
hmc_in_gauss_k2,0.01,hmc_in_K2|robust,False,985,1.1954,1.4289,0.9584,0.67016,0.67248,0.49949,0.81929,0.94721,4.8674
