study,rate,case,method,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
aotizhongxin,0,aotizhongxin__clean,hmc_in_K3|raw+gate,2157,1.0503,1.1032,0.87544,0.60018,0.60503,0.3528,0.68428,0.88827,3.4344
aotizhongxin,0,aotizhongxin__clean,hmc_in_K3|raw,2157,1.0503,1.1032,0.87544,0.60018,0.60503,0.3528,0.68428,0.88827,3.4344
aotizhongxin,0,aotizhongxin__clean,hmc_in_K3|robust+gate,2157,1.0503,1.1031,0.87494,0.6007,0.6055,0.35141,0.68011,0.88503,3.4034
aotizhongxin,0,aotizhongxin__clean,hmc_in_K3|robust,2157,1.0503,1.1031,0.87494,0.6007,0.6055,0.35141,0.68011,0.88503,3.4034
mote20,0,mote20__clean,hmc_in_K3|raw+gate,2508,1.359,1.8469,1.0762,0.75918,0.75601,0.439,0.77671,0.93341,5.1607
mote20,0,mote20__clean,hmc_in_K3|raw,2508,1.359,1.8469,1.0762,0.75918,0.75601,0.439,0.77671,0.93341,5.1607
mote20,0,mote20__clean,hmc_in_K3|robust+gate,2508,1.3773,1.8969,1.0821,0.77778,0.77255,0.39155,0.70574,0.88437,4.547
mote20,0,mote20__clean,hmc_in_K3|robust,2508,1.3692,1.8748,1.0788,0.77657,0.77177,0.39155,0.70574,0.88437,4.5214
tsnh4,0,tsnh4__clean,hmc_in_K3|raw+gate,2232,0.47118,0.22201,0.34041,0.25961,0.25023,0.51747,0.84274,0.99104,2.1669
tsnh4,0,tsnh4__clean,hmc_in_K3|raw,2232,0.47118,0.22201,0.34041,0.25961,0.25023,0.51747,0.84274,0.99104,2.1669
tsnh4,0,tsnh4__clean,hmc_in_K3|robust+gate,2232,0.47242,0.22318,0.34124,0.26,0.25026,0.51792,0.83961,0.9897,2.1388
tsnh4,0,tsnh4__clean,hmc_in_K3|robust,2232,0.47242,0.22318,0.34124,0.26,0.25026,0.51792,0.83961,0.9897,2.1388
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,hmc_in_K3|raw+gate,2157,1.087,1.1815,0.90813,0.62649,0.62157,0.40844,0.71256,0.91562,3.7645
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,hmc_in_K3|raw,2157,1.087,1.1815,0.90813,0.62649,0.62157,0.40844,0.71256,0.91562,3.7645
