study,rate,method,spike_last,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
aotizhongxin,0,hmc_in_K3|raw+gate,False,90,0.59089,0.34916,0.47476,0.3336,0.33132,0.41111,0.75556,0.92222,2.3653
aotizhongxin,0,hmc_in_K3|raw,False,90,0.59089,0.34916,0.47476,0.3336,0.33132,0.41111,0.75556,0.92222,2.3653
aotizhongxin,0,hmc_in_K3|robust+gate,False,90,0.59084,0.34909,0.47485,0.33375,0.33148,0.41111,0.75556,0.92222,2.3526
aotizhongxin,0,hmc_in_K3|robust,False,90,0.59084,0.34909,0.47485,0.33375,0.33148,0.41111,0.75556,0.92222,2.3526
mote20,0,hmc_in_K3|raw+gate,False,212,1.31,1.7161,1.0419,0.73296,0.72872,0.4434,0.75472,0.9434,4.7728
mote20,0,hmc_in_K3|raw,False,212,1.31,1.7161,1.0419,0.73296,0.72872,0.4434,0.75472,0.9434,4.7728
mote20,0,hmc_in_K3|robust+gate,False,212,1.3349,1.7821,1.0512,0.75381,0.74885,0.41509,0.70755,0.88679,4.171
mote20,0,hmc_in_K3|robust,False,212,1.3253,1.7565,1.0478,0.75259,0.74823,0.41509,0.70755,0.88679,4.1442
tsnh4,0,hmc_in_K3|raw+gate,False,93,0.30356,0.092151,0.25755,0.18485,0.17336,0.41935,0.83871,1,1.3886
tsnh4,0,hmc_in_K3|raw,False,93,0.30356,0.092151,0.25755,0.18485,0.17336,0.41935,0.83871,1,1.3886
tsnh4,0,hmc_in_K3|robust+gate,False,93,0.30369,0.092227,0.25814,0.18493,0.17344,0.43011,0.83871,1,1.3857
tsnh4,0,hmc_in_K3|robust,False,93,0.30369,0.092227,0.25814,0.18493,0.17344,0.43011,0.83871,1,1.3857
aotizhongxin,0.01,hmc_in_K3|raw+gate,False,269,0.73786,0.54444,0.57833,0.41945,0.42617,0.50186,0.78067,0.92565,3.05
aotizhongxin,0.01,hmc_in_K3|raw,False,269,0.73786,0.54444,0.57833,0.41945,0.42617,0.50186,0.78067,0.92565,3.05
aotizhongxin,0.01,hmc_in_K3|robust+gate,False,269,0.74016,0.54783,0.58091,0.4203,0.42647,0.49442,0.78067,0.92565,3.0397
aotizhongxin,0.01,hmc_in_K3|robust,False,269,0.74016,0.54783,0.58091,0.4203,0.42647,0.49442,0.78067,0.92565,3.0397
aotizhongxin,0.01,hmc_in_K3|hampel+gate,False,269,0.59161,0.35001,0.47629,0.33452,0.33204,0.41264,0.75465,0.92193,2.3531
mote20,0,hmc_in_K3|hampel+gate,False,106,1.3349,1.7821,1.0512,0.75381,0.74885,0.41509,0.70755,0.88679,4.171
aotizhongxin,0.01,hmc_in_K3|raw+gate,True,1,0.57617,0.33197,0.57617,0.32879,0.37035,1,1,1,3.7957
aotizhongxin,0.01,hmc_in_K3|raw,True,1,0.57617,0.33197,0.57617,0.32879,0.37035,1,1,1,3.7957
aotizhongxin,0.01,hmc_in_K3|robust+gate,True,1,0.76773,0.58941,0.76773,0.43715,0.46122,1,1,1,3.8158
aotizhongxin,0.01,hmc_in_K3|robust,True,1,0.76773,0.58941,0.76773,0.43715,0.46122,1,1,1,3.8158
aotizhongxin,0.01,hmc_in_K3|hampel+gate,True,1,1.3685,1.8729,1.3685,0.877,0.9035,0,0,1,3.3035
aotizhongxin,0.05,hmc_in_K3|raw+gate,False,255,0.7824,0.61215,0.58355,0.43201,0.527,0.55294,0.83922,0.96471,8.2267
aotizhongxin,0.05,hmc_in_K3|raw+gate,True,15,0.97398,0.94864,0.79721,0.56386,0.55939,0.6,0.73333,1,3.7822
aotizhongxin,0.05,hmc_in_K3|raw,False,255,0.7824,0.61215,0.58355,0.43201,0.527,0.55294,0.83922,0.96471,8.2267
aotizhongxin,0.05,hmc_in_K3|raw,True,15,0.97398,0.94864,0.79721,0.56386,0.55939,0.6,0.73333,1,3.7822
aotizhongxin,0.05,hmc_in_K3|robust+gate,False,255,0.78248,0.61227,0.58366,0.43207,0.52696,0.55294,0.83922,0.96471,8.2248
aotizhongxin,0.05,hmc_in_K3|robust+gate,True,15,0.97414,0.94895,0.79698,0.56395,0.55947,0.6,0.73333,1,3.781
aotizhongxin,0.05,hmc_in_K3|robust,False,255,0.78248,0.61227,0.58366,0.43207,0.52696,0.55294,0.83922,0.96471,8.2248
aotizhongxin,0.05,hmc_in_K3|robust,True,15,0.97414,0.94895,0.79698,0.56395,0.55947,0.6,0.73333,1,3.781
aotizhongxin,0.05,hmc_in_K3|hampel+gate,False,255,0.5903,0.34845,0.47557,0.33476,0.33211,0.40392,0.7451,0.91765,2.3419
aotizhongxin,0.05,hmc_in_K3|hampel+gate,True,15,0.65133,0.42423,0.52171,0.3544,0.35974,0.4,0.8,1,2.8481
tsnh4,0,pmc_state_K2|raw+gate,False,93,0.08876,0.0078784,0.070879,0.049822,0.049963,0.43011,0.68817,0.95699,0.33334
tsnh4,0,pmc_state_K2|raw,False,93,0.08876,0.0078784,0.070879,0.049822,0.049963,0.43011,0.68817,0.95699,0.33334
tsnh4,0,pmc_state_K2|robust+gate,False,93,0.092879,0.0086265,0.073466,0.052108,0.051954,0.4086,0.67742,0.94624,0.32367
tsnh4,0,pmc_state_K2|robust,False,93,0.088549,0.0078409,0.070804,0.049902,0.04976,0.41935,0.68817,0.95699,0.32231
aotizhongxin,0,pmc_pair_K3|raw+gate,False,90,0.39581,0.15666,0.26136,0.19875,0.19985,0.43333,0.7,0.9,1.3361
aotizhongxin,0,pmc_pair_K3|raw,False,90,0.396,0.15681,0.26171,0.19889,0.20001,0.43333,0.68889,0.9,1.328
aotizhongxin,0,pmc_pair_K3|robust+gate,False,90,0.39622,0.15699,0.26387,0.1998,0.20186,0.45556,0.72222,0.91111,1.3448
