name,n_fit,n_filled_train,mean,sd,chosen_fit,abcde,c,trA,detA,spectral_radius,nll_std,loglik_data,n_restarts,seed,theory_n0,theory_y_mse,steady_pred_var,filter_var_last,filter_var_n0,max_trailing_gap,seconds_fit,seconds,pmmforecast_version,default_abcde,default_nll_std,default_c,default_trA,default_detA,default_success,default_nfev,default_seconds,ar1_start_abcde,ar1_start_nll_std,ar1_start_c,ar1_start_trA,ar1_start_detA,ar1_start_success,ar1_start_nfev,ar1_start_seconds,ar1_start_x0,ar1_start_x0_nll_std
aotizhongxin__clean,6570,10,3.9816,1.04922,ar1_start,-0.36856 0.357112 0.945753 0.301423 0.289395,0.945753,0.419733,-0.499497,0.947119,1936.39,-2252.08,4,0,500,0.116142 0.216155 0.307944 0.389243 0.46269 0.528314 0.587311 0.640169 0.687616 0.730162 0.768335 0.802573 0.833288 0.86084 0.885555 0.907725 0.927612 0.945451 0.961454 0.975809 0.988686 1.00024 1.0106 1.01989,0.116142 0.216155 0.307944 0.389243 0.46269 0.528314 0.587311 0.640169 0.687616 0.730162 0.768335 0.802573 0.833288 0.86084 0.885555 0.907725 0.927612 0.945451 0.961454 0.975809 0.988686 1.00024 1.0106 1.01989,0.842621,0.842621,4,304.819,305.09,0.22.1,"[0.002437795902637096, 0.013358888407711034, 0.9457612561617552, 0.008172280552986879, -0.31212473172439537]",1937.34,0.945761,0.952429,0.00485721,True,491,286.149,"[-0.36855967162988124, 0.3571124771637344, 0.9457525316336324, 0.3014234721522406, 0.2893947469045472]",1936.39,0.945753,0.419733,-0.499497,True,203,18.5806,"[0.5, 0.3, 0.9454482365277934, 0.283634470958338, 0.283634470958338]",1938.05
tsnh4__clean,3414,0,2.20387,0.875083,ar1_start,0.908666 0.249686 0.99346 0.192671 0.264279,0.99346,1.90692,0.908439,0.978791,-2595.51,3051.06,4,0,500,0.0097911 0.0205845 0.0322964 0.0448383 0.0581194 0.0720489 0.0865375 0.101499 0.116849 0.132511 0.148409 0.164476 0.180647 0.196864 0.213072 0.229224 0.245276 0.261188 0.276925 0.292456 0.307755 0.322798 0.337564 0.352038,0.0097911 0.0205845 0.0322964 0.0448383 0.0581194 0.0720489 0.0865375 0.101499 0.116849 0.132511 0.148409 0.164476 0.180647 0.196864 0.213072 0.229224 0.245276 0.261188 0.276925 0.292456 0.307755 0.322798 0.337564 0.352038,0.865474,0.865474,0,150.984,151.135,0.22.1,"[-0.9941965666694265, 0.715628134698051, 0.07726315614619407, -0.6365596448021271, -0.6365596598311107]",-2553.85,0.0772632,-0.0119977,-0.988002,True,652,140.923,"[0.9086663788856663, 0.24968610965362342, 0.9934597353296586, 0.19267089699940002, 0.2642794421280165]",-2595.51,0.99346,1.90692,0.908439,True,256,10.0294,"[0.5, 0.3, 0.9936995530295983, 0.2981098659088795, 0.2981098659088795]",-2561.18
mote20__clean,21599,3408,21.3763,3.22474,ar1_start,0.932979 0.205079 0.999906 0.214474 0.198246,0.999906,1.92939,0.929463,0.998942,-64597.6,39308.4,4,0,500,0.00153658 0.00372863 0.00663367 0.0102908 0.0147239 0.0199445 0.0259539 0.0327452 0.0403051 0.0486151 0.0576529 0.0673931 0.0778084 0.0888697 0.100547 0.112811 0.12563 0.138975 0.152816 0.167124 0.18187 0.197029 0.212573 0.228477,0.00153658 0.00372863 0.00663367 0.0102908 0.0147239 0.0199445 0.0259539 0.0327452 0.0403051 0.0486151 0.0576529 0.0673931 0.0778084 0.0888697 0.100547 0.112811 0.12563 0.138975 0.152816 0.167124 0.18187 0.197029 0.212573 0.228477,0.532257,0.532257,3,1765.69,1766.54,0.22.1,"[-0.6829361973658874, 0.8100689555894129, 0.48046046718159185, -0.12492249575788783, -0.124996202246311]",-57251.6,0.48046,-7.08329e-05,-0.999856,False,3654,1631.27,"[0.9329791182715517, 0.2050790010102212, 0.9999055577441456, 0.21447376726722733, 0.19824631110505228]",-64597.6,0.999906,1.92939,0.929463,True,386,134.082,"[0.5, 0.3, 0.999, 0.29969999999999997, 0.29969999999999997]",-46243.7
mote20__raw,21599,3405,21.3649,3.31249,ar1_start,0.282536 0.351691 0.959429 0.166946 0.196414,0.959429,1.27143,0.271915,0.999339,-283.842,-25585.3,4,0,500,0.6285 0.718747 0.746432 0.763296 0.777664 0.791375 0.804897 0.818354 0.831781 0.845187 0.858574 0.871943 0.885295 0.898629 0.911945 0.925243 0.938524 0.951788 0.965034 0.978262 0.991473 1.00467 1.01784 1.031,0.6285 0.718747 0.746432 0.763296 0.777664 0.791375 0.804897 0.818354 0.831781 0.845187 0.858574 0.871943 0.885295 0.898629 0.911945 0.925243 0.938524 0.951788 0.965034 0.978262 0.991473 1.00467 1.01784 1.031,0.289268,0.289268,3,1106.88,1108.04,0.22.1,"[-0.1504751395384692, 0.045323039983943644, 0.938198347487551, -0.18043676684957444, -0.25459646150879445]",1347.35,0.938198,0.809102,-0.187499,True,1156,1021.56,"[0.2825357694721048, 0.35169050467612856, 0.9594290706838688, 0.16694596164613118, 0.19641411052507185]",-283.842,0.959429,1.27143,0.271915,True,301,84.9227,"[0.5, 0.3, 0.9596539927673635, 0.28789619783020903, 0.28789619783020903]",3243.52
aotizhongxin__spikes_r0.01_k6_s0,6570,10,4.0522,1.25633,ar1_start,-0.0100686 0.641403 0.671186 0.11173 0.0756793,0.671186,0.918978,-0.0258468,0.946292,6745.02,-8244.27,4,0,500,0.719921 0.802011 0.883368 0.956012 1.02107 1.07932 1.13149 1.1782 1.22003 1.25749 1.29103 1.32107 1.34797 1.37205 1.39362 1.41293 1.43022 1.44571 1.45958 1.472 1.48312 1.49307 1.50199 1.50997,0.719921 0.802011 0.883368 0.956012 1.02107 1.07932 1.13149 1.1782 1.22003 1.25749 1.29103 1.32107 1.34797 1.37205 1.39362 1.41293 1.43022 1.44571 1.45958 1.472 1.48312 1.49307 1.50199 1.50997,0.270181,0.270181,4,305.333,305.628,0.22.1,"[0.09195268137831314, 0.20139532277529948, 0.671185797731827, -0.2886216813953314, -0.29988232955688726]",6745.02,0.671186,0.918932,-0.0258851,True,288,274.278,"[-0.010068585004184647, 0.6414027248087458, 0.6711862624735405, 0.1117296829387569, 0.07567926631423152]",6745.02,0.671186,0.918978,-0.0258468,True,329,30.9582,"[0.5, 0.3, 0.67096409402535, 0.20128922820760498, 0.20128922820760498]",7356.69
aotizhongxin__spikes_r0.01_k6_s1,6570,10,4.04524,1.2193,ar1_start,0.00496203 0.68413 0.682113 0.245723 0.0289725,0.682113,0.938306,-0.00702024,0.945729,6689.07,-7991.75,4,0,500,0.666654 0.751284 0.828955 0.89841 0.960531 1.01609 1.06579 1.11023 1.14999 1.18554 1.21734 1.24579 1.27122 1.29398 1.31433 1.33253 1.34881 1.36337 1.37639 1.38804 1.39846 1.40777 1.41611 1.42356,0.666654 0.751284 0.828955 0.89841 0.960531 1.01609 1.06579 1.11023 1.14999 1.18554 1.21734 1.24579 1.27122 1.29398 1.31433 1.33253 1.34881 1.36337 1.37639 1.38804 1.39846 1.40777 1.41611 1.42356,0.0315741,0.0315741,4,238.344,238.605,0.22.1,"[0.1372173407601241, 0.1523472499002752, 0.6821270167785215, -0.2837268627108406, -0.3540965134036958]",6689.07,0.682127,0.938292,-0.00703021,True,282,188.076,"[0.004962026917252279, 0.6841295455703033, 0.682112505164165, 0.2457227768361211, 0.02897246402464755]",6689.07,0.682113,0.938306,-0.00702024,True,654,50.1596,"[0.5, 0.3, 0.681880861489918, 0.2045642584469754, 0.2045642584469754]",7267.09
aotizhongxin__spikes_r0.01_k6_s2,6570,10,4.04225,1.2232,ar1_start,0.00891031 0.622679 0.691188 0.0978868 0.106573,0.691188,0.93551,-0.00697951,0.942912,6635.88,-7959.56,4,0,500,0.660157 0.750938 0.833617 0.907111 0.972453 1.03055 1.0822 1.12812 1.16895 1.20525 1.23753 1.26622 1.29173 1.31441 1.33458 1.35251 1.36845 1.38262 1.39522 1.40643 1.41639 1.42524 1.43311 1.44011,0.660157 0.750938 0.833617 0.907111 0.972453 1.03055 1.0822 1.12812 1.16895 1.20525 1.23753 1.26622 1.29173 1.31441 1.33458 1.35251 1.36845 1.38262 1.39522 1.40643 1.41639 1.42524 1.43311 1.44011,0.337469,0.337469,4,197.477,197.671,0.22.1,"[0.5672168349630347, 0.33285865454224745, 0.6911810363190869, 0.7515920209397415, 0.5299075624266372]",6635.88,0.691181,0.935487,-0.00700038,True,292,172.103,"[0.008910306271127166, 0.6226786142614611, 0.691188246025972, 0.09788681058250198, 0.10657258053828293]",6635.88,0.691188,0.93551,-0.00697951,True,370,25.3005,"[0.5, 0.3, 0.6909595131844658, 0.20728785395533975, 0.20728785395533975]",7189.63
aotizhongxin__spikes_r0.05_k6_s0,6570,10,4.30178,1.76193,default,0.167553 0.422983 0.307709 -0.188762 -0.446729,0.307709,0.906195,-0.0399082,0.948279,8547.54,-12268.8,4,0,500,2.45024 2.49318 2.55579 2.61103 2.66075 2.70545 2.74565 2.7818 2.81431 2.84354 2.86982 2.89346 2.91472 2.93383 2.95102 2.96647 2.98037 2.99287 3.00411 3.01421 3.0233 3.03147 3.03882 3.04543,2.45024 2.49318 2.55579 2.61103 2.66075 2.70545 2.74565 2.7818 2.81431 2.84354 2.86982 2.89346 2.91472 2.93383 2.95102 2.96647 2.98037 2.99287 3.00411 3.01421 3.0233 3.03147 3.03882 3.04543,0.0519532,0.0519532,4,145.485,145.677,0.22.1,"[0.16755271183895962, 0.4229829230683998, 0.3077087028155314, -0.1887619681801342, -0.44672891758269334]",8547.54,0.307709,0.906195,-0.0399082,True,620,128.718,"[-0.027374825436946464, 0.8736837361455274, 0.30573913247733653, 0.030859216348144286, 0.04260834370843647]",8547.55,0.305739,0.904934,-0.0409183,True,242,16.7119,"[0.5, 0.3, 0.30729484657393735, 0.0921884539721812, 0.0921884539721812]",8996.6
aotizhongxin__spikes_r0.05_k6_s1,6570,10,4.31967,1.78829,default,0.069485 0.549448 0.296875 -0.349877 -0.13509,0.296875,0.906486,-0.0381551,0.946785,8592.06,-12410.9,4,0,500,2.55902 2.60261 2.66525 2.7204 2.76988 2.81423 2.85398 2.88962 2.92156 2.9502 2.97587 2.99888 3.0195 3.03799 3.05457 3.06942 3.08274 3.09468 3.10538 3.11497 3.12357 3.13128 3.13819 3.14438,2.55902 2.60261 2.66525 2.7204 2.76988 2.81423 2.85398 2.88962 2.92156 2.9502 2.97587 2.99888 3.0195 3.03799 3.05457 3.06942 3.08274 3.09468 3.10538 3.11497 3.12357 3.13128 3.13819 3.14438,0.491313,0.491313,4,149.86,150.064,0.22.1,"[0.06948496995151823, 0.5494484028109741, 0.2968746789555195, -0.3498766490182029, -0.1350895301636808]",8592.06,0.296875,0.906486,-0.0381551,True,272,135.586,"[-0.009509780940397084, 0.913209092363015, 0.29655792858410246, 0.12010638484753869, 0.029419464471242728]",8592.06,0.296558,0.906357,-0.0382638,True,247,14.206,"[0.5, 0.3, 0.2965195587098712, 0.08895586761296136, 0.08895586761296136]",9020.12
aotizhongxin__spikes_r0.05_k6_s2,6570,10,4.32514,1.80234,default,0.876658 0.360633 0.292451 0.485549 0.626215,0.292451,0.883011,-0.0548067,0.941239,8593.89,-12464.2,4,0,500,2.60098 2.6419 2.71319 2.77413 2.82824 2.87617 2.91863 2.95625 2.98958 3.01911 3.04526 3.06844 3.08897 3.10716 3.12327 3.13755 3.1502 3.1614 3.17133 3.18012 3.18791 3.19482 3.20093 3.20635,2.60098 2.6419 2.71319 2.77413 2.82824 2.87617 2.91863 2.95625 2.98958 3.01911 3.04526 3.06844 3.08897 3.10716 3.12327 3.13755 3.1502 3.1614 3.17133 3.18012 3.18791 3.19482 3.20093 3.20635,0.273859,0.273859,4,78.3393,78.5043,0.22.1,"[0.8766576755045555, 0.36063336602017954, 0.2924510674463287, 0.48554921536069706, 0.6262150918415262]",8593.89,0.292451,0.883011,-0.0548067,True,347,66.4296,"[-0.001503498552470449, 0.9249975235972279, 0.2917803475615379, 0.10309807066008389, 0.07294635300128938]",8593.89,0.29178,0.882647,-0.0551277,True,234,11.85,"[0.5, 0.3, 0.29211839830536446, 0.08763551949160933, 0.08763551949160933]",9029.44
