task,case,kind,K,seconds
pmc,aotizhongxin__clean,hmc_in,3.000,61.689
pmc,mote20__clean,hmc_in,3.000,114.349
pmc,tsnh4__clean,hmc_in,3.000,34.877
pmc,aotizhongxin__spikes_r0.01_k6_s0,hmc_in,3.000,61.911
pmc,mote20__raw,hmc_in,3.000,252.244
pmc,aotizhongxin__spikes_r0.01_k6_s1,hmc_in,3.000,58.710
pmc,aotizhongxin__spikes_r0.01_k6_s2,hmc_in,3.000,66.600
pmc,aotizhongxin__spikes_r0.05_k6_s0,hmc_in,3.000,71.879
pmc,aotizhongxin__spikes_r0.05_k6_s1,hmc_in,3.000,64.060
pmc,aotizhongxin__spikes_r0.05_k6_s2,hmc_in,3.000,68.691
fixture,fix_hmc_in_gauss_k2__r0.00_k6_rep0,,,34.843
fixture,fix_hmc_in_gauss_k2__r0.00_k6_rep1,,,34.715
fixture,fix_hmc_in_gauss_k2__r0.00_k6_rep2,,,38.738
fixture,fix_hmc_in_gauss_k2__r0.00_k6_rep3,,,30.295
fixture,fix_hmc_in_gauss_k2__r0.00_k6_rep4,,,31.018
fixture,fix_hmc_in_gauss_k2__r0.00_k6_rep5,,,32.700
fixture,fix_hmc_in_gauss_k2__r0.00_k6_rep6,,,30.500
fixture,fix_hmc_in_gauss_k2__r0.00_k6_rep7,,,37.714
fixture,fix_hmc_in_gauss_k2__r0.00_k6_rep8,,,43.645
fixture,fix_hmc_in_gauss_k2__r0.00_k6_rep9,,,43.111
fixture,fix_hmc_in_gauss_k2__r0.01_k6_rep0,,,53.171
fixture,fix_hmc_in_gauss_k2__r0.01_k6_rep1,,,50.741
fixture,fix_hmc_in_gauss_k2__r0.01_k6_rep2,,,52.267
fixture,fix_hmc_in_gauss_k2__r0.01_k6_rep3,,,52.191
fixture,fix_hmc_in_gauss_k2__r0.01_k6_rep4,,,47.592
fixture,fix_hmc_in_gauss_k2__r0.01_k6_rep5,,,60.465
fixture,fix_hmc_in_gauss_k2__r0.01_k6_rep6,,,62.545
pmc,tsnh4__clean,pmc_state,2.000,739.221
fixture,fix_hmc_in_gauss_k2__r0.01_k6_rep7,,,56.474
fixture,fix_hmc_in_gauss_k2__r0.01_k6_rep8,,,56.461
fixture,fix_hmc_in_gauss_k2__r0.01_k6_rep9,,,53.061
fixture,fix_hmc_in_gauss_k2__r0.05_k6_rep0,,,53.075
fixture,fix_hmc_in_gauss_k2__r0.05_k6_rep1,,,50.678
fixture,fix_hmc_in_gauss_k2__r0.05_k6_rep2,,,48.437
fixture,fix_hmc_in_gauss_k2__r0.05_k6_rep3,,,48.616
fixture,fix_hmc_in_gauss_k2__r0.05_k6_rep4,,,50.491
fixture,fix_hmc_in_gauss_k2__r0.05_k6_rep5,,,54.993
fixture,fix_hmc_in_gauss_k2__r0.05_k6_rep6,,,50.513
fixture,fix_hmc_in_gauss_k2__r0.05_k6_rep7,,,48.060
fixture,fix_hmc_in_gauss_k2__r0.05_k6_rep8,,,41.444
fixture,fix_hmc_in_gauss_k2__r0.05_k6_rep9,,,39.765
fixture,fix_pmc_gauss_k2__r0.00_k6_rep0,,,236.221
fixture,fix_pmc_gauss_k2__r0.00_k6_rep2,,,221.016
fixture,fix_pmc_gauss_k2__r0.00_k6_rep1,,,227.520
fixture,fix_pmc_gauss_k2__r0.00_k6_rep4,,,207.132
fixture,fix_pmc_gauss_k2__r0.00_k6_rep3,,,211.291
fixture,fix_pmc_gauss_k2__r0.00_k6_rep5,,,218.799
pmc,aotizhongxin__clean,pmc_pair,3.000,1473.400
fixture,fix_pmc_gauss_k2__r0.00_k6_rep6,,,200.214
fixture,fix_pmc_gauss_k2__r0.00_k6_rep7,,,199.699
fixture,fix_pmc_gauss_k2__r0.00_k6_rep8,,,202.548
fixture,fix_pmc_gauss_k2__r0.00_k6_rep9,,,223.673
fixture,fix_pmc_gauss_k2__r0.01_k6_rep0,,,178.097
fixture,fix_pmc_gauss_k2__r0.01_k6_rep1,,,185.657
fixture,fix_pmc_gauss_k2__r0.01_k6_rep2,,,182.840
fixture,fix_pmc_gauss_k2__r0.01_k6_rep3,,,190.079
fixture,fix_pmc_gauss_k2__r0.01_k6_rep4,,,170.403
fixture,fix_pmc_gauss_k2__r0.01_k6_rep5,,,174.002
fixture,fix_pmc_gauss_k2__r0.01_k6_rep6,,,185.539
fixture,fix_pmc_gauss_k2__r0.01_k6_rep7,,,193.185
fixture,fix_pmc_gauss_k2__r0.01_k6_rep8,,,159.041
fixture,fix_pmc_gauss_k2__r0.01_k6_rep9,,,163.332
fixture,fix_pmc_gauss_k2__r0.05_k6_rep0,,,170.413
fixture,fix_pmc_gauss_k2__r0.05_k6_rep1,,,175.374
fixture,fix_pmc_gauss_k2__r0.05_k6_rep2,,,166.596
fixture,fix_pmc_gauss_k2__r0.05_k6_rep3,,,161.563
fixture,fix_pmc_gauss_k2__r0.05_k6_rep4,,,177.818
fixture,fix_pmc_gauss_k2__r0.05_k6_rep5,,,183.662
fixture,fix_pmc_gauss_k2__r0.05_k6_rep6,,,171.477
baselines,mote20__clean,,,3.497
baselines,mote20__raw,,,4.313
baselines,aotizhongxin__clean,,,1.977
fixture,fix_pmc_gauss_k2__r0.05_k6_rep7,,,169.837
baselines,tsnh4__clean,,,0.922
baselines,aotizhongxin__spikes_r0.01_k6_s0,,,2.151
baselines,aotizhongxin__spikes_r0.01_k6_s1,,,2.174
baselines,aotizhongxin__spikes_r0.01_k6_s2,,,2.350
baselines,aotizhongxin__spikes_r0.05_k6_s0,,,2.295
baselines,aotizhongxin__spikes_r0.05_k6_s1,,,2.302
baselines,aotizhongxin__spikes_r0.05_k6_s2,,,2.280
fixture,fix_pmc_gauss_k2__r0.05_k6_rep8,,,171.521
fixture,fix_pmc_gauss_k2__r0.05_k6_rep9,,,180.286
select,,hmc_in,2.000,3.633
select,,hmc_in,3.000,3.794
select_ext,,pmc_state,2.000,1470.813
select_ext,,pmc_state,3.000,1328.633
select_ext,,pmc_pair,2.000,1749.461
select_ext,,pmc_pair,3.000,3191.098
pmc,aotizhongxin__spikes_r0.01_k6_s0,pmc_pair,3.000,3793.407
pmc,aotizhongxin__spikes_r0.05_k6_s0,pmc_pair,3.000,3844.808
