setting,subject,K,rule,model,start,fit,mechanism,start_from,n_iter,fit_s,state_means,ll,classify_s,err_all,n_all,perm,perm_identity,err_missing,n_missing,err_observed,n_observed,acc_missing,conf_missing,brier_missing,logloss_missing,p_true_missing,ece_missing,rel_n,rel_conf,rel_correct,share_true_missing,share_post_missing,mech_rates,mech_onset,mech_persistence,sorted_rates,sorted_onset,sorted_persistence,ll_mask_common,mask,r,M,mask_rates,mask_onset,mask_persistence,err_by_activity
real,102,3,ge10,pmc_pair,0,unsupervised,ignorable,start,29,51.6899,-2.4502|-0.4051|1.0493,-6061.94,0.296403,0.403948,5268,021,False,0.710692,159,0.394402,5109,0.289308,0.956499,1.40318,5.93539,0.26201,0.717402,0|0|0|0|1|4|4|9|13|128,0|0|0|0|0.646397|2.81983|3.14007|7.40191|11.7051|126.37,0|0|0|0|1|4|4|9|8|20,0.0000|0.2893|0.7107,0.0009|0.9565|0.0426,,,,,,,-838.0507|-782.2845,,,,,,,
real,102,3,ge10,pmc_pair,0,unsupervised,state,ignorable fit,50,129.496,-2.4471|0.0624|1.2503,-6666.78,0.527328,0.415338,5268,012,True,0.289308,159,0.41926,5109,0.710692,0.998393,0.573036,1.73896,0.711894,0.287701,0|0|0|0|0|0|0|0|0|159,0|0|0|0|0|0|0|0|0|158.745,0|0|0|0|0|0|0|0|0|113,0.0000|0.2893|0.7107,0.0001|0.0015|0.9984,0.0005847|0.0004684|0.052747,,,0.0005847|0.0004684|0.052747,,,-838.0507|-782.2845,,,,,,,
real,102,3,ge10,pmc_pair,0,unsupervised,state-markov,ignorable fit,50,120.532,-2.4487|-0.0759|1.2298,-6663.01,0.314536,0.428626,5268,012,True,0.289308,159,0.432961,5109,0.710692,0.991145,0.566183,1.75173,0.708473,0.280454,0|0|0|0|0|0|0|1|3|155,0|0|0|0|0|0|0|0.84138|2.72858|154.022,0|0|0|0|0|0|0|0|1|112,0.0000|0.2893|0.7107,0.0048|0.0040|0.9911,0.00066944|0.0002436|0.051242,0.00042402|0.00023553|0.042097,0.36702|0.033393|0.22057,0.00066944|0.0002436|0.051242,0.00042402|0.00023553|0.042097,0.36702|0.033393|0.22057,-838.0507|-782.2845,,,,,,,
real,102,3,any,pmc_pair,0,unsupervised,ignorable,start,50,109.926,-2.4516|-0.1659|0.9757,-5434.95,0.577599,0.40262,5268,021,False,0.629862,797,0.362111,4471,0.370138,0.993021,1.24799,5.9564,0.369991,0.622883,0|0|0|0|4|0|2|2|5|784,0|0|0|0|2.53371|0|1.56496|1.64903|4.45142|781.238,0|0|0|0|1|0|0|1|1|292,0.0188|0.3701|0.6110,0.0026|0.9730|0.0245,,,,,,,-2971.6047|-2475.1117,,,,,,,
real,102,3,any,pmc_pair,0,unsupervised,state,ignorable fit,9,22.6087,-2.4544|0.4177|1.2749,-7610.25,0.575144,0.285497,5268,012,True,0.380176,797,0.26862,4471,0.619824,0.985852,0.744624,4.31473,0.618528,0.366028,0|0|4|8|7|5|4|1|3|765,0|0|2.09115|4.46235|4.48428|3.52092|3.12855|0.852675|2.72951|764.455,0|0|2|3|2|3|2|0|0|482,0.0188|0.3701|0.6110,0.0005|0.0237|0.9758,0.0018271|0.012329|0.46399,,,0.0018271|0.012329|0.46399,,,-2971.6047|-2475.1117,,,,,,,
real,102,3,any,pmc_pair,0,unsupervised,state-markov,ignorable fit,11,28.6357,-2.4536|-0.0275|1.0179,-7591.29,0.558364,0.448557,5268,021,False,0.629862,797,0.416238,4471,0.370138,0.993012,1.25231,7.55335,0.369361,0.622874,0|0|4|3|1|1|2|2|4|780,0|0|2.04964|1.70606|0.628264|0.673092|1.4868|1.61013|3.54065|779.736,0|0|1|1|0|0|0|1|1|291,0.0188|0.3701|0.6110,0.0001|0.9815|0.0184,0.00029206|0.018544|0.23557,0.00021315|0.017102|0.1514,0.2704|0.09486|0.5087,0.00029206|0.018544|0.23557,0.00021315|0.017102|0.1514,0.2704|0.09486|0.5087,-2971.6047|-2475.1117,,,,,,,
real,108,3,ge10,pmc_pair,0,unsupervised,ignorable,start,27,43.75,-2.4120|-0.0611|1.5598,-4708.11,0.395964,0.425272,5239,012,True,0.6,30,0.424266,5209,0.4,0.828378,0.764961,1.21294,0.500978,0.429075,0|0|1|3|3|2|1|6|4|10,0|0|0.515543|1.72868|1.85651|1.3785|0.770729|5.07972|3.53212|9.98955,0|0|0|1|1|0|0|0|0|10,0.1333|0.5667|0.3000,0.0565|0.2055|0.7380,,,,,,,-543.9521|-512.6898,,,,,,,
real,108,3,ge10,pmc_pair,0,unsupervised,state,ignorable fit,3,5.38626,-2.4127|-0.0717|1.5595,-5247.39,0.330376,0.426036,5239,012,True,0.633333,30,0.424842,5209,0.366667,0.854674,0.859086,1.39369,0.4673,0.489266,0|0|0|3|2|2|2|2|9|10,0|0|0|1.69956|1.32392|1.35906|1.50161|1.68874|8.08621|9.98113,0|0|0|1|0|0|0|0|0|10,0.1333|0.5667|0.3000,0.0507|0.1805|0.7688,0.0068844|0.012269|0.016786,,,0.0068844|0.012269|0.016786,,,-543.9521|-512.6898,,,,,,,
real,108,3,ge10,pmc_pair,0,unsupervised,state-markov,ignorable fit,3,5.33385,-2.4127|-0.0717|1.5596,-5216.51,0.40585,0.425654,5239,012,True,0.6,30,0.42465,5209,0.4,0.859281,0.858198,1.40555,0.46999,0.48618,0|0|0|2|1|4|2|1|10|10,0|0|0|1.12518|0.615107|2.71808|1.50878|0.827544|9.00233|9.9814,0|0|0|1|1|0|0|0|0|10,0.1333|0.5667|0.3000,0.0558|0.1731|0.7711,0.0069632|0.011812|0.017588,0.005832|0.010238|0.014252,0.16828|0.14347|0.20392,0.0069632|0.011812|0.017588,0.005832|0.010238|0.014252,0.16828|0.14347|0.20392,-543.9521|-512.6898,,,,,,,
real,108,3,any,pmc_pair,0,unsupervised,ignorable,start,34,71.097,-2.4168|-0.2608|1.4445,-4374.49,0.530729,0.482153,5239,012,True,0.535714,560,0.475743,4679,0.464286,0.866373,0.681723,1.2476,0.563326,0.402087,0|0|9|18|32|52|80|59|45|265,0|0|4.58343|10.1179|20.3404|36.5889|61.2273|48.9874|40.183|263.141,0|0|3|3|3|1|2|3|9|236,0.0696|0.4893|0.4411,0.0083|0.1953|0.7963,,,,,,,-2843.0024|-2569.7984,,,,,,,
