subject,level,code,n,n_missing,rate,n_bursts,burst_mean,burst_median,burst_max,burst_hist,share_len1,onset,persistence,geom_mean_len,b_over_pi,n00,n01,n10,n11,dispersion,onset_disp_1s,onset_disp_10s
102,activity,0,183651,282,0.00153552,150,1.88,1,20,99|46|5|0,0.66,0.000818027,0.468085,1.88,304.838,183218,150,150,132,5.32366,1.70545,3.55616
102,activity,1,23430,1,4.26803e-05,1,1,1,1,1|0|0|0,1,4.26821e-05,0,1,0,23428,1,1,0,1,1,1
102,activity,2,22345,2,8.95055e-05,2,1,1,1,2|0|0|0,1,8.95135e-05,0,1,0,22341,2,2,0,0.995475,0.995475,0.95
102,activity,3,25576,4,0.000156397,3,1.33333,1,2,2|1|0|0,0.666667,0.000117316,0.25,1.33333,1598.5,25569,3,3,1,1.49016,0.992126,1.6087
102,activity,4,32533,791,0.0243138,558,1.41756,1,11,418|137|3|0,0.749104,0.0175792,0.294564,1.41756,12.1151,31184,558,558,233,4.8974,2.18776,9.55648
102,activity,5,9238,395,0.0427582,260,1.51923,1,7,184|74|2|0,0.707692,0.0294018,0.341772,1.51923,7.99314,8583,260,260,135,4.71217,2.61775,8.77885
102,activity,6,25108,1,3.98279e-05,1,1,1,1,1|0|0|0,1,3.98295e-05,0,1,0,25106,1,1,0,1,1,1
102,activity,7,29739,1045,0.035139,685,1.52555,1,9,481|194|10|0,0.70219,0.0238726,0.344498,1.52555,9.80384,28009,685,685,360,7.44499,3.18123,13.6112
102,activity,12,17342,1,5.76635e-05,1,1,1,1,1|0|0|0,1,5.76668e-05,0,1,0,17340,1,1,0,1,1,1
102,activity,13,15213,6,0.0003944,5,1.2,1,2,4|1|0|0,0.8,0.000328796,0.166667,1.2,422.583,15202,5,5,1,1.37584,0.979866,0.769231
102,activity,16,20683,2,9.66978e-05,2,1,1,1,2|0|0|0,1,9.67071e-05,0,1,0,20679,2,2,0,0.995098,0.995098,0.944444
102,activity,17,28880,11,0.000380886,10,1.1,1,2,9|1|0|0,0.9,0.000346392,0.0909091,1.1,238.678,28859,10,10,1,1.16934,0.972125,0.934156
102,activity,24,13262,188,0.0141758,139,1.35252,1,5,104|35|0|0,0.748201,0.0106318,0.260638,1.35252,18.3861,12935,139,139,49,1.79146,1.03394,1.54916
102,K2,-1,183651,282,0.00153552,150,1.88,1,20,99|46|5|0,0.66,0.000818027,0.468085,1.88,304.838,183218,150,150,132,5.32366,,
102,K2,0,100231,18,0.000179585,16,1.125,1,2,14|2|0|0,0.875,0.00015966,0.111111,1.125,618.71,100197,16,16,2,1.21948,,
102,K2,1,163118,2429,0.0148911,1651,1.47123,1,11,1195|441|15|0,0.723804,0.0102745,0.320296,1.47123,21.5093,159038,1651,1651,778,7.31474,,
102,K3,-1,183651,282,0.00153552,150,1.88,1,20,99|46|5|0,0.66,0.000818027,0.468085,1.88,304.838,183218,150,150,132,5.32366,,
102,K3,0,100231,18,0.000179585,16,1.125,1,2,14|2|0|0,0.875,0.00015966,0.111111,1.125,618.71,100197,16,16,2,1.21948,,
102,K3,1,110879,801,0.00722409,567,1.4127,1,11,426|138|3|0,0.751323,0.00515089,0.292135,1.4127,40.439,109511,567,567,234,6.53432,,
102,K3,2,52239,1628,0.0311645,1084,1.50185,1,9,769|303|12|0,0.70941,0.0214183,0.334152,1.50185,10.7222,49527,1084,1084,544,6.45289,,
108,activity,0,145929,1145,0.00784628,567,2.04762,1,77,360|181|24|2,0.634921,0.00391618,0.505245,2.0212,64.3929,144217,567,566,578,13.8251,3.45603,21.0606
108,activity,1,24165,2,8.27643e-05,2,1,1,1,2|0|0|0,1,8.27712e-05,0,1,0,24161,2,2,0,0.995833,0.995833,
108,activity,2,22923,23,0.00100336,6,1.16667,1,2,5|1|0|0,0.833333,0.00026202,0.708333,3.42857,705.962,22893,6,7,17,1.54751,1.31278,1.46032
108,activity,3,25160,24,0.000953895,11,2.18182,1,5,6|5|0|0,0.545455,0.000437619,0.541667,2.18182,567.847,25125,11,11,13,7.01539,1.50748,0.956522
108,activity,4,31533,486,0.0154124,385,1.26234,1,21,321|63|0|1,0.833766,0.0124006,0.207819,1.26234,13.4839,30662,385,385,101,2.98101,1.47597,3.50944
108,activity,5,16532,193,0.0116743,168,1.14881,1,4,149|19|0|0,0.886905,0.0102821,0.129534,1.14881,11.0956,16171,168,168,25,2.51915,1.87413,5.53651
108,activity,6,25475,10,0.000392542,9,1.11111,1,2,8|1|0|0,0.888889,0.000353426,0.1,1.11111,254.75,25456,9,9,1,1.36587,1.19136,1.34783
108,activity,7,28888,114,0.00394628,98,1.16327,1,3,83|15|0|0,0.846939,0.00340585,0.140351,1.16327,35.5654,28676,98,98,16,1.31047,0.96921,1.02646
108,activity,12,11683,0,0,0,,,0,0|0|0|0,,0,,,,11683,0,0,0,,,
108,activity,13,9655,0,0,0,,,0,0|0|0|0,,0,,,,9655,0,0,0,,,
108,activity,16,24292,25,0.00102915,22,1.13636,1,2,19|3|0|0,0.863636,0.000906581,0.12,1.13636,116.602,24245,22,22,3,1.38241,1.18672,2.22727
108,activity,17,32990,50,0.00151561,22,2.27273,1,24,18|3|0|1,0.818182,0.000667881,0.56,2.27273,369.488,32918,22,22,28,12.3255,1.11835,1.261
108,activity,24,8806,79,0.00897116,61,1.29508,1,4,48|13|0|0,0.786885,0.0069898,0.227848,1.29508,25.3979,8666,61,61,18,2.85899,2.19291,2.92037
108,K2,-1,145929,1145,0.00784628,567,2.04762,1,77,360|181|24|2,0.634921,0.00391618,0.505245,2.0212,64.3929,144217,567,566,578,13.8251,,
108,K2,0,105238,99,0.000940725,41,2.02439,1,24,31|9|0|1,0.756098,0.000389964,0.58,2.38095,616.546,105097,41,42,58,9.62892,,
108,K2,1,156864,907,0.00578208,743,1.22073,1,21,628|114|0|1,0.845222,0.00476413,0.180816,1.22073,31.2718,155214,743,743,164,3.21668,,
108,K3,-1,145929,1145,0.00784628,567,2.04762,1,77,360|181|24|2,0.634921,0.00391618,0.505245,2.0212,64.3929,144217,567,566,578,13.8251,,
108,K3,0,105238,99,0.000940725,41,2.02439,1,24,31|9|0|1,0.756098,0.000389964,0.58,2.38095,616.546,105097,41,42,58,9.62892,,
108,K3,1,102638,521,0.00507609,416,1.2524,1,21,348|67|0|1,0.836538,0.00407376,0.201536,1.2524,39.7029,101701,416,416,105,3.80196,,
108,K3,2,54226,386,0.00711836,327,1.18043,1,4,280|47|0|0,0.856269,0.00607355,0.15285,1.18043,21.4726,53513,327,327,59,2.39324,,
105,activity,0,102341,120,0.00117255,79,1.51899,1,8,58|20|1|0,0.734177,0.000772843,0.341667,1.51899,291.388,102141,79,79,41,4.06191,1.75689,3.11712
105,activity,1,23699,12,0.00050635,4,3,1,9,3|0|1|0,0.75,0.000168869,0.666667,3,1316.61,23683,4,4,8,6.97872,0.987234,0.909091
105,activity,2,26864,38,0.00141453,5,7.6,3,28,1|3|0|1,0.2,0.000186386,0.868421,7.6,613.928,26821,5,5,33,27.5926,1.78797,2.504
105,activity,3,22132,7,0.000316284,5,1.4,1,3,4|1|0|0,0.8,0.000225989,0.285714,1.4,903.347,22120,5,5,2,1.83377,0.981818,0.8
105,activity,4,32033,1124,0.0350888,679,1.65538,1,20,454|208|17|0,0.66863,0.0219677,0.395907,1.65538,11.283,30230,679,679,445,7.64306,3.30968,20.1324
105,activity,5,24646,60,0.00243447,50,1.2,1,5,45|5|0|0,0.9,0.00203368,0.166667,1.2,68.4611,24536,50,50,10,3.10204,2.36637,4.50435
105,activity,6,24577,11,0.000447573,11,1,1,1,11|0|0|0,1,0.000447773,0,1,0,24555,11,11,0,2.96721,2.96721,4.73913
105,activity,7,26271,75,0.00285486,59,1.27119,1,4,50|9|0|0,0.847458,0.00225225,0.213333,1.27119,74.7264,26137,59,59,16,2.64277,1.6957,6.30556
105,activity,12,14281,6,0.000420139,5,1.2,1,2,4|1|0|0,0.8,0.000350263,0.166667,1.2,396.694,14270,5,5,1,1.29976,0.971223,0.636364
105,activity,13,12727,4,0.000314292,4,1,1,1,4|0|0|0,1,0.000314391,0,1,0,12719,4,4,0,0.975806,0.975806,0.8
105,activity,16,24445,7,0.000286357,5,1.4,1,3,4|1|0|0,0.8,0.000204599,0.285714,1.4,997.755,24433,5,5,2,1.83598,0.983539,2.43182
