subject,rule,level,code,n,n_missing,rate,n_bursts,burst_mean,burst_median,burst_max,burst_hist,share_len1,onset,persistence,geom_mean_len,b_over_pi,n00,n01,n10,n11,dispersion
102,ge10,activity,0,3672,10,0.00272331,9,1.11111,1,2,8|1|0|0,0.888889,0.00245834,0.1,1.11111,36.72,3652,9,9,1,1.34941
102,ge10,activity,1,469,0,0,0,,,0,0|0|0|0,,0,,,,469,0,0,0,
102,ge10,activity,2,447,0,0,0,,,0,0|0|0|0,,0,,,,447,0,0,0,
102,ge10,activity,3,512,0,0,0,,,0,0|0|0|0,,0,,,,512,0,0,0,
102,ge10,activity,4,651,46,0.0706605,40,1.15,1,3,36|2|2|0,0.9,0.0661157,0.130435,1.15,1.84594,565,40,40,6,3.13885
102,ge10,activity,5,184,33,0.179348,27,1.22222,1,2,21|6|0|0,0.777778,0.178808,0.181818,1.22222,1.01377,124,27,27,6,2.59091
102,ge10,activity,6,502,0,0,0,,,0,0|0|0|0,,0,,,,502,0,0,0,
102,ge10,activity,7,595,72,0.121008,52,1.38462,1,6,43|5|2|2,0.826923,0.0994264,0.277778,1.38462,2.29552,471,52,52,20,3.78671
102,ge10,activity,12,347,0,0,0,,,0,0|0|0|0,,0,,,,347,0,0,0,
102,ge10,activity,13,305,0,0,0,,,0,0|0|0|0,,0,,,,305,0,0,0,
102,ge10,activity,16,414,0,0,0,,,0,0|0|0|0,,0,,,,414,0,0,0,
102,ge10,activity,17,577,0,0,0,,,0,0|0|0|0,,0,,,,577,0,0,0,
102,ge10,activity,24,265,8,0.0301887,7,1.14286,1,2,6|1|0|0,0.857143,0.0272374,0.125,1.14286,4.14062,250,7,7,1,0.958333
102,ge10,K2,-1,3672,10,0.00272331,9,1.11111,1,2,8|1|0|0,0.888889,0.00245834,0.1,1.11111,36.72,3652,9,9,1,1.34941
102,ge10,K2,0,2005,0,0,0,,,0,0|0|0|0,,0,,,,2005,0,0,0,
102,ge10,K2,1,3263,159,0.0487282,126,1.2619,1,6,106|14|4|2,0.84127,0.0405928,0.207547,1.2619,4.25929,2978,126,126,33,4.3989
102,ge10,K3,-1,3672,10,0.00272331,9,1.11111,1,2,8|1|0|0,0.888889,0.00245834,0.1,1.11111,36.72,3652,9,9,1,1.34941
102,ge10,K3,0,2005,0,0,0,,,0,0|0|0|0,,0,,,,2005,0,0,0,
102,ge10,K3,1,2219,46,0.0207301,40,1.15,1,3,36|2|2|0,0.9,0.0184077,0.130435,1.15,6.29206,2133,40,40,6,4.07901
102,ge10,K3,2,1044,113,0.108238,86,1.31395,1,6,70|12|2|2,0.813953,0.0923738,0.238938,1.31395,2.20753,845,86,86,27,3.61628
102,ge10,series,0,8940,169,0.0189038,135,1.25185,1,6,114|15|4|2,0.844444,0.0153934,0.201183,1.25185,10.6425,8635,135,135,34,4.78648
102,any,activity,0,3672,127,0.0345861,94,1.35106,1,3,68|19|7|0,0.723404,0.0265237,0.259843,1.35106,7.51293,3450,94,94,33,2.41543
102,any,activity,1,469,1,0.0021322,1,1,1,1,1|0|0|0,1,0.00213675,0,1,0,467,1,1,0,1
102,any,activity,2,447,2,0.00447427,2,1,1,1,2|0|0|0,1,0.00449438,0,1,0,443,2,2,0,0.952381
102,any,activity,3,512,3,0.00585938,3,1,1,1,3|0|0|0,1,0.00589391,0,1,0,506,3,3,0,1.61111
102,any,activity,4,651,286,0.439324,130,2.2,1,23,81|16|24|9,0.623077,0.356164,0.545455,2.2,1.24158,235,130,130,156,2.5838
102,any,activity,5,184,101,0.548913,31,3.25806,2,15,12|11|3|5,0.387097,0.373494,0.693069,3.25806,1.26262,52,31,31,70,3.02475
102,any,activity,6,502,1,0.00199203,1,1,1,1,1|0|0|0,1,0.00199601,0,1,0,500,1,1,0,1
102,any,activity,7,595,280,0.470588,144,1.94444,1,13,101|15|17|11,0.701389,0.457143,0.485714,1.94444,1.03214,171,144,144,136,1.88889
102,any,activity,12,347,1,0.00288184,1,1,1,1,1|0|0|0,1,0.00289017,0,1,0,345,1,1,0,1
102,any,activity,13,305,5,0.0163934,5,1,1,1,5|0|0|0,1,0.0166667,0,1,0,295,5,5,0,0.769231
102,any,activity,16,414,2,0.00483092,2,1,1,1,2|0|0|0,1,0.00485437,0,1,0,410,2,2,0,0.944444
102,any,activity,17,577,9,0.0155979,9,1,1,1,9|0|0|0,1,0.0158451,0,1,0,559,9,9,0,0.934156
102,any,activity,24,265,106,0.4,64,1.65625,1,6,44|9|9|2,0.6875,0.402516,0.396226,1.65625,0.990566,95,64,64,42,0.916667
102,any,K2,-1,3672,127,0.0345861,94,1.35106,1,3,68|19|7|0,0.723404,0.0265237,0.259843,1.35106,7.51293,3450,94,94,33,2.41543
102,any,K2,0,2005,15,0.0074813,15,1,1,1,15|0|0|0,1,0.00753769,0,1,0,1975,15,15,0,1.12509
102,any,K2,1,3263,782,0.239657,378,2.06878,1,23,247|51|53|27,0.653439,0.152358,0.516624,2.06878,2.15568,2103,378,378,404,6.36387
102,any,K3,-1,3672,127,0.0345861,94,1.35106,1,3,68|19|7|0,0.723404,0.0265237,0.259843,1.35106,7.51293,3450,94,94,33,2.41543
102,any,K3,0,2005,15,0.0074813,15,1,1,1,15|0|0|0,1,0.00753769,0,1,0,1975,15,15,0,1.12509
102,any,K3,1,2219,295,0.132943,139,2.1223,1,23,90|16|24|9,0.647482,0.0722453,0.528814,2.1223,3.97775,1785,139,139,156,8.43681
102,any,K3,2,1044,487,0.466475,239,2.03766,1,15,157|35|29|18,0.656904,0.429084,0.50924,2.03766,1.09168,318,239,239,248,1.93235
102,any,series,0,8940,924,0.103356,487,1.89733,1,23,330|70|60|27,0.677618,0.0607611,0.472944,1.89733,4.57588,7528,487,487,437,7.95067
108,ge10,activity,0,2921,71,0.0243067,56,1.26786,1,6,48|5|2|1,0.857143,0.019656,0.211268,1.26786,8.69173,2793,56,56,15,3.96241
108,ge10,activity,1,483,0,0,0,,,0,0|0|0|0,,0,,,,483,0,0,0,
108,ge10,activity,2,459,1,0.00217865,1,1,1,1,1|0|0|0,1,0.00218341,0,1,0,457,1,1,0,
108,ge10,activity,3,503,2,0.00397614,1,2,2,2,0|1|0|0,0,0.00199601,0.5,2,125.75,500,1,1,1,
108,ge10,activity,4,630,17,0.0269841,16,1.0625,1,2,15|1|0|0,0.9375,0.0261011,0.0588235,1.0625,2.17993,597,16,16,1,1.31765
108,ge10,activity,5,330,6,0.0181818,6,1,1,1,6|0|0|0,1,0.0185185,0,1,0,318,6,6,0,1.73333
108,ge10,activity,6,510,0,0,0,,,0,0|0|0|0,,0,,,,510,0,0,0,
108,ge10,activity,7,577,1,0.0017331,1,1,1,1,1|0|0|0,1,0.00173611,0,1,0,575,1,1,0,1
108,ge10,activity,12,233,0,0,0,,,0,0|0|0|0,,0,,,,233,0,0,0,
108,ge10,activity,13,193,0,0,0,,,0,0|0|0|0,,0,,,,193,0,0,0,
