subject,resolution,rule,classes,mechanism,statistic,observed,sim_median,sim_lo,sim_hi,p_two_sided,S
102,100Hz,-,activity,state-markov,M,2729,2719,2576.18,2859.55,0.926829,40
102,100Hz,-,activity,state-markov,n_bursts,1817,1820.5,1725.85,1908.35,0.97561,40
102,100Hz,-,activity,state-markov,mean_len,1.50193,1.50029,1.4668,1.53963,0.926829,40
102,100Hz,-,activity,state-markov,max_len,20,8,6.975,11.025,0.0487805,40
102,100Hz,-,activity,state-markov,share_len1,0.719868,0.670354,0.653532,0.690113,0.0487805,40
102,100Hz,-,activity,state-markov,onset_disp_1s,3.95598,2.40889,2.31042,2.55134,0.0487805,40
102,100Hz,-,activity,state-markov,onset_disp_10s,24.5641,15.4287,14.5777,16.5507,0.0487805,40
102,2Hz,ge10,K3,state,M,169,169.5,148,194,1,200
102,2Hz,ge10,K3,state,n_bursts,135,157.5,137,178.05,0.0497512,200
102,2Hz,ge10,K3,state,mean_len,1.25185,1.0817,1.04161,1.13337,0.00995025,200
102,2Hz,ge10,K3,state,max_len,6,3,2,4,0.00995025,200
102,2Hz,ge10,K3,state,share_in_runs,0.325444,0.145001,0.0768919,0.221726,0.00995025,200
102,2Hz,ge10,K3,state,dispersion,4.78648,2.06923,1.70336,2.41095,0.00995025,200
102,2Hz,ge10,K3,state-markov,M,169,170,140.975,196.075,0.955224,200
102,2Hz,ge10,K3,state-markov,n_bursts,135,136,117,156,0.985075,200
102,2Hz,ge10,K3,state-markov,mean_len,1.25185,1.24832,1.16538,1.33875,0.955224,200
102,2Hz,ge10,K3,state-markov,max_len,6,4,3,6,0.159204,200
102,2Hz,ge10,K3,state-markov,share_in_runs,0.325444,0.355502,0.256399,0.438287,0.557214,200
102,2Hz,ge10,K3,state-markov,dispersion,4.78648,2.35443,1.94207,2.84203,0.00995025,200
102,2Hz,ge10,activity,state,M,169,168,146.975,194,0.975124,200
102,2Hz,ge10,activity,state,n_bursts,135,151,133.95,173,0.119403,200
102,2Hz,ge10,activity,state,mean_len,1.25185,1.11447,1.06625,1.18185,0.00995025,200
102,2Hz,ge10,activity,state,max_len,6,3,2,5,0.0199005,200
102,2Hz,ge10,activity,state,share_in_runs,0.325444,0.192539,0.117196,0.279658,0.00995025,200
102,2Hz,ge10,activity,state,dispersion,4.78648,2.60171,2.20277,3.02394,0.00995025,200
102,2Hz,ge10,activity,state-markov,M,169,169,147.925,202.025,1,200
102,2Hz,ge10,activity,state-markov,n_bursts,135,135,120,159.025,1,200
102,2Hz,ge10,activity,state-markov,mean_len,1.25185,1.24002,1.16652,1.34359,0.80597,200
102,2Hz,ge10,activity,state-markov,max_len,6,4,3,6.025,0.159204,200
102,2Hz,ge10,activity,state-markov,share_in_runs,0.325444,0.346487,0.265576,0.436256,0.557214,200
102,2Hz,ge10,activity,state-markov,dispersion,4.78648,2.81476,2.36075,3.28617,0.00995025,200
102,2Hz,any,K3,state,M,924,926,877.975,974.075,0.955224,200
102,2Hz,any,K3,state,n_bursts,487,653,618,683.025,0.00995025,200
102,2Hz,any,K3,state,mean_len,1.89733,1.41846,1.36003,1.47497,0.00995025,200
