setting,subject,K,rule,mask,r,M,model,fit,mechanism,start_from,subset,n,rmse,mae,crps,cov90,width90,impute_s
controlled,102,2,ge10,state,0,169,hmc_in,oracle,ignorable,,all,169,0.638228,0.508621,0.368785,0.970414,2.82123,0.940344
controlled,102,2,ge10,state,0,169,hmc_in,oracle,ignorable,,locomotion,105,0.548854,0.420335,0.322818,0.980952,2.78301,0.940344
controlled,102,2,ge10,state,0,169,hmc_in,oracle,ignorable,,vigorous,46,0.784504,0.681235,0.459055,0.934783,2.70396,0.940344
controlled,102,2,ge10,state,0,169,hmc_in,oracle,ignorable,,transient,18,0.703114,0.5825,0.406235,1,3.3439,0.940344
controlled,102,2,ge10,state,0,169,hmc_in,oracle,state,,all,169,0.750237,0.554861,0.410055,0.934911,2.72845,0.933026
controlled,102,2,ge10,state,0,169,hmc_in,oracle,state,,locomotion,105,0.619562,0.443947,0.347741,0.952381,2.70151,0.933026
controlled,102,2,ge10,state,0,169,hmc_in,oracle,state,,vigorous,46,0.784499,0.681232,0.455735,0.934783,2.70397,0.933026
controlled,102,2,ge10,state,0,169,hmc_in,oracle,state,,transient,18,1.21352,0.878911,0.656811,0.833333,2.94821,0.933026
controlled,102,2,ge10,state,0,169,hmc_in,oracle,state-markov,,all,169,0.750743,0.555196,0.409297,0.934911,2.72787,0.996811
controlled,102,2,ge10,state,0,169,hmc_in,oracle,state-markov,,locomotion,105,0.619853,0.444333,0.342868,0.952381,2.70145,0.996811
controlled,102,2,ge10,state,0,169,hmc_in,oracle,state-markov,,vigorous,46,0.784499,0.681232,0.460534,0.934783,2.70397,0.996811
controlled,102,2,ge10,state,0,169,hmc_in,oracle,state-markov,,transient,18,1.21559,0.879807,0.665862,0.833333,2.94304,0.996811
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,ignorable,start,all,169,0.689576,0.5443,0.386323,0.911243,2.32123,0.812826
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,ignorable,start,locomotion,105,0.577298,0.428612,0.319503,0.952381,2.32156,0.812826
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,ignorable,start,vigorous,46,0.888877,0.791453,0.533241,0.804348,2.21953,0.812826
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,ignorable,start,transient,18,0.708037,0.587533,0.400652,0.944444,2.57924,0.812826
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state,start,all,169,0.689506,0.538118,0.384034,0.899408,2.27745,0.707815
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state,start,locomotion,105,0.533075,0.405465,0.301706,0.952381,2.28567,0.707815
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state,start,vigorous,46,0.883731,0.786664,0.530609,0.804348,2.21342,0.707815
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state,start,transient,18,0.900087,0.676752,0.489705,0.833333,2.39314,0.707815
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state-markov,start,all,169,0.691362,0.539598,0.387745,0.899408,2.28781,0.653536
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state-markov,start,locomotion,105,0.537575,0.408235,0.307271,0.952381,2.3018,0.653536
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state-markov,start,vigorous,46,0.883675,0.786601,0.531879,0.804348,2.213,0.653536
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state-markov,start,transient,18,0.897986,0.674653,0.488835,0.833333,2.39733,0.653536
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state,ignorable fit,all,169,0.688889,0.537964,0.388598,0.899408,2.27479,0.595242
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state,ignorable fit,locomotion,105,0.533678,0.406114,0.307079,0.952381,2.28249,0.595242
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state,ignorable fit,vigorous,46,0.882333,0.785131,0.532795,0.804348,2.20997,0.595242
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state,ignorable fit,transient,18,0.897067,0.675441,0.495623,0.833333,2.39556,0.595242
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state-markov,ignorable fit,all,169,0.690531,0.539289,0.383195,0.899408,2.28489,0.666335
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state-markov,ignorable fit,locomotion,105,0.537619,0.408572,0.303594,0.952381,2.29817,0.666335
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state-markov,ignorable fit,vigorous,46,0.882339,0.785136,0.523172,0.804348,2.20982,0.666335
controlled,102,2,ge10,state,0,169,hmc_in,unsupervised,state-markov,ignorable fit,transient,18,0.895173,0.673528,0.489817,0.833333,2.39933,0.666335
controlled,102,2,ge10,state,1,165,hmc_in,oracle,ignorable,,all,165,0.630444,0.493243,0.363546,0.981818,2.79602,0.622733
controlled,102,2,ge10,state,1,165,hmc_in,oracle,ignorable,,locomotion,109,0.578828,0.446821,0.34069,0.990826,2.75269,0.622733
controlled,102,2,ge10,state,1,165,hmc_in,oracle,ignorable,,vigorous,45,0.641288,0.526289,0.367899,0.977778,2.70457,0.622733
controlled,102,2,ge10,state,1,165,hmc_in,oracle,ignorable,,transient,11,0.979568,0.818056,0.572232,0.909091,3.59945,0.622733
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state,,all,165,0.654545,0.508109,0.374408,0.975758,2.75811,0.684086
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state,,locomotion,109,0.591793,0.458985,0.341586,0.990826,2.68843,0.684086
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state,,vigorous,45,0.641284,0.526286,0.374242,0.977778,2.70459,0.684086
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state,,transient,11,1.12859,0.920524,0.700332,0.818182,3.66758,0.684086
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state-markov,,all,165,0.654433,0.50787,0.372934,0.975758,2.75857,0.625402
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state-markov,,locomotion,109,0.591796,0.458987,0.342515,0.990826,2.68843,0.625402
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state-markov,,vigorous,45,0.641283,0.526286,0.3698,0.977778,2.70459,0.625402
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state-markov,,transient,11,1.12761,0.916916,0.687171,0.818182,3.67442,0.625402
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,ignorable,start,all,165,0.639041,0.503515,0.365281,0.909091,2.29747,0.595632
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,ignorable,start,locomotion,109,0.559613,0.42884,0.325093,0.93578,2.29175,0.595632
