subject,rule,K,alternative,null,LR,df,p_chi2
102,ge10,2,state,common,155.352,1,1.17294e-35
102,ge10,2,state-markov,common,127.627,2,1.93296e-28
102,ge10,2,state-markov,state,54.2964,2,1.62066e-12
102,ge10,3,state,common,262.867,2,8.30012e-58
102,ge10,3,state-markov,common,212.054,4,9.60811e-45
102,ge10,3,state-markov,state,31.208,3,7.6851e-07
102,any,2,state,common,706.673,1,1.05815e-155
102,any,2,state-markov,common,388.916,2,3.53082e-85
102,any,2,state-markov,state,393.102,2,4.35399e-86
102,any,3,state,common,1118.4,2,1.38797e-243
102,any,3,state-markov,common,747.74,4,1.59998e-160
102,any,3,state-markov,state,340.199,3,1.97593e-73
108,ge10,2,state,common,10.5045,1,0.00119084
108,ge10,2,state-markov,common,13.9753,2,0.000923206
108,ge10,2,state-markov,state,9.86242,2,0.00721777
108,ge10,3,state,common,10.5045,2,0.00523561
108,ge10,3,state-markov,common,14.8692,4,0.00498029
108,ge10,3,state-markov,state,10.7563,3,0.0131195
108,any,2,state,common,353.951,1,5.84399e-79
108,any,2,state-markov,common,240.576,2,5.74769e-53
108,any,2,state-markov,state,154.608,2,2.67442e-34
108,any,3,state,common,398.028,2,3.70962e-87
108,any,3,state-markov,common,282.137,4,7.71115e-60
108,any,3,state-markov,state,152.093,3,9.31773e-33
105,ge10,2,state,common,61.271,1,4.97361e-15
105,ge10,2,state-markov,common,40.9985,2,1.25109e-09
105,ge10,2,state-markov,state,113.362,2,2.41999e-25
105,ge10,3,state,common,109.253,2,1.88813e-24
105,ge10,3,state-markov,common,72.3927,4,7.08983e-15
105,ge10,3,state-markov,state,96.7739,3,7.67444e-21
105,any,2,state,common,246.58,1,1.44573e-55
105,any,2,state-markov,common,127.638,2,1.92175e-28
105,any,2,state-markov,state,390.638,2,1.4929e-85
105,any,3,state,common,270.95,2,1.45847e-59
105,any,3,state-markov,common,166.846,4,4.97033e-35
105,any,3,state-markov,state,405.475,3,1.44285e-87
