subject,rule,K,mechanism,estimate,rates,onset,persistence
102,ge10,2,state,guard,9.4505e-06|0.048719,,
102,ge10,2,state,plain,0|0.048728,,
102,ge10,2,state-markov,guard,9.6619e-06|0.048717,7.7012e-06|0.040585,0.20294|0.20752
102,ge10,2,state-markov,plain,0|0.048728,0|0.040593,0.20294|0.20755
102,ge10,3,state,guard,9.4505e-06|0.020729|0.10815,,
102,ge10,3,state,plain,0|0.02073|0.10824,,
102,ge10,3,state-markov,guard,9.6619e-06|0.020765|0.10811,7.7012e-06|0.018406|0.092291,0.20294|0.13198|0.23862
102,ge10,3,state-markov,plain,0|0.02073|0.10824,0|0.018408|0.092374,0.20294|0.13043|0.23894
102,any,2,state,guard,0.0075291|0.23962,,
102,any,2,state,plain,0.0074813|0.23966,,
102,any,2,state-markov,guard,0.0077346|0.23959,0.0075644|0.15232,0.029561|0.51657
102,any,2,state-markov,plain,0.0074813|0.23966,0.0075377|0.15236,0|0.51662
102,any,3,state,guard,0.0075291|0.13293|0.46613,,
102,any,3,state,plain,0.0074813|0.13294|0.46648,,
102,any,3,state-markov,guard,0.0077346|0.13289|0.46605,0.0075644|0.072239|0.42842,0.029561|0.52862|0.50917
102,any,3,state-markov,plain,0.0074813|0.13294|0.46648,0.0075377|0.072245|0.42908,0|0.52881|0.50924
108,ge10,2,state,guard,0.0019052|0.0082974,,
108,ge10,2,state,plain,0.0019002|0.0082961,,
108,ge10,2,state-markov,guard,0.001867|0.0083393,0.0014322|0.0080445,0.23431|0.043391
108,ge10,2,state-markov,plain,0.0019002|0.0082961,0.0014279|0.0080438,0.25|0.038462
108,ge10,3,state,guard,0.0019052|0.0082907|0.0083141,,
108,ge10,3,state,plain,0.0019002|0.0082886|0.0083102,,
108,ge10,3,state-markov,guard,0.001867|0.0083451|0.008456,0.0014322|0.0078676|0.0083818,0.23431|0.065087|0.017157
108,ge10,3,state-markov,plain,0.0019002|0.0082886|0.0083102,0.0014279|0.0078663|0.0083799,0.25|0.058824|0
108,any,2,state,guard,0.018571|0.16622,,
108,any,2,state,plain,0.018527|0.16624,,
108,any,2,state-markov,guard,0.018717|0.16623,0.017938|0.12627,0.059589|0.36664
108,any,2,state-markov,plain,0.018527|0.16624,0.017909|0.12629,0.051282|0.3666
108,any,3,state,guard,0.018571|0.13358|0.22796,,
108,any,3,state,plain,0.018527|0.13359|0.22807,,
108,any,3,state-markov,guard,0.018717|0.13359|0.22797,0.017938|0.096781|0.18886,0.059589|0.3723|0.36042
108,any,3,state-markov,plain,0.018527|0.13359|0.22807,0.017909|0.096792|0.189,0.051282|0.37226|0.36032
105,ge10,2,state,guard,0.0023704|0.02759,,
105,ge10,2,state,plain,0.0023652|0.027594,,
105,ge10,2,state-markov,guard,0.002426|0.027589,0.0019002|0.019429,0.21865|0.31518
105,ge10,2,state-markov,plain,0.0023652|0.027594,0.0018966|0.019432,0.2|0.31522
105,ge10,3,state,guard,0.0023704|0.040228|0.004274,,
105,ge10,3,state,plain,0.0023652|0.040241|0.0042662,,
105,ge10,3,state-markov,guard,0.002426|0.040214|0.0045037,0.0019002|0.027943|0.0042889,0.21865|0.33309|0.05198
105,ge10,3,state-markov,plain,0.0023652|0.040241|0.0042662,0.0018966|0.027952|0.0042845,0.2|0.33333|0
105,any,2,state,guard,0.013743|0.11846,,
105,any,2,state,plain,0.013718|0.11848,,
105,any,2,state-markov,guard,0.013899|0.11843,0.012963|0.070082,0.080278|0.4783
105,any,2,state-markov,plain,0.013718|0.11848,0.01295|0.070092,0.068966|0.47848
105,any,3,state,guard,0.013743|0.13826|0.081897,,
105,any,3,state,plain,0.013718|0.1383|0.081911,,
105,any,3,state-markov,guard,0.013899|0.13813|0.082079,0.012963|0.069765|0.070605,0.080278|0.56469|0.2104
105,any,3,state-markov,plain,0.013718|0.1383|0.081911,0.01295|0.06978|0.070632,0.068966|0.56522|0.20833
