task,seconds,cpu_seconds,cached,spec
test,125.68,81.7568,True,"{""task"": ""test"", ""subject"": 102, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state"", ""null"": ""common"", ""B"": 99, ""quick"": false}"
test,143.939,94.0938,True,"{""task"": ""test"", ""subject"": 102, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""common"", ""B"": 99, ""quick"": false}"
test,145.135,94.8652,True,"{""task"": ""test"", ""subject"": 102, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""state"", ""B"": 99, ""quick"": false}"
test,203.254,134.856,True,"{""task"": ""test"", ""subject"": 102, ""K"": 3, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state"", ""null"": ""common"", ""B"": 99, ""quick"": false}"
test,314.674,172.296,True,"{""task"": ""test"", ""subject"": 102, ""K"": 3, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""common"", ""B"": 99, ""quick"": false}"
test,317.128,172.482,True,"{""task"": ""test"", ""subject"": 102, ""K"": 3, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""state"", ""B"": 99, ""quick"": false}"
test,125.7,76.9007,True,"{""task"": ""test"", ""subject"": 108, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state"", ""null"": ""common"", ""B"": 99, ""quick"": false}"
test,177.416,87.5984,True,"{""task"": ""test"", ""subject"": 108, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""common"", ""B"": 99, ""quick"": false}"
test,173.766,84.7616,True,"{""task"": ""test"", ""subject"": 108, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""state"", ""B"": 99, ""quick"": false}"
test,229.41,133.133,True,"{""task"": ""test"", ""subject"": 108, ""K"": 3, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state"", ""null"": ""common"", ""B"": 99, ""quick"": false}"
test,282.399,152.318,True,"{""task"": ""test"", ""subject"": 108, ""K"": 3, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""common"", ""B"": 99, ""quick"": false}"
test,276.745,149.17,True,"{""task"": ""test"", ""subject"": 108, ""K"": 3, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""state"", ""B"": 99, ""quick"": false}"
test,126.826,77.8553,True,"{""task"": ""test"", ""subject"": 105, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state"", ""null"": ""common"", ""B"": 99, ""quick"": false}"
