case,N,r,M,rates0_c0,rates1_c0,rates0_c0.1,rates1_c0.1,rates0_c1,rates1_c1,rates0_c10,rates1_c10,onset0_c0,onset1_c0,persistence0_c0,persistence1_c0,onset0_c0.1,onset1_c0.1,persistence0_c0.1,persistence1_c0.1,onset0_c1,onset1_c1,persistence0_c1,persistence1_c1,onset0_c10,onset1_c10,persistence0_c10,persistence1_c10
"state-(0.02,0.3)",500,0,71,0.020295050617825078,0.31083179080627016,0.02036621452472798,0.3107405355125366,0.02098644109153399,0.3099227722188209,0.026334848193928326,0.30220242000375824,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,1,73,0.016111288433701357,0.31308690827489055,0.016181052867088822,0.31299218506733373,0.0168141724495232,0.31213172119419663,0.0227107867280125,0.3039515474184925,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,2,82,0.041771617460156826,0.2878174875361388,0.041844943589818835,0.28777169075696474,0.04235576044021622,0.28725321276602434,0.04731867122021712,0.2824109445269117,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,3,82,0.05239272688444893,0.325987579871755,0.05244961436799982,0.3258867287504678,0.05294967785343688,0.32500040796479174,0.05770684182462498,0.31652945904332735,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,4,54,0.007431595122404093,0.27209447440319595,0.0074848740129782295,0.27198808048391543,0.007996481600984399,0.27102204747158454,0.012618173076843396,0.2620677604062903,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,5,66,0.03158554917746904,0.32145970391337,0.03162719325738132,0.32133595197164305,0.03197111453748041,0.3202644022415902,0.03530143140553627,0.3101293307063962,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,6,64,0.035635866561578425,0.2992900102889184,0.03567010559690904,0.2991877700605087,0.03599593688270546,0.29822825152357446,0.039121865230160556,0.28917411901396056,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,7,72,0.006969019850261414,0.31059145523758086,0.007070673366482948,0.3104814967656514,0.00802247380341638,0.30948020959952016,0.015140736272250165,0.30108734265173764,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,8,89,0.010692165889802641,0.33281072306578896,0.010790523424211112,0.33274640933474603,0.011669267714386365,0.33217268630544106,0.019277415798849992,0.3266355514683001,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,9,87,0.015054939434573644,0.2729152423142737,0.015168059048079401,0.2728741473753378,0.016170480141351903,0.27250953366877034,0.024995116494344927,0.26902420329107746,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,10,77,0.02606455293995678,0.25974880515921867,0.02614439257675358,0.25970022033739865,0.026847890061592706,0.25925779738493,0.033324917933324864,0.2551496401226839,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,11,68,0.024640370391123902,0.27327952713779785,0.024696836731049512,0.27320914747893044,0.025155785316130923,0.27256362546346,0.02953883798043311,0.2664525612279592,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,12,88,0.023692917630051713,0.302237101252373,0.023737102023369715,0.3021844935075476,0.02456962589079825,0.30164214750448387,0.03224307376280773,0.2965177814310758,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,13,107,0.04435144102885424,0.30500822038636793,0.04447299397830372,0.30497274529523033,0.04555813065823375,0.3046548231504998,0.05562475936270933,0.3016014470528979,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,14,61,0.017383012344008207,0.22428511875930462,0.01744123869397116,0.22423604820084744,0.017964482902854705,0.22380102750833375,0.02278435864888578,0.21966047193586316,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,15,63,0.018371304297661442,0.24534124762497167,0.018527302723932795,0.2452188044901121,0.01920754903571662,0.24449383408835831,0.02560883226928701,0.2378080266521211,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,16,81,0.013843015012393323,0.3280664498890128,0.013923495188244345,0.3279769345570011,0.01466329194044943,0.3271943189195214,0.021207709679817575,0.3199212642406702,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,17,82,0.026721489211515057,0.3404945530805981,0.02678483577279095,0.34039852438416307,0.027350634382784927,0.33953870839979877,0.032747016597431185,0.33141736622895024,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,18,105,0.0072795172116624385,0.34791313577702865,0.007512939501055627,0.3478384195134368,0.00934105592481714,0.34721177705962275,0.0234667529412785,0.34177636852557,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,19,74,0.03353354821587929,0.30832501271558965,0.033589675754074955,0.3082342458065894,0.03408731836996482,0.3074238996543939,0.038747963286430376,0.29973415178657237,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,20,90,0.043982200069806784,0.2869179105983712,0.04411763706265711,0.2868480627382737,0.045310061188995485,0.2862290038808932,0.05537381859953261,0.28073309893301174,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,21,80,0.0056244774862557545,0.2546632350357356,0.005731525787758136,0.254622818736259,0.006744193840572925,0.25423678276150363,0.01578890107040551,0.2507432859478683,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,22,61,0.009833043830121003,0.2832026319869635,0.00988515614047873,0.2831131343845889,0.010346281654023199,0.28231539205582773,0.014541530479521622,0.2748817803620337,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,23,95,0.014848492163084396,0.2996717276456345,0.015013360975056787,0.29961684075100037,0.01661744608320061,0.29905893379436377,0.029399485683278215,0.2940968713012901,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,24,85,0.028311700117600324,0.30254068842216175,0.02837512053796211,0.3024909925593171,0.029088089842532572,0.3019075463240575,0.03578239498263058,0.2963372948145602,,,,,,,,,,,,,,,,
