kind,N,r,M,pi0_c0,iters_c0,reach_c0,ll_c0,pi0_c1,iters_c1,reach_c1,ll_c1,pi0_common,ll_common,pi0_first,pi1_first,pi0,pi1,common,iters
zero-start,500,0,102,0.0,16,0,-850.1675828234038,0.063451297737522,17,6,-835.039522976444,0.06345438711449382,-835.0395192754538,,,,,,
zero-start,500,1,61,0.0,22,0,-836.1880224440898,0.039160039066284694,27,7,-825.3501970596631,0.03915933006070434,-825.350165373556,,,,,,
zero-start,500,2,92,0.0,6,0,-845.6108411130754,0.02215273348108511,18,7,-842.5261770342354,0.02215450112258402,-842.5261885638438,,,,,,
zero-start,500,3,62,0.0,16,0,-872.9522518608661,0.058423671310131396,17,6,-850.5634676674007,0.05842331852836805,-850.5634684568097,,,,,,
zero-start,500,4,80,0.0,12,0,-858.3177607369252,0.045414711065384944,12,6,-844.0895852345552,0.04544875321617973,-844.0896465686413,,,,,,
zero-start,500,5,64,0.0,13,0,-861.6422167487679,0.04262401062718738,13,6,-845.4811230834616,0.04263108824495175,-845.4811224656697,,,,,,
zero-start,500,6,55,0.0,9,0,-834.6999101638612,0.043404389800043235,11,5,-813.6784093810014,0.043409344867635175,-813.6784204451828,,,,,,
zero-start,500,7,97,0.0,11,0,-863.7472514463042,0.04138366196496955,14,5,-856.471822430412,0.04138465153979804,-856.4718267407959,,,,,,
zero-start,500,8,84,0.0,9,0,-848.6144812739406,0.0359441545829169,15,5,-836.673853395309,0.035944719757092354,-836.6738536408354,,,,,,
zero-start,500,9,82,0.0,12,0,-850.9986411811306,0.03922986311228585,10,4,-833.7914797096239,0.039228575599125744,-833.7914921210609,,,,,,
zero-start,500,10,81,0.0,10,0,-836.929825014833,0.037769201033332915,15,5,-814.469195626623,0.0377690874553432,-814.4691939638482,,,,,,
zero-start,500,11,98,0.0,11,0,-865.8223854661655,0.04741585154359148,17,6,-858.181550723642,0.04743242482300502,-858.1815727433923,,,,,,
zero-start,500,12,108,0.0,14,0,-859.4610915400227,0.0564594581871577,21,6,-850.9855723395176,0.056468440782565285,-850.9855942526599,,,,,,
zero-start,500,13,84,0.0,14,0,-882.9878673207106,0.04755033982539884,17,5,-868.8634403340704,0.04754129093925392,-868.863348955533,,,,,,
zero-start,500,14,50,0.0,12,0,-856.4339279381614,0.03827203612934318,16,6,-837.9468705429584,0.0382718816340821,-837.9468698160555,,,,,,
zero-start,500,15,65,0.0,15,0,-892.5845052225333,0.03647140781623903,20,8,-885.0831732761419,0.036507793772971205,-885.0831609431683,,,,,,
zero-start,500,16,86,0.0,8,0,-865.3796008889532,0.04469286168586284,13,5,-851.0780406490511,0.04469673746952968,-851.0780423044138,,,,,,
zero-start,500,17,105,0.0,12,0,-849.1528654813617,0.0489012891620423,16,6,-838.9347685434656,0.0489031219578033,-838.9347760941729,,,,,,
zero-start,500,18,88,0.0,12,0,-857.2048461241118,0.01923998014562378,18,6,-854.273275910549,0.019241351606650994,-854.2732892771618,,,,,,
zero-start,500,19,91,0.0,19,0,-874.0285967475677,0.05539994935143749,16,8,-865.2710447938672,0.055445147310004134,-865.2710590203485,,,,,,
zero-start,500,20,77,0.0,18,0,-861.8550248466418,0.05811162032368237,14,5,-837.452132578953,0.058110429754465676,-837.4521202065223,,,,,,
zero-start,500,21,57,0.0,31,0,-839.7013075269616,0.046742963997354815,20,8,-825.3540226019318,0.046750127485618735,-825.3540390169428,,,,,,
zero-start,500,22,93,0.0,23,0,-879.3541668780546,0.05440485058319247,29,5,-866.930653387097,0.054404766269671924,-866.9306554393326,,,,,,
zero-start,500,23,63,0.0,10,0,-878.1789379328579,0.023318639048345056,14,8,-873.1101598782195,0.023534100054283635,-873.1107776932844,,,,,,
zero-start,500,24,110,0.0,14,0,-851.3454693647868,0.03351063362961565,15,5,-845.9828074804873,0.03351197415793369,-845.9828155525933,,,,,,
zero-start,500,25,79,0.0,25,0,-887.7699183941323,0.05042714610464432,18,7,-876.6612877223239,0.050447695234083004,-876.6613230072951,,,,,,
zero-start,500,26,92,0.0,15,0,-858.6943071738043,0.03727706125870458,19,6,-851.4383858017154,0.03727987045496483,-851.438405614212,,,,,,
zero-start,500,27,102,0.0,14,0,-836.3252808949258,0.021355512827976104,21,6,-833.5265539045196,0.02135976804917007,-833.5265820977404,,,,,,
zero-start,500,28,96,0.0,30,0,-868.8824406215172,0.062146196668651496,14,7,-859.9734970765752,0.06270032188322654,-859.9746533633158,,,,,,
zero-start,500,29,63,0.0,12,0,-872.6837477135222,0.04999709270828532,15,6,-850.5748036001082,0.050001130057312486,-850.5748180164777,,,,,,
zero-start,500,30,92,0.0,15,0,-873.4476900584613,0.07679829105365929,16,6,-853.0704280516495,0.07680654310353523,-853.0704307969017,,,,,,
zero-start,500,31,76,0.0,17,0,-871.7809654220035,0.043176429068409725,22,8,-863.3197548125529,0.0431814230664546,-863.3197726775566,,,,,,
zero-start,500,32,87,0.0,18,0,-873.1228016224007,0.04583942743898261,17,6,-861.4644939977717,0.04584493092693649,-861.4644791768472,,,,,,
zero-start,500,33,80,0.0,12,0,-826.8881067131406,0.036391169087086624,20,7,-817.8248388337888,0.036393705725119616,-817.8248552287197,,,,,,
zero-start,500,34,61,0.0,15,0,-843.4499836972765,0.049851926238356256,14,7,-826.0348077271998,0.04994445913571572,-826.0350627605189,,,,,,
zero-start,500,35,75,0.0,13,0,-896.6207229987377,0.06442707236198911,16,6,-873.3530338645281,0.06442702113292938,-873.3530339945914,,,,,,
zero-start,500,36,75,0.0,13,0,-859.973821457444,0.03480673331416663,19,7,-851.8790986391358,0.034808431127924734,-851.879109409727,,,,,,
zero-start,500,37,110,0.0,23,0,-874.714122306143,0.06055015651821428,17,6,-863.4238875434797,0.0605533251224702,-863.4238968444432,,,,,,
zero-start,500,38,82,0.0,8,0,-869.5481195053565,0.04300649715936217,15,5,-855.0578123892003,0.043009125955602114,-855.0578014820326,,,,,,
zero-start,500,39,81,0.0,20,0,-894.4324329419412,0.029372107428262746,13,6,-888.9758279706891,0.029447507719592193,-888.9760445986394,,,,,,
zero-start,500,40,81,0.0,10,0,-887.7326425944414,0.04049674437218905,11,5,-872.4598160338578,0.04049790609920967,-872.4598176154121,,,,,,
zero-start,500,41,72,0.0,18,0,-888.5847213510385,0.04670151446490524,17,5,-871.0884664444517,0.04670132762724557,-871.0884650842983,,,,,,
zero-start,500,42,113,0.0,13,0,-866.3025453054831,0.05951124880444419,17,6,-855.6941723442014,0.05950790708354577,-855.6941652323494,,,,,,
zero-start,500,43,85,0.0,12,0,-874.0751372587563,0.05251913944632146,15,5,-857.8979436136057,0.052523196280886905,-857.8979523816621,,,,,,
zero-start,500,44,78,0.0,8,0,-860.2374477985702,0.039935085711150974,19,7,-851.6171155816227,0.03993739097007617,-851.6171267504423,,,,,,
zero-start,500,45,78,0.0,27,0,-869.4024137810922,0.06167314767703164,14,6,-850.271116203269,0.061693815061958375,-850.2712004393226,,,,,,
zero-start,500,46,85,0.0,14,0,-866.7415706461478,0.04849248373597163,15,6,-852.8431459047682,0.04851187929962458,-852.8431845172968,,,,,,
zero-start,500,47,79,0.0,15,0,-851.3778013213343,0.03405946787674777,15,6,-842.8172229677398,0.03406156872768971,-842.8172394055126,,,,,,
zero-start,500,48,97,0.0,11,0,-870.2987710209802,0.04280488542432676,19,6,-862.973883810973,0.0428100305429665,-862.9738997944173,,,,,,
zero-start,500,49,74,0.0,37,0,-879.8440203325787,0.06173760636997538,21,8,-864.9482303621909,0.0617715953061687,-864.948374045063,,,,,,
zero-start,2000,0,335,0.0,12,0,-3424.1918844083393,0.04217742656549546,15,6,-3372.889442847722,0.042177835849418435,-3372.8894480079744,,,,,,
zero-start,2000,1,359,0.0,12,0,-3478.6130567711075,0.043571189326965624,13,6,-3427.3269104316178,0.04358343945126711,-3427.3269295577816,,,,,,
zero-start,2000,2,327,0.0,10,0,-3523.2877802626213,0.050460679410336405,13,6,-3456.133381168608,0.05046819352618758,-3456.133401977177,,,,,,
zero-start,2000,3,415,0.0,13,0,-3438.0086515204925,0.055529767322848526,15,7,-3384.2413507557517,0.055564050518374694,-3384.2415011294156,,,,,,
zero-start,2000,4,390,0.0,13,0,-3513.7172434628387,0.0654768495631656,14,7,-3446.1492451397285,0.06549032701015424,-3446.149270252412,,,,,,
zero-start,2000,5,359,0.0,13,0,-3471.7348917439986,0.04060450678616226,14,6,-3425.4168691842824,0.04060596997832775,-3425.416875557281,,,,,,
zero-start,2000,6,319,0.0,17,0,-3443.655663606014,0.043309589831857245,14,6,-3390.7524924512777,0.04332672026272904,-3390.7525346691405,,,,,,
zero-start,2000,7,374,0.0,15,0,-3492.5871853897643,0.05978755902419159,16,7,-3432.088305935311,0.05979407314695215,-3432.0883473424574,,,,,,
zero-start,2000,8,364,0.0,13,0,-3475.699148102276,0.053959369859027495,15,7,-3419.349602150528,0.05397032460897587,-3419.3496222294652,,,,,,
zero-start,2000,9,380,0.0,11,0,-3446.366561016813,0.05971340202924946,17,8,-3398.1543998506418,0.059724559430621924,-3398.1544443795497,,,,,,
zero-start,2000,10,365,0.0,12,0,-3455.800022434332,0.04145022606456414,13,6,-3412.0676194426906,0.0414598896817956,-3412.0676490221745,,,,,,
zero-start,2000,11,321,0.0,17,0,-3496.4996644668263,0.05137795685678336,16,7,-3429.871329098274,0.05138169134354655,-3429.871321521517,,,,,,
zero-start,2000,12,321,0.0,15,0,-3457.371811493369,0.043246498857835575,15,7,-3408.136447004244,0.04327025349532343,-3408.1364375542116,,,,,,
zero-start,2000,13,329,0.0,11,0,-3381.202478550299,0.039323790191943736,13,6,-3329.046714819417,0.03933834648203726,-3329.0467600336497,,,,,,
zero-start,2000,14,357,0.0,8,0,-3494.9174750003717,0.04710120270284961,13,6,-3442.530892071353,0.04711669545797654,-3442.5309323155307,,,,,,
zero-start,2000,15,359,0.0,11,0,-3424.6549702641805,0.03691712111050077,15,7,-3387.8962428565355,0.03694970388582583,-3387.896346152249,,,,,,
zero-start,2000,16,381,0.0,14,0,-3507.1008623430075,0.052388639293536654,13,6,-3454.520350876077,0.05240445021490935,-3454.5203864807922,,,,,,
zero-start,2000,17,348,0.0,13,0,-3506.7139289871443,0.04669802112731492,15,6,-3460.667675300174,0.04670287999625968,-3460.6676731489533,,,,,,
zero-start,2000,18,318,0.0,11,0,-3483.3143158237554,0.04671546423940827,14,6,-3411.328737586883,0.046726854532938955,-3411.3287418997534,,,,,,
zero-start,2000,19,326,0.0,16,0,-3470.860318988947,0.0562208724650752,15,7,-3397.5303704414855,0.0562392411690931,-3397.530355635872,,,,,,
zero-start,2000,20,284,0.0,12,0,-3415.5521836836924,0.046351932441767926,15,7,-3344.675941471028,0.04635462005922816,-3344.675935408899,,,,,,
zero-start,2000,21,368,0.0,14,0,-3450.1649325140033,0.041482073928643795,14,7,-3407.1784971283596,0.041501423628107235,-3407.1784790047705,,,,,,
zero-start,2000,22,322,0.0,12,0,-3441.22278339488,0.04406689117821781,14,6,-3380.8697631152277,0.04407986670934555,-3380.8698209883705,,,,,,
zero-start,2000,23,344,0.0,13,0,-3358.2804096562436,0.030592874068309874,13,6,-3320.6501919997727,0.03060539386195532,-3320.6502425115896,,,,,,
zero-start,2000,24,321,0.0,11,0,-3501.586678420315,0.05751742238612651,17,9,-3444.16896824294,0.057573075148876426,-3444.169071261372,,,,,,
zero-start,2000,25,340,0.0,15,0,-3437.1103927724253,0.04279176669266268,16,7,-3389.8042263731363,0.042816201016059215,-3389.804267342916,,,,,,
zero-start,2000,26,346,0.0,11,0,-3365.69173044522,0.03935325287884335,17,8,-3329.5171969403455,0.03936520261442883,-3329.517245823235,,,,,,
zero-start,2000,27,388,0.0,12,0,-3439.645934512923,0.050213476168538454,18,8,-3400.399672739579,0.05022684219351811,-3400.3997295746626,,,,,,
zero-start,2000,28,351,0.0,12,0,-3462.1677871148895,0.05892538319246153,15,6,-3382.1473075355666,0.05892845165350132,-3382.147309097784,,,,,,
zero-start,2000,29,318,0.0,12,0,-3558.7341271209525,0.051898938604956014,15,6,-3487.9191211757843,0.05190399843752411,-3487.919107480293,,,,,,
zero-start,2000,30,338,0.0,14,0,-3517.242406985768,0.05585804810360308,16,7,-3463.4339845963286,0.05586848665281922,-3463.434006830486,,,,,,
zero-start,2000,31,363,0.0,12,0,-3482.281744376054,0.05297333524197623,14,6,-3414.8700857584836,0.052973381574666197,-3414.8700886841116,,,,,,
zero-start,2000,32,331,0.0,17,0,-3448.2296520440395,0.05273753823928901,16,6,-3380.403567646003,0.0527415343300013,-3380.4035871731967,,,,,,
zero-start,2000,33,308,0.0,12,0,-3411.872124568202,0.043919559279741525,13,7,-3360.3826675205823,0.04394309450007126,-3360.382722945827,,,,,,
zero-start,2000,34,332,0.0,11,0,-3450.240031222215,0.04507116694895103,14,7,-3393.8626089613554,0.045088225645215765,-3393.8626627657227,,,,,,
zero-start,2000,35,304,0.0,13,0,-3448.44019212537,0.050088518356243776,15,7,-3378.0532396344124,0.05010495420514242,-3378.0532782563287,,,,,,
zero-start,2000,36,290,0.0,13,0,-3489.4974361992545,0.048067203852883406,15,7,-3431.4927786425615,0.04808375698563743,-3431.4928224347836,,,,,,
zero-start,2000,37,326,0.0,15,0,-3526.460687058643,0.05604113386475432,15,6,-3452.293014461436,0.056049750941645056,-3452.2930290764134,,,,,,
zero-start,2000,38,409,0.0,16,0,-3468.8556187610657,0.04848507684475962,14,7,-3431.657508614776,0.04854448867381188,-3431.6576484009156,,,,,,
zero-start,2000,39,395,0.0,11,0,-3469.380644155666,0.0561405457696394,11,6,-3404.472290053483,0.05616112674192219,-3404.472298715258,,,,,,
zero-start,2000,40,326,0.0,14,0,-3423.327886329525,0.048353753295942714,14,6,-3357.568459948725,0.04837124788351048,-3357.568393923081,,,,,,
zero-start,2000,41,332,0.0,12,0,-3546.10612498299,0.05110258617402682,16,7,-3485.612604938511,0.051104625678182115,-3485.6126060079346,,,,,,
zero-start,2000,42,326,0.0,11,0,-3466.7338813803467,0.05159738515529181,13,6,-3384.763782455965,0.05159634060584999,-3384.7637658040926,,,,,,
zero-start,2000,43,323,0.0,15,0,-3483.5841622725848,0.057815887604770244,15,7,-3415.1856198794917,0.05782788013383399,-3415.1856410488963,,,,,,
zero-start,2000,44,378,0.0,13,0,-3502.228314265827,0.06270771400713329,12,6,-3439.4257896183485,0.06272513027979598,-3439.4258081404573,,,,,,
zero-start,2000,45,402,0.0,13,0,-3479.899930014822,0.060115731631158804,14,6,-3414.01825526091,0.060124406621501605,-3414.018263896091,,,,,,
zero-start,2000,46,383,0.0,11,0,-3421.406294699449,0.047802499583790625,13,6,-3357.2062646768104,0.047806619521762274,-3357.206293996874,,,,,,
zero-start,2000,47,330,0.0,16,0,-3501.349116202419,0.04692361369640633,16,6,-3444.4783727167837,0.046928389297947515,-3444.4783729727274,,,,,,
zero-start,2000,48,393,0.0,11,0,-3516.6819123300975,0.06947140691180029,13,6,-3424.121006534702,0.06948487392012877,-3424.1210313934102,,,,,,
zero-start,2000,49,300,0.0,13,0,-3424.1631417076746,0.042603285293398484,14,6,-3368.3734816353763,0.042607247036154705,-3368.3734708309457,,,,,,
