model,scenario,N,r,B,LR,p_asym,p_boot,B_valid,seconds
hmc_in,state-null,500,0,99,0.08333723494524747,0.7728248208615175,0.76,99,16.005001068115234
hmc_in,state-null,500,1,99,0.03718928538205546,0.8470801744863611,0.87,99,16.827903985977173
hmc_in,state-null,500,2,99,0.1562800696378872,0.692604718409285,0.66,99,14.82693600654602
hmc_in,state-null,500,3,99,0.5259391812194281,0.46831913339733533,0.48,99,13.46440601348877
hmc_in,state-null,500,4,99,1.803773120253254,0.17925701154590867,0.17,99,16.39284372329712
hmc_in,state-null,500,5,99,0.5730897580547207,0.4490337344957117,0.57,99,19.369439840316772
hmc_in,state-null,500,6,99,0.3823117737949815,0.5363686036142765,0.5,99,12.505165100097656
hmc_in,state-null,500,7,99,0.0019182207008725527,0.9650658226637623,0.98,99,17.82077193260193
hmc_in,state-null,500,8,99,3.0699641159110342,0.07975123214436808,0.15,99,14.987481832504272
hmc_in,state-null,500,9,99,4.452039575194476,0.03485958923478929,0.03,99,12.912443161010742
hmc_in,state-null,500,10,99,11.657909222300077,0.0006393014982760233,0.01,99,13.774030923843384
hmc_in,state-null,500,11,99,0.2960209580733135,0.5863877432307076,0.51,99,12.77890419960022
hmc_in,state-null,500,12,99,0.040849976671097465,0.8398277818581279,0.83,99,14.303813695907593
hmc_in,state-null,500,13,99,0.041382685857797696,0.8388010261687167,0.79,99,12.817715883255005
hmc_in,state-null,500,14,99,0.26224046092579556,0.608585089556494,0.67,99,13.25825572013855
hmc_in,state-null,500,15,99,1.3420829563547159,0.24666696847473132,0.35,99,14.84918475151062
hmc_in,state-null,500,16,99,1.262709041166545,0.26113892831918895,0.21,99,12.570129871368408
hmc_in,state-null,500,17,99,5.146297556066884,0.023295994230658527,0.01,99,17.625691175460815
hmc_in,state-null,500,18,99,0.031942904658535554,0.85815302510067,0.9,99,14.185054063796997
hmc_in,state-null,500,19,99,0.2278406523371359,0.6331295952169784,0.59,99,15.92331075668335
hmc_in,state-null,500,20,99,1.4686230543086367,0.22556307041711657,0.22,99,14.204380989074707
hmc_in,state-null,500,21,99,0.02789205148860674,0.8673628604439594,0.8,99,17.092160940170288
hmc_in,state-null,500,22,99,0.1478415298215623,0.7006066626263554,0.67,99,12.295620918273926
hmc_in,state-null,500,23,99,0.827143113277998,0.36309993056571854,0.4,99,14.447026252746582
hmc_in,state-null,500,24,99,1.2386734517799596,0.26572686524622685,0.28,99,12.825891017913818
hmc_in,state-null,500,25,99,3.8483319966294403,0.049795488751496704,0.06,99,14.599408149719238
hmc_in,state-null,500,26,99,4.091132876632173,0.043108738931523,0.08,99,13.053332090377808
hmc_in,state-null,500,27,99,1.9719590877425617,0.16024006931891435,0.11,99,13.363680839538574
hmc_in,state-null,500,28,99,3.6097230553129975,0.057442684662564164,0.06,99,15.197412252426147
hmc_in,state-null,500,29,99,0.7177504053665871,0.39688280977762547,0.52,99,15.049741744995117
hmc_in,state-null,500,30,99,0.9706090952106479,0.3245283192912458,0.39,99,14.235476970672607
hmc_in,state-null,500,31,99,0.21707869914030198,0.6412748751536528,0.63,99,12.86711597442627
hmc_in,state-null,500,32,99,4.158883438912653,0.04141669779304069,0.07,99,17.797791957855225
hmc_in,state-null,500,33,99,0.18499373085023763,0.667116371267749,0.74,99,14.507811069488525
hmc_in,state-null,500,34,99,0.46440446976430394,0.4955727002959912,0.54,99,15.571847915649414
