model,scenario,N,r,M,LR,ll0,ll1,ll_best,n_th0,n_th1,n_true,a_th1,a_thb,a_n*,L0_mle,L1_mle,LR_mle,null_best,alt_best,mle_a0,mle_a1,mle_b0,mle_b1,mle1_mu0,mle1_mu1,mle0_mu0,mle0_mu1,seconds
hmc_dn,markov-null,500,0,47,6.1977520630650815,-619.8047660535874,-616.7058900220549,-616.6995169733601,-619.7366155405804,-619.7366155401065,-619.7366155404853,-616.5468943587612,-616.5468943892735,-616.5468942981314,-619.7366155401065,-616.5468942981314,6.379442483950243,th1,n*,0.039006526792323394,3.734217753883292e-10,0.8219112563139397,0.6532835211049083,-0.6039657805216623,1.3213522693487698,-0.5552295641947957,1.3088764248763836,196.53296422958374
hmc_dn,markov-null,500,1,40,1.2219002004719641,-573.6202636262756,-573.0093135260396,-573.0056193269061,-573.4639954195995,-573.4639954196233,-573.4639954192829,-572.8714275785067,-572.8714275789602,-572.871427578749,-573.4639954192829,-572.8714275785067,1.1851356815525378,true,th1,0.017627953814968154,0.011920767671066947,0.7573290742092854,0.908709213789558,-1.128934984789575,1.1037548504986137,-1.1386733944455938,1.0903022429224911,105.88238906860352
hmc_dn,markov-null,500,2,41,0.3743178362974504,-617.2682382344619,-617.0810793163132,-617.078569098723,-617.0906462616715,-617.0906462621451,-617.0906462619637,-616.8853948720656,-616.8853948716102,-616.8853948711811,-617.0906462616715,-616.8853948711811,0.41050278098077797,th0,n*,0.030421555552371273,0.016743646356826753,0.7094183087558793,0.7603068474343029,-0.9873734602903249,0.9183861900825175,-0.9951198584822699,0.9111943138199071,95.50214719772339
hmc_dn,markov-null,500,3,30,3.328903142446052,-649.3242469907061,-647.6597954194831,-647.6597954194831,-649.0811452618393,-649.0811452616078,-649.0811452616049,-647.4031499404643,-647.4031499404643,-647.4031499392421,-649.0811452616049,-647.4031499392421,3.35599064472558,true,n*,0.018844856243582103,0.03138344507462311,0.44808059777379583,0.8401515060240355,-0.9357267309988259,1.4477119763716269,-0.9419320582900202,1.4324108381857472,103.06103897094727
hmc_dn,markov-null,500,4,55,1.4179961444679066,-606.5469723403646,-605.8379742681307,-605.8379742681307,-606.3577858902124,-606.3577858898589,-606.3577858904293,-605.2631178352267,-605.2631178352267,-605.2631173265662,-606.3577858898589,-605.2631173265662,2.1893371265853148,th1,n*,0.03715978387672891,0.0048161278136832275,0.8687218640667813,1.3978675742286674e-07,-0.8485065834642657,1.2406787937913486,-1.0148042996565128,1.104358771082155,185.7642650604248
hmc_dn,markov-null,500,5,43,5.4684894809090565,-596.3356847514867,-593.6014400110322,-593.6014400110322,-595.689800367835,-595.6898003675246,-595.6898003684996,-592.7308533027443,-592.7308533027443,-592.7308535281949,-595.6898003675246,-592.7308533027443,5.917894129560636,th1,th1,6.941840458331358e-10,0.034768986226539164,0.5437085235584396,1.0,-0.8024980633171492,1.1092459797990426,-0.8105017787946096,1.1784026325394936,165.33279585838318
hmc_dn,markov-null,500,6,24,0.5654495938840682,-582.6273438904648,-582.3446190935227,-582.3446190935227,-582.478062511816,-582.4780625118137,-582.4780625097685,-582.230465009097,-582.230465009097,-582.2304649875612,-582.4780625097685,-582.2304649875612,0.495195044414686,true,n*,0.0176543389539879,0.007796062376763496,0.7257137010254404,0.7682453033771584,-0.8526567176292585,1.0167252264233473,-0.8460036725278199,1.0223207160183385,87.7452929019928
hmc_dn,markov-null,500,7,52,-0.9562368820709253,-563.7715156828865,-564.249634123922,-563.7363019407544,-561.8476832453006,-561.8476832452575,-561.8476832456124,-561.1553773662025,-561.1553773620517,-561.1553774051979,-561.8476832452575,-561.1553773620517,1.384611766411581,th1,thb,1.4881106177003676e-16,0.023286166251288695,0.9999994606609182,0.8133851288176512,-0.4996253286451427,-0.07853287670666585,-0.5618091402320695,-0.039164048974606985,176.25874710083008
hmc_dn,markov-null,500,8,56,0.03581642090216519,-539.0875046757658,-539.0695964653147,-539.0610811292572,-538.9305894375103,-538.9305894372352,-538.9305894369908,-538.9106222883396,-538.9106222892897,-538.9106222874403,-538.9305894369908,-538.9106222874403,0.03993429910087798,true,n*,0.016433524539246246,0.014443544476985554,0.8821820052028224,0.8575976491080346,-0.7695268906400953,0.8814731380957058,-0.7661294547928198,0.8842845612857203,102.43995308876038
hmc_dn,markov-null,500,9,56,3.4341050935057638,-511.3160667848734,-509.5990142381205,-509.5990142381205,-508.7870956207397,-508.787095620702,-508.78709561922057,-508.65537974003314,-508.65537974003314,-508.57820795494825,-508.78709561922057,-508.57820795494825,0.4177753285446215,true,n*,0.010020570356455379,0.035722917103688794,0.8781117457231797,0.9449079447299925,-0.14918573827859322,1.4020756276390922,-0.13774573736222528,1.4083890656824738,127.67956495285034
