series,K,model,strategy,start,subject,fit_on,applied_to,method,err_all,n_all,err_missing,n_missing,err_observed,n_observed,err_real,n_real,err_mcar,n_mcar,conf_missing,time_s
pamap2_102_complete,2,hmc_in,complete,0,102,complete,complete,complete,0.09719058466211086,5268,,,,,,,,,,
pamap2_102_complete,2,hmc_in,complete,0,102,complete,gapped,linear,0.08921791951404708,5268,0.03945111492281304,583.0,0.09541088580576307,4685.0,0.0,159.0,0.054245283018867926,424.0,0.99594381611811,
pamap2_102_complete,2,hmc_in,complete,0,102,complete,gapped,locf,0.08466211085801063,5268,0.0,583.0,0.0951974386339381,4685.0,0.0,159.0,0.0,424.0,0.9995859624760559,
pamap2_102_complete,2,hmc_in,complete,0,102,complete,gapped,marginalise,0.08997722095671981,5268,0.048027444253859346,583.0,0.0951974386339381,4685.0,0.0,159.0,0.0660377358490566,424.0,0.8804081820177367,0.040219874998001615
pamap2_102_complete,2,hmc_in,complete,0,102,complete,gapped,plugin,0.0888382687927107,5268,0.03773584905660377,583.0,0.0951974386339381,4685.0,0.0,159.0,0.05188679245283019,424.0,0.9879145475959571,
pamap2_102_complete,2,hmc_in,complete,1,102,complete,complete,complete,0.09813971146545178,5268,,,,,,,,,,
pamap2_102_complete,2,hmc_in,complete,1,102,complete,gapped,linear,0.08997722095671981,5268,0.03945111492281304,583.0,0.09626467449306296,4685.0,0.0,159.0,0.054245283018867926,424.0,0.9959466552209368,
pamap2_102_complete,2,hmc_in,complete,1,102,complete,gapped,locf,0.08542141230068337,5268,0.0,583.0,0.096051227321238,4685.0,0.0,159.0,0.0,424.0,0.9996274170538181,
pamap2_102_complete,2,hmc_in,complete,1,102,complete,gapped,marginalise,0.09092634776006074,5268,0.04974271012006861,583.0,0.096051227321238,4685.0,0.0,159.0,0.06839622641509434,424.0,0.8808845919968014,0.04017887500231154
pamap2_102_complete,2,hmc_in,complete,1,102,complete,gapped,plugin,0.090167046317388,5268,0.04288164665523156,583.0,0.096051227321238,4685.0,0.0,159.0,0.0589622641509434,424.0,0.9899869936823584,
pamap2_102_complete,2,hmc_in,complete,2,102,complete,complete,complete,0.09586180713743356,5268,,,,,,,,,,
pamap2_102_complete,2,hmc_in,complete,2,102,complete,gapped,linear,0.08788914198936978,5268,0.036020583190394515,583.0,0.09434364994663821,4685.0,0.0,159.0,0.049528301886792456,424.0,0.9959359715186289,
pamap2_102_complete,2,hmc_in,complete,2,102,complete,gapped,locf,0.0837129840546697,5268,0.0,583.0,0.09413020277481324,4685.0,0.0,159.0,0.0,424.0,0.9994629391707412,
pamap2_102_complete,2,hmc_in,complete,2,102,complete,gapped,marginalise,0.08807896735003796,5268,0.03945111492281304,583.0,0.09413020277481324,4685.0,0.0,159.0,0.054245283018867926,424.0,0.8807976002391461,0.04050329199890257
pamap2_102_complete,2,hmc_in,complete,2,102,complete,gapped,plugin,0.08447228549734244,5268,0.00686106346483705,583.0,0.09413020277481324,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9968861209128705,
pamap2_102_complete,2,pmc_pair,complete,0,102,complete,complete,complete,0.12794229309035687,5268,,,,,,,,,,
