station,rate,block,seed,n_hidden,n_real_missing,method,K,n,rmse,mae,crps,crps_kind,cov90,width90,fit_s,status,impute_s,n_iter,ll,agree_ref_observed,agree_ref_hidden,n_warnings,pi_sorted,mean_sorted,sd_sorted,stay_sorted,margins,copulas,finite_params
aotizhongxin,0.05,1,0,438,37,ar1,0,438,0.22270959509881905,0.12874558190782764,0.1103898577594304,gaussian,0.9452054794520548,0.8285457296731596,0.015495667001232505,,,,,,,,,,,,,,
aotizhongxin,0.05,1,0,438,37,linear,0,438,0.22274031991775284,0.12873695901297885,0.12873695901297885,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,1,0,438,37,locf,0,438,0.3185028379861912,0.19340238987451375,0.19340238987451375,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,1,1,438,37,ar1,0,438,0.20863693193761224,0.1321728699024299,0.10977045818711682,gaussian,0.9429223744292238,0.8265815433419136,0.01637312500315602,,,,,,,,,,,,,,
aotizhongxin,0.05,1,1,438,37,linear,0,438,0.208784181808079,0.1321909839041414,0.1321909839041414,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,1,1,438,37,locf,0,438,0.3093283915146864,0.19673157652303302,0.19673157652303302,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,1,2,438,37,ar1,0,438,0.2510744564879269,0.15090260293413965,0.12487297484680081,gaussian,0.9223744292237442,0.8249976003180538,0.018595000001369044,,,,,,,,,,,,,,
aotizhongxin,0.05,1,2,438,37,linear,0,438,0.25118997502242196,0.15102467357103258,0.15102467357103258,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,1,2,438,37,locf,0,438,0.3712822672703634,0.22150334817955977,0.22150334817955977,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,1,3,438,37,ar1,0,438,0.25194344677046465,0.1544972876187694,0.12569305875650783,gaussian,0.910958904109589,0.8165138823038788,0.009974208001949592,,,,,,,,,,,,,,
aotizhongxin,0.05,1,3,438,37,linear,0,438,0.25198340352301135,0.1543869735092252,0.1543869735092252,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,1,3,438,37,locf,0,438,0.32407979702445705,0.20209460360970566,0.20209460360970566,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,1,4,438,37,ar1,0,438,0.22816140470883806,0.14516116639246077,0.11931874709770701,gaussian,0.9178082191780822,0.8232518079362454,0.013297207999130478,,,,,,,,,,,,,,
aotizhongxin,0.05,1,4,438,37,linear,0,438,0.2283425581553245,0.145221045871716,0.145221045871716,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,1,4,438,37,locf,0,438,0.36259232819077575,0.22015009975273256,0.22015009975273256,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,6,0,438,37,ar1,0,438,0.4093379867283001,0.26603053734500975,0.20917356599889259,gaussian,0.9200913242009132,1.3200983162696862,0.01701991599838948,,,,,,,,,,,,,,
aotizhongxin,0.05,6,0,438,37,linear,0,438,0.4120254452752719,0.2673529416321843,0.2673529416321843,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,6,0,438,37,locf,0,438,0.5359489071545351,0.36952889301148806,0.36952889301148806,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,6,1,438,37,ar1,0,438,0.42633488376708445,0.2642340848778866,0.2111215665382051,gaussian,0.9155251141552512,1.3157504365680388,0.012120291001338046,,,,,,,,,,,,,,
aotizhongxin,0.05,6,1,438,37,linear,0,438,0.4242633307782166,0.26322200128808304,0.26322200128808304,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,6,1,438,37,locf,0,438,0.6888424112943216,0.4440036326603479,0.4440036326603479,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,6,2,438,37,ar1,0,438,0.3567766067208949,0.24164260476416163,0.18888446778546272,gaussian,0.9292237442922374,1.314923115009187,0.011194291000720114,,,,,,,,,,,,,,
aotizhongxin,0.05,6,2,438,37,linear,0,438,0.3539847664805716,0.23928135241935783,0.23928135241935783,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,6,2,438,37,locf,0,438,0.5885456123012623,0.39384693541195653,0.39384693541195653,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,6,3,438,37,ar1,0,438,0.3804465035191163,0.26220416339049524,0.20062455669139212,gaussian,0.9223744292237442,1.3624622540640887,0.01719954200234497,,,,,,,,,,,,,,
aotizhongxin,0.05,6,3,438,37,linear,0,438,0.3800205071472471,0.2623206837391305,0.2623206837391305,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,6,3,438,37,locf,0,438,0.5473958056028166,0.37035574349546246,0.37035574349546246,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,6,4,438,37,ar1,0,438,0.40214953884652055,0.2736284833428731,0.2096213821139772,gaussian,0.908675799086758,1.3381745900032946,0.009864166997431312,,,,,,,,,,,,,,
aotizhongxin,0.05,6,4,438,37,linear,0,438,0.40384050755989664,0.27386223582958513,0.27386223582958513,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,6,4,438,37,locf,0,438,0.5955111761481048,0.4228569166865966,0.4228569166865966,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,48,0,432,37,ar1,0,432,0.8226107305345292,0.5894184548754522,0.43966465708309804,gaussian,0.9143518518518519,2.7676331800189766,0.012395249999826774,,,,,,,,,,,,,,
aotizhongxin,0.05,48,0,432,37,linear,0,432,0.8678360497050986,0.6212887812901978,0.6212887812901978,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,48,0,432,37,locf,0,432,1.3857647042835943,1.0896572192387919,1.0896572192387919,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,48,1,432,37,ar1,0,432,1.059685720898161,0.8409733680887946,0.5894380447975098,gaussian,0.8587962962962963,2.7547254358953404,0.012452500002837041,,,,,,,,,,,,,,
aotizhongxin,0.05,48,1,432,37,linear,0,432,1.1141150362128254,0.9138011056989469,0.9138011056989469,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,48,1,432,37,locf,0,432,1.358314291506199,1.0679904996181624,1.0679904996181624,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,48,2,432,37,ar1,0,432,0.6927122911576448,0.5314938960052115,0.38641165079960593,gaussian,0.9513888888888888,2.7859055692946906,0.021635124998283572,,,,,,,,,,,,,,
aotizhongxin,0.05,48,2,432,37,linear,0,432,0.7944150382006897,0.6068424755142958,0.6068424755142958,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,48,2,432,37,locf,0,432,1.161687625139913,0.8652744684273642,0.8652744684273642,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,48,3,432,37,ar1,0,432,0.8101707910179433,0.6137636186378053,0.43930060487600653,gaussian,0.9236111111111112,2.78808256144513,0.014349499997479143,,,,,,,,,,,,,,
aotizhongxin,0.05,48,3,432,37,linear,0,432,0.842995766467627,0.6501664819992138,0.6501664819992138,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,48,3,432,37,locf,0,432,1.261942173098051,0.9304097531064583,0.9304097531064583,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,48,4,432,37,ar1,0,432,1.1393547049870643,0.8462408613162142,0.6146376619632437,gaussian,0.8564814814814815,2.9255356843672358,0.01739241700124694,,,,,,,,,,,,,,
aotizhongxin,0.05,48,4,432,37,linear,0,432,1.2680809874030137,0.9352650537348635,0.9352650537348635,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,48,4,432,37,locf,0,432,1.8554079460615671,1.3347602617993795,1.3347602617993795,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,1,0,1752,37,ar1,0,1752,0.26623049223738593,0.16488540149408318,0.13373708978205637,gaussian,0.9200913242009132,0.8829017035524493,0.013246833997982321,,,,,,,,,,,,,,
aotizhongxin,0.2,1,0,1752,37,linear,0,1752,0.2651014786253012,0.1638048952264426,0.1638048952264426,dirac(=mae),,,,,,,,,,,,,,,,,
