series,K,model,strategy,start,N,n_missing,status,error,run_tag,runtime_s,init_s,n_iter,ll_trace_last,n_ll_decreases,max_ll_decrease,ll,n_params,bic,pi_sorted,mean_sorted,sd_sorted,stay_sorted,margins,copulas,finite_params,n_warnings,n_regressions_warned,warnings,ll_gap_to_best,agree_with_best,min_margin_sd,y_sd,ll_trace_max,min_pi,degenerate
aotizhongxin,2,hmc_in,available,0,8760,37,ok,,kmeans,0.38157549999959883,0.013933916998212226,9,-9010.38857625232,0,0.0,-9010.38857625232,6,18075.21946347124,0.3995|0.6005,2.9172|4.7217,0.7478|0.5481,0.9629|0.9753,0:norm;1:norm,,True,0,0,,0.0,1.0,0.5481320714906457,1.0888075875262064,-9010.38857625232,0.3995,False
aotizhongxin,2,pmc_pair,available,0,8760,37,ok,,kmeans,6.280769999997574,0.28715270800239523,19,493.80082357222324,3,1.1005866721932307,493.80082357222324,14,-860.5695882223814,0.2925|0.7075,3.4043|4.3042,1.1384|0.9140,0.8258|0.9280,00:norm;01:norm;10:norm;11:norm,00:GH(0.771);01:Frank(0.638);10:GH(0.643);11:GH(0.904),True,4,3,ICE iter 16 || ICE iter 17 || ICE iter 18,0.0,1.0,0.9139855770315206,1.0888075875262064,495.9394982819453,0.2925,False
aotizhongxin,2,pmc_state,available,0,8760,37,ok,,kmeans,6.118723625000712,0.263223416000983,20,345.1134724633468,0,0.0,345.1134724633468,10,-599.4897599823614,0.3193|0.6807,3.3700|4.2950,1.1475|0.9223,0.9358|0.9699,0:norm;1:norm,00:GH(0.771);01:GH(0.372);10:Frank(0.564);11:GH(0.898),True,0,0,,0.0,1.0,0.922296285732674,1.0888075875262064,345.1134724633468,0.3193,False
aotizhongxin,3,hmc_in,available,0,8760,37,ok,,kmeans,0.7412683330003347,0.023168791998614324,16,-6609.37148252714,0,0.0,-6609.37148252714,12,13327.627586987479,0.2923|0.3947|0.3130,2.6200|4.1237|5.1377,0.6426|0.3684|0.3760,0.9491|0.9333|0.9590,0:norm;1:norm;2:norm,,True,0,0,,0.0,1.0,0.3684039202873113,1.0888075875262064,-6609.37148252714,0.2923,False
aotizhongxin,3,pmc_pair,available,0,8760,37,ok,,kmeans,30.79156416600017,0.5709660419997817,50,606.1147787349237,1,5.433106924471161,607.8400419987918,32,-925.3210921757205,0.2036|0.2956|0.5008,2.5159|4.3619|4.5235,0.6249|0.7374|0.7114,0.5837|0.6777|0.8911,00:norm;01:norm;02:norm;10:norm;11:norm;12:norm;20:norm;21:norm;22:norm,00:GH(0.775);01:Frank(0.597);02:Frank(0.599);10:Frank(0.561);11:GH(0.899);12:GH(0.637);20:GH(0.609);21:GH(0.790);22:GH(0.790),True,1,1,ICE iter 2,0.0,1.0,0.3647934329547698,1.0888075875262064,606.1147787349237,0.2036,False
aotizhongxin,3,pmc_state,available,0,8760,37,ok,,kmeans,26.30927545799932,0.5700222920022497,43,424.4445148472862,0,0.0,424.4445148472862,20,-667.4146598059081,0.0693|0.5199|0.4109,2.9991|3.6759|4.5790,1.2914|1.0628|0.7334,0.7278|0.9496|0.9734,0:norm;1:norm;2:norm,00:GH(0.640);01:Frank(0.536);02:Frank(-0.764);10:Frank(0.767);11:GH(0.849);12:GH(0.398);20:GH(0.424);21:GH(0.615);22:GH(0.894),True,0,0,,0.0,1.0,0.7334439754762314,1.0888075875262064,424.4445148472862,0.0693,False
huairou,2,hmc_in,available,0,8760,334,ok,,kmeans,0.3782643329977873,0.013889666999602923,9,-9288.161323497861,0,0.0,-9288.161323497861,6,18630.557111650956,0.4360|0.5640,2.7056|4.6208,0.8400|0.5603,0.9692|0.9762,0:norm;1:norm,,True,0,0,,0.6395178350339847,0.9953196347031964,0.5603190351100522,1.1767602124940608,-9288.161323497861,0.436,False
huairou,2,hmc_in,available,1,8760,334,ok,,perturbed-1,0.382717041997239,0.01585920800062013,9,-9288.327614777892,0,0.0,-9288.327614777892,6,18630.88969421102,0.4351|0.5649,2.7033|4.6195,0.8393|0.5609,0.9691|0.9762,0:norm;1:norm,,True,0,0,,0.8058091150651308,0.9948630136986302,0.5609287393040131,1.1767602124940608,-9288.327614777892,0.4351,False
huairou,2,hmc_in,available,2,8760,334,ok,,perturbed-2,0.33436858400091296,0.014608957997552352,8,-9288.17880430888,0,0.0,-9288.17880430888,6,18630.592073272994,0.4359|0.5641,2.7054|4.6207,0.8399|0.5604,0.9692|0.9762,0:norm;1:norm,,True,0,0,,0.6569986460526707,0.9952054794520548,0.5603855382483739,1.1767602124940608,-9288.17880430888,0.4359,False
huairou,2,hmc_in,impute,0,8760,334,ok,,kmeans,2.763526582999475,0.014480166999419453,9,-9288.332710164856,0,0.0,-9288.332710164856,6,18630.899884984945,0.4354|0.5646,2.7035|4.6197,0.8402|0.5615,0.9692|0.9762,0:norm;1:norm,,True,0,0,,0.8109045020282792,0.9949771689497717,0.5614932903452579,1.1767602124940608,-9288.332710164856,0.4354,False
