station,method,h,n,rmse,mae,crps_gauss,cov90
aotizhongxin,ar1,1,90,0.39654595007661764,0.2635128834552898,0.20618076409841532,0.8666666666666667
aotizhongxin,ar1,2,89,0.5946966024072312,0.4251533547844291,0.31843506369190405,0.8651685393258427
aotizhongxin,ar1,3,89,0.7107027646214353,0.5214296628194539,0.38935038116138854,0.8089887640449438
aotizhongxin,ar1,4,90,0.8458081119154839,0.6524904808444382,0.47333316554828414,0.8111111111111111
aotizhongxin,ar1,5,88,0.9531327045332437,0.7671465763234891,0.5431615928140234,0.8068181818181818
aotizhongxin,ar1,6,90,1.0107457626798886,0.8141496022896716,0.5763604450169901,0.8222222222222222
aotizhongxin,ar1,7,91,1.011082008193471,0.8449780022458612,0.5892648091085094,0.8131868131868132
aotizhongxin,ar1,8,90,1.0605694001344437,0.8867401710241533,0.616680574903343,0.8222222222222222
aotizhongxin,ar1,9,90,1.0602611420786998,0.8916584759885143,0.6185389125177152,0.8222222222222222
aotizhongxin,ar1,10,89,1.0705053819522454,0.91141815253478,0.6250219679458483,0.8314606741573034
aotizhongxin,ar1,11,90,1.0540710044037878,0.8715889031038659,0.606398479054897,0.8444444444444444
aotizhongxin,ar1,12,90,1.0701553558148051,0.8884271144721699,0.6088276139631179,0.8555555555555555
aotizhongxin,ar1,13,91,0.9963441541689718,0.8380409534305537,0.5701088142587549,0.9010989010989011
aotizhongxin,ar1,14,90,1.0160390673913398,0.8467703740983499,0.5800802938772406,0.8666666666666667
aotizhongxin,ar1,15,91,1.003503720793998,0.8427335910532224,0.5735897277030668,0.8791208791208791
aotizhongxin,ar1,16,91,1.0473198066964826,0.8654705088667808,0.5946763556610429,0.8791208791208791
aotizhongxin,ar1,17,90,0.9981405773249554,0.8074438480585797,0.5607478777912472,0.9111111111111111
aotizhongxin,ar1,18,90,1.0138950019308823,0.8417570752334235,0.5784051266046873,0.8888888888888888
aotizhongxin,ar1,19,90,1.0373789033164391,0.8690316174230184,0.5973839758398627,0.8888888888888888
aotizhongxin,ar1,20,91,1.0841999275233032,0.9130514891406306,0.6276840226141188,0.8461538461538461
aotizhongxin,ar1,21,90,1.0224617722658083,0.8776553138741913,0.5942348040048134,0.9222222222222223
aotizhongxin,ar1,22,89,1.1445089777924622,0.9677784846831863,0.6679304860287668,0.8426966292134831
aotizhongxin,ar1,23,88,1.1383215517610488,0.9784665864918062,0.6669631861171305,0.8522727272727273
aotizhongxin,ar1,24,90,1.186694889314597,1.0031394902652542,0.6886959786472789,0.8666666666666667
aotizhongxin,hmc_in_K3,1,90,0.5908934820281746,0.47475927912401145,0.3313219158421618,0.8888888888888888
aotizhongxin,hmc_in_K3,2,89,0.7097874575213341,0.5722797450830969,0.40270961511414255,0.8426966292134831
aotizhongxin,hmc_in_K3,3,89,0.8004501751462182,0.6452294813614136,0.4526240724796651,0.8314606741573034
aotizhongxin,hmc_in_K3,4,90,0.9020854175572232,0.7444008685064353,0.5176197164147356,0.7888888888888889
aotizhongxin,hmc_in_K3,5,88,1.0341672900632546,0.8598119902721801,0.6005651432689484,0.7840909090909091
aotizhongxin,hmc_in_K3,6,90,1.0872850017993962,0.9040275005383912,0.6338753512917319,0.7444444444444445
aotizhongxin,hmc_in_K3,7,91,1.1131408425511613,0.9567186607585206,0.661181222220447,0.6813186813186813
aotizhongxin,hmc_in_K3,8,90,1.1535945835330128,0.9787185644249133,0.6832231683170802,0.6888888888888889
aotizhongxin,hmc_in_K3,9,90,1.141912811140647,0.9866024295395448,0.67558200647428,0.7777777777777778
aotizhongxin,hmc_in_K3,10,89,1.1497588430052614,1.003581053044146,0.6826568934924122,0.7415730337078652
aotizhongxin,hmc_in_K3,11,90,1.1151941483025853,0.936353238363133,0.6507814396310979,0.7555555555555555
aotizhongxin,hmc_in_K3,12,90,1.114753237483746,0.933963548590071,0.643243082744352,0.8333333333333334
aotizhongxin,hmc_in_K3,13,91,1.0369863563937454,0.8732901521698663,0.5998656701318316,0.8571428571428571
aotizhongxin,hmc_in_K3,14,90,1.0612494219728685,0.878798267452743,0.6111957369832124,0.8111111111111111
aotizhongxin,hmc_in_K3,15,91,1.034883538735554,0.879025375895185,0.5988068409541197,0.8571428571428571
aotizhongxin,hmc_in_K3,16,91,1.0706244928815427,0.8945413909209856,0.6158260100904953,0.8351648351648352
aotizhongxin,hmc_in_K3,17,90,1.0311894399494934,0.8511247353009009,0.5904231843449871,0.8555555555555555
aotizhongxin,hmc_in_K3,18,90,1.0434341106832565,0.8682256222688314,0.6010317668218615,0.8444444444444444
aotizhongxin,hmc_in_K3,19,90,1.0675090479588212,0.8998838796545031,0.6217263079660047,0.8777777777777778
aotizhongxin,hmc_in_K3,20,91,1.117360760259383,0.9512905099247413,0.6535081101579344,0.8791208791208791
aotizhongxin,hmc_in_K3,21,90,1.0494540128171017,0.9088508870168648,0.6157814513578244,0.9222222222222223
aotizhongxin,hmc_in_K3,22,89,1.1718673196872877,0.988931335394113,0.6856163687234195,0.8764044943820225
aotizhongxin,hmc_in_K3,23,88,1.1582927257426205,0.9960370411538189,0.6826959224280663,0.8636363636363636
aotizhongxin,hmc_in_K3,24,90,1.2067524950195792,1.0212149886410984,0.7070412126186306,0.8333333333333334
aotizhongxin,persistence,1,90,0.4100892230581187,0.26276987175473654,,
aotizhongxin,persistence,2,89,0.6388563747960725,0.4396052574054575,,
aotizhongxin,persistence,3,89,0.7769508748379894,0.5405574491123909,,
aotizhongxin,persistence,4,90,0.9266229287555399,0.6644716123992015,,
aotizhongxin,persistence,5,88,1.031790941163599,0.7591348290718748,,
aotizhongxin,persistence,6,90,1.109006020645563,0.8155928727610069,,
aotizhongxin,persistence,7,91,1.0845375604083332,0.8321328999554511,,
aotizhongxin,persistence,8,90,1.1450779610261197,0.8697742271004908,,
aotizhongxin,persistence,9,90,1.1801667362730675,0.8987787703174116,,
aotizhongxin,persistence,10,89,1.1988201733802293,0.8985507351895494,,
aotizhongxin,persistence,11,90,1.1943151488062702,0.8634440682964544,,
aotizhongxin,persistence,12,90,1.2007911623209435,0.8642432001111784,,
aotizhongxin,persistence,13,91,1.1347328186375136,0.8329182441900547,,
aotizhongxin,persistence,14,90,1.158455765050673,0.8655826747990091,,
aotizhongxin,persistence,15,91,1.1590352159120656,0.8905767488251575,,
aotizhongxin,persistence,16,91,1.2221037111521944,0.9375521855625826,,
aotizhongxin,persistence,17,90,1.1997319737858907,0.9258138679931883,,
aotizhongxin,persistence,18,90,1.2404185738984346,0.9735334950117432,,
aotizhongxin,persistence,19,90,1.2691249105282045,0.9703398731618321,,
aotizhongxin,persistence,20,91,1.2864953557182657,1.0321202930998095,,
aotizhongxin,persistence,21,90,1.2950756844695914,1.0550553160497937,,
aotizhongxin,persistence,22,89,1.3959097411873973,1.1203583150385987,,
aotizhongxin,persistence,23,88,1.4538145462835923,1.170250666751405,,
aotizhongxin,persistence,24,90,1.489382829382724,1.2057321204723406,,
aotizhongxin,pmc_pair_K3,1,90,0.3959667389778547,0.2616821035598529,0.19998320352902052,0.8444444444444444
aotizhongxin,pmc_pair_K3,2,89,0.6059863066048266,0.42376255505765603,0.32058256775687544,0.7640449438202247
aotizhongxin,pmc_pair_K3,3,89,0.7233791348964969,0.523337152261547,0.389091126018293,0.7640449438202247
aotizhongxin,pmc_pair_K3,4,90,0.8527196374613821,0.6337770466638972,0.464727000532009,0.7333333333333333
aotizhongxin,pmc_pair_K3,5,88,0.9627512145559849,0.7522710392167457,0.5367965740517597,0.7159090909090909
aotizhongxin,pmc_pair_K3,6,90,1.0402244694285585,0.8090180018580657,0.5792525903392008,0.7
aotizhongxin,pmc_pair_K3,7,91,1.0461494164970797,0.8373400985273471,0.6028120251517335,0.6813186813186813
aotizhongxin,pmc_pair_K3,8,90,1.088413402234913,0.8796385376662409,0.6251185933275927,0.7111111111111111
aotizhongxin,pmc_pair_K3,9,90,1.09026493256032,0.8873490816339766,0.6262835475734163,0.7333333333333333
aotizhongxin,pmc_pair_K3,10,89,1.1011934862840944,0.9059796561732104,0.6332321135497286,0.7191011235955056
aotizhongxin,pmc_pair_K3,11,90,1.0794936668183257,0.8470947268836285,0.6097840574289186,0.7777777777777778
aotizhongxin,pmc_pair_K3,12,90,1.0841908518693568,0.8542899808637181,0.6052402564035648,0.8
