series,K,model,strategy,start,method,gap_class,n,rmse,mae,crps,crps_kind,cov90,width90,impute_s,ar1_params
tsnh4,0,ar1,baseline,0,ar1,1-2,120,0.10210194970759426,0.05727887876449637,0.04434098760467191,gaussian,0.9083333333333333,0.24538513994211286,0.004142999998293817,"{""mu"": 2.2808639113623093, ""phi"": 0.9919873731798224, ""sigma2"": 0.00969566772308249, ""loglik"": 3198.3130649405307}"
tsnh4,0,ar1,baseline,0,ar1,3-20,300,0.08731643297329557,0.06222358247228646,0.04964635074402815,gaussian,0.96,0.4012951909410591,0.004142999998293817,"{""mu"": 2.2808639113623093, ""phi"": 0.9919873731798224, ""sigma2"": 0.00969566772308249, ""loglik"": 3198.3130649405307}"
tsnh4,0,ar1,baseline,0,ar1,>20,463,0.35660900025009384,0.2796135577523424,0.18861871876943442,gaussian,0.9416846652267818,1.1115661740513225,0.004142999998293817,"{""mu"": 2.2808639113623093, ""phi"": 0.9919873731798224, ""sigma2"": 0.00969566772308249, ""loglik"": 3198.3130649405307}"
tsnh4,0,ar1,baseline,0,ar1,all,883,0.26587304662267586,0.1755397705920272,0.12179534600907951,gaussian,0.9433748584371461,0.7525367074305023,0.004142999998293817,"{""mu"": 2.2808639113623093, ""phi"": 0.9919873731798224, ""sigma2"": 0.00969566772308249, ""loglik"": 3198.3130649405307}"
tsnh4,0,linear,baseline,0,linear,1-2,120,0.10210669324218576,0.0572804001039761,0.0572804001039761,dirac(=mae),,,0.0,
tsnh4,0,linear,baseline,0,linear,3-20,300,0.08740059778670761,0.06232705017389665,0.06232705017389665,dirac(=mae),,,0.0,
tsnh4,0,linear,baseline,0,linear,>20,463,0.3218338609714294,0.25095688780174047,0.25095688780174047,dirac(=mae),,,0.0,
tsnh4,0,linear,baseline,0,linear,all,883,0.24150087361533734,0.1605490397699343,0.1605490397699343,dirac(=mae),,,0.0,
tsnh4,0,locf,baseline,0,locf,1-2,120,0.09865990554829371,0.06903358956766402,0.06903358956766402,dirac(=mae),,,0.0,
tsnh4,0,locf,baseline,0,locf,3-20,300,0.19267006472110698,0.12875575210967388,0.12875575210967388,dirac(=mae),,,0.0,
tsnh4,0,locf,baseline,0,locf,>20,463,0.5188252481666847,0.3453159885250642,0.3453159885250642,dirac(=mae),,,0.0,
tsnh4,0,locf,baseline,0,locf,all,883,0.39380070360634734,0.2341925923761343,0.2341925923761343,dirac(=mae),,,0.0,
tsnh4,2,hmc_in,available,0,pmc_posterior,1-2,120,0.49542027012866635,0.3558236647686704,0.2669985976341156,samples,0.9166666666666666,1.6409064758656342,0.12079304199869512,
tsnh4,2,hmc_in,available,0,pmc_posterior,3-20,300,0.6872451957897336,0.47231246800220217,0.35496393890947436,samples,0.7566666666666667,1.5431262616618797,0.12079304199869512,
tsnh4,2,hmc_in,available,0,pmc_posterior,>20,463,0.8366818350092857,0.6692540491983122,0.47629324924919303,samples,0.7300215982721382,2.0605599620560096,0.12079304199869512,
tsnh4,2,hmc_in,available,0,pmc_posterior,all,883,0.7489226942267688,0.5597476839770325,0.4066282987444083,samples,0.7644394110985278,1.8277303714998556,0.12079304199869512,
tsnh4,2,hmc_in,available,1,pmc_posterior,1-2,120,0.4953956890150335,0.3558967630384069,0.2637970646687122,samples,0.9166666666666666,1.6406389848153746,0.12274333400273463,
tsnh4,2,hmc_in,available,1,pmc_posterior,3-20,300,0.6870894916399195,0.4722638919745335,0.3552576533977097,samples,0.7566666666666667,1.5429465777488796,0.12274333400273463,
tsnh4,2,hmc_in,available,1,pmc_posterior,>20,463,0.8365817331864192,0.6691664009142111,0.47694163817504803,samples,0.7300215982721382,2.060742060951644,0.12274333400273463,
tsnh4,2,hmc_in,available,1,pmc_posterior,all,883,0.7488133026062991,0.5596951560365216,0.4066329810357935,samples,0.7644394110985278,1.8277284549525705,0.12274333400273463,
tsnh4,2,hmc_in,available,2,pmc_posterior,1-2,120,0.4954390085618184,0.35576332536659916,0.26339755450869023,samples,0.9166666666666666,1.6411310243991517,0.12520862499877694,
tsnh4,2,hmc_in,available,2,pmc_posterior,3-20,300,0.687371292618081,0.47235036490995913,0.35594054771934386,samples,0.7566666666666667,1.5432719328158604,0.12520862499877694,
tsnh4,2,hmc_in,available,2,pmc_posterior,>20,463,0.8367675335166123,0.6693286193666017,0.47508298120415454,samples,0.7300215982721382,2.06041385361549,0.12520862499877694,
tsnh4,2,hmc_in,available,2,pmc_posterior,all,883,0.7490138942765655,0.5597914601174588,0.40583611682261544,samples,0.7644394110985278,1.827733767833101,0.12520862499877694,
tsnh4,2,hmc_in,impute,0,pmc_posterior,1-2,120,0.4948565872288219,0.3565975735989599,0.26140788861912034,samples,0.9166666666666666,1.6341835249944063,0.12426158400194254,
tsnh4,2,hmc_in,impute,0,pmc_posterior,3-20,300,0.6848587646151894,0.47160747178363266,0.3528902058256428,samples,0.7566666666666667,1.53846974686608,0.12426158400194254,
tsnh4,2,hmc_in,impute,0,pmc_posterior,>20,463,0.8343719326206278,0.6673701509224121,0.4739310232471386,samples,0.7300215982721382,2.060066839770069,0.12426158400194254,
tsnh4,2,hmc_in,impute,0,pmc_posterior,all,883,0.7467749861091036,0.5586255155651663,0.40392533651802087,samples,0.7644394110985278,1.8249760972510698,0.12426158400194254,
tsnh4,2,hmc_in,impute,1,pmc_posterior,1-2,120,0.49643445467759434,0.355666582730102,0.26322155842728095,samples,0.9166666666666666,1.6392307141278772,0.12030741700073122,
tsnh4,2,hmc_in,impute,1,pmc_posterior,3-20,300,0.6899438739947578,0.4736567031496468,0.35547614074985606,samples,0.7566666666666667,1.541615816826376,0.12030741700073122,
tsnh4,2,hmc_in,impute,1,pmc_posterior,>20,463,0.8390524888234405,0.6712127292589731,0.47584491936838685,samples,0.7300215982721382,2.053581283279026,0.12030741700073122,
tsnh4,2,hmc_in,impute,1,pmc_posterior,all,883,0.7512440633278604,0.5612100730684154,0.40605393760339026,samples,0.7644394110985278,1.823330198076384,0.12030741700073122,
tsnh4,2,hmc_in,impute,2,pmc_posterior,1-2,120,0.49481211629672534,0.35636080079799265,0.2647824680410873,samples,0.9166666666666666,1.639096887805208,0.12182379200021387,
tsnh4,2,hmc_in,impute,2,pmc_posterior,3-20,300,0.6850798678094668,0.4714911430433748,0.35376533040846303,samples,0.7566666666666667,1.5419432084332092,0.12182379200021387,
tsnh4,2,hmc_in,impute,2,pmc_posterior,>20,463,0.8346782348339092,0.6676043258499126,0.47360279977965886,samples,0.7300215982721382,2.0637939560132788,0.12182379200021387,
