subject,K,rule,model,n_missing,n_kept,err_missing,err_observed,miss_rate_by_state,truth_share_missing,posterior_share_missing,stationary_pi,max_abs_diff_vs_library
102,2,real,aware,159,5268,0.0,0.06928948913681739,0.0001|0.0487,0.000|1.000,0.000|1.000,0.500|0.500,
102,2,real_any,aware,797,5268,0.0075282308657465494,0.0738089912771192,0.0075|0.2397,0.019|0.981,0.014|0.986,0.500|0.500,
102,2,real,ignorable,159,5268,0.0,0.06948522215697789,0.0001|0.0487,0.000|1.000,0.000|1.000,0.500|0.500,1.532107773982716e-12
102,2,real_any,ignorable,797,5268,0.00878293601003764,0.07783493625587116,0.0075|0.2397,0.019|0.981,0.015|0.985,0.500|0.500,1.2732037646401295e-12
102,3,real,aware,159,5268,0.0880503144654088,0.11567821491485614,0.0001|0.0207|0.1082,0.000|0.289|0.711,0.000|0.209|0.791,0.333|0.333|0.333,
102,3,real_any,aware,797,5268,0.34127979924717694,0.157235517781257,0.0075|0.1329|0.4665,0.019|0.370|0.611,0.014|0.063|0.924,0.333|0.333|0.333,
102,3,real,ignorable,159,5268,0.0,0.13407711880994325,0.0001|0.0207|0.1082,0.000|0.289|0.711,0.000|0.289|0.711,0.333|0.333|0.333,1.304512053934559e-12
102,3,real_any,ignorable,797,5268,0.02132998745294856,0.14918362782375308,0.0075|0.1329|0.4665,0.019|0.370|0.611,0.016|0.376|0.608,0.333|0.333|0.333,1.3361534101363759e-12
105,2,real,aware,97,5448,0.0,0.046346477293963746,0.0024|0.0276,0.052|0.948,0.051|0.949,0.500|0.500,
105,2,real_any,aware,424,5448,0.01179245283018868,0.05015923566878981,0.0137|0.1185,0.068|0.932,0.072|0.928,0.500|0.500,
105,2,real,ignorable,97,5448,0.0,0.04784152494860774,0.0024|0.0276,0.052|0.948,0.052|0.948,0.500|0.500,2.5391910796201955e-12
105,2,real_any,ignorable,424,5448,0.01179245283018868,0.05513535031847134,0.0137|0.1185,0.068|0.932,0.073|0.927,0.500|0.500,2.1344037648418634e-12
105,3,real,aware,97,5448,0.020618556701030927,0.09493552606989347,0.0024|0.0402|0.0043,0.052|0.897|0.052,0.031|0.918|0.051,0.333|0.333|0.333,
105,3,real_any,aware,424,5448,0.02830188679245283,0.09593949044585988,0.0137|0.1383|0.0819,0.068|0.705|0.226,0.052|0.722|0.226,0.333|0.333|0.333,
105,3,real,ignorable,97,5448,0.020618556701030927,0.09568304989721547,0.0024|0.0402|0.0043,0.052|0.897|0.052,0.034|0.914|0.052,0.333|0.333|0.333,1.9806378759312793e-12
105,3,real_any,ignorable,424,5448,0.030660377358490566,0.09912420382165606,0.0137|0.1383|0.0819,0.068|0.705|0.226,0.054|0.720|0.226,0.333|0.333|0.333,1.9806378759312793e-12
108,2,real,aware,30,5239,0.03333333333333333,0.10673833749280093,0.0019|0.0083,0.133|0.867,0.100|0.900,0.500|0.500,
108,2,real_any,aware,560,5239,0.026785714285714284,0.11669160076939517,0.0185|0.1662,0.070|0.930,0.046|0.954,0.500|0.500,
108,2,real,ignorable,30,5239,0.03333333333333333,0.1065463620656556,0.0019|0.0083,0.133|0.867,0.100|0.900,0.500|0.500,2.695843548394805e-12
108,2,real_any,ignorable,560,5239,0.03214285714285714,0.11754648429151528,0.0185|0.1662,0.070|0.930,0.053|0.947,0.500|0.500,1.6624479570737094e-12
108,3,real,aware,30,5239,0.03333333333333333,0.1171050105586485,0.0019|0.0083|0.0083,0.133|0.567|0.300,0.100|0.600|0.300,0.333|0.333|0.333,
108,3,real_any,aware,560,5239,0.0375,0.12652276127377646,0.0185|0.1336|0.2281,0.070|0.489|0.441,0.042|0.501|0.457,0.333|0.333|0.333,
108,3,real,ignorable,30,5239,0.03333333333333333,0.11729698598579381,0.0019|0.0083|0.0083,0.133|0.567|0.300,0.100|0.600|0.300,0.333|0.333|0.333,1.779909553079051e-12
108,3,real_any,ignorable,560,5239,0.04285714285714286,0.13058345800384696,0.0185|0.1336|0.2281,0.070|0.489|0.441,0.050|0.521|0.428,0.333|0.333|0.333,1.779909553079051e-12
