subject,feature,grouping,K,err,n
102,log_sd,K2,2,0.06738800303720577,5268
102,mean,K2,2,0.1417995444191344,5268
102,log_sd,K3,3,0.1300303720577069,5268
102,log_sd,K3_alt,3,0.20842824601366744,5268
102,mean,K3,3,0.2727790432801822,5268
102,mean,K3_alt,3,0.2190584662110858,5268
105,log_sd,K2,2,0.04698972099853157,5448
105,mean,K2,2,0.1617107195301028,5448
105,log_sd,K3,3,0.09434654919236417,5448
105,log_sd,K3_alt,3,0.20631424375917767,5448
105,mean,K3,3,0.1696035242290749,5448
105,mean,K3_alt,3,0.12701908957415564,5448
108,log_sd,K2,2,0.10612712349685055,5239
108,mean,K2,2,0.11376216835273907,5239
108,log_sd,K3,3,0.11681618629509448,5239
108,log_sd,K3_alt,3,0.1761786600496278,5239
108,mean,K3,3,0.18992174079022714,5239
108,mean,K3_alt,3,0.12254246993701089,5239
