task_id,task,wall_s
aotizhongxin__K2__hmc_in__available__s0__ebcfe877,fit,0.43668362500102376
aotizhongxin__K2__pmc_pair__available__s0__0f4e5f57,fit,6.633923790999688
aotizhongxin__K2__pmc_state__available__s0__3125cef0,fit,6.440564290998736
aotizhongxin__K3__hmc_in__available__s0__d655ccbe,fit,0.8063777920033317
aotizhongxin__K3__pmc_pair__available__s0__b28305c0,fit,31.447900167000626
aotizhongxin__K3__pmc_state__available__s0__b31d74d3,fit,26.943073667000135
cv__aotizhongxin__baselines____r0.05__b1__s0__b117fb3c,cv,0.017015334000461735
cv__aotizhongxin__baselines____r0.05__b1__s1__34ba3824,cv,0.017868541999632725
cv__aotizhongxin__baselines____r0.05__b1__s2__a160c503,cv,0.02146879199790419
cv__aotizhongxin__baselines____r0.05__b1__s3__fa7ef34a,cv,0.010843957999895792
cv__aotizhongxin__baselines____r0.05__b1__s4__9e4bd7c2,cv,0.014777958000195213
cv__aotizhongxin__baselines____r0.05__b48__s0__f20acd57,cv,0.01368512499902863
cv__aotizhongxin__baselines____r0.05__b48__s1__c567fa9b,cv,0.013754875002632616
cv__aotizhongxin__baselines____r0.05__b48__s2__0adca280,cv,0.02245108300121501
cv__aotizhongxin__baselines____r0.05__b48__s3__81048faa,cv,0.015181458002189174
cv__aotizhongxin__baselines____r0.05__b48__s4__38078e8f,cv,0.019454291999863926
cv__aotizhongxin__baselines____r0.05__b6__s0__8bd7dcb0,cv,0.01757204200112028
cv__aotizhongxin__baselines____r0.05__b6__s1__ff70b0fe,cv,0.0140281669991964
cv__aotizhongxin__baselines____r0.05__b6__s2__09f83f6b,cv,0.011726042001100723
cv__aotizhongxin__baselines____r0.05__b6__s3__68c30bf9,cv,0.017685458999039838
cv__aotizhongxin__baselines____r0.05__b6__s4__918e331a,cv,0.010776416998851346
cv__aotizhongxin__baselines____r0.2__b1__s0__eaddd2cb,cv,0.015458707999641774
cv__aotizhongxin__baselines____r0.2__b1__s1__51432d33,cv,0.014712874999531778
cv__aotizhongxin__baselines____r0.2__b1__s2__b4b6ff95,cv,0.016524958999070805
cv__aotizhongxin__baselines____r0.2__b1__s3__3b2583ed,cv,0.016040499998780433
cv__aotizhongxin__baselines____r0.2__b1__s4__a3dc8d08,cv,0.012546332996862475
cv__aotizhongxin__baselines____r0.2__b48__s0__88cfc40b,cv,0.01735750000079861
cv__aotizhongxin__baselines____r0.2__b48__s1__2809202f,cv,0.01253733300109161
cv__aotizhongxin__baselines____r0.2__b48__s2__143aba81,cv,0.015316333003283944
cv__aotizhongxin__baselines____r0.2__b48__s3__4bd1aba2,cv,0.009649540999816963
cv__aotizhongxin__baselines____r0.2__b48__s4__2175d810,cv,0.010117959001945565
cv__aotizhongxin__baselines____r0.2__b6__s0__29c629ea,cv,0.010037583000666928
cv__aotizhongxin__baselines____r0.2__b6__s1__e34f48d5,cv,0.014663457997812657
cv__aotizhongxin__baselines____r0.2__b6__s2__7f9426eb,cv,0.01606008399903658
cv__aotizhongxin__baselines____r0.2__b6__s3__3f5b9058,cv,0.01825079199988977
cv__aotizhongxin__baselines____r0.2__b6__s4__06cde2af,cv,0.010733125000115251
cv__aotizhongxin__model__hmc_in__r0.05__b1__s0__979c3f95,cv,0.9379858329994022
cv__aotizhongxin__model__hmc_in__r0.05__b1__s1__10213e3b,cv,0.9626132919984229
cv__aotizhongxin__model__hmc_in__r0.05__b1__s2__f7f269d6,cv,1.0180442090022552
cv__aotizhongxin__model__hmc_in__r0.05__b1__s3__988f089e,cv,0.9642325419990811
cv__aotizhongxin__model__hmc_in__r0.05__b1__s4__46fae6b8,cv,0.9097954159988149
cv__aotizhongxin__model__hmc_in__r0.05__b48__s0__c4b753d6,cv,0.9714480830007233
cv__aotizhongxin__model__hmc_in__r0.05__b48__s1__9063c5d3,cv,0.9921764160026214
cv__aotizhongxin__model__hmc_in__r0.05__b48__s2__fe26d842,cv,0.8694026669982122
cv__aotizhongxin__model__hmc_in__r0.05__b48__s3__1f77be80,cv,1.0057852499994624
cv__aotizhongxin__model__hmc_in__r0.05__b48__s4__78270f16,cv,0.9646975830000883
cv__aotizhongxin__model__hmc_in__r0.05__b6__s0__f8f2eac3,cv,0.9609467500013125
cv__aotizhongxin__model__hmc_in__r0.05__b6__s1__27243ac8,cv,1.0151958749993355
cv__aotizhongxin__model__hmc_in__r0.05__b6__s2__720b7394,cv,1.0616152080001484
cv__aotizhongxin__model__hmc_in__r0.05__b6__s3__5fc7d60d,cv,1.059809457998199
cv__aotizhongxin__model__hmc_in__r0.05__b6__s4__81c54fbb,cv,1.0110074170006556
cv__aotizhongxin__model__hmc_in__r0.2__b1__s0__553c5ed6,cv,1.096035042002768
cv__aotizhongxin__model__hmc_in__r0.2__b1__s1__22921379,cv,1.0227500420005526
cv__aotizhongxin__model__hmc_in__r0.2__b1__s2__5eb3d399,cv,1.0369130830003996
cv__aotizhongxin__model__hmc_in__r0.2__b1__s3__f3b3d5bc,cv,0.9764396249993297
cv__aotizhongxin__model__hmc_in__r0.2__b1__s4__b8e12c48,cv,1.0423677079998015
cv__aotizhongxin__model__hmc_in__r0.2__b48__s0__8acc1dc1,cv,0.9911104580023675
cv__aotizhongxin__model__hmc_in__r0.2__b48__s1__e2ad4f76,cv,1.3542262080009095
cv__aotizhongxin__model__hmc_in__r0.2__b48__s2__24bc109e,cv,1.2057209590020648
cv__aotizhongxin__model__hmc_in__r0.2__b48__s3__b04bbd53,cv,1.2844215410004836
cv__aotizhongxin__model__hmc_in__r0.2__b48__s4__d81a4f10,cv,0.9919313329992292
cv__aotizhongxin__model__hmc_in__r0.2__b6__s0__d187903c,cv,0.9679235829971731
cv__aotizhongxin__model__hmc_in__r0.2__b6__s1__09a55c32,cv,1.1452748330011673
cv__aotizhongxin__model__hmc_in__r0.2__b6__s2__14d8dda5,cv,1.325209624999843
cv__aotizhongxin__model__hmc_in__r0.2__b6__s3__fe110479,cv,1.4075141249995795
cv__aotizhongxin__model__hmc_in__r0.2__b6__s4__9bcbdf43,cv,1.1347703329993237
cv__aotizhongxin__model__pmc_pair__r0.05__b1__s0__cdcf7f9a,cv,19.700017667000793
cv__aotizhongxin__model__pmc_pair__r0.05__b1__s1__8038cd4a,cv,38.9705019590001
cv__aotizhongxin__model__pmc_pair__r0.05__b1__s2__321b5116,cv,15.907666499999323
cv__aotizhongxin__model__pmc_pair__r0.05__b1__s3__fc7259d9,cv,19.084037582997553
cv__aotizhongxin__model__pmc_pair__r0.05__b1__s4__a86dce94,cv,19.105022084000666
cv__aotizhongxin__model__pmc_pair__r0.05__b48__s0__af728780,cv,17.13642774999971
cv__aotizhongxin__model__pmc_pair__r0.05__b48__s1__f48bce56,cv,39.609859375003
cv__aotizhongxin__model__pmc_pair__r0.05__b48__s2__9246e17f,cv,40.62323683300201
cv__aotizhongxin__model__pmc_pair__r0.05__b48__s3__b9287366,cv,41.09410095799831
