run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Gauss,GH,0,0.6869
0,3000,0,1,GH,GH,1,0.3177
0,3000,1,0,GH,GH,1,0.3763
0,3000,1,1,Clayton,Clayton,1,0.6551
1,3001,0,0,Gauss,GH,0,0.6940
1,3001,0,1,GH,GH,1,0.3619
1,3001,1,0,GH,GH,1,0.2686
1,3001,1,1,Clayton,Clayton,1,0.6170
2,3002,0,0,Gauss,GH,0,0.5443
2,3002,0,1,GH,Clayton,0,0.2737
2,3002,1,0,GH,Clayton,0,0.1656
2,3002,1,1,Clayton,Clayton,1,0.4096
3,3003,0,0,Gauss,GH,0,0.6650
3,3003,0,1,GH,GH,1,0.4273
3,3003,1,0,GH,GH,1,0.3988
3,3003,1,1,Clayton,Clayton,1,0.7094
4,3004,0,0,Gauss,GH,0,0.7028
4,3004,0,1,GH,GH,1,0.3427
4,3004,1,0,GH,Gauss,0,0.4176
4,3004,1,1,Clayton,Clayton,1,0.6563
5,3005,0,0,Gauss,GH,0,0.6938
5,3005,0,1,GH,Clayton,0,0.2747
5,3005,1,0,GH,Clayton,0,0.3583
5,3005,1,1,Clayton,GH,0,0.4234
6,3006,0,0,Gauss,Gauss,1,0.6890
6,3006,0,1,GH,Gauss,0,0.3925
6,3006,1,0,GH,Gauss,0,0.3779
6,3006,1,1,Clayton,Clayton,1,0.6768
7,3007,0,0,Gauss,GH,0,0.6816
7,3007,0,1,GH,GH,1,0.3777
7,3007,1,0,GH,GH,1,0.3939
7,3007,1,1,Clayton,Clayton,1,0.6660
8,3008,0,0,Gauss,Gauss,1,0.6861
8,3008,0,1,GH,Gauss,0,0.3539
8,3008,1,0,GH,GH,1,0.3670
8,3008,1,1,Clayton,Clayton,1,0.6968
9,3009,0,0,Gauss,Gauss,1,0.7019
9,3009,0,1,GH,Gauss,0,0.2842
9,3009,1,0,GH,GH,1,0.3214
9,3009,1,1,Clayton,Clayton,1,0.6153
10,3010,0,0,Gauss,Gauss,1,0.7042
10,3010,0,1,GH,GH,1,0.3964
10,3010,1,0,GH,GH,1,0.4517
10,3010,1,1,Clayton,Clayton,1,0.6959
11,3011,0,0,Gauss,GH,0,0.6989
11,3011,0,1,GH,GH,1,0.3450
11,3011,1,0,GH,GH,1,0.4154
11,3011,1,1,Clayton,Clayton,1,0.6541
12,3012,0,0,Gauss,GH,0,0.5830
12,3012,0,1,GH,Clayton,0,0.2582
12,3012,1,0,GH,Clayton,0,0.1408
12,3012,1,1,Clayton,GH,0,0.4649
13,3013,0,0,Gauss,Clayton,0,0.5082
13,3013,0,1,GH,Gauss,0,0.3652
13,3013,1,0,GH,Gauss,0,0.3373
13,3013,1,1,Clayton,Clayton,1,0.6695
14,3014,0,0,Gauss,Gauss,1,0.6909
14,3014,0,1,GH,GH,1,0.3934
14,3014,1,0,GH,Gauss,0,0.3308
14,3014,1,1,Clayton,Clayton,1,0.7002
15,3015,0,0,Gauss,Gauss,1,0.5379
15,3015,0,1,GH,Gauss,0,0.1962
15,3015,1,0,GH,Gauss,0,0.2023
15,3015,1,1,Clayton,Gauss,0,0.5474
16,3016,0,0,Gauss,GH,0,0.6826
16,3016,0,1,GH,GH,1,0.3435
16,3016,1,0,GH,GH,1,0.3524
