run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Gauss,Clayton,0,0.4624
0,3000,0,1,GH,Clayton,0,0.1856
0,3000,1,0,GH,GH,1,0.3135
0,3000,1,1,Clayton,Clayton,1,0.6677
1,3001,0,0,Gauss,Clayton,0,0.5056
1,3001,0,1,GH,Gauss,0,0.3713
1,3001,1,0,GH,Gauss,0,0.2529
1,3001,1,1,Clayton,Clayton,1,0.6621
2,3002,0,0,Gauss,Clayton,0,0.5400
2,3002,0,1,GH,Gauss,0,0.3088
2,3002,1,0,GH,GH,1,0.2747
2,3002,1,1,Clayton,Clayton,1,0.6761
3,3003,0,0,Gauss,Clayton,0,0.4750
3,3003,0,1,GH,Gauss,0,0.3689
3,3003,1,0,GH,Gauss,0,0.3812
3,3003,1,1,Clayton,Clayton,1,0.7031
4,3004,0,0,Gauss,Clayton,0,0.5478
4,3004,0,1,GH,Gauss,0,0.3336
4,3004,1,0,GH,Gauss,0,0.4208
4,3004,1,1,Clayton,Clayton,1,0.6883
5,3005,0,0,Gauss,Clayton,0,0.5596
5,3005,0,1,GH,Clayton,0,0.2096
5,3005,1,0,GH,Gauss,0,0.3806
5,3005,1,1,Clayton,Clayton,1,0.6651
6,3006,0,0,Gauss,Clayton,0,0.4955
6,3006,0,1,GH,Gauss,0,0.3493
6,3006,1,0,GH,Clayton,0,0.2630
6,3006,1,1,Clayton,Clayton,1,0.6706
7,3007,0,0,Gauss,Clayton,0,0.5049
7,3007,0,1,GH,Gauss,0,0.3520
7,3007,1,0,GH,GH,1,0.3322
7,3007,1,1,Clayton,Clayton,1,0.6780
8,3008,0,0,Gauss,Clayton,0,0.4628
8,3008,0,1,GH,Gauss,0,0.2613
8,3008,1,0,GH,Clayton,0,0.1866
8,3008,1,1,Clayton,Clayton,1,0.6665
9,3009,0,0,Gauss,Clayton,0,0.4828
9,3009,0,1,GH,Clayton,0,0.1973
9,3009,1,0,GH,Clayton,0,0.1714
9,3009,1,1,Clayton,Clayton,1,0.6393
10,3010,0,0,Gauss,Clayton,0,0.4884
10,3010,0,1,GH,Gauss,0,0.2988
10,3010,1,0,GH,Gauss,0,0.3768
10,3010,1,1,Clayton,Clayton,1,0.6851
11,3011,0,0,Gauss,GH,0,0.6976
