run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Gauss,GH,0,0.6949
0,3000,0,1,GH,Clayton,0,0.5247
0,3000,1,0,GH,Clayton,0,0.5683
0,3000,1,1,Clayton,GH,0,0.4312
1,3001,0,0,Gauss,Gauss,1,0.7026
1,3001,0,1,GH,Gauss,0,0.4350
1,3001,1,0,GH,Gauss,0,0.3382
1,3001,1,1,Clayton,Clayton,1,0.6696
2,3002,0,0,Gauss,Clayton,0,0.6153
2,3002,0,1,GH,Clayton,0,0.4443
2,3002,1,0,GH,Clayton,0,0.3283
2,3002,1,1,Clayton,GH,0,0.5936
3,3003,0,0,Gauss,Gauss,1,0.7014
3,3003,0,1,GH,Gauss,0,0.3575
3,3003,1,0,GH,GH,1,0.4097
3,3003,1,1,Clayton,Clayton,1,0.6914
4,3004,0,0,Gauss,Gauss,1,0.7080
4,3004,0,1,GH,Gauss,0,0.3451
4,3004,1,0,GH,Gauss,0,0.3751
4,3004,1,1,Clayton,Clayton,1,0.6873
5,3005,0,0,Gauss,GH,0,0.6729
5,3005,0,1,GH,Clayton,0,0.3534
5,3005,1,0,GH,Clayton,0,0.3183
5,3005,1,1,Clayton,GH,0,0.5639
6,3006,0,0,Gauss,Gauss,1,0.6932
6,3006,0,1,GH,Gauss,0,0.4419
6,3006,1,0,GH,GH,1,0.3157
6,3006,1,1,Clayton,Clayton,1,0.7043
7,3007,0,0,Gauss,Clayton,0,0.6214
7,3007,0,1,GH,Clayton,0,0.3497
7,3007,1,0,GH,Clayton,0,0.2113
7,3007,1,1,Clayton,GH,0,0.5546
8,3008,0,0,Gauss,GH,0,0.6790
8,3008,0,1,GH,Clayton,0,0.3060
8,3008,1,0,GH,Clayton,0,0.3639
8,3008,1,1,Clayton,GH,0,0.5826
9,3009,0,0,Gauss,GH,0,0.6896
9,3009,0,1,GH,GH,1,0.2155
9,3009,1,0,GH,GH,1,0.0623
9,3009,1,1,Clayton,Clayton,1,0.6649
10,3010,0,0,Gauss,Gauss,1,0.7114
10,3010,0,1,GH,GH,1,0.4037
10,3010,1,0,GH,Gauss,0,0.5919
10,3010,1,1,Clayton,Clayton,1,0.6962
11,3011,0,0,Gauss,Gauss,1,0.6855
11,3011,0,1,GH,Gauss,0,0.3223
11,3011,1,0,GH,GH,1,0.3252
11,3011,1,1,Clayton,Clayton,1,0.7185
12,3012,0,0,Gauss,GH,0,0.7056
12,3012,0,1,GH,Clayton,0,0.4526
12,3012,1,0,GH,Clayton,0,0.3392
12,3012,1,1,Clayton,GH,0,0.4913
13,3013,0,0,Gauss,GH,0,0.6975
13,3013,0,1,GH,Clayton,0,0.4707
13,3013,1,0,GH,Clayton,0,0.4597
13,3013,1,1,Clayton,GH,0,0.4304
14,3014,0,0,Gauss,GH,0,0.7067
14,3014,0,1,GH,Clayton,0,0.3890
14,3014,1,0,GH,Clayton,0,0.3436
14,3014,1,1,Clayton,GH,0,0.4641
15,3015,0,0,Gauss,Gauss,1,0.7042
15,3015,0,1,GH,Clayton,0,0.1838
15,3015,1,0,GH,Clayton,0,0.2426
15,3015,1,1,Clayton,GH,0,0.6021
16,3016,0,0,Gauss,Clayton,0,0.6207
16,3016,0,1,GH,Clayton,0,0.3193
16,3016,1,0,GH,Clayton,0,0.3928
16,3016,1,1,Clayton,GH,0,0.5119
17,3017,0,0,Gauss,GH,0,0.7023
17,3017,0,1,GH,GH,1,0.3470
17,3017,1,0,GH,GH,1,0.4267
17,3017,1,1,Clayton,Clayton,1,0.6888
18,3018,0,0,Gauss,GH,0,0.6789
18,3018,0,1,GH,Clayton,0,0.5356
18,3018,1,0,GH,Clayton,0,0.5998
18,3018,1,1,Clayton,GH,0,0.4227
19,3019,0,0,Gauss,GH,0,0.7310
19,3019,0,1,GH,Gauss,0,0.3779
19,3019,1,0,GH,GH,1,0.4806
19,3019,1,1,Clayton,Clayton,1,0.6834
20,3020,0,0,Gauss,Gauss,1,0.6810
20,3020,0,1,GH,GH,1,0.4814
20,3020,1,0,GH,Gauss,0,0.4504
20,3020,1,1,Clayton,Clayton,1,0.7023
21,3021,0,0,Gauss,GH,0,0.7177
21,3021,0,1,GH,Clayton,0,0.5066
21,3021,1,0,GH,Clayton,0,0.4218
21,3021,1,1,Clayton,GH,0,0.4458
22,3022,0,0,Gauss,Gauss,1,0.6971
22,3022,0,1,GH,Gauss,0,0.3483
22,3022,1,0,GH,Gauss,0,0.4599
22,3022,1,1,Clayton,Clayton,1,0.6843
23,3023,0,0,Gauss,GH,0,0.7059
23,3023,0,1,GH,GH,1,0.4898
23,3023,1,0,GH,GH,1,0.2928
23,3023,1,1,Clayton,Clayton,1,0.6746
24,3024,0,0,Gauss,GH,0,0.6876
24,3024,0,1,GH,Clayton,0,0.5023
24,3024,1,0,GH,Clayton,0,0.5783
24,3024,1,1,Clayton,GH,0,0.4501
25,3025,0,0,Gauss,GH,0,0.6970
25,3025,0,1,GH,GH,1,0.4238
25,3025,1,0,GH,Clayton,0,0.4607
25,3025,1,1,Clayton,GH,0,0.4937
26,3026,0,0,Gauss,GH,0,0.7017
26,3026,0,1,GH,GH,1,0.4579
26,3026,1,0,GH,Gauss,0,0.4833
26,3026,1,1,Clayton,Clayton,1,0.6905
27,3027,0,0,Gauss,Gauss,1,0.6881
27,3027,0,1,GH,Gauss,0,0.3564
27,3027,1,0,GH,GH,1,0.3721
27,3027,1,1,Clayton,Clayton,1,0.6858
28,3028,0,0,Gauss,GH,0,0.6890
28,3028,0,1,GH,Clayton,0,0.3594
28,3028,1,0,GH,Clayton,0,0.4032
28,3028,1,1,Clayton,GH,0,0.5447
29,3029,0,0,Gauss,Gauss,1,0.6819
29,3029,0,1,GH,Clayton,0,0.2206
29,3029,1,0,GH,Clayton,0,0.4190
29,3029,1,1,Clayton,GH,0,0.5751
30,3030,0,0,Gauss,Gauss,1,0.6934
30,3030,0,1,GH,Clayton,0,0.2737
30,3030,1,0,GH,Clayton,0,0.2812
30,3030,1,1,Clayton,GH,0,0.6318
31,3031,0,0,Gauss,Gauss,1,0.7130
31,3031,0,1,GH,Gauss,0,0.3723
31,3031,1,0,GH,GH,1,0.3623
31,3031,1,1,Clayton,Clayton,1,0.7029
32,3032,0,0,Gauss,Gauss,1,0.6960
32,3032,0,1,GH,Gauss,0,0.4019
32,3032,1,0,GH,Gauss,0,0.4771
32,3032,1,1,Clayton,Clayton,1,0.7157
33,3033,0,0,Gauss,Gauss,1,0.7208
33,3033,0,1,GH,Clayton,0,0.4144
33,3033,1,0,GH,Clayton,0,0.1425
33,3033,1,1,Clayton,GH,0,0.4609
34,3034,0,0,Gauss,Gauss,1,0.7236
34,3034,0,1,GH,Clayton,0,0.4669
34,3034,1,0,GH,Clayton,0,0.4477
34,3034,1,1,Clayton,GH,0,0.4093
35,3035,0,0,Gauss,Gauss,1,0.7106
35,3035,0,1,GH,Clayton,0,0.2544
35,3035,1,0,GH,Clayton,0,0.2692
35,3035,1,1,Clayton,GH,0,0.6134
36,3036,0,0,Gauss,GH,0,0.6999
36,3036,0,1,GH,Clayton,0,0.6242
36,3036,1,0,GH,Clayton,0,0.3466
36,3036,1,1,Clayton,GH,0,0.4677
37,3037,0,0,Gauss,GH,0,0.7236
37,3037,0,1,GH,GH,1,0.3943
37,3037,1,0,GH,GH,1,0.4333
37,3037,1,1,Clayton,Clayton,1,0.6682
38,3038,0,0,Gauss,GH,0,0.7167
38,3038,0,1,GH,GH,1,0.3816
38,3038,1,0,GH,GH,1,0.3697
38,3038,1,1,Clayton,Clayton,1,0.6869
39,3039,0,0,Gauss,Clayton,0,0.6011
39,3039,0,1,GH,Clayton,0,0.1432
39,3039,1,0,GH,Clayton,0,0.2780
39,3039,1,1,Clayton,GH,0,0.5579
40,3040,0,0,Gauss,GH,0,0.7040
40,3040,0,1,GH,Clayton,0,0.5126
40,3040,1,0,GH,Clayton,0,0.3919
40,3040,1,1,Clayton,GH,0,0.4408
41,3041,0,0,Gauss,Clayton,0,0.6059
41,3041,0,1,GH,Clayton,0,0.4159
41,3041,1,0,GH,Clayton,0,0.3873
41,3041,1,1,Clayton,GH,0,0.5284
42,3042,0,0,Gauss,GH,0,0.6891
42,3042,0,1,GH,GH,1,0.3679
42,3042,1,0,GH,GH,1,0.3294
42,3042,1,1,Clayton,Clayton,1,0.6699
43,3043,0,0,Gauss,Clayton,0,0.6003
43,3043,0,1,GH,Clayton,0,0.2914
43,3043,1,0,GH,Clayton,0,0.2842
43,3043,1,1,Clayton,GH,0,0.5163
44,3044,0,0,Gauss,GH,0,0.6935
44,3044,0,1,GH,Gauss,0,0.3946
44,3044,1,0,GH,GH,1,0.2417
44,3044,1,1,Clayton,Clayton,1,0.6814
45,3045,0,0,Gauss,Clayton,0,0.6155
45,3045,0,1,GH,Clayton,0,0.3364
45,3045,1,0,GH,Clayton,0,0.3108
45,3045,1,1,Clayton,GH,0,0.6087
46,3046,0,0,Gauss,GH,0,0.7045
46,3046,0,1,GH,Clayton,0,0.5077
46,3046,1,0,GH,Clayton,0,0.4361
46,3046,1,1,Clayton,Clayton,1,0.5198
47,3047,0,0,Gauss,GH,0,0.7094
47,3047,0,1,GH,Clayton,0,0.5744
47,3047,1,0,GH,Clayton,0,0.4829
47,3047,1,1,Clayton,GH,0,0.4033
48,3048,0,0,Gauss,Gauss,1,0.7019
48,3048,0,1,GH,Gauss,0,0.4255
48,3048,1,0,GH,Gauss,0,0.2711
48,3048,1,1,Clayton,Clayton,1,0.6937
49,3049,0,0,Gauss,GH,0,0.6870
49,3049,0,1,GH,GH,1,0.3587
49,3049,1,0,GH,Gauss,0,0.3522
49,3049,1,1,Clayton,Clayton,1,0.6658
50,3050,0,0,Gauss,GH,0,0.7048
50,3050,0,1,GH,GH,1,0.4045
50,3050,1,0,GH,GH,1,0.3129
50,3050,1,1,Clayton,Clayton,1,0.6632
51,3051,0,0,Gauss,GH,0,0.7165
51,3051,0,1,GH,Clayton,0,0.2231
51,3051,1,0,GH,Clayton,0,0.5110
51,3051,1,1,Clayton,GH,0,0.4783
52,3052,0,0,Gauss,GH,0,0.6894
52,3052,0,1,GH,Gauss,0,0.4076
52,3052,1,0,GH,GH,1,0.2490
52,3052,1,1,Clayton,Clayton,1,0.6613
53,3053,0,0,Gauss,Gauss,1,0.7105
53,3053,0,1,GH,Gauss,0,0.2979
53,3053,1,0,GH,Gauss,0,0.2631
53,3053,1,1,Clayton,Clayton,1,0.6911
54,3054,0,0,Gauss,GH,0,0.7062
54,3054,0,1,GH,GH,1,0.4067
54,3054,1,0,GH,Gauss,0,0.4049
54,3054,1,1,Clayton,Clayton,1,0.6864
55,3055,0,0,Gauss,Gauss,1,0.7325
55,3055,0,1,GH,Clayton,0,0.2595
55,3055,1,0,GH,Clayton,0,0.4258
55,3055,1,1,Clayton,GH,0,0.4750
56,3056,0,0,Gauss,Gauss,1,0.6953
56,3056,0,1,GH,Clayton,0,0.2543
56,3056,1,0,GH,Clayton,0,0.2662
56,3056,1,1,Clayton,GH,0,0.5505
57,3057,0,0,Gauss,GH,0,0.7062
57,3057,0,1,GH,Clayton,0,0.4446
57,3057,1,0,GH,GH,1,0.3564
