run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Gauss,GH,0,0.6779
0,3000,0,1,GH,Clayton,0,0.1554
0,3000,1,0,GH,Clayton,0,0.2900
0,3000,1,1,Clayton,Clayton,1,0.6563
1,3001,0,0,Gauss,GH,0,0.7088
1,3001,0,1,GH,Gauss,0,0.4118
1,3001,1,0,GH,GH,1,0.3475
1,3001,1,1,Clayton,Clayton,1,0.6594
2,3002,0,0,Gauss,Clayton,0,0.5469
2,3002,0,1,GH,Clayton,0,0.2932
2,3002,1,0,GH,Clayton,0,0.2857
2,3002,1,1,Clayton,Clayton,1,0.6970
3,3003,0,0,Gauss,Gauss,1,0.6971
3,3003,0,1,GH,Clayton,0,0.2589
3,3003,1,0,GH,GH,1,0.3467
3,3003,1,1,Clayton,Clayton,1,0.6907
4,3004,0,0,Gauss,GH,0,0.7125
4,3004,0,1,GH,Clayton,0,0.1898
4,3004,1,0,GH,Clayton,0,0.2108
4,3004,1,1,Clayton,Clayton,1,0.6631
5,3005,0,0,Gauss,GH,0,0.7010
5,3005,0,1,GH,Clayton,0,0.2792
5,3005,1,0,GH,Clayton,0,0.2074
5,3005,1,1,Clayton,Clayton,1,0.6761
6,3006,0,0,Gauss,Gauss,1,0.6917
6,3006,0,1,GH,Clayton,0,0.3008
6,3006,1,0,GH,GH,1,0.2940
6,3006,1,1,Clayton,Clayton,1,0.7019
7,3007,0,0,Gauss,GH,0,0.6955
7,3007,0,1,GH,Clayton,0,0.3718
7,3007,1,0,GH,GH,1,0.3759
7,3007,1,1,Clayton,Clayton,1,0.6913
8,3008,0,0,Gauss,GH,0,0.6624
8,3008,0,1,GH,Clayton,0,0.1030
8,3008,1,0,GH,Clayton,0,0.3141
8,3008,1,1,Clayton,Clayton,1,0.6890
9,3009,0,0,Gauss,GH,0,0.6869
9,3009,0,1,GH,GH,1,0.2128
9,3009,1,0,GH,GH,1,0.0704
9,3009,1,1,Clayton,Clayton,1,0.6663
10,3010,0,0,Gauss,Clayton,0,0.4809
10,3010,0,1,GH,Clayton,0,0.1812
10,3010,1,0,GH,Clayton,0,0.3960
10,3010,1,1,Clayton,Clayton,1,0.6890
11,3011,0,0,Gauss,GH,0,0.6840
11,3011,0,1,GH,Clayton,0,0.2177
11,3011,1,0,GH,GH,1,0.2991
11,3011,1,1,Clayton,Clayton,1,0.6854
12,3012,0,0,Gauss,GH,0,0.6955
12,3012,0,1,GH,Clayton,0,0.3319
12,3012,1,0,GH,Clayton,0,0.2393
12,3012,1,1,Clayton,Clayton,1,0.6851
13,3013,0,0,Gauss,GH,0,0.6973
13,3013,0,1,GH,Clayton,0,0.2844
13,3013,1,0,GH,GH,1,0.2362
13,3013,1,1,Clayton,Clayton,1,0.6791
14,3014,0,0,Gauss,GH,0,0.6896
14,3014,0,1,GH,Clayton,0,0.2754
14,3014,1,0,GH,GH,1,0.3234
14,3014,1,1,Clayton,Clayton,1,0.6854
15,3015,0,0,Gauss,Clayton,0,0.5249
15,3015,0,1,GH,GH,1,0.3576
15,3015,1,0,GH,GH,1,0.3860
15,3015,1,1,Clayton,Clayton,1,0.6882
16,3016,0,0,Gauss,GH,0,0.6905
16,3016,0,1,GH,Clayton,0,0.2227
16,3016,1,0,GH,GH,1,0.2772
16,3016,1,1,Clayton,Clayton,1,0.6872
17,3017,0,0,Gauss,GH,0,0.6969
17,3017,0,1,GH,Clayton,0,0.2630
17,3017,1,0,GH,Clayton,0,0.2775
17,3017,1,1,Clayton,Clayton,1,0.6849
18,3018,0,0,Gauss,GH,0,0.6711
18,3018,0,1,GH,Clayton,0,0.2561
18,3018,1,0,GH,GH,1,0.3686
18,3018,1,1,Clayton,Clayton,1,0.6589
19,3019,0,0,Gauss,GH,0,0.7160
19,3019,0,1,GH,Clayton,0,0.2546
19,3019,1,0,GH,Clayton,0,0.3139
19,3019,1,1,Clayton,Clayton,1,0.6820
20,3020,0,0,Gauss,GH,0,0.6736
20,3020,0,1,GH,GH,1,0.4042
20,3020,1,0,GH,Clayton,0,0.3403
20,3020,1,1,Clayton,Clayton,1,0.6691
21,3021,0,0,Gauss,Gauss,1,0.7034
21,3021,0,1,GH,Clayton,0,0.2418
21,3021,1,0,GH,Clayton,0,0.2777
21,3021,1,1,Clayton,Clayton,1,0.6836
22,3022,0,0,Gauss,Clayton,0,0.5239
22,3022,0,1,GH,Clayton,0,0.2836
22,3022,1,0,GH,Gauss,0,0.4570
22,3022,1,1,Clayton,Clayton,1,0.6831
23,3023,0,0,Gauss,GH,0,0.7020
23,3023,0,1,GH,Clayton,0,0.3442
23,3023,1,0,GH,GH,1,0.2542
23,3023,1,1,Clayton,Clayton,1,0.6722
24,3024,0,0,Gauss,GH,0,0.6751
24,3024,0,1,GH,GH,1,0.2536
24,3024,1,0,GH,Clayton,0,0.3648
24,3024,1,1,Clayton,Clayton,1,0.6538
25,3025,0,0,Gauss,Gauss,1,0.6899
25,3025,0,1,GH,Gauss,0,0.4585
25,3025,1,0,GH,Clayton,0,0.3412
25,3025,1,1,Clayton,Clayton,1,0.6797
26,3026,0,0,Gauss,GH,0,0.6985
26,3026,0,1,GH,GH,1,0.4561
26,3026,1,0,GH,Clayton,0,0.5064
26,3026,1,1,Clayton,Clayton,1,0.6932
27,3027,0,0,Gauss,GH,0,0.6966
27,3027,0,1,GH,GH,1,0.3399
27,3027,1,0,GH,GH,1,0.2810
27,3027,1,1,Clayton,Clayton,1,0.6633
28,3028,0,0,Gauss,GH,0,0.6878
28,3028,0,1,GH,Clayton,0,0.2899
28,3028,1,0,GH,GH,1,0.3547
28,3028,1,1,Clayton,Clayton,1,0.6836
29,3029,0,0,Gauss,Gauss,1,0.6919
29,3029,0,1,GH,Clayton,0,0.0856
29,3029,1,0,GH,Clayton,0,0.3978
29,3029,1,1,Clayton,Clayton,1,0.6684
30,3030,0,0,Gauss,GH,0,0.6896
30,3030,0,1,GH,Gauss,0,0.3322
30,3030,1,0,GH,Clayton,0,0.2863
30,3030,1,1,Clayton,Clayton,1,0.6857
31,3031,0,0,Gauss,GH,0,0.7230
31,3031,0,1,GH,Clayton,0,0.2905
31,3031,1,0,GH,GH,1,0.3207
31,3031,1,1,Clayton,Clayton,1,0.6865
32,3032,0,0,Gauss,Gauss,1,0.6932
32,3032,0,1,GH,Clayton,0,0.3300
32,3032,1,0,GH,GH,1,0.4696
32,3032,1,1,Clayton,Clayton,1,0.7164
33,3033,0,0,Gauss,GH,0,0.7008
33,3033,0,1,GH,GH,1,0.3451
33,3033,1,0,GH,Gauss,0,0.3069
33,3033,1,1,Clayton,Clayton,1,0.6708
34,3034,0,0,Gauss,Clayton,0,0.5256
34,3034,0,1,GH,Clayton,0,0.3057
34,3034,1,0,GH,Clayton,0,0.2986
34,3034,1,1,Clayton,Clayton,1,0.6750
35,3035,0,0,Gauss,Clayton,0,0.5103
35,3035,0,1,GH,Clayton,0,0.2742
35,3035,1,0,GH,GH,1,0.4319
35,3035,1,1,Clayton,Clayton,1,0.6912
36,3036,0,0,Gauss,GH,0,0.7068
36,3036,0,1,GH,GH,1,0.3992
36,3036,1,0,GH,Clayton,0,0.2064
36,3036,1,1,Clayton,Clayton,1,0.6791
37,3037,0,0,Gauss,GH,0,0.7211
37,3037,0,1,GH,GH,1,0.3810
37,3037,1,0,GH,Clayton,0,0.3073
37,3037,1,1,Clayton,Clayton,1,0.6669
38,3038,0,0,Gauss,GH,0,0.7117
38,3038,0,1,GH,GH,1,0.3554
38,3038,1,0,GH,Clayton,0,0.2041
38,3038,1,1,Clayton,Clayton,1,0.6863
39,3039,0,0,Gauss,GH,0,0.7166
39,3039,0,1,GH,GH,1,0.3176
39,3039,1,0,GH,GH,1,0.3342
39,3039,1,1,Clayton,Clayton,1,0.6754
40,3040,0,0,Gauss,Gauss,1,0.7051
40,3040,0,1,GH,Clayton,0,0.4180
40,3040,1,0,GH,GH,1,0.3932
40,3040,1,1,Clayton,Clayton,1,0.7037
41,3041,0,0,Gauss,Clayton,0,0.5231
41,3041,0,1,GH,Clayton,0,0.2476
41,3041,1,0,GH,Clayton,0,0.2113
41,3041,1,1,Clayton,Clayton,1,0.6824
42,3042,0,0,Gauss,Clayton,0,0.5055
42,3042,0,1,GH,Clayton,0,0.2938
42,3042,1,0,GH,Clayton,0,0.2304
42,3042,1,1,Clayton,Clayton,1,0.6822
43,3043,0,0,Gauss,GH,0,0.6717
43,3043,0,1,GH,Clayton,0,0.1846
43,3043,1,0,GH,GH,1,0.2745
43,3043,1,1,Clayton,Clayton,1,0.6632
44,3044,0,0,Gauss,GH,0,0.6913
44,3044,0,1,GH,Clayton,0,0.3255
44,3044,1,0,GH,GH,1,0.2264
44,3044,1,1,Clayton,Clayton,1,0.6825
45,3045,0,0,Gauss,GH,0,0.7040
45,3045,0,1,GH,Clayton,0,0.2317
45,3045,1,0,GH,Clayton,0,0.3006
45,3045,1,1,Clayton,Clayton,1,0.6794
46,3046,0,0,Gauss,GH,0,0.6969
46,3046,0,1,GH,Clayton,0,0.2277
46,3046,1,0,GH,Clayton,0,0.1304
46,3046,1,1,Clayton,Clayton,1,0.6639
47,3047,0,0,Gauss,GH,0,0.7096
47,3047,0,1,GH,GH,1,0.4040
47,3047,1,0,GH,GH,1,0.3469
47,3047,1,1,Clayton,Clayton,1,0.6943
48,3048,0,0,Gauss,GH,0,0.7005
48,3048,0,1,GH,Clayton,0,0.3486
48,3048,1,0,GH,GH,1,0.2005
48,3048,1,1,Clayton,Clayton,1,0.6798
49,3049,0,0,Gauss,GH,0,0.6779
49,3049,0,1,GH,Clayton,0,0.2446
49,3049,1,0,GH,Clayton,0,0.2684
49,3049,1,1,Clayton,Clayton,1,0.6628
50,3050,0,0,Gauss,Gauss,1,0.7042
50,3050,0,1,GH,Gauss,0,0.4115
50,3050,1,0,GH,GH,1,0.3419
50,3050,1,1,Clayton,Clayton,1,0.6759
51,3051,0,0,Gauss,GH,0,0.7095
51,3051,0,1,GH,GH,1,0.3098
51,3051,1,0,GH,GH,1,0.3670
51,3051,1,1,Clayton,Clayton,1,0.6841
52,3052,0,0,Gauss,Gauss,1,0.6894
52,3052,0,1,GH,Gauss,0,0.4324
52,3052,1,0,GH,Gauss,0,0.3237
52,3052,1,1,Clayton,Clayton,1,0.6909
53,3053,0,0,Gauss,GH,0,0.7258
53,3053,0,1,GH,Clayton,0,0.3103
53,3053,1,0,GH,GH,1,0.2655
53,3053,1,1,Clayton,Clayton,1,0.6781
54,3054,0,0,Gauss,GH,0,0.7021
54,3054,0,1,GH,Clayton,0,0.2559
54,3054,1,0,GH,Clayton,0,0.3105
54,3054,1,1,Clayton,Clayton,1,0.6817
55,3055,0,0,Gauss,GH,0,0.7281
55,3055,0,1,GH,Clayton,0,0.2785
55,3055,1,0,GH,Clayton,0,0.2756
55,3055,1,1,Clayton,Clayton,1,0.6739
56,3056,0,0,Gauss,GH,0,0.6827
56,3056,0,1,GH,Clayton,0,0.1488
56,3056,1,0,GH,Clayton,0,0.1623
56,3056,1,1,Clayton,Clayton,1,0.6766
57,3057,0,0,Gauss,Gauss,1,0.6995
57,3057,0,1,GH,GH,1,0.5111
57,3057,1,0,GH,Clayton,0,0.4773
57,3057,1,1,Clayton,Clayton,1,0.7031
58,3058,0,0,Gauss,GH,0,0.7007
58,3058,0,1,GH,Clayton,0,0.2907
58,3058,1,0,GH,GH,1,0.3092
58,3058,1,1,Clayton,Clayton,1,0.6960
59,3059,0,0,Gauss,GH,0,0.6698
59,3059,0,1,GH,Clayton,0,0.2880
59,3059,1,0,GH,GH,1,0.1895
59,3059,1,1,Clayton,Clayton,1,0.6751
60,3060,0,0,Gauss,GH,0,0.6928
60,3060,0,1,GH,GH,1,0.3266
60,3060,1,0,GH,GH,1,0.3078
60,3060,1,1,Clayton,Clayton,1,0.6880
61,3061,0,0,Gauss,GH,0,0.7049
61,3061,0,1,GH,GH,1,0.2837
61,3061,1,0,GH,Clayton,0,0.3038
61,3061,1,1,Clayton,Clayton,1,0.6903
62,3062,0,0,Gauss,GH,0,0.6883
62,3062,0,1,GH,Clayton,0,0.3751
62,3062,1,0,GH,GH,1,0.3301
62,3062,1,1,Clayton,Clayton,1,0.6780
63,3063,0,0,Gauss,GH,0,0.7045
63,3063,0,1,GH,GH,1,0.2376
63,3063,1,0,GH,GH,1,0.3559
63,3063,1,1,Clayton,Clayton,1,0.6781
64,3064,0,0,Gauss,GH,0,0.7033
64,3064,0,1,GH,GH,1,0.3252
64,3064,1,0,GH,GH,1,0.2146
64,3064,1,1,Clayton,Clayton,1,0.6619
65,3065,0,0,Gauss,GH,0,0.6940
65,3065,0,1,GH,Clayton,0,0.3295
65,3065,1,0,GH,GH,1,0.3683
65,3065,1,1,Clayton,Clayton,1,0.6774
66,3066,0,0,Gauss,GH,0,0.7103
66,3066,0,1,GH,GH,1,0.4005
66,3066,1,0,GH,GH,1,0.3852
66,3066,1,1,Clayton,Clayton,1,0.6850
67,3067,0,0,Gauss,GH,0,0.6962
67,3067,0,1,GH,Clayton,0,0.1371
67,3067,1,0,GH,Clayton,0,0.2573
67,3067,1,1,Clayton,Clayton,1,0.6659
