run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Gauss,GH,0,0.6813
0,3000,0,1,GH,GH,1,0.2384
0,3000,1,0,GH,Gauss,0,0.3982
0,3000,1,1,Clayton,Clayton,1,0.6571
1,3001,0,0,Gauss,GH,0,0.7072
1,3001,0,1,GH,Gauss,0,0.4025
1,3001,1,0,GH,Gauss,0,0.3402
1,3001,1,1,Clayton,Clayton,1,0.6589
2,3002,0,0,Gauss,Clayton,0,0.5466
2,3002,0,1,GH,Gauss,0,0.4207
2,3002,1,0,GH,Clayton,0,0.2983
2,3002,1,1,Clayton,Clayton,1,0.6991
3,3003,0,0,Gauss,Gauss,1,0.6969
3,3003,0,1,GH,Clayton,0,0.2578
3,3003,1,0,GH,GH,1,0.3551
3,3003,1,1,Clayton,Clayton,1,0.6899
4,3004,0,0,Gauss,GH,0,0.7178
4,3004,0,1,GH,Gauss,0,0.2910
4,3004,1,0,GH,Gauss,0,0.3422
4,3004,1,1,Clayton,Clayton,1,0.6647
5,3005,0,0,Gauss,GH,0,0.7031
5,3005,0,1,GH,Clayton,0,0.2911
5,3005,1,0,GH,Gauss,0,0.2798
5,3005,1,1,Clayton,Clayton,1,0.6767
6,3006,0,0,Gauss,Gauss,1,0.6918
6,3006,0,1,GH,Clayton,0,0.3005
6,3006,1,0,GH,GH,1,0.2975
6,3006,1,1,Clayton,Clayton,1,0.7021
7,3007,0,0,Gauss,GH,0,0.6956
7,3007,0,1,GH,Clayton,0,0.3711
7,3007,1,0,GH,GH,1,0.3752
7,3007,1,1,Clayton,Clayton,1,0.6912
8,3008,0,0,Gauss,GH,0,0.6624
8,3008,0,1,GH,Clayton,0,0.1030
8,3008,1,0,GH,Clayton,0,0.3141
8,3008,1,1,Clayton,Clayton,1,0.6890
9,3009,0,0,Gauss,GH,0,0.6870
9,3009,0,1,GH,GH,1,0.2170
9,3009,1,0,GH,GH,1,0.0713
9,3009,1,1,Clayton,Clayton,1,0.6664
10,3010,0,0,Gauss,Clayton,0,0.4843
10,3010,0,1,GH,Gauss,0,0.3444
10,3010,1,0,GH,Gauss,0,0.6051
10,3010,1,1,Clayton,Clayton,1,0.6923
11,3011,0,0,Gauss,GH,0,0.6840
11,3011,0,1,GH,Clayton,0,0.2177
11,3011,1,0,GH,GH,1,0.2991
11,3011,1,1,Clayton,Clayton,1,0.6854
12,3012,0,0,Gauss,GH,0,0.6955
12,3012,0,1,GH,Clayton,0,0.3319
12,3012,1,0,GH,Clayton,0,0.2393
12,3012,1,1,Clayton,Clayton,1,0.6851
13,3013,0,0,Gauss,GH,0,0.6972
13,3013,0,1,GH,Clayton,0,0.2837
13,3013,1,0,GH,GH,1,0.2306
13,3013,1,1,Clayton,Clayton,1,0.6790
14,3014,0,0,Gauss,GH,0,0.6937
14,3014,0,1,GH,Gauss,0,0.3887
14,3014,1,0,GH,GH,1,0.3519
14,3014,1,1,Clayton,Clayton,1,0.6894
15,3015,0,0,Gauss,Clayton,0,0.5248
15,3015,0,1,GH,GH,1,0.3530
15,3015,1,0,GH,Gauss,0,0.3454
15,3015,1,1,Clayton,Clayton,1,0.6873
16,3016,0,0,Gauss,GH,0,0.6912
16,3016,0,1,GH,Clayton,0,0.2123
16,3016,1,0,GH,Gauss,0,0.3055
16,3016,1,1,Clayton,Clayton,1,0.6873
17,3017,0,0,Gauss,GH,0,0.6969
17,3017,0,1,GH,Clayton,0,0.2630
17,3017,1,0,GH,Clayton,0,0.2775
17,3017,1,1,Clayton,Clayton,1,0.6849
18,3018,0,0,Gauss,GH,0,0.6737
18,3018,0,1,GH,GH,1,0.3588
18,3018,1,0,GH,GH,1,0.3770
18,3018,1,1,Clayton,Clayton,1,0.6606
19,3019,0,0,Gauss,GH,0,0.7160
19,3019,0,1,GH,Clayton,0,0.2546
19,3019,1,0,GH,Clayton,0,0.3139
19,3019,1,1,Clayton,Clayton,1,0.6820
20,3020,0,0,Gauss,GH,0,0.6721
20,3020,0,1,GH,Gauss,0,0.3633
20,3020,1,0,GH,Clayton,0,0.3354
20,3020,1,1,Clayton,Clayton,1,0.6668
21,3021,0,0,Gauss,Gauss,1,0.7041
21,3021,0,1,GH,Clayton,0,0.2512
21,3021,1,0,GH,Gauss,0,0.3960
21,3021,1,1,Clayton,Clayton,1,0.6858
22,3022,0,0,Gauss,Gauss,1,0.6911
22,3022,0,1,GH,Gauss,0,0.3288
22,3022,1,0,GH,Clayton,0,0.2747
22,3022,1,1,Clayton,Clayton,1,0.6824
23,3023,0,0,Gauss,GH,0,0.7029
23,3023,0,1,GH,Gauss,0,0.4710
23,3023,1,0,GH,Gauss,0,0.2740
23,3023,1,1,Clayton,Clayton,1,0.6744
24,3024,0,0,Gauss,GH,0,0.6751
24,3024,0,1,GH,GH,1,0.2536
24,3024,1,0,GH,Clayton,0,0.3648
24,3024,1,1,Clayton,Clayton,1,0.6538
25,3025,0,0,Gauss,Gauss,1,0.6899
25,3025,0,1,GH,Gauss,0,0.4585
25,3025,1,0,GH,Clayton,0,0.3412
25,3025,1,1,Clayton,Clayton,1,0.6797
26,3026,0,0,Gauss,GH,0,0.6985
26,3026,0,1,GH,GH,1,0.4592
26,3026,1,0,GH,Clayton,0,0.5038
26,3026,1,1,Clayton,Clayton,1,0.6935
27,3027,0,0,Gauss,GH,0,0.6970
27,3027,0,1,GH,Gauss,0,0.3161
27,3027,1,0,GH,GH,1,0.2717
27,3027,1,1,Clayton,Clayton,1,0.6629
28,3028,0,0,Gauss,GH,0,0.6872
28,3028,0,1,GH,Clayton,0,0.2900
28,3028,1,0,GH,Gauss,0,0.3688
28,3028,1,1,Clayton,Clayton,1,0.6829
29,3029,0,0,Gauss,Gauss,1,0.6919
29,3029,0,1,GH,Clayton,0,0.0856
29,3029,1,0,GH,Clayton,0,0.3978
29,3029,1,1,Clayton,Clayton,1,0.6684
30,3030,0,0,Gauss,GH,0,0.6898
30,3030,0,1,GH,Gauss,0,0.3395
30,3030,1,0,GH,Clayton,0,0.2846
30,3030,1,1,Clayton,Clayton,1,0.6858
31,3031,0,0,Gauss,GH,0,0.7230
31,3031,0,1,GH,Clayton,0,0.2900
31,3031,1,0,GH,GH,1,0.3194
31,3031,1,1,Clayton,Clayton,1,0.6864
32,3032,0,0,Gauss,Gauss,1,0.6914
32,3032,0,1,GH,Clayton,0,0.3150
32,3032,1,0,GH,Gauss,0,0.4589
32,3032,1,1,Clayton,Clayton,1,0.7155
33,3033,0,0,Gauss,GH,0,0.7000
33,3033,0,1,GH,GH,1,0.3593
33,3033,1,0,GH,Gauss,0,0.3095
33,3033,1,1,Clayton,Clayton,1,0.6708
34,3034,0,0,Gauss,Clayton,0,0.5289
34,3034,0,1,GH,Clayton,0,0.3159
34,3034,1,0,GH,Gauss,0,0.4165
34,3034,1,1,Clayton,Clayton,1,0.6783
35,3035,0,0,Gauss,Clayton,0,0.5088
35,3035,0,1,GH,Clayton,0,0.2693
35,3035,1,0,GH,Gauss,0,0.3416
35,3035,1,1,Clayton,Clayton,1,0.6898
36,3036,0,0,Gauss,GH,0,0.7077
36,3036,0,1,GH,GH,1,0.4072
36,3036,1,0,GH,Gauss,0,0.2996
36,3036,1,1,Clayton,Clayton,1,0.6800
37,3037,0,0,Gauss,GH,0,0.7211
37,3037,0,1,GH,GH,1,0.3835
37,3037,1,0,GH,Clayton,0,0.3102
37,3037,1,1,Clayton,Clayton,1,0.6673
38,3038,0,0,Gauss,GH,0,0.7125
38,3038,0,1,GH,GH,1,0.3663
38,3038,1,0,GH,Gauss,0,0.3310
38,3038,1,1,Clayton,Clayton,1,0.6872
39,3039,0,0,Gauss,GH,0,0.7153
39,3039,0,1,GH,GH,1,0.3149
39,3039,1,0,GH,GH,1,0.3392
39,3039,1,1,Clayton,Clayton,1,0.6746
40,3040,0,0,Gauss,Gauss,1,0.7051
40,3040,0,1,GH,Clayton,0,0.4183
40,3040,1,0,GH,GH,1,0.3938
40,3040,1,1,Clayton,Clayton,1,0.7038
41,3041,0,0,Gauss,Clayton,0,0.5237
41,3041,0,1,GH,Clayton,0,0.2500
41,3041,1,0,GH,Gauss,0,0.3258
41,3041,1,1,Clayton,Clayton,1,0.6830
42,3042,0,0,Gauss,Clayton,0,0.5055
42,3042,0,1,GH,Clayton,0,0.2938
42,3042,1,0,GH,Clayton,0,0.2304
42,3042,1,1,Clayton,Clayton,1,0.6822
43,3043,0,0,Gauss,GH,0,0.6717
43,3043,0,1,GH,Clayton,0,0.1846
43,3043,1,0,GH,GH,1,0.2745
43,3043,1,1,Clayton,Clayton,1,0.6632
44,3044,0,0,Gauss,GH,0,0.6911
44,3044,0,1,GH,Clayton,0,0.3216
44,3044,1,0,GH,GH,1,0.2224
44,3044,1,1,Clayton,Clayton,1,0.6813
45,3045,0,0,Gauss,GH,0,0.7040
45,3045,0,1,GH,Clayton,0,0.2317
45,3045,1,0,GH,Clayton,0,0.3006
45,3045,1,1,Clayton,Clayton,1,0.6794
46,3046,0,0,Gauss,GH,0,0.7009
46,3046,0,1,GH,Gauss,0,0.3278
46,3046,1,0,GH,Gauss,0,0.2290
46,3046,1,1,Clayton,Clayton,1,0.6653
47,3047,0,0,Gauss,GH,0,0.7100
47,3047,0,1,GH,Gauss,0,0.3991
47,3047,1,0,GH,GH,1,0.3467
47,3047,1,1,Clayton,Clayton,1,0.6944
48,3048,0,0,Gauss,GH,0,0.7007
48,3048,0,1,GH,Clayton,0,0.3486
48,3048,1,0,GH,Gauss,0,0.2170
48,3048,1,1,Clayton,Clayton,1,0.6799
49,3049,0,0,Gauss,GH,0,0.6779
49,3049,0,1,GH,Clayton,0,0.2446
49,3049,1,0,GH,Clayton,0,0.2684
49,3049,1,1,Clayton,Clayton,1,0.6628
50,3050,0,0,Gauss,Gauss,1,0.7034
50,3050,0,1,GH,Gauss,0,0.3963
50,3050,1,0,GH,Gauss,0,0.2717
50,3050,1,1,Clayton,Clayton,1,0.6726
51,3051,0,0,Gauss,GH,0,0.7089
51,3051,0,1,GH,GH,1,0.3048
51,3051,1,0,GH,Gauss,0,0.3451
51,3051,1,1,Clayton,Clayton,1,0.6834
52,3052,0,0,Gauss,Gauss,1,0.6893
52,3052,0,1,GH,Gauss,0,0.4303
52,3052,1,0,GH,Gauss,0,0.3198
52,3052,1,1,Clayton,Clayton,1,0.6895
53,3053,0,0,Gauss,GH,0,0.7249
53,3053,0,1,GH,Clayton,0,0.3093
53,3053,1,0,GH,Gauss,0,0.2490
53,3053,1,1,Clayton,Clayton,1,0.6777
54,3054,0,0,Gauss,GH,0,0.7021
54,3054,0,1,GH,Clayton,0,0.2559
54,3054,1,0,GH,Clayton,0,0.3105
54,3054,1,1,Clayton,Clayton,1,0.6817
55,3055,0,0,Gauss,GH,0,0.7281
55,3055,0,1,GH,Clayton,0,0.2785
55,3055,1,0,GH,Clayton,0,0.2756
55,3055,1,1,Clayton,Clayton,1,0.6739
56,3056,0,0,Gauss,GH,0,0.6860
56,3056,0,1,GH,Clayton,0,0.1334
56,3056,1,0,GH,GH,1,0.2516
56,3056,1,1,Clayton,Clayton,1,0.6770
57,3057,0,0,Gauss,Gauss,1,0.6998
57,3057,0,1,GH,Gauss,0,0.5217
57,3057,1,0,GH,Clayton,0,0.4792
57,3057,1,1,Clayton,Clayton,1,0.7029
58,3058,0,0,Gauss,GH,0,0.6995
58,3058,0,1,GH,Clayton,0,0.2936
58,3058,1,0,GH,GH,1,0.3034
58,3058,1,1,Clayton,Clayton,1,0.6951
59,3059,0,0,Gauss,GH,0,0.6698
59,3059,0,1,GH,Clayton,0,0.2880
59,3059,1,0,GH,GH,1,0.1895
59,3059,1,1,Clayton,Clayton,1,0.6751
