run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Gauss,GH,0,0.6812
0,3000,0,1,GH,GH,1,0.2550
0,3000,1,0,GH,GH,1,0.4002
0,3000,1,1,Clayton,Clayton,1,0.6564
1,3001,0,0,Gauss,GH,0,0.7029
1,3001,0,1,GH,GH,1,0.3703
1,3001,1,0,GH,Gauss,0,0.3481
1,3001,1,1,Clayton,Clayton,1,0.6571
2,3002,0,0,Gauss,Gauss,1,0.7053
2,3002,0,1,GH,GH,1,0.4112
2,3002,1,0,GH,Clayton,0,0.2492
2,3002,1,1,Clayton,Clayton,1,0.6878
3,3003,0,0,Gauss,Gauss,1,0.6969
3,3003,0,1,GH,Clayton,0,0.2578
3,3003,1,0,GH,GH,1,0.3551
3,3003,1,1,Clayton,Clayton,1,0.6899
4,3004,0,0,Gauss,GH,0,0.7132
4,3004,0,1,GH,Clayton,0,0.2002
4,3004,1,0,GH,Gauss,0,0.3348
4,3004,1,1,Clayton,Clayton,1,0.6640
5,3005,0,0,Gauss,GH,0,0.7032
5,3005,0,1,GH,Clayton,0,0.2921
5,3005,1,0,GH,Gauss,0,0.2836
5,3005,1,1,Clayton,Clayton,1,0.6768
6,3006,0,0,Gauss,Gauss,1,0.6918
6,3006,0,1,GH,Clayton,0,0.3005
6,3006,1,0,GH,GH,1,0.2975
6,3006,1,1,Clayton,Clayton,1,0.7021
7,3007,0,0,Gauss,GH,0,0.6956
7,3007,0,1,GH,Clayton,0,0.3711
7,3007,1,0,GH,GH,1,0.3752
7,3007,1,1,Clayton,Clayton,1,0.6912
8,3008,0,0,Gauss,GH,0,0.6624
8,3008,0,1,GH,Clayton,0,0.1030
8,3008,1,0,GH,Clayton,0,0.3141
8,3008,1,1,Clayton,Clayton,1,0.6890
9,3009,0,0,Gauss,GH,0,0.6886
9,3009,0,1,GH,GH,1,0.2235
9,3009,1,0,GH,Clayton,0,0.0001
9,3009,1,1,Clayton,Clayton,1,0.6665
10,3010,0,0,Gauss,Clayton,0,0.4834
10,3010,0,1,GH,Gauss,0,0.3416
10,3010,1,0,GH,Gauss,0,0.6135
10,3010,1,1,Clayton,Clayton,1,0.6921
11,3011,0,0,Gauss,GH,0,0.6840
11,3011,0,1,GH,Clayton,0,0.2177
11,3011,1,0,GH,GH,1,0.2991
11,3011,1,1,Clayton,Clayton,1,0.6854
12,3012,0,0,Gauss,GH,0,0.6955
12,3012,0,1,GH,Clayton,0,0.3319
12,3012,1,0,GH,Clayton,0,0.2393
12,3012,1,1,Clayton,Clayton,1,0.6851
13,3013,0,0,Gauss,GH,0,0.6977
13,3013,0,1,GH,Gauss,0,0.3595
13,3013,1,0,GH,GH,1,0.2378
13,3013,1,1,Clayton,Clayton,1,0.6793
14,3014,0,0,Gauss,GH,0,0.6937
14,3014,0,1,GH,Gauss,0,0.3887
14,3014,1,0,GH,GH,1,0.3519
14,3014,1,1,Clayton,Clayton,1,0.6894
15,3015,0,0,Gauss,Clayton,0,0.5248
15,3015,0,1,GH,GH,1,0.3530
15,3015,1,0,GH,Gauss,0,0.3454
15,3015,1,1,Clayton,Clayton,1,0.6873
16,3016,0,0,Gauss,GH,0,0.6912
16,3016,0,1,GH,Clayton,0,0.2123
16,3016,1,0,GH,Gauss,0,0.3055
16,3016,1,1,Clayton,Clayton,1,0.6873
17,3017,0,0,Gauss,GH,0,0.6969
17,3017,0,1,GH,Clayton,0,0.2630
17,3017,1,0,GH,Clayton,0,0.2775
17,3017,1,1,Clayton,Clayton,1,0.6849
18,3018,0,0,Gauss,GH,0,0.6737
18,3018,0,1,GH,GH,1,0.3588
18,3018,1,0,GH,GH,1,0.3770
18,3018,1,1,Clayton,Clayton,1,0.6606
19,3019,0,0,Gauss,GH,0,0.7160
19,3019,0,1,GH,Clayton,0,0.2546
19,3019,1,0,GH,Clayton,0,0.3139
19,3019,1,1,Clayton,Clayton,1,0.6820
20,3020,0,0,Gauss,GH,0,0.6721
20,3020,0,1,GH,Gauss,0,0.3633
20,3020,1,0,GH,Clayton,0,0.3354
20,3020,1,1,Clayton,Clayton,1,0.6668
21,3021,0,0,Gauss,Gauss,1,0.7042
