run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,Student,1,0.2308
0,3000,0,1,CubSec,Student,0,0.1675
0,3000,1,0,CubSec,Clayton,0,0.0635
0,3000,1,1,Clayton,Student,0,0.0853
1,3001,0,0,Student,Student,1,0.1689
1,3001,0,1,CubSec,CubSec,1,0.1483
1,3001,1,0,CubSec,Clayton,0,0.0844
1,3001,1,1,Clayton,Clayton,1,0.2092
2,3002,0,0,Student,Student,1,0.2145
2,3002,0,1,CubSec,Student,0,0.1627
2,3002,1,0,CubSec,Clayton,0,0.0347
2,3002,1,1,Clayton,Clayton,1,0.1605
3,3003,0,0,Student,Student,1,0.2111
3,3003,0,1,CubSec,Student,0,0.1746
3,3003,1,0,CubSec,GH,0,0.1519
3,3003,1,1,Clayton,Clayton,1,0.1765
4,3004,0,0,Student,Student,1,0.2276
4,3004,0,1,CubSec,Student,0,0.1629
4,3004,1,0,CubSec,CubSec,1,0.1214
4,3004,1,1,Clayton,Clayton,1,0.1407
5,3005,0,0,Student,Student,1,0.2424
5,3005,0,1,CubSec,Student,0,0.1741
5,3005,1,0,CubSec,Student,0,0.2108
5,3005,1,1,Clayton,Student,0,0.1183
6,3006,0,0,Student,Student,1,0.2282
6,3006,0,1,CubSec,GH,0,0.1444
6,3006,1,0,CubSec,CubSec,1,0.1650
6,3006,1,1,Clayton,Clayton,1,0.2192
7,3007,0,0,Student,Student,1,0.1420
7,3007,0,1,CubSec,Student,0,0.1834
7,3007,1,0,CubSec,GH,0,0.1009
7,3007,1,1,Clayton,Clayton,1,0.1786
8,3008,0,0,Student,Student,1,0.1947
8,3008,0,1,CubSec,Student,0,0.1796
8,3008,1,0,CubSec,CubSec,1,0.1409
8,3008,1,1,Clayton,Clayton,1,0.1608
9,3009,0,0,Student,Student,1,0.2040
9,3009,0,1,CubSec,Student,0,0.1809
9,3009,1,0,CubSec,GH,0,0.1548
9,3009,1,1,Clayton,Clayton,1,0.1372
10,3010,0,0,Student,Student,1,0.2415
10,3010,0,1,CubSec,Student,0,0.1447
10,3010,1,0,CubSec,CubSec,1,0.1597
10,3010,1,1,Clayton,Clayton,1,0.1966
11,3011,0,0,Student,Student,1,0.2444
11,3011,0,1,CubSec,Clayton,0,0.0768
11,3011,1,0,CubSec,Student,0,0.0306
11,3011,1,1,Clayton,Clayton,1,0.1939
12,3012,0,0,Student,Student,1,0.2283
12,3012,0,1,CubSec,Student,0,0.2143
12,3012,1,0,CubSec,Student,0,0.1241
12,3012,1,1,Clayton,Clayton,1,0.1340
13,3013,0,0,Student,Student,1,0.2184
13,3013,0,1,CubSec,Student,0,0.1828
13,3013,1,0,CubSec,Student,0,0.1758
13,3013,1,1,Clayton,Clayton,1,0.1481
14,3014,0,0,Student,Student,1,0.2072
14,3014,0,1,CubSec,Clayton,0,0.0683
14,3014,1,0,CubSec,Student,0,0.1722
14,3014,1,1,Clayton,Clayton,1,0.1781
15,3015,0,0,Student,Student,1,0.2214
15,3015,0,1,CubSec,Student,0,0.1502
15,3015,1,0,CubSec,GH,0,0.1619
15,3015,1,1,Clayton,Clayton,1,0.1770
16,3016,0,0,Student,Student,1,0.2337
16,3016,0,1,CubSec,GH,0,0.0623
16,3016,1,0,CubSec,Student,0,0.1144
16,3016,1,1,Clayton,Clayton,1,0.1733
17,3017,0,0,Student,Student,1,0.2436
17,3017,0,1,CubSec,Student,0,0.2334
17,3017,1,0,CubSec,Student,0,0.1538
17,3017,1,1,Clayton,Clayton,1,0.1566
18,3018,0,0,Student,Student,1,0.2464
18,3018,0,1,CubSec,CubSec,1,0.1650
18,3018,1,0,CubSec,Student,0,0.1373
18,3018,1,1,Clayton,Clayton,1,0.1660
