run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,Student,1,0.2360
0,3000,0,1,CubSec,GH,0,0.0799
0,3000,1,0,CubSec,Clayton,0,0.0134
0,3000,1,1,Clayton,Clayton,1,0.1495
1,3001,0,0,Student,Student,1,0.1699
1,3001,0,1,CubSec,GH,0,0.1473
1,3001,1,0,CubSec,Clayton,0,0.0968
1,3001,1,1,Clayton,Clayton,1,0.1999
2,3002,0,0,Student,Student,1,0.2282
2,3002,0,1,CubSec,GH,0,0.1354
2,3002,1,0,CubSec,CubSec,1,0.0323
2,3002,1,1,Clayton,Clayton,1,0.1521
3,3003,0,0,Student,Student,1,0.2193
3,3003,0,1,CubSec,GH,0,0.1453
3,3003,1,0,CubSec,GH,0,0.1516
3,3003,1,1,Clayton,Clayton,1,0.1744
4,3004,0,0,Student,Student,1,0.2248
4,3004,0,1,CubSec,Clayton,0,0.1438
4,3004,1,0,CubSec,GH,0,0.0938
4,3004,1,1,Clayton,Clayton,1,0.1490
5,3005,0,0,Student,Student,1,0.2233
5,3005,0,1,CubSec,Clayton,0,0.1226
5,3005,1,0,CubSec,Student,0,0.1650
5,3005,1,1,Clayton,Clayton,1,0.1595
6,3006,0,0,Student,Student,1,0.2302
6,3006,0,1,CubSec,GH,0,0.1414
6,3006,1,0,CubSec,CubSec,1,0.1650
6,3006,1,1,Clayton,Clayton,1,0.2198
7,3007,0,0,Student,Student,1,0.1595
7,3007,0,1,CubSec,GH,0,0.1508
7,3007,1,0,CubSec,GH,0,0.1077
7,3007,1,1,Clayton,Clayton,1,0.1720
8,3008,0,0,Student,Student,1,0.2160
8,3008,0,1,CubSec,GH,0,0.1524
8,3008,1,0,CubSec,GH,0,0.0897
8,3008,1,1,Clayton,Clayton,1,0.1558
9,3009,0,0,Student,Student,1,0.2085
9,3009,0,1,CubSec,GH,0,0.1540
9,3009,1,0,CubSec,GH,0,0.1535
9,3009,1,1,Clayton,Clayton,1,0.1353
10,3010,0,0,Student,Student,1,0.2550
10,3010,0,1,CubSec,GH,0,0.1216
10,3010,1,0,CubSec,GH,0,0.1344
10,3010,1,1,Clayton,Clayton,1,0.1883
11,3011,0,0,Student,Student,1,0.2401
11,3011,0,1,CubSec,Clayton,0,0.0875
11,3011,1,0,CubSec,Student,0,0.0292
11,3011,1,1,Clayton,Clayton,1,0.1962
12,3012,0,0,Student,Student,1,0.2467
12,3012,0,1,CubSec,GH,0,0.1820
