run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,Student,1,0.2365
0,3000,0,1,CubSec,Student,0,0.1672
0,3000,1,0,CubSec,Student,0,0.0595
0,3000,1,1,Clayton,Student,0,0.0817
1,3001,0,0,Student,Student,1,0.1719
1,3001,0,1,CubSec,CubSec,1,0.1435
1,3001,1,0,CubSec,Clayton,0,0.0590
1,3001,1,1,Clayton,Clayton,1,0.2174
2,3002,0,0,Student,Student,1,0.2218
2,3002,0,1,CubSec,Student,0,0.1545
2,3002,1,0,CubSec,CubSec,1,0.0270
2,3002,1,1,Clayton,Clayton,1,0.1604
3,3003,0,0,Student,Student,1,0.2067
3,3003,0,1,CubSec,Student,0,0.1725
3,3003,1,0,CubSec,Student,0,0.1653
3,3003,1,1,Clayton,Clayton,1,0.1831
4,3004,0,0,Student,Student,1,0.2267
4,3004,0,1,CubSec,Student,0,0.1637
4,3004,1,0,CubSec,Student,0,0.1148
4,3004,1,1,Clayton,Clayton,1,0.1403
5,3005,0,0,Student,Student,1,0.2424
5,3005,0,1,CubSec,Student,0,0.1741
5,3005,1,0,CubSec,Student,0,0.2108
5,3005,1,1,Clayton,Student,0,0.1183
6,3006,0,0,Student,Student,1,0.2230
6,3006,0,1,CubSec,GH,0,0.1341
6,3006,1,0,CubSec,Student,0,0.1688
6,3006,1,1,Clayton,Clayton,1,0.2247
7,3007,0,0,Student,Student,1,0.1353
7,3007,0,1,CubSec,Student,0,0.1852
7,3007,1,0,CubSec,Student,0,0.1143
7,3007,1,1,Clayton,Clayton,1,0.1801
8,3008,0,0,Student,Student,1,0.1976
8,3008,0,1,CubSec,Student,0,0.1772
8,3008,1,0,CubSec,CubSec,1,0.1355
8,3008,1,1,Clayton,Clayton,1,0.1634
9,3009,0,0,Student,Student,1,0.1986
9,3009,0,1,CubSec,Student,0,0.1820
9,3009,1,0,CubSec,Student,0,0.1594
9,3009,1,1,Clayton,Clayton,1,0.1388
10,3010,0,0,Student,Student,1,0.2369
10,3010,0,1,CubSec,Student,0,0.1536
10,3010,1,0,CubSec,Student,0,0.1578
10,3010,1,1,Clayton,Clayton,1,0.1931
11,3011,0,0,Student,Student,1,0.2563
11,3011,0,1,CubSec,CubSec,1,0.0521
11,3011,1,0,CubSec,Student,0,0.0058
11,3011,1,1,Clayton,Clayton,1,0.2060
12,3012,0,0,Student,Student,1,0.2283
12,3012,0,1,CubSec,Student,0,0.2143
12,3012,1,0,CubSec,Student,0,0.1241
12,3012,1,1,Clayton,Clayton,1,0.1340
13,3013,0,0,Student,Student,1,0.2184
13,3013,0,1,CubSec,Student,0,0.1828
13,3013,1,0,CubSec,Student,0,0.1758
13,3013,1,1,Clayton,Clayton,1,0.1481
14,3014,0,0,Student,Student,1,0.2067
14,3014,0,1,CubSec,Student,0,0.0846
14,3014,1,0,CubSec,Student,0,0.1748
14,3014,1,1,Clayton,Clayton,1,0.1729
15,3015,0,0,Student,Student,1,0.2155
15,3015,0,1,CubSec,Student,0,0.1543
15,3015,1,0,CubSec,Student,0,0.1712
15,3015,1,1,Clayton,Clayton,1,0.1782
16,3016,0,0,Student,Student,1,0.2332
16,3016,0,1,CubSec,Student,0,0.0588
16,3016,1,0,CubSec,Student,0,0.1077
16,3016,1,1,Clayton,Clayton,1,0.1778
17,3017,0,0,Student,Student,1,0.2436
17,3017,0,1,CubSec,Student,0,0.2334
17,3017,1,0,CubSec,Student,0,0.1538
17,3017,1,1,Clayton,Clayton,1,0.1566
18,3018,0,0,Student,Student,1,0.2407
18,3018,0,1,CubSec,Student,0,0.1648
18,3018,1,0,CubSec,Student,0,0.1472
18,3018,1,1,Clayton,Clayton,1,0.1627
19,3019,0,0,Student,Student,1,0.2978
19,3019,0,1,CubSec,Student,0,0.0479
19,3019,1,0,CubSec,Student,0,0.2003
19,3019,1,1,Clayton,Clayton,1,0.1624
20,3020,0,0,Student,Student,1,0.2284
20,3020,0,1,CubSec,Student,0,0.1674
20,3020,1,0,CubSec,Student,0,0.2104
20,3020,1,1,Clayton,Clayton,1,0.1841
21,3021,0,0,Student,Student,1,0.2303
21,3021,0,1,CubSec,Student,0,0.1705
21,3021,1,0,CubSec,Student,0,0.1323
21,3021,1,1,Clayton,Student,0,0.1645
22,3022,0,0,Student,Student,1,0.1807
22,3022,0,1,CubSec,CubSec,1,0.1637
22,3022,1,0,CubSec,GH,0,0.1801
22,3022,1,1,Clayton,Clayton,1,0.1802
23,3023,0,0,Student,Student,1,0.2597
23,3023,0,1,CubSec,Student,0,0.1687
23,3023,1,0,CubSec,Student,0,0.2006
23,3023,1,1,Clayton,Student,0,0.1471
24,3024,0,0,Student,Student,1,0.1601
