run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,Student,1,0.2213
0,3000,0,1,CubSec,GH,0,0.1026
0,3000,1,0,CubSec,GH,0,0.0487
0,3000,1,1,Clayton,Clayton,1,0.1681
1,3001,0,0,Student,Student,1,0.2276
1,3001,0,1,CubSec,GH,0,0.2200
1,3001,1,0,CubSec,GH,0,0.1641
1,3001,1,1,Clayton,Clayton,1,0.1765
2,3002,0,0,Student,Student,1,0.2401
2,3002,0,1,CubSec,CubSec,1,0.1650
2,3002,1,0,CubSec,CubSec,1,0.0985
2,3002,1,1,Clayton,Clayton,1,0.1821
3,3003,0,0,Student,Student,1,0.2535
3,3003,0,1,CubSec,GH,0,0.2044
3,3003,1,0,CubSec,GH,0,0.2138
3,3003,1,1,Clayton,Clayton,1,0.1980
4,3004,0,0,Student,Student,1,0.2767
4,3004,0,1,CubSec,Student,0,0.1816
4,3004,1,0,CubSec,Clayton,0,0.1100
4,3004,1,1,Clayton,Clayton,1,0.1552
5,3005,0,0,Student,Student,1,0.2578
5,3005,0,1,CubSec,CubSec,1,0.0696
5,3005,1,0,CubSec,Student,0,0.1510
5,3005,1,1,Clayton,Clayton,1,0.1806
6,3006,0,0,Student,Student,1,0.2569
6,3006,0,1,CubSec,GH,0,0.1551
6,3006,1,0,CubSec,Student,0,0.2432
6,3006,1,1,Clayton,Clayton,1,0.2095
7,3007,0,0,Student,Student,1,0.2148
7,3007,0,1,CubSec,CubSec,1,0.1650
7,3007,1,0,CubSec,GH,0,0.2070
7,3007,1,1,Clayton,Clayton,1,0.2083
8,3008,0,0,Student,Student,1,0.2266
8,3008,0,1,CubSec,GH,0,0.1341
8,3008,1,0,CubSec,Clayton,0,0.1928
8,3008,1,1,Clayton,Clayton,1,0.2278
9,3009,0,0,Student,Student,1,0.2115
9,3009,0,1,CubSec,GH,0,0.1848
9,3009,1,0,CubSec,Student,0,0.1400
9,3009,1,1,Clayton,Clayton,1,0.1887
10,3010,0,0,Student,Student,1,0.2792
10,3010,0,1,CubSec,GH,0,0.2241
10,3010,1,0,CubSec,GH,0,0.1589
10,3010,1,1,Clayton,Clayton,1,0.2032
11,3011,0,0,Student,Student,1,0.2204
11,3011,0,1,CubSec,Student,0,0.0985
11,3011,1,0,CubSec,Student,0,0.0542
11,3011,1,1,Clayton,Clayton,1,0.2483
12,3012,0,0,Student,Student,1,0.2275
12,3012,0,1,CubSec,GH,0,0.1960
12,3012,1,0,CubSec,GH,0,0.0886
12,3012,1,1,Clayton,Clayton,1,0.1779
13,3013,0,0,Student,Student,1,0.2224
13,3013,0,1,CubSec,CubSec,1,0.1650
13,3013,1,0,CubSec,GH,0,0.0867
13,3013,1,1,Clayton,Clayton,1,0.1997
14,3014,0,0,Student,Student,1,0.2114
14,3014,0,1,CubSec,Clayton,0,0.0481
14,3014,1,0,CubSec,Student,0,0.2407
14,3014,1,1,Clayton,Clayton,1,0.2012
15,3015,0,0,Student,Student,1,0.2378
15,3015,0,1,CubSec,Student,0,0.2700
15,3015,1,0,CubSec,GH,0,0.2255
15,3015,1,1,Clayton,Clayton,1,0.1948
16,3016,0,0,Student,Student,1,0.2813
16,3016,0,1,CubSec,GH,0,0.1044
16,3016,1,0,CubSec,GH,0,0.1084
16,3016,1,1,Clayton,Clayton,1,0.1917
17,3017,0,0,Student,Student,1,0.2829
17,3017,0,1,CubSec,Student,0,0.2802
17,3017,1,0,CubSec,GH,0,0.0972
17,3017,1,1,Clayton,Clayton,1,0.1643
18,3018,0,0,Student,Student,1,0.2263
18,3018,0,1,CubSec,Clayton,0,0.1958
18,3018,1,0,CubSec,Student,0,0.1838
18,3018,1,1,Clayton,Clayton,1,0.1930
19,3019,0,0,Student,Student,1,0.3081
19,3019,0,1,CubSec,Student,0,0.0989
19,3019,1,0,CubSec,GH,0,0.2757
19,3019,1,1,Clayton,Clayton,1,0.1817
20,3020,0,0,Student,Student,1,0.2780
20,3020,0,1,CubSec,GH,0,0.1867
20,3020,1,0,CubSec,GH,0,0.1197
20,3020,1,1,Clayton,Clayton,1,0.1961
21,3021,0,0,Student,Student,1,0.2131
21,3021,0,1,CubSec,GH,0,0.2061
21,3021,1,0,CubSec,Student,0,0.2290
21,3021,1,1,Clayton,Clayton,1,0.2132
22,3022,0,0,Student,Student,1,0.2394
22,3022,0,1,CubSec,GH,0,0.2858
22,3022,1,0,CubSec,GH,0,0.0927
22,3022,1,1,Clayton,Clayton,1,0.1933
23,3023,0,0,Student,Student,1,0.2434
23,3023,0,1,CubSec,Student,0,0.1505
23,3023,1,0,CubSec,GH,0,0.1260
23,3023,1,1,Clayton,Clayton,1,0.2139
24,3024,0,0,Student,Student,1,0.2121
24,3024,0,1,CubSec,GH,0,0.2341
24,3024,1,0,CubSec,GH,0,0.2005
24,3024,1,1,Clayton,Clayton,1,0.1522
25,3025,0,0,Student,Student,1,0.2615
25,3025,0,1,CubSec,Clayton,0,0.0881
25,3025,1,0,CubSec,GH,0,0.0718
25,3025,1,1,Clayton,Clayton,1,0.1894
26,3026,0,0,Student,Student,1,0.2494
