run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,Student,1,0.2213
0,3000,0,1,CubSec,GH,0,0.1026
0,3000,1,0,CubSec,GH,0,0.0487
0,3000,1,1,Clayton,Clayton,1,0.1681
1,3001,0,0,Student,Student,1,0.2283
1,3001,0,1,CubSec,GH,0,0.2193
1,3001,1,0,CubSec,GH,0,0.1558
1,3001,1,1,Clayton,Clayton,1,0.1765
2,3002,0,0,Student,Student,1,0.2401
2,3002,0,1,CubSec,CubSec,1,0.1650
2,3002,1,0,CubSec,CubSec,1,0.0985
2,3002,1,1,Clayton,Clayton,1,0.1821
3,3003,0,0,Student,Student,1,0.2535
3,3003,0,1,CubSec,GH,0,0.2044
3,3003,1,0,CubSec,GH,0,0.2138
3,3003,1,1,Clayton,Clayton,1,0.1980
4,3004,0,0,Student,Student,1,0.2718
4,3004,0,1,CubSec,Clayton,0,0.1950
4,3004,1,0,CubSec,Clayton,0,0.1114
4,3004,1,1,Clayton,Clayton,1,0.1596
5,3005,0,0,Student,Student,1,0.2578
5,3005,0,1,CubSec,CubSec,1,0.0696
5,3005,1,0,CubSec,Student,0,0.1510
5,3005,1,1,Clayton,Clayton,1,0.1806
6,3006,0,0,Student,Student,1,0.2527
6,3006,0,1,CubSec,GH,0,0.1450
6,3006,1,0,CubSec,Clayton,0,0.2460
6,3006,1,1,Clayton,Clayton,1,0.2152
7,3007,0,0,Student,Student,1,0.2148
7,3007,0,1,CubSec,CubSec,1,0.1650
7,3007,1,0,CubSec,GH,0,0.2070
7,3007,1,1,Clayton,Clayton,1,0.2083
8,3008,0,0,Student,Student,1,0.2266
8,3008,0,1,CubSec,GH,0,0.1341
8,3008,1,0,CubSec,Clayton,0,0.1928
8,3008,1,1,Clayton,Clayton,1,0.2278
9,3009,0,0,Student,Student,1,0.2135
9,3009,0,1,CubSec,GH,0,0.1865
9,3009,1,0,CubSec,GH,0,0.1002
9,3009,1,1,Clayton,Clayton,1,0.1925
10,3010,0,0,Student,Student,1,0.2792
10,3010,0,1,CubSec,GH,0,0.2241
10,3010,1,0,CubSec,GH,0,0.1589
10,3010,1,1,Clayton,Clayton,1,0.2032
11,3011,0,0,Student,Student,1,0.2269
11,3011,0,1,CubSec,GH,0,0.0357
11,3011,1,0,CubSec,CubSec,1,0.0000
11,3011,1,1,Clayton,Clayton,1,0.2637
12,3012,0,0,Student,Student,1,0.2275
12,3012,0,1,CubSec,GH,0,0.1960
12,3012,1,0,CubSec,GH,0,0.0886
12,3012,1,1,Clayton,Clayton,1,0.1779
13,3013,0,0,Student,Student,1,0.2176
13,3013,0,1,CubSec,Clayton,0,0.1882
13,3013,1,0,CubSec,GH,0,0.0866
13,3013,1,1,Clayton,Clayton,1,0.2025
14,3014,0,0,Student,Student,1,0.2158
14,3014,0,1,CubSec,Clayton,0,0.0092
14,3014,1,0,CubSec,GH,0,0.2510
14,3014,1,1,Clayton,Clayton,1,0.1986
15,3015,0,0,Student,Student,1,0.2364
15,3015,0,1,CubSec,Clayton,0,0.2277
15,3015,1,0,CubSec,GH,0,0.2215
15,3015,1,1,Clayton,Clayton,1,0.1975
16,3016,0,0,Student,Student,1,0.2816
16,3016,0,1,CubSec,GH,0,0.1029
16,3016,1,0,CubSec,GH,0,0.1077
16,3016,1,1,Clayton,Clayton,1,0.1918
17,3017,0,0,Student,Student,1,0.2828
17,3017,0,1,CubSec,GH,0,0.2197
17,3017,1,0,CubSec,GH,0,0.1104
17,3017,1,1,Clayton,Clayton,1,0.1665
18,3018,0,0,Student,Student,1,0.2239
18,3018,0,1,CubSec,Clayton,0,0.1965
18,3018,1,0,CubSec,Clayton,0,0.1670
18,3018,1,1,Clayton,Clayton,1,0.1950
19,3019,0,0,Student,Student,1,0.3088
19,3019,0,1,CubSec,GH,0,0.1062
19,3019,1,0,CubSec,GH,0,0.2729
19,3019,1,1,Clayton,Clayton,1,0.1811
20,3020,0,0,Student,Student,1,0.2780
20,3020,0,1,CubSec,GH,0,0.1867
20,3020,1,0,CubSec,GH,0,0.1197
20,3020,1,1,Clayton,Clayton,1,0.1961
21,3021,0,0,Student,Student,1,0.2151
21,3021,0,1,CubSec,GH,0,0.2048
21,3021,1,0,CubSec,GH,0,0.1885
21,3021,1,1,Clayton,Clayton,1,0.2133
22,3022,0,0,Student,Student,1,0.2394
22,3022,0,1,CubSec,GH,0,0.2858
22,3022,1,0,CubSec,GH,0,0.0927
22,3022,1,1,Clayton,Clayton,1,0.1933
23,3023,0,0,Student,Student,1,0.2444
23,3023,0,1,CubSec,GH,0,0.1545
23,3023,1,0,CubSec,GH,0,0.1234
23,3023,1,1,Clayton,Clayton,1,0.2135
24,3024,0,0,Student,Student,1,0.2121
24,3024,0,1,CubSec,GH,0,0.2341
24,3024,1,0,CubSec,GH,0,0.2005
24,3024,1,1,Clayton,Clayton,1,0.1522
25,3025,0,0,Student,Student,1,0.2636
25,3025,0,1,CubSec,GH,0,0.0820
25,3025,1,0,CubSec,GH,0,0.0698
25,3025,1,1,Clayton,Clayton,1,0.1877
26,3026,0,0,Student,Student,1,0.2494
