run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Gauss,Clayton,0,0.5759,sweep:GH/Clayton
0,3000,0,1,GH,Clayton,0,0.2065,sweep:GH/Clayton
0,3000,1,0,GH,Clayton,0,0.1995,sweep:GH/Clayton
0,3000,1,1,Clayton,Gauss,0,0.6035,sweep:GH/Clayton
1,3001,0,0,Gauss,Gauss,1,0.6899,sweep:Gauss/Clayton
1,3001,0,1,GH,Gauss,0,0.4135,sweep:Gauss/Clayton
1,3001,1,0,GH,GH,1,0.4134,sweep:Gauss/Clayton
1,3001,1,1,Clayton,Clayton,1,0.6970,sweep:Gauss/Clayton
2,3002,0,0,Gauss,Gauss,1,0.7040,sweep:GH/GH
2,3002,0,1,GH,GH,1,0.3240,sweep:GH/GH
2,3002,1,0,GH,Gauss,0,0.3951,sweep:GH/GH
2,3002,1,1,Clayton,Clayton,1,0.6910,sweep:GH/GH
3,3003,0,0,Gauss,Clayton,0,0.5370,sweep:Gauss/Gauss
3,3003,0,1,GH,GH,1,0.2113,sweep:Gauss/Gauss
3,3003,1,0,GH,GH,1,0.3136,sweep:Gauss/Gauss
3,3003,1,1,Clayton,Gauss,0,0.6240,sweep:Gauss/Gauss
4,3004,0,0,Gauss,Gauss,1,0.6711,sweep:GH/Clayton
4,3004,0,1,GH,GH,1,0.3863,sweep:GH/Clayton
4,3004,1,0,GH,Gauss,0,0.4106,sweep:GH/Clayton
4,3004,1,1,Clayton,Clayton,1,0.6792,sweep:GH/Clayton
5,3005,0,0,Gauss,GH,0,0.6970,sweep:GH/Clayton
5,3005,0,1,GH,GH,1,0.4395,sweep:GH/Clayton
5,3005,1,0,GH,GH,1,0.4152,sweep:GH/Clayton
5,3005,1,1,Clayton,Clayton,1,0.6798,sweep:GH/Clayton
6,3006,0,0,Gauss,Gauss,1,0.6790,kmeans
6,3006,0,1,GH,GH,1,0.3264,kmeans
6,3006,1,0,GH,GH,1,0.3668,kmeans
6,3006,1,1,Clayton,Clayton,1,0.6735,kmeans
7,3007,0,0,Gauss,GH,0,0.7108,sweep:Clayton/Gauss
7,3007,0,1,GH,GH,1,0.4801,sweep:Clayton/Gauss
7,3007,1,0,GH,GH,1,0.4163,sweep:Clayton/Gauss
7,3007,1,1,Clayton,Clayton,1,0.7046,sweep:Clayton/Gauss
8,3008,0,0,Gauss,Gauss,1,0.7133,sweep:Clayton/Clayton
8,3008,0,1,GH,Gauss,0,0.3735,sweep:Clayton/Clayton
8,3008,1,0,GH,Gauss,0,0.4102,sweep:Clayton/Clayton
8,3008,1,1,Clayton,Clayton,1,0.6910,sweep:Clayton/Clayton
9,3009,0,0,Gauss,Gauss,1,0.6898,kmeans
9,3009,0,1,GH,GH,1,0.4047,kmeans
9,3009,1,0,GH,Gauss,0,0.3823,kmeans
9,3009,1,1,Clayton,Clayton,1,0.6980,kmeans
10,3010,0,0,Gauss,Gauss,1,0.7097,indep
10,3010,0,1,GH,GH,1,0.4480,indep
10,3010,1,0,GH,GH,1,0.3725,indep
10,3010,1,1,Clayton,Clayton,1,0.6818,indep
11,3011,0,0,Gauss,Gauss,1,0.6973,sweep:GH/GH
11,3011,0,1,GH,Gauss,0,0.4172,sweep:GH/GH
11,3011,1,0,GH,Gauss,0,0.4153,sweep:GH/GH
11,3011,1,1,Clayton,Clayton,1,0.6993,sweep:GH/GH
12,3012,0,0,Gauss,Gauss,1,0.5457,sweep:Gauss/Clayton
12,3012,0,1,GH,GH,1,0.3652,sweep:Gauss/Clayton
12,3012,1,0,GH,GH,1,0.4297,sweep:Gauss/Clayton
12,3012,1,1,Clayton,Clayton,1,0.6763,sweep:Gauss/Clayton
13,3013,0,0,Gauss,Gauss,1,0.7047,sweep:GH/GH
13,3013,0,1,GH,GH,1,0.4122,sweep:GH/GH
13,3013,1,0,GH,GH,1,0.4341,sweep:GH/GH
13,3013,1,1,Clayton,Clayton,1,0.6898,sweep:GH/GH
14,3014,0,0,Gauss,GH,0,0.6786,sweep:GH/Clayton
14,3014,0,1,GH,Gauss,0,0.3710,sweep:GH/Clayton
14,3014,1,0,GH,Clayton,0,0.1364,sweep:GH/Clayton
14,3014,1,1,Clayton,Clayton,1,0.6594,sweep:GH/Clayton
15,3015,0,0,Gauss,Gauss,1,0.6957,sweep:Gauss/Clayton
15,3015,0,1,GH,GH,1,0.3207,sweep:Gauss/Clayton
15,3015,1,0,GH,GH,1,0.3827,sweep:Gauss/Clayton
15,3015,1,1,Clayton,Clayton,1,0.6842,sweep:Gauss/Clayton
16,3016,0,0,Gauss,GH,0,0.6901,sweep:GH/Gauss
16,3016,0,1,GH,GH,1,0.3572,sweep:GH/Gauss
16,3016,1,0,GH,GH,1,0.3711,sweep:GH/Gauss
16,3016,1,1,Clayton,Clayton,1,0.6682,sweep:GH/Gauss
17,3017,0,0,Gauss,Gauss,1,0.7033,sweep:Gauss/GH
17,3017,0,1,GH,GH,1,0.4202,sweep:Gauss/GH
17,3017,1,0,GH,Gauss,0,0.4912,sweep:Gauss/GH
17,3017,1,1,Clayton,Clayton,1,0.6817,sweep:Gauss/GH
18,3018,0,0,Gauss,Gauss,1,0.6752,sweep:Clayton/Gauss
18,3018,0,1,GH,GH,1,0.3698,sweep:Clayton/Gauss
18,3018,1,0,GH,Gauss,0,0.3350,sweep:Clayton/Gauss
18,3018,1,1,Clayton,Clayton,1,0.6878,sweep:Clayton/Gauss
19,3019,0,0,Gauss,Gauss,1,0.7053,sweep:Clayton/Clayton
19,3019,0,1,GH,GH,1,0.3912,sweep:Clayton/Clayton
19,3019,1,0,GH,Gauss,0,0.3836,sweep:Clayton/Clayton
19,3019,1,1,Clayton,Clayton,1,0.7086,sweep:Clayton/Clayton
20,3020,0,0,Gauss,Gauss,1,0.6905,kmeans
20,3020,0,1,GH,Gauss,0,0.3722,kmeans
20,3020,1,0,GH,GH,1,0.3929,kmeans
20,3020,1,1,Clayton,Clayton,1,0.6864,kmeans
21,3021,0,0,Gauss,Gauss,1,0.6973,kmeans
21,3021,0,1,GH,GH,1,0.4008,kmeans
21,3021,1,0,GH,Gauss,0,0.3397,kmeans
21,3021,1,1,Clayton,Clayton,1,0.6952,kmeans
22,3022,0,0,Gauss,Gauss,1,0.6889,sweep:Gauss/Clayton
22,3022,0,1,GH,Gauss,0,0.4100,sweep:Gauss/Clayton
22,3022,1,0,GH,Gauss,0,0.3450,sweep:Gauss/Clayton
22,3022,1,1,Clayton,Clayton,1,0.6719,sweep:Gauss/Clayton
23,3023,0,0,Gauss,Gauss,1,0.7082,sweep:GH/Clayton
23,3023,0,1,GH,GH,1,0.2890,sweep:GH/Clayton
23,3023,1,0,GH,GH,1,0.4253,sweep:GH/Clayton
23,3023,1,1,Clayton,Clayton,1,0.7005,sweep:GH/Clayton
24,3024,0,0,Gauss,Gauss,1,0.7106,sweep:GH/Clayton
24,3024,0,1,GH,Gauss,0,0.4332,sweep:GH/Clayton
24,3024,1,0,GH,Gauss,0,0.4433,sweep:GH/Clayton
24,3024,1,1,Clayton,Clayton,1,0.6951,sweep:GH/Clayton
25,3025,0,0,Gauss,Gauss,1,0.6818,indep
25,3025,0,1,GH,GH,1,0.3148,indep
25,3025,1,0,GH,Gauss,0,0.4579,indep
25,3025,1,1,Clayton,Clayton,1,0.6571,indep
26,3026,0,0,Gauss,Gauss,1,0.7068,sweep:Clayton/Clayton
26,3026,0,1,GH,Gauss,0,0.3695,sweep:Clayton/Clayton
26,3026,1,0,GH,Gauss,0,0.4328,sweep:Clayton/Clayton
26,3026,1,1,Clayton,Clayton,1,0.7073,sweep:Clayton/Clayton
27,3027,0,0,Gauss,Gauss,1,0.6670,sweep:Gauss/Gauss
27,3027,0,1,GH,Gauss,0,0.3701,sweep:Gauss/Gauss
27,3027,1,0,GH,GH,1,0.3239,sweep:Gauss/Gauss
27,3027,1,1,Clayton,Clayton,1,0.6840,sweep:Gauss/Gauss
28,3028,0,0,Gauss,Gauss,1,0.7008,sweep:Gauss/Clayton
28,3028,0,1,GH,GH,1,0.3597,sweep:Gauss/Clayton
28,3028,1,0,GH,GH,1,0.2983,sweep:Gauss/Clayton
28,3028,1,1,Clayton,Clayton,1,0.6806,sweep:Gauss/Clayton
29,3029,0,0,Gauss,Gauss,1,0.7308,sweep:GH/Clayton
29,3029,0,1,GH,Gauss,0,0.3931,sweep:GH/Clayton
29,3029,1,0,GH,Gauss,0,0.3637,sweep:GH/Clayton
29,3029,1,1,Clayton,Gauss,0,0.6857,sweep:GH/Clayton
