run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Gauss,Gauss,1,0.7089,sweep:GH/Gauss
0,3000,0,1,GH,GH,1,0.3868,sweep:GH/Gauss
0,3000,1,0,GH,Gauss,0,0.3811,sweep:GH/Gauss
0,3000,1,1,Clayton,GH,0,0.5547,sweep:GH/Gauss
1,3001,0,0,Gauss,Gauss,1,0.7105,sweep:GH/Gauss
1,3001,0,1,GH,Gauss,0,0.4379,sweep:GH/Gauss
1,3001,1,0,GH,GH,1,0.3395,sweep:GH/Gauss
1,3001,1,1,Clayton,Clayton,1,0.6972,sweep:GH/Gauss
2,3002,0,0,Gauss,Gauss,1,0.7108,sweep:Clayton/GH
2,3002,0,1,GH,Gauss,0,0.3800,sweep:Clayton/GH
2,3002,1,0,GH,GH,1,0.4627,sweep:Clayton/GH
2,3002,1,1,Clayton,Clayton,1,0.6984,sweep:Clayton/GH
3,3003,0,0,Gauss,GH,0,0.7385,sweep:Clayton/Gauss
3,3003,0,1,GH,Clayton,0,0.2196,sweep:Clayton/Gauss
3,3003,1,0,GH,GH,1,0.4815,sweep:Clayton/Gauss
3,3003,1,1,Clayton,Gauss,0,0.6154,sweep:Clayton/Gauss
4,3004,0,0,Gauss,Gauss,1,0.6933,sweep:Clayton/Clayton
4,3004,0,1,GH,GH,1,0.3928,sweep:Clayton/Clayton
4,3004,1,0,GH,Gauss,0,0.4189,sweep:Clayton/Clayton
4,3004,1,1,Clayton,Clayton,1,0.7016,sweep:Clayton/Clayton
5,3005,0,0,Gauss,GH,0,0.7005,sweep:GH/Clayton
5,3005,0,1,GH,GH,1,0.4533,sweep:GH/Clayton
5,3005,1,0,GH,GH,1,0.4983,sweep:GH/Clayton
5,3005,1,1,Clayton,Clayton,1,0.6878,sweep:GH/Clayton
6,3006,0,0,Gauss,Gauss,1,0.6970,sweep:Clayton/Clayton
6,3006,0,1,GH,GH,1,0.4030,sweep:Clayton/Clayton
6,3006,1,0,GH,Gauss,0,0.2873,sweep:Clayton/Clayton
6,3006,1,1,Clayton,Clayton,1,0.6927,sweep:Clayton/Clayton
7,3007,0,0,Gauss,Gauss,1,0.7001,sweep:GH/Gauss
7,3007,0,1,GH,GH,1,0.3764,sweep:GH/Gauss
7,3007,1,0,GH,Gauss,0,0.4108,sweep:GH/Gauss
7,3007,1,1,Clayton,Clayton,1,0.7177,sweep:GH/Gauss
8,3008,0,0,Gauss,Clayton,0,0.6147,sweep:Gauss/Gauss
8,3008,0,1,GH,Clayton,0,0.3413,sweep:Gauss/Gauss
8,3008,1,0,GH,Clayton,0,0.3805,sweep:Gauss/Gauss
8,3008,1,1,Clayton,Clayton,1,0.4786,sweep:Gauss/Gauss
9,3009,0,0,Gauss,Gauss,1,0.7014,sweep:Clayton/GH
9,3009,0,1,GH,Gauss,0,0.4288,sweep:Clayton/GH
9,3009,1,0,GH,GH,1,0.4004,sweep:Clayton/GH
9,3009,1,1,Clayton,Clayton,1,0.6991,sweep:Clayton/GH
10,3010,0,0,Gauss,Gauss,1,0.7056,kmeans
10,3010,0,1,GH,GH,1,0.4563,kmeans
10,3010,1,0,GH,GH,1,0.4457,kmeans
10,3010,1,1,Clayton,Clayton,1,0.7076,kmeans
11,3011,0,0,Gauss,Gauss,1,0.7089,sweep:GH/Gauss
11,3011,0,1,GH,Gauss,0,0.4242,sweep:GH/Gauss
11,3011,1,0,GH,Gauss,0,0.3643,sweep:GH/Gauss
11,3011,1,1,Clayton,Clayton,1,0.6979,sweep:GH/Gauss
12,3012,0,0,Gauss,Clayton,0,0.6047,sweep:Gauss/Clayton
12,3012,0,1,GH,GH,1,0.3030,sweep:Gauss/Clayton
12,3012,1,0,GH,GH,1,0.3281,sweep:Gauss/Clayton
12,3012,1,1,Clayton,Gauss,0,0.6207,sweep:Gauss/Clayton
13,3013,0,0,Gauss,GH,0,0.6895,sweep:Clayton/Clayton
13,3013,0,1,GH,GH,1,0.5556,sweep:Clayton/Clayton
13,3013,1,0,GH,GH,1,0.5048,sweep:Clayton/Clayton
13,3013,1,1,Clayton,Clayton,1,0.6759,sweep:Clayton/Clayton
14,3014,0,0,Gauss,Gauss,1,0.6982,sweep:Gauss/GH
14,3014,0,1,GH,Gauss,0,0.4439,sweep:Gauss/GH
14,3014,1,0,GH,GH,1,0.3273,sweep:Gauss/GH
14,3014,1,1,Clayton,Clayton,1,0.6899,sweep:Gauss/GH
15,3015,0,0,Gauss,Gauss,1,0.7012,sweep:Gauss/Clayton
15,3015,0,1,GH,Gauss,0,0.3397,sweep:Gauss/Clayton
15,3015,1,0,GH,Gauss,0,0.4239,sweep:Gauss/Clayton
15,3015,1,1,Clayton,Clayton,1,0.6817,sweep:Gauss/Clayton
16,3016,0,0,Gauss,GH,0,0.6907,sweep:GH/Clayton
