run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Gauss,Gauss,1,0.7009,sweep:Clayton/Gauss
0,3000,0,1,GH,Gauss,0,0.4828,sweep:Clayton/Gauss
0,3000,1,0,GH,Gauss,0,0.3982,sweep:Clayton/Gauss
0,3000,1,1,Clayton,Clayton,1,0.6781,sweep:Clayton/Gauss
1,3001,0,0,Gauss,Gauss,1,0.7095,sweep:Gauss/Clayton
1,3001,0,1,GH,Gauss,0,0.4284,sweep:Gauss/Clayton
1,3001,1,0,GH,GH,1,0.3380,sweep:Gauss/Clayton
1,3001,1,1,Clayton,Clayton,1,0.6965,sweep:Gauss/Clayton
2,3002,0,0,Gauss,Gauss,1,0.7097,sweep:Gauss/Gauss
2,3002,0,1,GH,GH,1,0.3733,sweep:Gauss/Gauss
2,3002,1,0,GH,GH,1,0.4595,sweep:Gauss/Gauss
2,3002,1,1,Clayton,Clayton,1,0.6991,sweep:Gauss/Gauss
3,3003,0,0,Gauss,Gauss,1,0.7012,sweep:Gauss/Clayton
3,3003,0,1,GH,GH,1,0.3815,sweep:Gauss/Clayton
3,3003,1,0,GH,GH,1,0.4464,sweep:Gauss/Clayton
3,3003,1,1,Clayton,Clayton,1,0.6870,sweep:Gauss/Clayton
4,3004,0,0,Gauss,Gauss,1,0.6929,sweep:Gauss/Gauss
4,3004,0,1,GH,GH,1,0.3837,sweep:Gauss/Gauss
4,3004,1,0,GH,Gauss,0,0.4144,sweep:Gauss/Gauss
4,3004,1,1,Clayton,Clayton,1,0.7038,sweep:Gauss/Gauss
5,3005,0,0,Gauss,Gauss,1,0.7020,sweep:Clayton/Clayton
5,3005,0,1,GH,GH,1,0.4374,sweep:Clayton/Clayton
5,3005,1,0,GH,GH,1,0.4860,sweep:Clayton/Clayton
5,3005,1,1,Clayton,Clayton,1,0.7012,sweep:Clayton/Clayton
6,3006,0,0,Gauss,Gauss,1,0.6967,sweep:Clayton/Clayton
6,3006,0,1,GH,GH,1,0.4066,sweep:Clayton/Clayton
6,3006,1,0,GH,GH,1,0.2935,sweep:Clayton/Clayton
6,3006,1,1,Clayton,Clayton,1,0.6916,sweep:Clayton/Clayton
7,3007,0,0,Gauss,Gauss,1,0.7000,sweep:Clayton/Clayton
7,3007,0,1,GH,GH,1,0.3757,sweep:Clayton/Clayton
7,3007,1,0,GH,Gauss,0,0.4103,sweep:Clayton/Clayton
7,3007,1,1,Clayton,Clayton,1,0.7169,sweep:Clayton/Clayton
8,3008,0,0,Gauss,Gauss,1,0.7037,sweep:Clayton/Clayton
8,3008,0,1,GH,Gauss,0,0.4431,sweep:Clayton/Clayton
8,3008,1,0,GH,GH,1,0.4497,sweep:Clayton/Clayton
8,3008,1,1,Clayton,Clayton,1,0.7087,sweep:Clayton/Clayton
9,3009,0,0,Gauss,Gauss,1,0.7017,sweep:Clayton/Clayton
9,3009,0,1,GH,GH,1,0.4165,sweep:Clayton/Clayton
9,3009,1,0,GH,GH,1,0.4073,sweep:Clayton/Clayton
9,3009,1,1,Clayton,Clayton,1,0.6990,sweep:Clayton/Clayton
10,3010,0,0,Gauss,Gauss,1,0.7041,sweep:Clayton/Clayton
10,3010,0,1,GH,GH,1,0.4462,sweep:Clayton/Clayton
10,3010,1,0,GH,GH,1,0.4257,sweep:Clayton/Clayton
10,3010,1,1,Clayton,Clayton,1,0.7067,sweep:Clayton/Clayton
11,3011,0,0,Gauss,Gauss,1,0.7090,sweep:Gauss/Clayton
11,3011,0,1,GH,Gauss,0,0.4261,sweep:Gauss/Clayton
11,3011,1,0,GH,GH,1,0.3650,sweep:Gauss/Clayton
11,3011,1,1,Clayton,Clayton,1,0.6980,sweep:Gauss/Clayton
12,3012,0,0,Gauss,Gauss,1,0.6967,sweep:Clayton/Clayton
12,3012,0,1,GH,GH,1,0.5264,sweep:Clayton/Clayton
12,3012,1,0,GH,GH,1,0.4326,sweep:Clayton/Clayton
12,3012,1,1,Clayton,Clayton,1,0.7041,sweep:Clayton/Clayton
13,3013,0,0,Gauss,Gauss,1,0.6995,sweep:Gauss/Gauss
13,3013,0,1,GH,GH,1,0.5440,sweep:Gauss/Gauss
13,3013,1,0,GH,GH,1,0.4437,sweep:Gauss/Gauss
13,3013,1,1,Clayton,Clayton,1,0.7062,sweep:Gauss/Gauss
14,3014,0,0,Gauss,Gauss,1,0.6985,sweep:Gauss/Clayton
14,3014,0,1,GH,GH,1,0.4552,sweep:Gauss/Clayton
14,3014,1,0,GH,GH,1,0.3154,sweep:Gauss/Clayton
14,3014,1,1,Clayton,Clayton,1,0.6901,sweep:Gauss/Clayton
15,3015,0,0,Gauss,Gauss,1,0.7033,sweep:Gauss/Clayton
15,3015,0,1,GH,GH,1,0.3293,sweep:Gauss/Clayton
15,3015,1,0,GH,GH,1,0.4089,sweep:Gauss/Clayton
15,3015,1,1,Clayton,Clayton,1,0.6983,sweep:Gauss/Clayton
16,3016,0,0,Gauss,Gauss,1,0.6878,sweep:Gauss/Clayton
16,3016,0,1,GH,Gauss,0,0.3491,sweep:Gauss/Clayton
16,3016,1,0,GH,GH,1,0.4000,sweep:Gauss/Clayton
16,3016,1,1,Clayton,Clayton,1,0.6857,sweep:Gauss/Clayton
17,3017,0,0,Gauss,Gauss,1,0.7098,sweep:Gauss/Clayton
17,3017,0,1,GH,GH,1,0.3903,sweep:Gauss/Clayton
17,3017,1,0,GH,GH,1,0.4858,sweep:Gauss/Clayton
17,3017,1,1,Clayton,Clayton,1,0.7028,sweep:Gauss/Clayton
18,3018,0,0,Gauss,Gauss,1,0.6992,sweep:Clayton/Clayton
18,3018,0,1,GH,GH,1,0.3952,sweep:Clayton/Clayton
18,3018,1,0,GH,GH,1,0.3632,sweep:Clayton/Clayton
18,3018,1,1,Clayton,Clayton,1,0.6945,sweep:Clayton/Clayton
19,3019,0,0,Gauss,Gauss,1,0.7109,sweep:Clayton/Gauss
