run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Student,Student,1,0.2418,sweep:CubSec/GH
0,3000,0,1,CubSec,CubSec,1,0.1650,sweep:CubSec/GH
0,3000,1,0,CubSec,Clayton,0,0.1634,sweep:CubSec/GH
0,3000,1,1,Clayton,Clayton,1,0.1629,sweep:CubSec/GH
1,3001,0,0,Student,Student,1,0.1831,indep
1,3001,0,1,CubSec,GH,0,0.1538,indep
1,3001,1,0,CubSec,GH,0,0.1181,indep
1,3001,1,1,Clayton,Clayton,1,0.1781,indep
2,3002,0,0,Student,Student,1,0.2873,sweep:Student/Student
2,3002,0,1,CubSec,CubSec,1,0.1035,sweep:Student/Student
2,3002,1,0,CubSec,Clayton,0,0.0688,sweep:Student/Student
2,3002,1,1,Clayton,Clayton,1,0.2135,sweep:Student/Student
3,3003,0,0,Student,Student,1,0.3066,sweep:Student/CubSec
3,3003,0,1,CubSec,CubSec,1,0.0737,sweep:Student/CubSec
3,3003,1,0,CubSec,CubSec,1,0.1650,sweep:Student/CubSec
3,3003,1,1,Clayton,Clayton,1,0.2119,sweep:Student/CubSec
4,3004,0,0,Student,Student,1,0.2952,sweep:Student/GH
4,3004,0,1,CubSec,CubSec,1,0.1563,sweep:Student/GH
4,3004,1,0,CubSec,CubSec,1,0.1599,sweep:Student/GH
4,3004,1,1,Clayton,Clayton,1,0.1891,sweep:Student/GH
5,3005,0,0,Student,Clayton,0,0.2248,sweep:CubSec/Clayton
5,3005,0,1,CubSec,CubSec,1,0.1628,sweep:CubSec/Clayton
5,3005,1,0,CubSec,Student,0,0.1651,sweep:CubSec/Clayton
5,3005,1,1,Clayton,Clayton,1,0.2381,sweep:CubSec/Clayton
6,3006,0,0,Student,Student,1,0.1963,indep
6,3006,0,1,CubSec,Clayton,0,0.1120,indep
6,3006,1,0,CubSec,GH,0,0.0680,indep
6,3006,1,1,Clayton,Clayton,1,0.2058,indep
7,3007,0,0,Student,Student,1,0.2601,indep
7,3007,0,1,CubSec,GH,0,0.0958,indep
7,3007,1,0,CubSec,GH,0,0.1125,indep
7,3007,1,1,Clayton,Clayton,1,0.1816,indep
8,3008,0,0,Student,Student,1,0.2550,sweep:Student/CubSec
8,3008,0,1,CubSec,CubSec,1,0.0003,sweep:Student/CubSec
8,3008,1,0,CubSec,CubSec,1,0.1393,sweep:Student/CubSec
8,3008,1,1,Clayton,Clayton,1,0.1860,sweep:Student/CubSec
9,3009,0,0,Student,Student,1,0.2235,indep
9,3009,0,1,CubSec,GH,0,0.0700,indep
9,3009,1,0,CubSec,CubSec,1,0.0270,indep
9,3009,1,1,Clayton,Clayton,1,0.1249,indep
10,3010,0,0,Student,Student,1,0.2963,kmeans
10,3010,0,1,CubSec,CubSec,1,0.1615,kmeans
10,3010,1,0,CubSec,CubSec,1,0.0665,kmeans
10,3010,1,1,Clayton,Clayton,1,0.1806,kmeans
11,3011,0,0,Student,Student,1,0.2304,indep
11,3011,0,1,CubSec,GH,0,0.1278,indep
11,3011,1,0,CubSec,Student,0,0.2376,indep
11,3011,1,1,Clayton,Clayton,1,0.1293,indep
12,3012,0,0,Student,Student,1,0.2492,sweep:CubSec/Clayton
12,3012,0,1,CubSec,Clayton,0,0.1088,sweep:CubSec/Clayton
12,3012,1,0,CubSec,CubSec,1,0.1531,sweep:CubSec/Clayton
12,3012,1,1,Clayton,Clayton,1,0.2038,sweep:CubSec/Clayton
13,3013,0,0,Student,Student,1,0.2281,indep
13,3013,0,1,CubSec,GH,0,0.1619,indep
13,3013,1,0,CubSec,GH,0,0.1027,indep
13,3013,1,1,Clayton,Clayton,1,0.1626,indep
14,3014,0,0,Student,Student,1,0.2229,indep
14,3014,0,1,CubSec,GH,0,0.1034,indep
14,3014,1,0,CubSec,GH,0,0.1837,indep
14,3014,1,1,Clayton,Clayton,1,0.1124,indep
15,3015,0,0,Student,Student,1,0.2325,indep
15,3015,0,1,CubSec,GH,0,0.1392,indep
15,3015,1,0,CubSec,GH,0,0.1310,indep
15,3015,1,1,Clayton,Clayton,1,0.1389,indep
16,3016,0,0,Student,Student,1,0.2578,sweep:CubSec/Student
16,3016,0,1,CubSec,CubSec,1,0.0051,sweep:CubSec/Student
16,3016,1,0,CubSec,GH,0,0.1705,sweep:CubSec/Student
16,3016,1,1,Clayton,Clayton,1,0.1946,sweep:CubSec/Student
17,3017,0,0,Student,Student,1,0.2181,indep
17,3017,0,1,CubSec,GH,0,0.0837,indep
17,3017,1,0,CubSec,GH,0,0.0890,indep
17,3017,1,1,Clayton,Clayton,1,0.1644,indep
18,3018,0,0,Student,Student,1,0.3212,sweep:Student/Clayton
18,3018,0,1,CubSec,CubSec,1,0.1239,sweep:Student/Clayton
18,3018,1,0,CubSec,CubSec,1,0.0626,sweep:Student/Clayton
18,3018,1,1,Clayton,Clayton,1,0.2055,sweep:Student/Clayton
19,3019,0,0,Student,Student,1,0.2808,sweep:Student/Student
19,3019,0,1,CubSec,CubSec,1,0.1589,sweep:Student/Student
19,3019,1,0,CubSec,Clayton,0,0.1129,sweep:Student/Student
19,3019,1,1,Clayton,Clayton,1,0.2006,sweep:Student/Student
20,3020,0,0,Student,Student,1,0.2354,indep
20,3020,0,1,CubSec,CubSec,1,0.0401,indep
20,3020,1,0,CubSec,GH,0,0.1239,indep
20,3020,1,1,Clayton,Clayton,1,0.1041,indep
21,3021,0,0,Student,Student,1,0.1842,sweep:Student/Student
21,3021,0,1,CubSec,CubSec,1,0.1383,sweep:Student/Student
21,3021,1,0,CubSec,Clayton,0,0.1033,sweep:Student/Student
21,3021,1,1,Clayton,Clayton,1,0.1842,sweep:Student/Student
22,3022,0,0,Student,Student,1,0.2412,kmeans
22,3022,0,1,CubSec,CubSec,1,0.1641,kmeans
22,3022,1,0,CubSec,CubSec,1,0.1650,kmeans
22,3022,1,1,Clayton,Clayton,1,0.2027,kmeans
23,3023,0,0,Student,Student,1,0.2145,indep
23,3023,0,1,CubSec,Clayton,0,0.1314,indep
23,3023,1,0,CubSec,CubSec,1,0.1403,indep
23,3023,1,1,Clayton,Clayton,1,0.1722,indep
24,3024,0,0,Student,Student,1,0.2627,sweep:CubSec/GH
24,3024,0,1,CubSec,CubSec,1,0.1265,sweep:CubSec/GH
24,3024,1,0,CubSec,CubSec,1,0.1624,sweep:CubSec/GH
24,3024,1,1,Clayton,Clayton,1,0.1868,sweep:CubSec/GH
25,3025,0,0,Student,Student,1,0.2429,sweep:Student/CubSec
25,3025,0,1,CubSec,CubSec,1,0.1198,sweep:Student/CubSec
25,3025,1,0,CubSec,CubSec,1,0.1044,sweep:Student/CubSec
25,3025,1,1,Clayton,Clayton,1,0.1819,sweep:Student/CubSec
26,3026,0,0,Student,Student,1,0.2073,kmeans
26,3026,0,1,CubSec,CubSec,1,0.1373,kmeans
26,3026,1,0,CubSec,CubSec,1,0.1650,kmeans
26,3026,1,1,Clayton,Clayton,1,0.2108,kmeans
27,3027,0,0,Student,Student,1,0.1944,sweep:Student/GH
27,3027,0,1,CubSec,Clayton,0,0.0248,sweep:Student/GH
27,3027,1,0,CubSec,CubSec,1,0.1635,sweep:Student/GH
27,3027,1,1,Clayton,Clayton,1,0.1996,sweep:Student/GH
28,3028,0,0,Student,Student,1,0.2511,sweep:Student/Clayton
28,3028,0,1,CubSec,CubSec,1,0.1342,sweep:Student/Clayton
28,3028,1,0,CubSec,Clayton,0,0.2457,sweep:Student/Clayton
