run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Student,Student,1,0.2452,sweep:CubSec/Student
0,3000,0,1,CubSec,CubSec,1,0.1530,sweep:CubSec/Student
0,3000,1,0,CubSec,Student,0,0.2322,sweep:CubSec/Student
0,3000,1,1,Clayton,Clayton,1,0.1480,sweep:CubSec/Student
1,3001,0,0,Student,Student,1,0.1967,sweep:CubSec/Student
1,3001,0,1,CubSec,Student,0,0.1484,sweep:CubSec/Student
1,3001,1,0,CubSec,GH,0,0.1290,sweep:CubSec/Student
1,3001,1,1,Clayton,Clayton,1,0.2056,sweep:CubSec/Student
2,3002,0,0,Student,Student,1,0.2836,sweep:Student/Clayton
2,3002,0,1,CubSec,CubSec,1,0.1033,sweep:Student/Clayton
2,3002,1,0,CubSec,Clayton,0,0.0671,sweep:Student/Clayton
2,3002,1,1,Clayton,Clayton,1,0.2190,sweep:Student/Clayton
3,3003,0,0,Student,Student,1,0.3015,sweep:Student/CubSec
3,3003,0,1,CubSec,CubSec,1,0.0886,sweep:Student/CubSec
3,3003,1,0,CubSec,CubSec,1,0.1650,sweep:Student/CubSec
3,3003,1,1,Clayton,Clayton,1,0.2116,sweep:Student/CubSec
4,3004,0,0,Student,Student,1,0.2132,indep
4,3004,0,1,CubSec,Student,0,0.1268,indep
4,3004,1,0,CubSec,Student,0,0.1550,indep
4,3004,1,1,Clayton,Clayton,1,0.1244,indep
5,3005,0,0,Student,Student,1,0.3128,sweep:Student/Student
5,3005,0,1,CubSec,Student,0,0.1185,sweep:Student/Student
5,3005,1,0,CubSec,Student,0,0.1462,sweep:Student/Student
5,3005,1,1,Clayton,Clayton,1,0.2341,sweep:Student/Student
6,3006,0,0,Student,Student,1,0.2355,sweep:Student/Clayton
6,3006,0,1,CubSec,CubSec,1,0.1650,sweep:Student/Clayton
6,3006,1,0,CubSec,Student,0,0.0741,sweep:Student/Clayton
6,3006,1,1,Clayton,Clayton,1,0.2424,sweep:Student/Clayton
7,3007,0,0,Student,Student,1,0.2552,sweep:CubSec/CubSec
7,3007,0,1,CubSec,Student,0,0.0902,sweep:CubSec/CubSec
7,3007,1,0,CubSec,Student,0,0.1424,sweep:CubSec/CubSec
