run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Student,Student,1,0.2452,sweep:CubSec/Student
0,3000,0,1,CubSec,CubSec,1,0.1530,sweep:CubSec/Student
0,3000,1,0,CubSec,Student,0,0.2322,sweep:CubSec/Student
0,3000,1,1,Clayton,Clayton,1,0.1480,sweep:CubSec/Student
1,3001,0,0,Student,Student,1,0.1818,indep
1,3001,0,1,CubSec,GH,0,0.1562,indep
1,3001,1,0,CubSec,GH,0,0.1159,indep
1,3001,1,1,Clayton,Clayton,1,0.1777,indep
2,3002,0,0,Student,Student,1,0.2850,sweep:Student/Clayton
2,3002,0,1,CubSec,CubSec,1,0.1040,sweep:Student/Clayton
2,3002,1,0,CubSec,Clayton,0,0.0671,sweep:Student/Clayton
2,3002,1,1,Clayton,Clayton,1,0.2197,sweep:Student/Clayton
3,3003,0,0,Student,Student,1,0.2597,indep
3,3003,0,1,CubSec,Clayton,0,0.0606,indep
3,3003,1,0,CubSec,CubSec,1,0.1448,indep
3,3003,1,1,Clayton,Clayton,1,0.1943,indep
4,3004,0,0,Student,Student,1,0.2132,indep
4,3004,0,1,CubSec,Student,0,0.1268,indep
4,3004,1,0,CubSec,Student,0,0.1550,indep
4,3004,1,1,Clayton,Clayton,1,0.1244,indep
5,3005,0,0,Student,Student,1,0.2546,sweep:CubSec/Student
5,3005,0,1,CubSec,Student,0,0.1160,sweep:CubSec/Student
5,3005,1,0,CubSec,Student,0,0.1339,sweep:CubSec/Student
5,3005,1,1,Clayton,Clayton,1,0.2234,sweep:CubSec/Student
6,3006,0,0,Student,Student,1,0.1978,indep
6,3006,0,1,CubSec,Student,0,0.1491,indep
6,3006,1,0,CubSec,Student,0,0.0489,indep
6,3006,1,1,Clayton,Clayton,1,0.2031,indep
7,3007,0,0,Student,Student,1,0.2572,sweep:CubSec/CubSec
7,3007,0,1,CubSec,GH,0,0.0983,sweep:CubSec/CubSec
7,3007,1,0,CubSec,Student,0,0.1431,sweep:CubSec/CubSec
7,3007,1,1,Clayton,Clayton,1,0.1890,sweep:CubSec/CubSec
8,3008,0,0,Student,Student,1,0.2543,sweep:Student/CubSec
8,3008,0,1,CubSec,GH,0,0.0001,sweep:Student/CubSec
