run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Student,Student,1,0.2549,sweep:Student/GH
0,3000,0,1,CubSec,CubSec,1,0.1650,sweep:Student/GH
0,3000,1,0,CubSec,Clayton,0,0.2181,sweep:Student/GH
0,3000,1,1,Clayton,Clayton,1,0.1823,sweep:Student/GH
1,3001,0,0,Student,Student,1,0.2381,sweep:GH/CubSec
1,3001,0,1,CubSec,CubSec,1,0.1210,sweep:GH/CubSec
1,3001,1,0,CubSec,GH,0,0.1388,sweep:GH/CubSec
1,3001,1,1,Clayton,Clayton,1,0.1871,sweep:GH/CubSec
2,3002,0,0,Student,Student,1,0.2205,sweep:GH/Student
2,3002,0,1,CubSec,Clayton,0,0.0279,sweep:GH/Student
2,3002,1,0,CubSec,CubSec,1,0.0000,sweep:GH/Student
2,3002,1,1,Clayton,Clayton,1,0.2064,sweep:GH/Student
3,3003,0,0,Student,Student,1,0.2457,sweep:GH/GH
3,3003,0,1,CubSec,Clayton,0,0.0009,sweep:GH/GH
3,3003,1,0,CubSec,CubSec,1,0.1650,sweep:GH/GH
3,3003,1,1,Clayton,Clayton,1,0.1880,sweep:GH/GH
4,3004,0,0,Student,Student,1,0.1948,sweep:Student/Student
4,3004,0,1,CubSec,Clayton,0,0.2017,sweep:Student/Student
4,3004,1,0,CubSec,Student,0,0.2490,sweep:Student/Student
4,3004,1,1,Clayton,Clayton,1,0.1982,sweep:Student/Student
5,3005,0,0,Student,Student,1,0.2343,sweep:Student/CubSec
5,3005,0,1,CubSec,GH,0,0.1125,sweep:Student/CubSec
5,3005,1,0,CubSec,Student,0,0.2252,sweep:Student/CubSec
5,3005,1,1,Clayton,CubSec,0,0.1650,sweep:Student/CubSec
6,3006,0,0,Student,Student,1,0.2457,sweep:CubSec/GH
6,3006,0,1,CubSec,CubSec,1,0.1650,sweep:CubSec/GH
6,3006,1,0,CubSec,CubSec,1,0.0486,sweep:CubSec/GH
6,3006,1,1,Clayton,Clayton,1,0.1933,sweep:CubSec/GH
7,3007,0,0,Student,Student,1,0.2381,indep
7,3007,0,1,CubSec,Student,0,-0.0051,indep
7,3007,1,0,CubSec,GH,0,0.0163,indep
7,3007,1,1,Clayton,Clayton,1,0.2262,indep
8,3008,0,0,Student,Student,1,0.2335,indep
8,3008,0,1,CubSec,CubSec,1,0.0000,indep
8,3008,1,0,CubSec,Student,0,0.0986,indep
8,3008,1,1,Clayton,Clayton,1,0.1599,indep
9,3009,0,0,Student,Student,1,0.2051,indep
9,3009,0,1,CubSec,Student,0,0.1037,indep
9,3009,1,0,CubSec,GH,0,0.0997,indep
9,3009,1,1,Clayton,Clayton,1,0.1629,indep
10,3010,0,0,Student,Student,1,0.2545,sweep:Student/CubSec
10,3010,0,1,CubSec,CubSec,1,0.1650,sweep:Student/CubSec
10,3010,1,0,CubSec,CubSec,1,0.1650,sweep:Student/CubSec
10,3010,1,1,Clayton,Clayton,1,0.2079,sweep:Student/CubSec
11,3011,0,0,Student,Student,1,0.2481,sweep:CubSec/Clayton
11,3011,0,1,CubSec,CubSec,1,0.1650,sweep:CubSec/Clayton
11,3011,1,0,CubSec,Student,0,0.2351,sweep:CubSec/Clayton
11,3011,1,1,Clayton,Clayton,1,0.2226,sweep:CubSec/Clayton
12,3012,0,0,Student,Student,1,0.2430,sweep:CubSec/Student
12,3012,0,1,CubSec,Clayton,0,0.0747,sweep:CubSec/Student
12,3012,1,0,CubSec,Student,0,0.2070,sweep:CubSec/Student
12,3012,1,1,Clayton,Clayton,1,0.1928,sweep:CubSec/Student
13,3013,0,0,Student,Student,1,0.2300,indep
13,3013,0,1,CubSec,Student,0,0.0972,indep
13,3013,1,0,CubSec,Student,0,0.1265,indep
