run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Student,Student,1,0.2547,sweep:CubSec/Student
0,3000,0,1,CubSec,CubSec,1,0.1650,sweep:CubSec/Student
0,3000,1,0,CubSec,Clayton,0,0.2224,sweep:CubSec/Student
0,3000,1,1,Clayton,Clayton,1,0.1858,sweep:CubSec/Student
1,3001,0,0,Student,Student,1,0.2384,sweep:GH/CubSec
1,3001,0,1,CubSec,CubSec,1,0.1140,sweep:GH/CubSec
1,3001,1,0,CubSec,GH,0,0.1378,sweep:GH/CubSec
1,3001,1,1,Clayton,Clayton,1,0.1863,sweep:GH/CubSec
2,3002,0,0,Student,Student,1,0.2213,sweep:GH/CubSec
2,3002,0,1,CubSec,Clayton,0,0.0230,sweep:GH/CubSec
2,3002,1,0,CubSec,CubSec,1,0.0000,sweep:GH/CubSec
2,3002,1,1,Clayton,Clayton,1,0.2040,sweep:GH/CubSec
3,3003,0,0,Student,Student,1,0.2457,sweep:GH/GH
3,3003,0,1,CubSec,Clayton,0,0.0009,sweep:GH/GH
3,3003,1,0,CubSec,CubSec,1,0.1650,sweep:GH/GH
3,3003,1,1,Clayton,Clayton,1,0.1880,sweep:GH/GH
4,3004,0,0,Student,Student,1,0.1913,sweep:CubSec/Student
4,3004,0,1,CubSec,Clayton,0,0.2347,sweep:CubSec/Student
4,3004,1,0,CubSec,Clayton,0,0.2271,sweep:CubSec/Student
4,3004,1,1,Clayton,Clayton,1,0.2021,sweep:CubSec/Student
5,3005,0,0,Student,Student,1,0.2320,sweep:CubSec/GH
5,3005,0,1,CubSec,CubSec,1,0.1343,sweep:CubSec/GH
5,3005,1,0,CubSec,GH,0,0.2085,sweep:CubSec/GH
5,3005,1,1,Clayton,CubSec,0,0.1650,sweep:CubSec/GH
6,3006,0,0,Student,Student,1,0.2463,sweep:CubSec/Student
6,3006,0,1,CubSec,CubSec,1,0.1650,sweep:CubSec/Student
6,3006,1,0,CubSec,CubSec,1,0.0369,sweep:CubSec/Student
6,3006,1,1,Clayton,Clayton,1,0.1930,sweep:CubSec/Student
7,3007,0,0,Student,Student,1,0.2382,sweep:CubSec/GH
7,3007,0,1,CubSec,GH,0,0.0519,sweep:CubSec/GH
7,3007,1,0,CubSec,GH,0,0.0028,sweep:CubSec/GH
7,3007,1,1,Clayton,Clayton,1,0.2317,sweep:CubSec/GH
8,3008,0,0,Student,Student,1,0.2335,indep
8,3008,0,1,CubSec,CubSec,1,0.0000,indep
8,3008,1,0,CubSec,Student,0,0.0986,indep
8,3008,1,1,Clayton,Clayton,1,0.1599,indep
9,3009,0,0,Student,Student,1,0.2108,sweep:GH/CubSec
9,3009,0,1,CubSec,Student,0,0.0241,sweep:GH/CubSec
9,3009,1,0,CubSec,GH,0,0.0644,sweep:GH/CubSec
9,3009,1,1,Clayton,Clayton,1,0.1707,sweep:GH/CubSec
10,3010,0,0,Student,Student,1,0.2545,sweep:Student/CubSec
10,3010,0,1,CubSec,CubSec,1,0.1650,sweep:Student/CubSec
