run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Student,Student,1,0.2547,sweep:CubSec/CubSec
0,3000,0,1,CubSec,CubSec,1,0.1650,sweep:CubSec/CubSec
0,3000,1,0,CubSec,Student,0,0.2548,sweep:CubSec/CubSec
0,3000,1,1,Clayton,Clayton,1,0.1732,sweep:CubSec/CubSec
1,3001,0,0,Student,Student,1,0.2356,kmeans
1,3001,0,1,CubSec,CubSec,1,0.1414,kmeans
1,3001,1,0,CubSec,GH,0,0.1741,kmeans
1,3001,1,1,Clayton,Clayton,1,0.1902,kmeans
2,3002,0,0,Student,Student,1,0.2159,sweep:Student/Clayton
2,3002,0,1,CubSec,Clayton,0,0.0526,sweep:Student/Clayton
2,3002,1,0,CubSec,Clayton,0,0.0161,sweep:Student/Clayton
2,3002,1,1,Clayton,Clayton,1,0.2105,sweep:Student/Clayton
3,3003,0,0,Student,Student,1,0.2463,indep
3,3003,0,1,CubSec,Student,0,-0.0455,indep
3,3003,1,0,CubSec,CubSec,1,0.1650,indep
3,3003,1,1,Clayton,Clayton,1,0.1861,indep
4,3004,0,0,Student,Student,1,0.1955,sweep:CubSec/Student
4,3004,0,1,CubSec,Student,0,0.2108,sweep:CubSec/Student
4,3004,1,0,CubSec,Student,0,0.2519,sweep:CubSec/Student
4,3004,1,1,Clayton,Clayton,1,0.1962,sweep:CubSec/Student
5,3005,0,0,Student,Student,1,0.2343,sweep:Student/CubSec
5,3005,0,1,CubSec,GH,0,0.1125,sweep:Student/CubSec
5,3005,1,0,CubSec,Student,0,0.2252,sweep:Student/CubSec
5,3005,1,1,Clayton,CubSec,0,0.1650,sweep:Student/CubSec
6,3006,0,0,Student,Student,1,0.2465,sweep:CubSec/Student
6,3006,0,1,CubSec,CubSec,1,0.1650,sweep:CubSec/Student
6,3006,1,0,CubSec,Student,0,0.0329,sweep:CubSec/Student
6,3006,1,1,Clayton,Clayton,1,0.1920,sweep:CubSec/Student
7,3007,0,0,Student,Student,1,0.2414,indep
7,3007,0,1,CubSec,Student,0,-0.0233,indep
7,3007,1,0,CubSec,Student,0,-0.0517,indep
7,3007,1,1,Clayton,Clayton,1,0.2282,indep
8,3008,0,0,Student,Student,1,0.2352,sweep:GH/CubSec
8,3008,0,1,CubSec,Student,0,-0.0440,sweep:GH/CubSec
8,3008,1,0,CubSec,Student,0,0.0850,sweep:GH/CubSec
8,3008,1,1,Clayton,Clayton,1,0.1611,sweep:GH/CubSec
9,3009,0,0,Student,Student,1,0.2051,indep
9,3009,0,1,CubSec,Student,0,0.1090,indep
9,3009,1,0,CubSec,GH,0,0.0948,indep
9,3009,1,1,Clayton,Clayton,1,0.1630,indep
