run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Student,Student,1,0.2553,indep
0,3000,0,1,CubSec,CubSec,1,0.1650,indep
0,3000,1,0,CubSec,Student,0,0.2378,indep
0,3000,1,1,Clayton,Clayton,1,0.1741,indep
1,3001,0,0,Student,Student,1,0.2382,sweep:GH/Clayton
1,3001,0,1,CubSec,CubSec,1,0.1260,sweep:GH/Clayton
1,3001,1,0,CubSec,GH,0,0.1329,sweep:GH/Clayton
1,3001,1,1,Clayton,Clayton,1,0.1923,sweep:GH/Clayton
2,3002,0,0,Student,Student,1,0.2159,sweep:Student/Clayton
2,3002,0,1,CubSec,Clayton,0,0.0526,sweep:Student/Clayton
2,3002,1,0,CubSec,Clayton,0,0.0161,sweep:Student/Clayton
2,3002,1,1,Clayton,Clayton,1,0.2105,sweep:Student/Clayton
3,3003,0,0,Student,Student,1,0.2451,indep
3,3003,0,1,CubSec,GH,0,0.0001,indep
3,3003,1,0,CubSec,CubSec,1,0.1650,indep
3,3003,1,1,Clayton,Clayton,1,0.1852,indep
4,3004,0,0,Student,Student,1,0.1955,sweep:CubSec/Student
4,3004,0,1,CubSec,Student,0,0.2108,sweep:CubSec/Student
4,3004,1,0,CubSec,Student,0,0.2519,sweep:CubSec/Student
4,3004,1,1,Clayton,Clayton,1,0.1962,sweep:CubSec/Student
5,3005,0,0,Student,Student,1,0.2343,sweep:Student/CubSec
5,3005,0,1,CubSec,GH,0,0.1125,sweep:Student/CubSec
5,3005,1,0,CubSec,Student,0,0.2252,sweep:Student/CubSec
5,3005,1,1,Clayton,CubSec,0,0.1650,sweep:Student/CubSec
6,3006,0,0,Student,Student,1,0.2463,sweep:CubSec/Student
6,3006,0,1,CubSec,CubSec,1,0.1650,sweep:CubSec/Student
6,3006,1,0,CubSec,GH,0,0.0367,sweep:CubSec/Student
6,3006,1,1,Clayton,Clayton,1,0.1923,sweep:CubSec/Student
7,3007,0,0,Student,Student,1,0.2402,sweep:Student/CubSec
7,3007,0,1,CubSec,Student,0,-0.0077,sweep:Student/CubSec
7,3007,1,0,CubSec,CubSec,1,0.0000,sweep:Student/CubSec
7,3007,1,1,Clayton,Clayton,1,0.2285,sweep:Student/CubSec
8,3008,0,0,Student,Student,1,0.2362,sweep:GH/CubSec
8,3008,0,1,CubSec,Student,0,-0.0528,sweep:GH/CubSec
8,3008,1,0,CubSec,Student,0,0.0674,sweep:GH/CubSec
8,3008,1,1,Clayton,Clayton,1,0.1614,sweep:GH/CubSec
9,3009,0,0,Student,Student,1,0.2051,indep
9,3009,0,1,CubSec,Student,0,0.1037,indep
9,3009,1,0,CubSec,GH,0,0.0997,indep
9,3009,1,1,Clayton,Clayton,1,0.1629,indep
10,3010,0,0,Student,Student,1,0.2544,sweep:Clayton/CubSec
10,3010,0,1,CubSec,CubSec,1,0.1650,sweep:Clayton/CubSec
10,3010,1,0,CubSec,CubSec,1,0.1650,sweep:Clayton/CubSec
10,3010,1,1,Clayton,Clayton,1,0.2078,sweep:Clayton/CubSec
11,3011,0,0,Student,Student,1,0.2480,sweep:CubSec/Clayton
11,3011,0,1,CubSec,CubSec,1,0.1650,sweep:CubSec/Clayton
11,3011,1,0,CubSec,Student,0,0.2343,sweep:CubSec/Clayton
11,3011,1,1,Clayton,Clayton,1,0.2222,sweep:CubSec/Clayton
12,3012,0,0,Student,Student,1,0.2428,sweep:CubSec/Student
12,3012,0,1,CubSec,Student,0,0.0874,sweep:CubSec/Student
12,3012,1,0,CubSec,Student,0,0.2080,sweep:CubSec/Student
12,3012,1,1,Clayton,Clayton,1,0.1913,sweep:CubSec/Student
13,3013,0,0,Student,Student,1,0.2300,indep
13,3013,0,1,CubSec,Student,0,0.0972,indep
13,3013,1,0,CubSec,Student,0,0.1265,indep
13,3013,1,1,Clayton,Clayton,1,0.2078,indep
14,3014,0,0,Student,Student,1,0.2438,sweep:CubSec/CubSec
14,3014,0,1,CubSec,Student,0,0.2064,sweep:CubSec/CubSec
14,3014,1,0,CubSec,Student,0,0.2987,sweep:CubSec/CubSec
14,3014,1,1,Clayton,Clayton,1,0.1704,sweep:CubSec/CubSec
15,3015,0,0,Student,Student,1,0.2643,sweep:Student/CubSec
15,3015,0,1,CubSec,CubSec,1,0.1650,sweep:Student/CubSec
15,3015,1,0,CubSec,GH,0,0.1599,sweep:Student/CubSec
15,3015,1,1,Clayton,Clayton,1,0.1544,sweep:Student/CubSec
16,3016,0,0,Student,Student,1,0.2168,sweep:CubSec/CubSec
16,3016,0,1,CubSec,CubSec,1,0.1650,sweep:CubSec/CubSec
16,3016,1,0,CubSec,Clayton,0,0.1914,sweep:CubSec/CubSec
16,3016,1,1,Clayton,Clayton,1,0.1969,sweep:CubSec/CubSec
17,3017,0,0,Student,Student,1,0.2404,sweep:CubSec/Student
17,3017,0,1,CubSec,CubSec,1,0.1501,sweep:CubSec/Student
17,3017,1,0,CubSec,CubSec,1,0.0877,sweep:CubSec/Student
17,3017,1,1,Clayton,Clayton,1,0.1994,sweep:CubSec/Student
18,3018,0,0,Student,Student,1,0.2822,sweep:CubSec/Student
18,3018,0,1,CubSec,CubSec,1,0.1650,sweep:CubSec/Student
18,3018,1,0,CubSec,Clayton,0,0.0001,sweep:CubSec/Student
18,3018,1,1,Clayton,Clayton,1,0.1640,sweep:CubSec/Student
19,3019,0,0,Student,Student,1,0.2823,indep
19,3019,0,1,CubSec,Student,0,0.1052,indep
19,3019,1,0,CubSec,Clayton,0,0.0001,indep
19,3019,1,1,Clayton,Clayton,1,0.1851,indep
20,3020,0,0,Student,Student,1,0.2353,sweep:GH/Clayton
20,3020,0,1,CubSec,Clayton,0,0.1309,sweep:GH/Clayton
20,3020,1,0,CubSec,GH,0,0.0608,sweep:GH/Clayton
20,3020,1,1,Clayton,Clayton,1,0.1745,sweep:GH/Clayton
21,3021,0,0,Student,Student,1,0.2279,indep
21,3021,0,1,CubSec,CubSec,1,0.0962,indep
21,3021,1,0,CubSec,CubSec,1,0.0901,indep
21,3021,1,1,Clayton,Clayton,1,0.1757,indep
22,3022,0,0,Student,Student,1,0.2335,sweep:CubSec/Student
22,3022,0,1,CubSec,CubSec,1,0.1529,sweep:CubSec/Student
22,3022,1,0,CubSec,Clayton,0,0.1788,sweep:CubSec/Student
