run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Gauss,GH,0,0.7088
0,3000,0,1,GH,Gauss,0,0.3070
0,3000,1,0,GH,Gauss,0,0.3477
0,3000,1,1,Clayton,Gauss,0,0.5773
1,3001,0,0,Gauss,GH,0,0.7188
1,3001,0,1,GH,GH,1,0.3320
1,3001,1,0,GH,GH,1,0.3367
1,3001,1,1,Clayton,Gauss,0,0.5684
2,3002,0,0,Gauss,GH,0,0.7615
2,3002,0,1,GH,GH,1,0.2838
2,3002,1,0,GH,GH,1,0.3253
2,3002,1,1,Clayton,Gauss,0,0.6030
3,3003,0,0,Gauss,GH,0,0.7084
3,3003,0,1,GH,GH,1,0.2677
3,3003,1,0,GH,GH,1,0.3431
3,3003,1,1,Clayton,Gauss,0,0.5825
4,3004,0,0,Gauss,GH,0,0.7093
4,3004,0,1,GH,Gauss,0,0.3369
4,3004,1,0,GH,Gauss,0,0.3667
4,3004,1,1,Clayton,Gauss,0,0.5645
5,3005,0,0,Gauss,GH,0,0.7278
5,3005,0,1,GH,Gauss,0,0.3722
5,3005,1,0,GH,GH,1,0.3390
5,3005,1,1,Clayton,Gauss,0,0.6179
6,3006,0,0,Gauss,GH,0,0.7314
6,3006,0,1,GH,GH,1,0.2812
6,3006,1,0,GH,GH,1,0.3130
6,3006,1,1,Clayton,Gauss,0,0.5432
7,3007,0,0,Gauss,GH,0,0.7329
7,3007,0,1,GH,GH,1,0.3503
7,3007,1,0,GH,Gauss,0,0.3306
7,3007,1,1,Clayton,Gauss,0,0.5956
8,3008,0,0,Gauss,GH,0,0.7560
8,3008,0,1,GH,Gauss,0,0.3431
8,3008,1,0,GH,Gauss,0,0.3525
8,3008,1,1,Clayton,Gauss,0,0.5804
9,3009,0,0,Gauss,GH,0,0.7315
9,3009,0,1,GH,GH,1,0.3192
9,3009,1,0,GH,GH,1,0.3428
9,3009,1,1,Clayton,Gauss,0,0.5557
10,3010,0,0,Gauss,GH,0,0.7541
10,3010,0,1,GH,Gauss,0,0.4011
10,3010,1,0,GH,Gauss,0,0.3159
10,3010,1,1,Clayton,Gauss,0,0.5916
11,3011,0,0,Gauss,GH,0,0.7046
11,3011,0,1,GH,Gauss,0,0.3493
11,3011,1,0,GH,GH,1,0.3244
