run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Gauss,GH,0,0.7036
0,3000,0,1,GH,Gauss,0,0.4683
0,3000,1,0,GH,GH,1,0.3567
0,3000,1,1,Clayton,Clayton,1,0.6402
1,3001,0,0,Gauss,GH,0,0.7242
1,3001,0,1,GH,GH,1,0.4483
1,3001,1,0,GH,GH,1,0.3671
1,3001,1,1,Clayton,Clayton,1,0.6773
2,3002,0,0,Gauss,GH,0,0.7072
2,3002,0,1,GH,GH,1,0.3770
2,3002,1,0,GH,GH,1,0.4516
2,3002,1,1,Clayton,Clayton,1,0.6827
3,3003,0,0,Gauss,GH,0,0.7120
3,3003,0,1,GH,GH,1,0.4222
3,3003,1,0,GH,GH,1,0.4786
3,3003,1,1,Clayton,Clayton,1,0.6518
4,3004,0,0,Gauss,GH,0,0.6935
4,3004,0,1,GH,Gauss,0,0.4015
4,3004,1,0,GH,GH,1,0.4556
4,3004,1,1,Clayton,Clayton,1,0.6783
5,3005,0,0,Gauss,GH,0,0.7022
5,3005,0,1,GH,GH,1,0.4547
5,3005,1,0,GH,GH,1,0.4937
5,3005,1,1,Clayton,Clayton,1,0.6851
6,3006,0,0,Gauss,GH,0,0.7029
6,3006,0,1,GH,GH,1,0.4246
6,3006,1,0,GH,GH,1,0.2991
6,3006,1,1,Clayton,Clayton,1,0.6582
7,3007,0,0,Gauss,GH,0,0.7074
7,3007,0,1,GH,GH,1,0.3871
7,3007,1,0,GH,GH,1,0.4170
7,3007,1,1,Clayton,Clayton,1,0.6856
8,3008,0,0,Gauss,GH,0,0.7047
8,3008,0,1,GH,GH,1,0.4658
8,3008,1,0,GH,GH,1,0.4481
8,3008,1,1,Clayton,Clayton,1,0.6743
9,3009,0,0,Gauss,GH,0,0.7015
9,3009,0,1,GH,GH,1,0.3694
9,3009,1,0,GH,GH,1,0.4067
9,3009,1,1,Clayton,Clayton,1,0.6671
10,3010,0,0,Gauss,GH,0,0.6976
10,3010,0,1,GH,GH,1,0.4874
10,3010,1,0,GH,GH,1,0.4773
10,3010,1,1,Clayton,Clayton,1,0.6860
11,3011,0,0,Gauss,GH,0,0.7184
11,3011,0,1,GH,GH,1,0.4378
11,3011,1,0,GH,GH,1,0.3802
11,3011,1,1,Clayton,Clayton,1,0.6723
12,3012,0,0,Gauss,GH,0,0.6829
12,3012,0,1,GH,GH,1,0.5592
12,3012,1,0,GH,GH,1,0.4525
12,3012,1,1,Clayton,Clayton,1,0.6805
13,3013,0,0,Gauss,GH,0,0.6820
13,3013,0,1,GH,GH,1,0.5293
13,3013,1,0,GH,GH,1,0.4802
13,3013,1,1,Clayton,Clayton,1,0.6765
14,3014,0,0,Gauss,GH,0,0.6916
14,3014,0,1,GH,Gauss,0,0.4345
14,3014,1,0,GH,GH,1,0.2842
14,3014,1,1,Clayton,Clayton,1,0.6652
15,3015,0,0,Gauss,GH,0,0.7018
15,3015,0,1,GH,GH,1,0.3397
15,3015,1,0,GH,GH,1,0.4310
15,3015,1,1,Clayton,Clayton,1,0.6784
16,3016,0,0,Gauss,GH,0,0.6921
16,3016,0,1,GH,Gauss,0,0.3850
16,3016,1,0,GH,GH,1,0.3475
16,3016,1,1,Clayton,Clayton,1,0.6611
17,3017,0,0,Gauss,GH,0,0.7103
17,3017,0,1,GH,GH,1,0.3972
17,3017,1,0,GH,Gauss,0,0.4882
17,3017,1,1,Clayton,Clayton,1,0.6883
18,3018,0,0,Gauss,GH,0,0.6954
18,3018,0,1,GH,GH,1,0.3995
18,3018,1,0,GH,GH,1,0.3596
18,3018,1,1,Clayton,Clayton,1,0.6684
19,3019,0,0,Gauss,GH,0,0.7260
19,3019,0,1,GH,Gauss,0,0.5586
19,3019,1,0,GH,GH,1,0.5158
19,3019,1,1,Clayton,Clayton,1,0.6546
20,3020,0,0,Gauss,GH,0,0.6937
20,3020,0,1,GH,Gauss,0,0.5209
20,3020,1,0,GH,GH,1,0.4359
20,3020,1,1,Clayton,Clayton,1,0.6874
21,3021,0,0,Gauss,GH,0,0.6902
21,3021,0,1,GH,GH,1,0.5297
