run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Gauss,GH,0,0.7034
0,3000,0,1,GH,Gauss,0,0.4617
0,3000,1,0,GH,Gauss,0,0.3808
0,3000,1,1,Clayton,Clayton,1,0.6416
1,3001,0,0,Gauss,GH,0,0.7242
1,3001,0,1,GH,GH,1,0.4483
1,3001,1,0,GH,GH,1,0.3671
1,3001,1,1,Clayton,Clayton,1,0.6773
2,3002,0,0,Gauss,GH,0,0.7062
2,3002,0,1,GH,GH,1,0.3734
2,3002,1,0,GH,Gauss,0,0.4560
2,3002,1,1,Clayton,Clayton,1,0.6841
3,3003,0,0,Gauss,GH,0,0.7106
3,3003,0,1,GH,Gauss,0,0.4111
3,3003,1,0,GH,GH,1,0.4705
3,3003,1,1,Clayton,Clayton,1,0.6513
4,3004,0,0,Gauss,GH,0,0.6923
4,3004,0,1,GH,Gauss,0,0.3943
4,3004,1,0,GH,Gauss,0,0.4390
4,3004,1,1,Clayton,Clayton,1,0.6799
5,3005,0,0,Gauss,GH,0,0.7022
5,3005,0,1,GH,GH,1,0.4547
5,3005,1,0,GH,GH,1,0.4937
5,3005,1,1,Clayton,Clayton,1,0.6851
6,3006,0,0,Gauss,GH,0,0.7028
6,3006,0,1,GH,GH,1,0.4241
6,3006,1,0,GH,GH,1,0.2978
6,3006,1,1,Clayton,Clayton,1,0.6581
7,3007,0,0,Gauss,GH,0,0.7062
7,3007,0,1,GH,GH,1,0.3843
7,3007,1,0,GH,Gauss,0,0.4170
7,3007,1,1,Clayton,Clayton,1,0.6877
8,3008,0,0,Gauss,GH,0,0.7032
8,3008,0,1,GH,Gauss,0,0.4772
8,3008,1,0,GH,GH,1,0.4404
8,3008,1,1,Clayton,Clayton,1,0.6774
9,3009,0,0,Gauss,GH,0,0.7015
9,3009,0,1,GH,GH,1,0.3694
9,3009,1,0,GH,GH,1,0.4067
9,3009,1,1,Clayton,Clayton,1,0.6671
10,3010,0,0,Gauss,GH,0,0.6975
10,3010,0,1,GH,GH,1,0.4863
10,3010,1,0,GH,GH,1,0.4767
10,3010,1,1,Clayton,Clayton,1,0.6859
11,3011,0,0,Gauss,GH,0,0.7182
11,3011,0,1,GH,GH,1,0.4374
11,3011,1,0,GH,GH,1,0.3792
11,3011,1,1,Clayton,Clayton,1,0.6723
12,3012,0,0,Gauss,GH,0,0.6829
12,3012,0,1,GH,GH,1,0.5592
12,3012,1,0,GH,GH,1,0.4525
12,3012,1,1,Clayton,Clayton,1,0.6805
13,3013,0,0,Gauss,GH,0,0.6820
13,3013,0,1,GH,GH,1,0.5293
13,3013,1,0,GH,GH,1,0.4802
13,3013,1,1,Clayton,Clayton,1,0.6765
14,3014,0,0,Gauss,GH,0,0.6916
14,3014,0,1,GH,Gauss,0,0.4345
14,3014,1,0,GH,GH,1,0.2842
14,3014,1,1,Clayton,Clayton,1,0.6652
15,3015,0,0,Gauss,GH,0,0.7002
15,3015,0,1,GH,GH,1,0.3156
15,3015,1,0,GH,Gauss,0,0.4346
15,3015,1,1,Clayton,Clayton,1,0.6799
16,3016,0,0,Gauss,GH,0,0.6921
16,3016,0,1,GH,Gauss,0,0.3850
16,3016,1,0,GH,GH,1,0.3475
16,3016,1,1,Clayton,Clayton,1,0.6611
17,3017,0,0,Gauss,GH,0,0.7103
17,3017,0,1,GH,GH,1,0.3972
17,3017,1,0,GH,Gauss,0,0.4882
17,3017,1,1,Clayton,Clayton,1,0.6883
18,3018,0,0,Gauss,GH,0,0.6954
18,3018,0,1,GH,GH,1,0.3994
18,3018,1,0,GH,GH,1,0.3597
18,3018,1,1,Clayton,Clayton,1,0.6685
19,3019,0,0,Gauss,GH,0,0.7246
19,3019,0,1,GH,Gauss,0,0.5577
19,3019,1,0,GH,Gauss,0,0.5110
19,3019,1,1,Clayton,Clayton,1,0.6580
20,3020,0,0,Gauss,GH,0,0.6927
20,3020,0,1,GH,Gauss,0,0.5107
20,3020,1,0,GH,Gauss,0,0.4419
20,3020,1,1,Clayton,Clayton,1,0.6879
21,3021,0,0,Gauss,GH,0,0.6898
21,3021,0,1,GH,GH,1,0.5312
21,3021,1,0,GH,Gauss,0,0.3979
21,3021,1,1,Clayton,Clayton,1,0.7020
22,3022,0,0,Gauss,GH,0,0.6989
22,3022,0,1,GH,Gauss,0,0.4609
22,3022,1,0,GH,GH,1,0.5149
22,3022,1,1,Clayton,Clayton,1,0.6642
23,3023,0,0,Gauss,GH,0,0.7217
23,3023,0,1,GH,GH,1,0.4111
23,3023,1,0,GH,Gauss,0,0.6089
23,3023,1,1,Clayton,Clayton,1,0.6590
24,3024,0,0,Gauss,GH,0,0.7019
24,3024,0,1,GH,GH,1,0.3335
24,3024,1,0,GH,GH,1,0.5049
24,3024,1,1,Clayton,Clayton,1,0.6735
25,3025,0,0,Gauss,GH,0,0.6950
25,3025,0,1,GH,GH,1,0.2522
25,3025,1,0,GH,Gauss,0,0.3904
25,3025,1,1,Clayton,Clayton,1,0.6644
26,3026,0,0,Gauss,GH,0,0.7164
26,3026,0,1,GH,GH,1,0.3860
26,3026,1,0,GH,Gauss,0,0.4565
26,3026,1,1,Clayton,Clayton,1,0.6881
27,3027,0,0,Gauss,GH,0,0.6974
27,3027,0,1,GH,GH,1,0.4379
27,3027,1,0,GH,GH,1,0.4344
27,3027,1,1,Clayton,Clayton,1,0.6761
28,3028,0,0,Gauss,GH,0,0.6980
28,3028,0,1,GH,GH,1,0.5021
28,3028,1,0,GH,GH,1,0.3809
28,3028,1,1,Clayton,Clayton,1,0.6650
29,3029,0,0,Gauss,GH,0,0.7037
29,3029,0,1,GH,GH,1,0.4006
29,3029,1,0,GH,GH,1,0.4349
29,3029,1,1,Clayton,Clayton,1,0.6592
30,3030,0,0,Gauss,GH,0,0.6910
30,3030,0,1,GH,Gauss,0,0.4034
30,3030,1,0,GH,GH,1,0.4102
30,3030,1,1,Clayton,Clayton,1,0.6810
31,3031,0,0,Gauss,GH,0,0.6936
31,3031,0,1,GH,Gauss,0,0.4967
31,3031,1,0,GH,Gauss,0,0.4442
31,3031,1,1,Clayton,Clayton,1,0.6823
32,3032,0,0,Gauss,GH,0,0.7061
32,3032,0,1,GH,Gauss,0,0.3196
32,3032,1,0,GH,GH,1,0.3731
32,3032,1,1,Clayton,Clayton,1,0.6623
33,3033,0,0,Gauss,GH,0,0.7044
33,3033,0,1,GH,Gauss,0,0.4719
33,3033,1,0,GH,GH,1,0.3964
33,3033,1,1,Clayton,Clayton,1,0.6615
34,3034,0,0,Gauss,GH,0,0.6931
34,3034,0,1,GH,Gauss,0,0.3791
34,3034,1,0,GH,GH,1,0.3389
34,3034,1,1,Clayton,Clayton,1,0.6611
35,3035,0,0,Gauss,GH,0,0.7048
35,3035,0,1,GH,Gauss,0,0.4219
35,3035,1,0,GH,GH,1,0.4098
35,3035,1,1,Clayton,Clayton,1,0.6625
36,3036,0,0,Gauss,GH,0,0.7209
36,3036,0,1,GH,Gauss,0,0.5053
36,3036,1,0,GH,GH,1,0.3791
36,3036,1,1,Clayton,Clayton,1,0.6866
37,3037,0,0,Gauss,GH,0,0.7027
37,3037,0,1,GH,GH,1,0.3913
37,3037,1,0,GH,Gauss,0,0.4721
37,3037,1,1,Clayton,Clayton,1,0.6594
38,3038,0,0,Gauss,GH,0,0.7123
38,3038,0,1,GH,Gauss,0,0.4307
38,3038,1,0,GH,Gauss,0,0.4401
38,3038,1,1,Clayton,Clayton,1,0.6706
39,3039,0,0,Gauss,Gauss,1,0.6923
39,3039,0,1,GH,GH,1,0.3827
39,3039,1,0,GH,GH,1,0.3768
39,3039,1,1,Clayton,Clayton,1,0.6894
